[0:0.000,0:1.580,0]  欢迎收听地下关
[3:36.370,3:51.830,0]  哦现在到1949年的是吧因为那时候我看过这篇文那个文件就说他是就是说乾隆就有些什么东西是基本上所有的艺术品基本赚到钱隆这个时候但有些还有些东西的时候小孩以后比方到了什么四九年什么的现在
[3:51.830,3:55.330,1]  哦真是真是一乾隆60年175
[3:55.640,3:57.420,1]  1795年算起
[3:57.640,4:35.140,0]  对对对我我觉得政策是归政策但是有些东西他只说是1759年以前的文物但是很多东西他就把他当成公益凭什么管他175他是按照那个它是按照制造年代来算的就是1795年以前的东西都不允许出口比较包括瓷器也是他他一些五年级就是说乾隆康雍乾三代的这个清三代的瓷器那时候就是名声不是出口的但是那时候就说比较家境嘉庆官窑啊比方说什么道光的那些东西是可以出国的但现在你想这道光碟是道光的官窑了光绪的官窑现在都觉得是奇货可居的东西了
[4:37.950,4:46.050,0]  就说其实就是说怎么看那个就是钱咱们简单的先把钱隆描述一下潜龙呢它是呃剩余
[4:47.980,4:49.950,0]  死于1799年
[4:50.250,5:17.420,0]  就等于就是说大概是活了88岁整个18世纪都是这完了他死了以后等于就是中国的进入了十九十级了其实也挺有意思的中国就是哎他的这个1799年他这个年代如果放在整个世界史呢来说它实际上生在的时间是大概是在这个法国的路易14太阳王的这个时期法国路易14太阳王对他路易14是一期一五年
[5:17.900,5:20.260,1]  德国的叶卡捷琳娜二世
[5:20.360,5:21.910,0]  对差不多这一节对他
[5:21.910,5:25.570,1]  稍晚一点还有一个重要的就是华盛顿跟他一年死了吧
[5:25.570,5:43.840,0]  啊你说那个那个那个儿子嘛对完了他的这个7997799您什么呢法国大革命是1789年开始的所以他基本上生活的这个年代正好是也是这个世界发生了很多的这个变化的一个时代所以他实际上并不
[5:43.840,5:44.680,1]  美国独立镇
[5:44.680,6:9.680,0]  对呀而且它实际上在中间就他就坐80最大受的时候那个英国那个国王不是派了那马戛尔尼来中国这个借助设为名等于要要要请这个通商所以他那个时候实际上是中外之间已经再有一个联络跟变更的时候所以它并不像中国以前的这个帝王一样好像有点生活在自我他是这样是他是把它
[6:10.140,6:36.210,0]  钱就等于自己把自己封闭起来并不是外界要要封比他的圈而且很有意思乾隆实际上是一个应该说是乾隆是封建教育之下培养出来的一个非常好的一个学生也是非常好的一个皇帝哎他本人他自己的一个古筝老师说这个怎么让我想到了这个买酒喝哈哈的确他应该是他应该是他这种体制里面培养出来的好学生
[6:37.360,6:40.040,1]  就是全毁了他身上呵呵
[6:40.040,6:42.660,0]  呵呵那个这
[6:42.660,6:44.720,1]  除了觉得自己是个好人
[6:44.720,7:0.210,0]  呃他觉得自己但它真的觉得那个因为乾隆觉得自己这一生是盆它除了觉得自己没活到90岁可能有点遗憾以外因为他那时候已经在做这个90岁寿辰的一个准备了对吧他是突然在正月初三就是不行了就就就
[7:1.140,7:12.790,0]  去世了实际上他这个他自己觉得自己生活在一个非常好的一个时代而且所以他自己是十全老人嘛嗯因为他的确是生活在咱们所谓的叫什么康乾盛世
[7:13.430,7:16.560,0]  但是我觉得所谓的啊这一代的这个引号的这个
[7:17.830,7:23.300,1]  这些这些那个这些信息从古村老师直接念出来好怪啊是吧
[7:23.300,7:36.900,0]  呵呵怎么而且我我我觉得这个天龙可能不光觉得他自己是这个怎么说是完美地吧他我觉得他有一点他可能真以为自己是文殊菩萨转世
[7:37.700,7:46.770,0]  那也可能吧就是大家说的人多说我总说的人多了以后哎你你超市你应该在故宫见过吧不是有一点
[7:46.850,8:6.250,0]  有有一个很有很有利的证据啊因为这个中国古代帝王也好老百姓也好你信佛的也好不信佛教的也好就从来没有把这个佛教的形象带到这个陵墓地下去的但是你看乾隆的玉林市怎么回事儿啊他标满了这个那个藏密的那个五方佛呀
[8:7.020,8:13.990,0]  这个金刚呀这个省吃啊这个我觉得他真是把自己当当当文书复杂了这个
[8:14.540,8:16.890,1]  我只能把它当文书枯死吧
[8:16.890,8:20.480,0]  呵呵反正就是说接下去他晚上说那个
[8:20.480,8:23.940,1]  我们也可以把经上当时文书铺展red
[8:24.170,8:36.080,0]  因为清东陵裕陵是乾隆自己亲自设计的吗这个因为乾隆这个人特注重细节什么事儿都是事必躬亲怎么设计布置什么肯定都是他早就安排好的所以我觉得
[8:38.590,8:49.170,1]  那个cpad客厅你老放那一个什么老和尚的那表情不就说经上是什么什么铺子转哈哈
[8:49.170,9:16.725,0]  所以自自古至今不乏其人啊都是在那里那个什么但是乾隆的的确我觉得就说从前头本人的性格他其实在中国历代的皇帝里面如果给打分的话其实乾隆真的还不算挺差的话应该是评到这个比较好的黄金就是比较就不能说是要好好这个词有点太主观了就是比较能干的皇帝里面之一吧而且他这个说实在的悼词以前他也没得老年痴呆症也还是挺清楚的
[9:16.725,9:23.740,1]  但是清朝的那个这个皇子的教育制度造成除了咸丰之外基本都停着
[9:23.780,9:28.820,0]  嗯嗯对他们很很很很这个什么的就很很
[9:28.830,9:32.390,1]  他们就是谁运气好谁运气不好这么回事儿
[9:32.390,10:9.290,0]  那你说怎么着那你说曝光的运气就不如选从呃那个钱弄好因为钱都没碰上这个这个英法联军来来做呀哎呀这个你想钱乾隆和道光差距在哪儿乾隆有家底造那道光那时候想造都造不起来了这个完全家里家家都空了基本上那这点我觉得钱浪费se好的成分在里头比如说他那个时候去打那个打那个整个二部的时候正好碰到整个那边来天花就是死好多人说他一下就把那整个给给给给摧毁了完了
[10:10.100,10:17.750,1]  他他就是运气极好的你像道光所有的道光时代所有的问题其实都是他那爷爷买下来的
[10:17.750,10:55.140,0]  他反而给藏族差不多乾隆的的确是因为他那个年代呢实际上他那个年代中国的这个危机已经非常的深厚了但但但是呢他的飞机他爆发它有一个有一个延缓呃所以说为什么乾隆死了以后嘉庆到道光到咸丰那就是此起彼伏的这个各地的这个叛乱暴乱什么就其实乾隆那时候就有这个问题那是我乾隆我读乾隆那是他那个乾隆传里面就讲乾隆那时候全国的人口由乾隆初年的一大概六千万到前头死的时候就已经到3亿多了
[10:55.400,10:59.100,1]  你跟那个男南美洲的那个作物都引进中国
[10:59.100,11:15.530,0]  呃所以但是也还是不够吃啊因为你想人口膨胀了这么多到3亿多后来经过太平天国一直着咱们知道真的有四九年折腾了100多年150年吧从乾隆死了1949年只要150年内人口就基基本上就没有再增加多少
[11:15.990,11:35.400,0]  那个古村老师因为我们这个还是艺术直播课嘛我们讲历史是一方面我们再拉回艺术史来那这个那艺术史那我们先谈谈乾隆自己的创作吧乾隆是不是自己觉得他也能会写诗会画画会写字那您这两位对对这点有什么评价的
[11:36.080,11:40.160,1]  我觉得吧我觉得这里先从他爷爷和他爹开始聊
[11:40.160,11:41.190,0]  嗯肥
[11:41.190,11:41.850,1]  嗯
[11:42.190,11:50.760,1]  这个去年的这个故宫实习保洁展吧把这几集这个从顺治开始的这个
[11:50.760,11:54.610,1]  亲耐的这个帝王的这个墨宝吧
[11:56.070,11:59.830,1]  排列了一下就是挨着挨着这个大约能看到
[12:1.830,12:5.860,1]  就是单从书法上来说吧我觉得那么像
[12:5.970,12:12.110,1]  甚至就不说了因为他刚入关汉字正在学的基本就跟华夫一样
[12:13.470,12:15.750,1]  到雍正其实
[12:15.850,12:20.070,1]  可以说雍正就是你说他是书法家已经
[12:20.200,12:23.880,1]  这个没有问题了就是说你这么评价才可以
[12:24.100,12:25.020,1]  但是
[12:25.280,12:28.750,1]  你看乾隆的字吧如果学过书法的人不能
[12:29.000,12:35.110,1]  能感觉到一个很很明显的感觉就是他是在华这次呵呵
[12:35.500,12:38.310,1]  哎他是他是在描红模子
[12:38.310,12:49.330,0]  哎他说你说的我咋想的事儿就是就是那去年展不是在那个五门城楼上不有一个什么是康熙祝寿的wap有一个单
[12:49.330,12:51.870,1]  金锁有的时候呃OK皇帝
[12:51.870,13:5.760,0]  不有那个大大条屏嘛然后就是康熙那些孙子什么都给他那个题给他爷爷提那个那个字儿什么的里头就有钱了我看你这我都怀疑是不是天龙写的写的那不是全同学的肯定有人带着不那个他拿写得不好那个
[13:5.920,13:8.810,1]  那个当时他们才三岁那个都是代理的
[13:8.810,13:11.050,0]  OK怪不得了
[13:12.160,13:19.050,1]  就是你看乾隆的字吧基本都是就跟那个学字的人在描红的那个感觉是
[13:19.920,13:28.650,1]  他他他一直是在这个话这个字他没有自己写的那个感觉但是他又自自我感觉特别良好
[13:28.760,13:40.240,0]  呃但是我觉得前头我前头还有一个自我感觉特良好就特别爱作诗不是说这个钱路一生做了四万多首诗说那个全唐诗一共加在一起还不够这个数呢
[13:41.770,13:52.620,0]  哎不说什么几分钟就得做一手是不是啊就是如果算下来的话再就是创作的这个黄金时代这么几十年里怎么怎么样呢不知道这个这个这个
[13:52.620,13:53.920,1]  我儿说话了不然
[13:53.920,14:2.070,0]  说一段子啊不一定是真的就是说乾隆做一手特有名的诗就说说再写说这个看在外面下雪了
[14:4.140,14:6.170,0]  一片两片三四片
[14:6.650,14:8.590,0]  五片六片七八片
[14:9.000,14:10.960,0]  九片十片11片
[14:11.030,14:20.190,0]  写的是二写不下去了后来那个说旁边说记下来给他来了一句说是哎飞进芦花都不见
[14:20.990,14:29.590,0]  谢谢谢谢啊呵呵但这个可能有点戏说成分但是乾隆的那个诗呢的确是这个重数量不重
[14:29.590,14:35.160,1]  那个在那个宰相刘罗锅电视剧里有是有这种哈哈哈对
[14:35.630,15:14.130,0]  嗯OK哎那个苏州那个那个那个狮子里不有个蒸汽停嘛然后老百姓编这个编段子也是说是乾隆写个这个真有趣然后下面一大匙哎这个皇上您这个字写太好已经把这有做于给赐给我了然后就变成了证据呵呵呵呵这反正也是个这这讲的这个咱们后面讲这个苏州的狮子林对全国的影响特别大这个而且还有一点就是那个超人你刚才讲到咱们说前段说他爹跟他的爷爷说起啊的确是他爹尤其是也也是这样对乾隆的影响
[15:14.830,15:22.810,1]  我我最近我最近在这个跟那个是北京市文物局在那个观象台做拍照测绘什么的
[15:23.630,15:26.990,1]  那古观象台上那些那个天文仪器
[15:27.090,15:28.790,1]  青铜的天文仪器
[15:28.880,15:39.440,1]  呃我们爬到顶上去每个大概都有什么这个康熙多少多少年然后陈南怀仁治理立法
[15:39.440,15:40.810,0]  就那些传教士吧
[15:40.810,15:41.640,1]  都是
[15:41.870,15:45.690,1]  对就是对呀就是难为人嘛然后就说
[15:46.300,16:0.640,1]  对都是呃那个基本都是男会员然后都是就是他爷爷在这个西那个呃这个外国的先进知识分子哎边边专利法是吧但是你看到乾隆时期的这个
[16:0.900,16:13.530,1]  这个基本都变成进口钟表啊什么就是一些奇技淫巧的玩物啊然后即使天然气也有乾隆时期的但也都变成赏玩性小店
[16:13.530,16:17.000,1]  然后鎏金缀满珍珠什么的这种
[16:17.000,16:24.760,0]  哎那我们可以不可以这么说啊就是说如果乾隆作为一个艺术创作者来说可能还真是这个水平
[16:25.870,16:41.570,0]  因为他这个字因为这个字那么写成那样了但是我们欣赏现在这个失去宝鸡也好就是反正清宫内藏那些东西也就绕不开他那些字儿嗯师嘛也就这样但是从艺术史角度来说这个
[16:41.730,16:47.020,0]  就是配置那些就是这个有人来A股东老师怎么翻译就喷出那些这个词
[16:48.030,16:49.380,0]  对艺术的
[16:49.450,17:13.730,0]  赞助者艺术的这个呵呵就是买家喝就支持者吧OK那钱OK收藏者支持者那在这方面乾隆的乾龙其实我觉得是挺有这个有这个收收藏的这个欲望的因为因为实际上去年那个超人讲的这个时期保级队87保级实际上是这个收藏了中国的
[17:13.860,17:32.880,0]  舒华加在一起78800总总持续宝鸡市育儿的在编水表就三边大概有上万福的这个书法作品这个基本上就是说因为乾隆那时候好附庸风雅再说那时候大成下面拍就去拍嘛基本上就是能够搜罗到的历代的书法精品都被乾隆给
[17:34.110,17:37.130,0]  而且特别有意思我觉得是这样就是乾隆
[17:37.190,17:39.560,0]  不仅是爱收集这
[17:41.340,17:51.460,0]  我觉得他还有一个和就爱收集各种各样的自然服呃风景名胜所以他到比方在前楼楼下江南对吧他看见哪名胜好了他
[17:51.530,18:2.280,0]  准备要把这个名胜就搬到北京来造一个就算了他自己家里我也有这么一个东西比方说哎到到了这个到了这个苏州看着苏州狮子林考
[18:3.310,18:29.360,0]  这个在圆明园里造技师怎样我看着这个嘉兴的烟雨楼好我就到这个承德也赵燕宇龙我看见那个杭州的这个平湖秋月不错我在园林里照一平湖秋月我看见杭州的这个什么呃这个三潭音悦不错我也找个三潭音悦他就说他觉得这个只要是好的东西我皇家我都要有一份
[18:29.650,18:33.700,1]  现在能看见的就是颐和园的那个惠山远吗携远
[18:34.160,18:44.310,1]  那是那个其他的都在圆明园都没了吗就这个圆圆这能看到基本还跟无锡的那叫啥ep
[18:44.310,18:50.760,0]  地上其实超市你说的还有一个其实圆明园颐和园还一个最大的一个那个就是他造了调息的
[18:50.760,19:0.530,0]  就是仿造的苏仿造的西服的那个司机吗苏堤上有六个强对对土地上六个瞧他那个颐和园的西地上也有六个强
[19:1.070,19:3.840,0]  就是完全他是这个按照他的这个
[19:5.240,19:29.200,0]  他实际上是一个就是说一个收藏的集大成他把什么东西都我认为就是个集大成的收藏的终极者就是他什么东西都都囊括在自己的这个皇家这里书画它放在自己的这个房子里风景他放在自己的原理完了还有各地的这个庙宇这个也是啊那个昨天那天不咱们闲聊说起那个雨花阁的问题对不对
[19:29.360,19:31.330,1]  雨花阁是他爹的雨花阁
[19:31.620,19:33.310,1]  不是雨花格式
[19:33.950,20:5.750,0]  雨花阁是原来在明代的就有就有一个这么个建筑但是到了乾隆时候给他大的改了一下呃我看资料说是乾隆当时接近一个那个西藏来的一个这个国师然后想起这个藏传佛教的一些一些问题然后讲到是哪个字呀萨加斯还是哪个字啊谁说这个建筑好然后那个博士就给他很形象的这个没有那个描述rat死好像是桑叶OK然后那个乾隆说哎我也要在乎
[20:6.150,20:11.470,0]  华工理建议各然后这就是雨花阁的这个这个来源因为那个超
[20:11.470,20:15.110,1]  增加特殊的建议应该是蒙古的蒙古的那个
[20:15.110,20:22.200,0]  对因为那个西藏两个卧室猛鬼两个国师吗一个这个张家活泼还有一个就是那个
[20:23.200,20:25.430,0]  对张家口还有一个就是外蒙的那个
[20:25.430,20:28.010,1]  可能是仿照的托林寺
[20:28.010,20:30.960,0]  反正托零四是吧哎你你进去过吗成人
[20:31.060,20:33.500,1]  我没进去过那个最难进
[20:33.700,20:36.490,0]  哦是吗因为我看材料不得了
[20:36.490,20:42.110,1]  我看我进去5万我就那个辞职哈哈嘿嘿
[20:42.130,20:49.130,0]  说雨花隔离那个郯城啊是呀是用那个景泰蓝做的掐丝法郎这个
[20:49.480,20:53.420,0]  对呀他反正这个不得了啊这个乾隆这个
[20:53.990,20:55.420,0]  太厉害了反正
[20:55.420,20:58.370,1]  我只我只去过井雨花阁后边的
[20:58.370,21:0.230,0]  呃什么重重发工
[21:0.260,21:2.300,1]  对浦发公离得比较近
[21:2.300,21:7.020,0]  从华工实际上对全国的是很重要因为重华宫实际上是乾隆的乾
[21:7.190,21:8.760,0]  就是他做太子的时候
[21:8.800,21:19.290,0]  呃不是就是做网址的时候那个呃对对就他就做皇子的时候在在在那在那做过所以后来他把这个地方改成了佛也改成佛堂了OK
[21:19.510,21:22.890,0]  挺有意思的就说乾隆吧他这个
[21:23.360,21:29.480,0]  啊因为还有一个乾隆实际上是很应该说按照中国传统的道德观念他是个大孝子
[21:30.840,21:59.460,0]  他的这个不是有六次这个南浔嘛它放到他她的爷爷跟康熙有六次他全都有六次乾隆六次南巡其中四次都是跟着他的嘛就带着他的吗去这个江南去游玩说好像说他妈也特别喜欢这个就是苏杭一带的风景啊风土人情啊什么的所以你记得就是说呃在北京考这个地方都有这个速度借奶奶接这一说吧超人你应该知道吧
[21:59.720,22:1.310,1]  就一会员啊什么的
[22:1.310,22:11.110,0]  呃呃其最长的苏州街咋颐和园那个你开车应该知道就是在那个就是苏州街就是从这个万寿寺一直到圆明园
[22:11.140,22:15.930,0]  就是那时候就是万寿寺就是为了这个铁龙他妈这个80还是70大寿
[22:16.280,22:35.810,0]  休整的这个自愿了完了后来那就是圆明园就说从贯寿司的圆明园有条路这条路整个就变成一条买卖街说那时候乾隆花了好多人玩了花了好多钱从苏州请了那些人在在街上开那些当铺铺子呀什么的完了卖这种苏州的东西完了又又一或者苏州的这个后来
[22:35.930,22:38.540,0]  就叫就为什么叫苏州街就这么起来
[22:38.720,22:51.920,0]  嗯当然这个除了这以外那个这颐和园后面不也有这个买卖机也是弄得像个小桥流水旁旁边都店铺现不都恢复起来就他去乾隆搞了好多这样的这种移植它实际上是非常
[22:52.820,23:1.510,0]  嗯孝顺吧就是给他吗想提供一个见他妈喜欢这个这个让我想起一个典故你知道那个谁呃汉高祖刘邦
[23:1.750,23:10.100,0]  看各种刘邦不是这个打折天下以后做这次给他长安特派光给建了一个配件是吧
[23:10.220,23:52.610,0]  呃对就是太公太公是苏州那个江苏人吗徐州那边那太工作的这个长安那边就觉得不爽因为觉得人生地不熟的这个不合适完了还太公就是这个刘邦后来就把这个他们家那个在沛县那边左邻右舍全都陈佩贤一股脑的签的长安就住在他老爹边上让他觉得他老爹觉得就跟住在驾校一样哎那为了呃呃呃这个有一哎那为了这个大家就听有就是这个仿古也好这个继续这个这个了解情况我们是把钱隆复制的这些建筑也好啊园林也好啊能看到的不能看到都给他梳理一下
[23:53.250,23:59.630,0]  咱们按类型来爸在那个呃呃园林类的这个古古村老师来谈一下
[24:0.000,24:9.860,0]  我觉得第一我觉得应该讲的就是什么呢我觉得嗯讲讲哪个学校你老家的那个狮子岭但是林那个呃超人应该去过吧
[24:9.950,24:11.090,1]  苏州的吗
[24:11.210,24:12.880,0]  对啊苏州市的你去过吗
[24:12.880,24:16.360,1]  苏州我没去过我去过圆明园狮子林了
[24:16.360,24:28.050,0]  那其实这个狮子林挺逗的他这个有一个很很有意思好像是乾隆是在第二次下江南顶的因为他是先啊他有一副这个逆战画了一副狮子领土
[24:29.270,24:33.740,0]  但是这个师资用途是不是呢站着针剂的大家现在学界有一些这个
[24:34.400,24:52.700,0]  呃争议认为这个可能不一定是一段话但潜龙呢就是喜欢逆战特别特别喜欢完了就是他到了这个苏州的狮子林就狮子林以后他特地叫这个快马从这个北京他们家把那狮子林图给给给给拿过来我要对着这个知名图看
[24:53.230,25:2.810,0]  呃挺逗的完了他把那个试听拿来对着但那时候的苏州的狮子林可能跟现在我们看到视频还不太一样因为那是乾隆时期的完全不一样
[25:2.910,25:21.100,0]  对呀因为我印象里那副狮子林跨那个师资平时就是我没看过逆战吧我看过文征明板子那这个就是一个很有自然野趣的一个很很纯天然的我觉得这个这个一个园林儿那个那些假山只是一个很小的一个点缀
[25:21.320,25:35.590,0]  还有什么礼拜呀什么的呀但是这个呢但是从后面那个就钱钱都造的那俩狮子连一个它在圆明园照了个设定一个在那个承德避暑山庄照是从这两次那一季来看呢实际上假山是起了一个很大的一个作用
[25:36.190,25:42.830,1]  嗯咱们看那个堆叠这个假山这件事就且隆花园里他那个堆叠量真是吓着
[25:42.830,25:45.620,0]  嗯是呀直接DL
[25:45.680,25:55.700,0]  遮天蔽日的吧就是就没这就是个山对那个那你不是那个正好那个超人呢给我们讲讲这圆明园师资一下还剩些啥东西
[25:56.210,26:7.230,1]  人们狮子林基本上一座条然后周围就是假山石但是那个啊就是有感觉这个人类已经消失了然后就又回归自然了我觉得还能忍
[26:8.700,26:13.205,0]  因为是这样因为那个乘客的设置它叫文园狮子林就是说
[26:13.205,26:18.150,0]  铁路上特别喜欢熟人他照了一个承德市鼎还在设置里面取了八斤
[26:18.590,26:21.280,0]  这个挺逗的圆明园这个这个
[26:21.510,26:58.880,0]  其中也是一个太取景的人就是说什么他他登机了以后扩建圆明园还给圆明园弄了40井完了他到避暑山庄避暑山庄他爷爷这个康熙弄了避暑山庄36景完了他发到他爷爷弄36斤他这36景完了他又为了避讳的呀他爷爷那36斤每个景都是四个字儿呃他为了谦让他说这个我每个景都三个字完了也弄36景就是圆明园弄出72景完了颐和园完了各种造香山要造什么就说但是它最终卖的这个两室的他孙子灵在圆明园的狮子里它弄出了16斤了
[26:59.840,27:8.520,0]  反正就是说他特别喜欢吃的零他就喜欢那些假山所以这个超你刚才讲的真的不错不仅是这个钱隆花园里的假山
[27:8.650,27:11.935,0]  包括这个建福宫花园里边有假山吗
[27:11.935,27:14.960,0]  也堆的就是那种还有苏宁宫花园呐
[27:16.770,27:30.135,0]  呃这个所以说我觉得就从这个刚才那个旗下讲了就是说从这个收藏的就原来就两个狮子陵是乾隆非常注重心血的而且跟他的这个书画的收藏有关系
[27:30.135,27:37.740,1]  他这个喜欢假山石吧可能还有一部分原因跟那个金代掳走这个汴梁的更乐有关系
[27:38.810,27:39.845,1]  嗯就是
[27:39.845,27:42.080,1]  这个反正我看到他
[27:42.240,27:51.020,1]  这个下江南的过程中比如说北京的几块石头是你就是比如说那个起云什么的这一块
[27:51.270,27:53.240,1]  北海不如海南
[27:53.520,27:57.690,1]  呃芙蓉中山公园原来那块芙蓉现在在园博园
[27:57.690,28:2.060,0]  那圆明园颐和园里预测原理有开始在那个什么在什么玉兰堂前面那
[28:2.060,28:3.200,1]  对都是
[28:3.480,28:10.780,1]  都是他下江南的时候然后听说这个是那个宋代留下来的就是金人掳走或者是没路走的
[28:10.890,28:12.200,1]  然后他就
[28:12.350,28:14.640,1]  呃表示很喜欢然后
[28:14.750,28:20.000,1]  那当地官员就连夜就启程的把这些石头都给运费进来了
[28:20.000,28:24.020,0]  反正他那时候是喜欢很多东西江南东西他他都喜欢
[28:24.130,28:30.640,0]  他这个到了海宁去看见那个什么海宁那有个什么园林太君很喜欢他就在好像是在
[28:30.710,28:32.110,0]  在承德好像造了一个
[28:32.400,28:39.230,0]  完了但这个现在遗存下来的呀就说刚才讲到的就是那个因为这两个狮子林实际上都
[28:41.780,28:46.430,0]  承德那设置零现在有有局部恢复但是也不能看人的圣
[28:46.910,28:56.790,0]  那个圆明园视频自然更是这个残破了那么其实就是说要看那个假山或者看乾隆时候堆砌的假山那刚才那个超人讲的就是现在这个
[28:57.560,29:3.000,0]  潜潜龙花园就是这个应该叫大名应该叫宁叫宁寿宫花园吧
[29:3.150,29:8.600,1]  宁寿宫花园咱们走进就是故宫现在的真保管嘛然后走进那个
[29:8.890,29:16.470,1]  这个您说过花园的第二季第二季他现在有一个这个卖铜器的这个就是炉子
[29:16.760,29:28.260,1]  然后你进这个屋子错过他们玻璃能看见他第三季那个特别可怕的堆叠的那个两扇遮天蔽日然后一点采光都没有对的
[29:29.360,29:37.610,1]  就是故宫完全开放不了这个愿因为他这么对别的方式因为游客很危险然后晚上又容易藏人然后
[29:37.610,29:49.050,0]  呵呵就没法开不过这个讲的这个其实这个咱们也可以卖个关子啊关于这个潜龙花园可能我们会有一个以后咱们找机会可以再再再再再再
[29:49.400,29:54.630,0]  详细说这个潜龙花园的这个故事啊因为挺多的那个但是就是说
[29:54.890,30:0.210,0]  但是有一点特别有意思这个跳转页纸就潜龙花园在西边他在东边
[30:0.510,30:11.270,0]  西边就是在重化工后面不是有一个就是那个建福宫花园对吧进入工业大厦这几年重建的这两个花园基本上是呃像双胞胎一样
[30:11.540,30:13.810,1]  对完全对那个结构是一样
[30:14.540,30:19.510,1]  就是那个假山上面有一个亭子然后里面假山室内迷宫
[30:19.520,30:35.260,0]  对完了那个有一个大的一个方形的一个隔在中间对吧完了完了后面有一个屋子还旁边什么样就是这俩东西而且很有意思一个呢是乾隆当这个建福宫花园是乾隆机位不久好像是为了就是
[30:35.440,30:43.490,0]  呃守灵啊什么就是说他这反正是时间是前卫乾隆继位不久他年轻时候设计的一个园林那么
[30:43.920,30:56.750,0]  潜龙花园就曾经花园呃呃呃不是紫荆花就是零售工程园林花园是乾隆为了退休造了一个东西但这俩东西就一老一小它它的这个
[30:56.790,30:59.730,0]  他的这个气味是完全一样的是没有怎么变过的
[30:59.960,31:18.430,0]  这个就是说明乾隆过了60年他这个品味啊气味啊审美啊基本上保持一致呵呵哎那我们讲了园林代表队吧狮子里那我觉得还有一个我们其实可以提提乾隆不是特爱这个宁波的天一阁吗一下子复制了七套对不对
[31:19.080,31:30.770,0]  对呀对呀而且乾隆这个天一阁你想哇七到天一阁这个还有点我呃稍微晚一点但那个像文渊阁他那个是这个
[31:30.910,31:37.420,0]  超人应该应该比较更清楚一点文渊阁因为这个文渊阁在故宫里面早就有了对吧
