[0:0.155,0:5.200,0]  欢迎收听地下关今天势必下关的第22期大家好我是酒店
[9:43.170,9:53.840,0]  为什么呢写错嘞嗯那是非常新的博物馆嘛他们很那个你的收入他但是他今天写把那个照相给他照相
[9:54.230,9:57.030,0]  就是如果你要做这个地址去导航的话
[9:57.950,10:1.270,0]  呃中国馆其实很重要因为他和那个
[10:1.500,10:3.000,0]  呃2000
[10:4.160,10:5.390,0]  2012年
[10:6.940,10:8.040,0]  邺城遗址
[10:8.720,10:12.530,0]  发现的一个很重要的佛像较长
[10:16.050,10:20.000,0]  在运城的北吴庄出土的大概2000多件吧
[10:20.800,10:24.390,1]  那个其实他是大概近3000件
[10:26.690,10:32.080,0]  可能是近年这个最重要的一个佛佛造像窖藏的发现吧应该
[10:33.710,10:36.690,0]  是1996年青州龙兴寺的这个小堂
[10:37.270,10:40.130,1]  是不是就是咱们北齐那次讲的那个
[10:44.570,10:48.200,0]  对那个没有太多这这还是一个一个招行坑了
[10:49.170,10:51.350,0]  可能会有一个佛寺遗址然后这个
[10:51.450,10:54.320,0]  当您在灭法的时候毁掉了一些佛像就
[10:54.320,10:57.900,1]  那也是在那个那个塔机附近发现的
[10:59.730,11:4.500,0]  北吴庄这次我们其实去了我们不是跑到一看一个那个汉百
[11:4.560,11:8.800,0]  还是喂吧在那个味摆的南唐
[11:9.510,11:16.470,0]  啊不对啊那我们确实是我们去的是那个卡机我们试图去找的是那个卡机的那个村庄但是北庄不在
[11:16.470,11:21.650,1]  在你那个那个这个塔机现在基本都回填了看不见什么了吧
[11:22.660,11:24.230,0]  没带什么也没看到
[11:24.230,11:27.460,1]  我们我们没看我们就没去到那个位置
[11:27.710,11:30.460,1]  但是就感受了一下那附近的
[11:30.880,11:35.630,1]  氛围因为据我所知好像是发现了好像不止一个塔机现在好
[11:36.200,11:41.860,0]  两个两个还有一个在就是好像和李学老师说是在核桃园
[11:41.860,11:44.890,1]  核桃园对一个在核桃园一个在赵鹏程对
[11:45.080,11:50.040,1]  赵鹏程那不是最大对照城内招生那比较大的比那个核桃园好像大
[11:50.140,11:52.810,1]  哎我我更新一个刚才的那个
[11:53.180,12:0.670,1]  呃百度已经改了现在能查到了Leon照相哦估计肯定有人更新了这个
[12:0.670,12:4.460,0]  哦那那很快那就是可能两周之前还是还不是这样
[12:6.490,12:7.575,0]  呃
[12:7.575,12:17.980,0]  那还说回到这个北湖庄这个索道站啊就是这个佛像教堂那他代理第二年出土之后他就呃陆续修复然后展出在
[12:18.060,12:20.030,0]  邺城博物馆展出了一部分
[12:20.270,12:29.780,0]  这个可能提前明天我们去看了一次然后去年的他这个就把更多的一些辅导像放在临漳县的这个新的博物馆
[12:34.450,12:36.870,0]  所以想也想跟大家分享
[12:38.140,12:42.100,1]  哎呀所以很羡慕你们啊我这个没有赶上
[12:42.180,12:50.200,1]  你太不积极太不靠谱主要这个大家凑一样的时间就不容易我一个异教人士都这么热去看了
[12:51.810,12:56.400,0]  那个不过但是我说你去过聂成布艺生活馆去
[12:57.240,13:14.780,1]  对他其实这部分东西在别的地方小规模的见到过比方说邺城博物馆啊还有这个在那个河北省博也有几届都是当然也挑了一些一些比较精华的一些部分呃在这个但是我想数量跟什么都可能比不上这个临漳这个现在这个博物馆
[13:14.890,13:18.270,0]  对河北省博其实可能只有两三件吧
[13:18.270,13:21.500,1]  呃好像我数的时候好像有
[13:21.770,13:23.200,1]  这五件还是机器
[13:24.500,13:27.160,1]  啊最有名的就是那个小的那个佛头嗯
[13:27.160,13:36.170,0]  对那个这挺有意思的一个事儿是这样的就是说他在河北省博他有一个专门的曲阳雕刻展厅恒大里面
[13:39.370,13:40.515,0]  河北历年
[13:40.515,13:45.010,0]  各地出土的比较精美帝北朝的随堂的那些护照相
[13:47.160,13:52.600,0]  他关于曲阳雕刻知名啊这个很有意思因为这可能跟我们讨论的话题有点关系因为
[13:52.700,13:56.905,0]  在这个北湖庄出土这批东西学界后来嗯
[13:56.905,13:59.220,0]  慢慢的会有一种意见认为他其实
[13:59.360,14:2.680,0]  不能把它概括为那个曲阳的
[14:4.830,14:14.880,0]  他现在试图想说有一种叫叶城风格呃而且适合学员风格相区别因为中间还是有一些一些不一样的东西
[14:14.880,14:15.830,1]  我想可能
[14:17.030,14:19.820,1]  一个和一个学术性的一个话题
[14:19.920,14:22.380,1]  因为其实从这个
[14:22.950,14:48.750,1]  50年代发现那批窖藏吧这比较长实际上大家也说法其实学界也不一样有的人说这叫修德寺窖藏有的叫曲阳什么呃窖藏这个就是因为其实这里面也有些因为你们我知道你们后来也去了修德寺那个原址啊什么去看了那个当时出土的那个现场吧呃其实这里面要就说
[14:48.750,14:49.850,0]  An
[14:49.850,15:36.060,1]  我觉得要要梳理一下的其实是不能叫修德寺窖藏应该叫曲阳叫曹或者是因为他那个修德寺这个名称是在这个宋代以后才开始有的送在以前那个地方它是叫横越横越字所以这个叫修德寺肯定是不太准确的那么还有呢我觉得更多的曲阳照相可能还是从他的这个产地跟他那个做工的这个就是说大量的食材是来自于曲阳附近的那个山里面对吧这个白石所以即使他在这个叶城那看见了好多食材如果是白石的话可能也应该是从曲阳那个地方来包括咱们见过以后在这个天门的这个人民纪念碑也好啊毛俊堂前面的那个雕塑也好啊那好像也都是来自曲阳的这个这个是
[15:36.060,15:42.820,0]  包括故宫里的大量的这个汉白玉的一些雕刻师干干啊之类的
[15:43.060,15:43.980,0]  吃手啊
[15:43.980,15:56.650,1]  对所以你要从那个角度来讲它只是一个材料的原地但你说你说故宫的石栏杆它那种跟曲阳我们所讲的曲阳风格那是那是完全不是一回事他只是只是这个这个这些东西来自于曲阳
[15:59.160,16:4.860,0]  哎不所以我说你的意思就是说其实呃可能谈论曲阳风格是一个不太成立的
[16:4.970,16:45.660,1]  呃对因为其实学术界是这样那个李静洁他们呢曾经提出过一个概念就是说就是以曲阳为中心他叫因为曲阳原来属于定州吗他这儿有个定州风格或者定州模式那他这个定义定州挺远的他定义定州东到了这个山东的这个博兴西到了这个山西的这个就是山西的五台山还在过去那地方难道他就划到乐业城北那滑倒了一见就划了很大的一个范围说这个呢就是定州模式得到一那个一啊就是河北易县不是不是那个山西那边不是那个辽宁义县
[16:46.350,16:50.580,1]  所以他还了这么一个大的一个范围就说嗯
[16:50.580,16:55.630,0]  所以他说的定州模式定州风格其实是涵盖了我们现在看到的这些夜场的
[16:55.630,17:1.660,1]  哎对对对对对是这样原来因为它这个定州风格主要是跟那个青州风格
[17:1.930,17:9.900,1]  来比较的因为这里面青州跟定州还是有很大出入的材质啊什么都有不一样包括历史的渊源也不太一样
[17:10.110,17:19.760,1]  还有什么两种模式还有就是量比较两种模式还有就是南朝的那个模式比方说南朝的那种程度万佛寺那边的一批风格
[17:20.470,17:28.260,1]  对吧他这个对我觉得这是我我也同意这个是合理的我觉得再分一个叶城和曲阳分不开的
[17:28.970,17:34.430,0]  呃你刚才说一两种模式就是另外一回事an
[17:35.730,17:43.100,0]  他其实可能相对的是青州模式会比较成熟一点的风格和这个河北的这些照相
[17:43.100,17:55.250,1]  但是呢但是呢这个就是呃和利群他提出这个叶城模式呢也有他的道理因为呃考虑到叶城当时是这个政治经济的中心
[17:55.420,17:58.020,1]  那么提出一种就说
[17:58.550,18:18.560,1]  一生模式呢也是可以可以得到一定的钱就跟就跟现在咱们北京北京行呃流行什么东西肯定会辐射到周边的地区而不是说周边一个什么地区流行里头会辐射到北京我想这也是一个可以成立的地方另外抬举的几点就是说主要是北齐时期这个佛教上有一些大的一些
[18:18.870,18:30.560,1]  呃变革吧比方说他那个就是有一个这个页面你可能比我还了解他那个就是有个叫法上的什么进行了一个那个曾志的改革
[18:31.310,19:22.590,1]  就是那时候就是好像我觉再传入中国以后因为要汉化就跟咱们刚才讲的佛教学校也有一个汉化的过程就跟这个外如内衣或者外如那呃她就迈入内饰等于在这个汉化的过程中就说使得出家人在某种程度上他的这个跟在家人或者跟凡夫子它分布分别不开来了那么到了北齐的时候由于上层这个社会推动一种胡话影响到了佛教所以法上的也提出就是说在家人跟出家人一定要分开在家人穿的衣服出家人不能让这种衣服来穿所以这个也影响了这个当时这个造像的这个风格比方说北魏晚期啊什么他都那些造像好多都是这个秀清巷啊包衣博带啊到了后来这个到了北齐的时候或者东喂他就开始
[19:22.730,19:26.640,1]  不一样了不不参与那种风格了就是为了想以示区别吧
[19:26.930,19:44.210,0]  不但我觉得不错你还是进入的稍微快一点其实可能是不是应该跟轻重嗯简单说一下这个比如说刚提到定州那定州的曲阳的这个关系然后以及呃修罗字不管教师的教堂还是红月亮较长还是曲阳调查那他这个大概的一个
[19:45.480,19:52.720,1]  好的那那个这个简单的梳理一下其实这个历史有很多的这个偶然性啊咱们讲的故事
[19:53.080,19:55.400,1]  在这个1953年
[19:55.620,20:3.790,1]  大概就是秋天了当时的这个农民秋收了以后就被这当地北京就座位地区来都知道QQ了以后要准备挖地窖
[20:4.010,20:12.190,1]  那么1953年十月底的时候呢当地就是在修德寺附近的农民那农民的名字都有记录的教堂温狗
[20:12.390,20:16.870,1]  这个人呢挖地窖白水叫发白手机号就一下挖出了这
[20:17.680,20:23.220,1]  一些这个佛教的佛头窖藏完了他当时就报告了这个当地的这个
[20:24.390,20:27.900,1]  能反馈完了后来寝室河北省的这个文化文物局
[20:28.290,20:32.390,1]  河北省服务局要去请示中央文化部的这个当时的这个
[20:33.810,20:42.240,1]  那么当时就派了专家到当地去看进行一些初初步的挖掘后来呢马上就地动了就是因为十月底那比较寒冷
[20:42.300,20:53.090,1]  那么后来就进行了回填到了第二年开春三月份的时候由这个故宫博物院故宫博物院有一个叫证明中的一个一个老先生还有就是北京历史博物馆的叫李溪
[20:54.740,20:59.340,1]  走着一个一个就是一个炒股的人单子那么进入到了这个
[21:0.940,21:4.320,1]  那么进行了大概为期一个月左右的一个发觉
[21:4.500,21:7.730,1]  这个发觉呢实际上他这个发觉
[21:8.050,21:12.560,1]  就是在集中在一个打一个坑这个坑呢大概是
[21:12.750,21:14.390,1]  离地面大概有
[21:15.720,21:19.110,1]  那么坑大小大概在两米五到两米六一个方的一个
[21:19.370,21:23.230,1]  这个坑里面一共出土的呢有2200多件的这个
[21:24.490,21:25.960,1]  就是照相各种
[21:26.570,21:29.290,1]  这个照相还很有意思他还有一个
[21:29.470,21:36.350,1]  特点就是说所有的大的残块都在底下小财会都在上面一看就是人为的把它落起来
[21:36.820,21:38.520,1]  呃主要突出了这么一个
[21:38.520,21:39.330,0]  鑫鑫排列
[21:39.330,21:41.570,1]  基金排列的但基本上都是受损
[21:43.520,21:48.870,1]  一年就说他两百两千多件里面有大概1200/10多件是有
[21:48.960,21:54.890,1]  明确的法院能跟禁言的那么统计了一下呢他的时间呢大概从这个东喂
[22:0.160,22:2.220,1]  延续的时间大概是有这个
[22:4.140,22:6.080,1]  就这样一段的时间段
[22:6.190,22:14.140,1]  那么这个大家提供了一个非常就是清晰的一个界定那么当时还很有意思我读了他们的这个当时的一个
[22:14.870,22:23.050,1]  粗略的靠谱报告因为很遗憾这个曲阳修就修也他们在修德寺就窖藏啊一直没有出完整的考古
[22:25.680,22:39.000,1]  嗯那么他在这个捡到上就捡到了就说他不知道是怎么挖的就说这个地层怎么分析的对吧他们这个地层是在当时他们申请的在五代的这个寺庙遗址的底下
[22:39.460,22:42.210,1]  很明确就是说他们这批东西是第五代还要走
[22:42.910,22:45.180,1]  那么还有一个很有意思的现象就是说
[22:45.290,22:59.570,1]  呃同时他们挖了两个窖藏另外一个教堂里面呢就坑里面的基本就没剩什么太多东西一看就被人后来起出来过那么也从另外一个角度证明就是说两个窖藏相隔不到十米有一个就完全被人所
[23:0.790,23:5.220,1]  呃这里面也有一些救救我觉得有历史的这个呃应该说是
[23:5.770,23:24.040,1]  碰到了战乱或者碰到什么因为呃很多在分析这个窖藏的原因为什么会出现当然有的人很自然想到三五灭法中的最后一五对吧最后一五唐武宗对最后一五的糖果桌面法仓库中面法据他那个就是铭文里面的开元九年的这个
[23:25.080,23:25.870,1]  奇迹啊
[23:25.870,23:26.450,0]  挺久的
[23:26.450,23:35.270,1]  哎还是差差不多100年的历史所以觉得这个好像也不太说得过去那么有的人认为呢可能因为大家知道这个嗯
[23:35.370,23:37.810,1]  呃我我说这不是开元就是那个
[23:38.340,23:39.350,1]  呃开宝
[23:39.650,23:41.920,1]  那个唐玄宗的那个年代拍照
[23:43.230,23:47.090,1]  开宝那大家想到开宝后面就是什么呢就是30万了
[23:47.640,23:50.630,1]  那么有可能一个按时住院这个定州
[23:50.710,23:53.300,1]  这个就是曲阳是属于定州吗
[23:53.520,23:58.500,1]  定州这个地方是属于这个重灾区对吧很有可能就是在那个时候
[23:58.810,24:2.040,1]  他们受到了这个战乱的影响所以
[24:2.150,24:6.360,1]  怎么样就是这是两种不同的一种一种观点那有的认为呢不一定
[24:6.360,24:11.540,0]  有有可能不是灭法有可能不是因为面饭才损毁而是因为战乱
[24:12.040,24:21.180,1]  但也有人阿哥这个问题就认为这个还是因为民法可能这100年没有新的造像出土只是因为那100年大家已经没有心思去照相了就是
[24:21.600,24:33.650,1]  是照相已经停止了但是把这个佛像埋地地址还是逻辑是逻辑上战乱毁他有什么意义这个跟战争没什么关系又不是铜佛像较早东
[24:33.650,24:36.135,0]  我在另外一个角度来说越是战乱其实
[24:36.135,24:41.545,0]  就是做这种祈福的照相照相看是越多的往往是因为
[24:41.545,24:44.420,0]  教育有很多人死掉了所以才会去做的
[24:44.420,24:50.500,1]  对对对那这个这个这个一般是战乱结束这前提是这个庙站之后能够幸存下来
[24:51.290,24:57.710,1]  呃反正这个就当这个因为这个有个有道理啊咱们不一定会去这个深究这个
[24:59.070,25:8.730,1]  但就是我把这个一些现象跟大家讲一下另外呢就是说还要普及一个现象在里面的就是说刚才讲到的定州
[25:8.780,25:35.380,1]  定州啊定州跟那个青州的问题啊就是说呃因为定州在古代在河北地区是一个大的就是大本行政区域的概念不是现在这个定州或者定线的这个概念对吧那么这里面有一个历史概念就挺有意思就是说在北朝的时候定州呢到一直是属于这个因为你们也去看了那个你的意思意思惠石柱啊订新的那意思为什么他就完全是在北朝的这个很重要的一个
[25:35.770,25:45.690,1]  嗯范围之内对吧那么轻松的差价相反青州到了北朝的晚期才由这个南朝的控制变成了由这个
[25:46.000,26:8.720,1]  北朝来控制所以呢青州呢是一直受到了南朝的影响多于这个它毗邻的这个定州地区或者这个河北山东这些地区的所以这里面有一个这样的一个区别所以使得后后来的学者在划分这个造像风格的时候就说写了一个青州模式或者曲阳或者叫定州模式
[26:8.930,26:18.400,1]  呃还有一个南方的或者南方因为主要还是一万四这个成都万佛寺为代表所以这三者之间的一个互相关联互相影响的
[26:19.500,26:31.070,0]  我我听到了另外一种意见其实说因为那个他是当年是一个海海丝或者什么海上路线的这么一个一个企业或者和交流
[26:31.800,26:41.890,0]  但是他他为什么会是一个重要的造像中心呢其实是因为那个时候忻州地区本身就很重要他的地理位置很重要作为一个对外联络的一个
[26:41.890,26:42.670,1]  呃
[26:42.670,26:47.090,0]  同时那个高士其实当年是起家与这个钦州地区
[26:47.630,26:52.250,0]  就在东北的时候他一开始是坐忻州地区的一个一个地方的那个
[26:53.290,27:3.330,1]  这个呢有点就是有点不同的看法但是我不知道因为青州的那个高攀是不是从青州起价这我没有那个研究但是呢就是好多这个
[27:3.580,27:19.500,1]  照相派的就学者呢就说比方说鲤鱼全羊博大他们认为呢就说这个大致他们因为那时候海上的ems可能还不是很多他们主要都认为还是通过陆地的思路完了从南方来影响到了
[27:20.050,27:34.860,1]  就说好像他们觉得万佛寺的好多东西是早所以完了后来在青州什么这些发现万佛寺的这些东西的影响所以他们认为万佛寺从这个南朝过来的影响是影响到北朝的造像这是他们好多都关了好多人的这个
[27:36.400,27:45.700,0]  嗯一种了因为上次跟我们聊过这块所以说我觉得那个忻州的很非常典型的的多的这个在整个汉族地区其实都
[27:45.850,27:48.890,0]  没有见过这么强的这种直播风格的
[27:49.850,27:56.590,0]  还是有有海就是他有一直接的影响我觉得这是另外一块观点路这肯定是有两种生
[27:57.510,28:2.910,1]  学着可能真是那个嗯没有意识到古代这海上呢多
[28:2.910,28:18.770,0]  因为当时忻州确实是非常重要的那个上路地点因为这个保险就是去整个去那个蓝牙去学雪纺那个手法后来就是从青州上班的工作
[28:19.490,28:39.560,1]  呃但是这个呢咱们讲清楚了再讲回到这个曲阳或者咱们讲话定州这个造像就说有有有些人认为也是有一些特点的比较李群认为就是呃定州或者曲阳的这批东西他有很多东西嗯是很有意思跟亲哥没有的比方说这个双风罩双生造像
[28:40.680,28:46.280,1]  比方两个思维补这两个观音这样的这个它这种东西的影响就肯定是来自于南朝的
[28:46.500,28:49.725,1]  因为那个在外国字有这样的东西
[28:49.725,28:51.940,1]  那么青州相对来说这样的东西就没有
[28:52.180,28:57.950,1]  那么还有呢就想比方像那个思维不是出现因为在曲阳的这个思维不是很多
[29:0.690,29:16.950,1]  所以这个呢就这当这里群认为的那么向阳博达认为就说这个反应了一种完全不同的一种风格跟这个北朝比方说云港啊龙门啊这些延续的一些风格来讲就是到了曲阳到了这个定州这一块儿
[29:17.250,29:21.650,1]  产生了很多新的风格比如像这个咱们看到这个龙树是被评
[29:22.590,29:29.860,1]  就是菩提树高高透雕的这种被屏这种形式呃在别的地方比方说在这个
[29:30.630,29:32.200,1]  曲阳二在内青州
[29:34.030,29:38.510,1]  他呃而且这个东西南方万佛寺那边也还没有
[29:40.260,29:41.530,1]  跟印度的很像
[29:41.530,29:50.130,0]  他其实我正想说这一点就是我觉得不管是双生呃还是思维还是龙宿其实反映的是一个呃信仰的模式
[29:50.400,29:53.265,0]  就是因为在这个时期这个地区
[29:53.265,29:55.730,0]  呃流行比如说观音
[29:55.830,29:58.000,0]  呃崇拜或者说那个
[30:0.170,30:1.860,0]  呃行迷了
[30:2.040,30:21.310,0]  对因为龙树其实是迷了吗就是还有那个呃还有那个作业复杂有可能是太子的有可能是那个SF反映的是一个信仰的流行就在这个地区因为因为战乱因为因为大量的这种小型的白石啊被屏的那种我看必须是为了就是
[30:22.980,30:28.020,0]  操作王玲吗就超出他的家家属中就是因为战乱死亡的那些那些亲属
[30:29.370,30:35.450,0]  所以大多数都是这种祈福的就不就烂的这种哎期待来世的这种信仰
[30:36.520,30:43.540,0]  我觉得这个完全反映的是一种信仰模式而不是什么这个这个南朝的风格我觉得非常没有舒服
[30:43.870,30:48.170,1]  嗯我我想问一个这个小白话题
[30:48.880,30:51.220,1]  从这个就是
[30:51.230,30:53.720,1]  整个定州曲阳这些
[30:53.870,30:59.860,1]  照相能看出来他们是什么教派嘛比如说密宗或者是什么啊密宗那是海
[30:59.860,31:12.440,0]  嗯这个可呃能看出一部分但是但当时的当时北方的这个有一些但是当时北方的这个信仰其实相对清楚的就是从那个佛教的一些文件
[31:13.880,31:16.260,0]  最主要还是早期给大乘佛教
[31:17.750,31:29.480,0]  那时候像比如说那个那些后来的那些呃汉汉传那些流派都还没出现就是还是就是从从印度传过来的一些导致大成巷
[31:29.500,31:34.490,0]  禅宗的时候肯定是没有像什么那个什么那些什么法相啊维持
