[0:0.240,0:5.480,0]  欢迎收听碧霞关，今天势必下关的第八其大家好，我是不存。
[3:3.290,3:5.480,0]  在这边就是北门。
[3:7.610,3:15.210,0]  这南北在哪买这南北，哎，周周围有很多的这个卡的这个等于是其实废墟就剩个座。
[3:16.300,4:16.300,0]  但是这些卡的形式一般都是比较方，做有一晚的可能都是要50G60G以后的定金就当期大牌，当然我们很兴奋啊，因为因为他这个是在等于是公元一世纪的相当于是提供元钱，潜意识记忆相当于我们的西汉时期就想到那个时期这个佛教还没有成中国，如果按照这个汉明帝传入佛教，还是东汉了，这个北门北门外面有两个有点儿这个受到这个他的这个就是支撑北门的那个两个门住就住是还是非常有意思的，慢慢还外面还有些这个老这个有点像希腊那种神庙样子你看，所以你刚刚那说的走线是有有点问题的，因为它您是在每个门外啊，都有一个他不对啊，那个不一样，所有建筑这个不对称那你看这个很清楚他这只是我们的一个在格雷品，因为你看咱们刚才从那个北门进来，这南门北门进的是没有的啊，这个西门漫步很。
[4:16.301,4:22.380,0]  清楚性爱也有一个建筑啊，对啊，就我就说东西走线了，而且它它整个都是那个。
[4:34.610,4:42.290,0]  是这样就是我们而且他，他这这几个高台你看以前不是刚才那层楼上那边更高。
[4:44.010,4:57.190,0]  对啊，那你这你这样没有他每个宿舍门的这个注释都是有都是不一样的师资，这是那个那个柱头湿湿的，这个是四个历史，历史对。
[4:59.200,5:51.130,0]  啊，去上都是首站故事副本副本身故是呃，有，有一些本身有一些佛转还看到了一些就讲这个佛系的一些故事，就是当当然这个讲一下就是呃，还有一点我觉得也很累的，基本上我们现在往外展望周围的环境啊，我就跟佛陀时代没有太大的差别，所以说我也都对都很自然，而且都是看得到你们陷入没有什么建筑，没有什么人累的呃，这个构筑的痕迹，而现在正好是印度现在正好是这个小麦快成熟的时候，田野是金黄的对，而且天很热，大概我估计有30度左右，是这样的一个情况，那么我们转了一圈，他又回到了北门，那么我们先对桑琪的这个先暂时告一段落，因为你看北门这儿过去你看外面什么都没有对。
[5:54.050,6:54.050,0]  那个我们现在站在这个西边的这个牌子底下排了，嗯，大门西门的这个入口这个看到是什么呢，呃，我觉得就是这个西门的，这是朝哪儿，这朝南大潮男这个南侧的这个柱子的人数本身故事还比较有意思，嗯，看一下这个长相的数据更难难的那个主南边对，然后它分成了1234格，我们要说的是这个最上面的第一个然后它是一个猴王本身嘛，因为印度有古代印度有非常强的一个，这个叙事传统，他以这个画面来表现这个故事啊，这个水平相当高，应该说比同时期的我们这个汉代的这个呃，我看你先拍了这方面往里边对啊因为但是有网上很多资料了你看。
[6:54.051,7:23.460,0]  没有他是讲的资料，这个鱼一步就是最有名的就是那个有一本桑琪的书打那本书比较珍贵的可能不一定买得到，但有的这个那个电子版可能网上有对啊，然后我们来看这幅本身故事啊，他是在一个画面里头集合了时空的变化，然后空间在流动事儿时间在流动空间的也在转换都表现的一个画面词这个呃古村你看一下这个。
[7:24.030,7:25.190,0]  方便左下角。
[7:25.500,8:25.500,0]  就是有一批这个行进中的人物有一个哪个键拿着弓箭有一个网址骑着马正在从左侧面的左侧向右侧移动对不对，另外的话呢，你看到没有他用一条河流看了没有生成把这个画面分成左右两部分，为什么河流你看我们在这里头有水波纹吧，有各种各样的水生动物于对吧，右侧好像是一个最上表现了必须是个猴子右上角，你看右上角表现的是一个森林吧，原始状态非常自然各种各样的动物呀，在那儿的会自由的生活，那这个故事什么呢，就住一个网址，带着他的这个这个水水浒呢，到分开打猎，所以这我们就看到有一个人在大公社见嗯，这个网址，一开始还骑在这个马上然后，他在右侧就变成同样一个人，但也表现的一个大工射箭的这么一个一个场景，那这个本身不是说的是什么呢，就是因为他们来打猎嘛，然后这些猴叫逃到一个安全的地方，然后在最顶上不是看有一个大。
[8:25.501,9:6.600,0]  猴子嗯，好像在横跨过一个河流对不对，这就是和王也就是这个是加的一个前身他跨过了他以自己的身躯搭了一座桥，可以让其他的猴子从他的身上跨城，这个才能排队，他到那边去，然后呢，这里头就有一个很坏的猴子，后来怎么样把这猴王的这个及梁柱给他夹断了，嗯，这是这么一个故事，然后在画面的左下角是这个本身故事结束就表现的这个王子和这个和王再做下坐在这个树下，这个盼盼可能这个短信公司就以这结束，嗯对我们再去看看这个这是北门对吧，西门我们就看北门的另外一个非常有名的衣服这个活转故事。
[9:8.490,9:33.150,0]  那个我们一边走啊，一边加上这个现在虽然是已经时间是五点多了快近黄昏了，因为这个地方伤心的地方，今天虽然是二月份在也非常热，呃，这个到黄昏的时刻，这个人反而挺多的来，另外，这个这个地方这个也有很多的这个鸟生松鼠生态环境挺不错，你要与花香可以听得见这个鸟声。
[9:35.210,9:49.070,0]  嗯，这是这是哪个龙这是这这是北门，这是北门对吧，还还不是这个周三必须到那个北门这个事项，我们看的是一个场面很大的。
[9:53.890,10:52.790,0]  哎，那他这个这些为这个围栏也是老婆对，因为你看为什么这个我们知道商品的这个年代是准确无疑的呢，就因为围栏上有很多的体系，这有一个大段的我看这个上百字的一个听好多那个地上也把那个朝南那个哎，他那个白的框框出来，都是体制，对呀，这是什么门啊，是东门啊，地铁那些都是三分体系，哈苏拿那个去拿那个规定慌不知道什么文，反正一个白匡匡起来，对是很多很多，而且他都在这个背面看着像那边也有那边是报什么文在第一层理财比较有对吧，还有地下地面灭，还有面就订越南那个白白颜色的东西画出来了，就是是你说的是横梁上横梁上啊。
[10:53.590,11:6.880,0]  现在这个现在场景，哎呀好这个黄昏的夕阳，这个打在这个桑奇大塔上，这一一层金色特别的这个气就是黄昏特有的这种宁静。
[11:12.200,12:12.200,0]  在南门东门在东门出差东门的这个衡量的第二层衡量是我们看到一个非常有名的一个本身故事就讲的是释迦太子这个宜城出家这么一个这么一个故事，他很长啊，这个因为这衡量比较长嘛，他也是一个那么大的空间，这个艺术家有足够的空间进行创作，但是它还是把这么一个复杂的本身故事把它表现在这么一根就是一个这个构图里头画面里面我们看到左边是一个表现的这个城池吧，一个非常富丽堂皇的一个供电对不对，然后我们可以看到，然后有一批码，我们可以从左往右数及密码，你看2344对啊，都是往这个方向的次对不对，然后这上面马上是没有人的只有一个伞盖代表的就服务代表，因为石家庄市包头市没有形象是家人没有形象。
[12:12.201,12:36.270,0]  对不对，不表现形象，所以就表示这个态度玉成出家这么一个特别有意思是在这个画面的这个最右侧我们看到什么，还有一个伞盖伞盖下面什么那个看见没有，就是那个两个盒子脚印，对有一个脚印就说明这个佛的脚印，脚印前面有一个人在下跪是在上浮是他态度。
[12:37.440,12:50.170,0]  然后看到没有这个码，最后又回点是马六回程了，就是说太子离去，而这个马跃回程了这么表现这么一个联系性的一个叙事故事在同一个画面里把他这个表现出来了，所以也是比较有特色。
[12:51.370,13:31.160,0]  这个另外就是从现场看跟图片上有一个不一样的一个感觉就是，其实他这个东西虽然经历2000多年的这个风吹日日语上虞打的这个相对来说表层的这个状况还是还是相当不错的，其实还是很完整就是风化跟这个辅食都不是很多，这个也是就是反正我觉得有点儿因为在这个我们这个商祺这个寺院遗址上其他东西都已经很多都成为废墟了，所以就这个四个这个塔门的这个这个保存相当的好，尤其是这个北边北边他们东西南边稍微差一点。
[13:32.740,14:11.210,0]  这个那个学校，这个卡呢，是不是一直都是在这有没有扶正过或者是以前倒掉了这个记载的，至少从1912年的旧照片，看这他们就是处理在这儿，嗯对不对，嗯，是1912年，这还是英国人当时这个来做的，很多的这个考古发掘，所以我们补充一下这个山下有一个有一个印度的这个考考文物考古局的一个博物馆里面展出了一些这个这遗址出土的各个时期的一些一些文物吧，有些与网速啊，还有就是各种各样的这个展览，如果大家有机会来的话也不要忽略去这个博物馆看一看。
[14:12.770,14:38.010,0]  那个我们现在从卡其实呃从塔的西东边这个这样的一个地理环境啊，这个商祺这个塔重置以上奇大塔一号塔为中心的话，他这个南北东低西高基本上走西应该是东西方向的轴线，从东往西向我们走的西边是一个高台上面还有这个以前的这个佛寺的这个遗址。
[14:39.360,14:55.820,0]  这个最西边的这个佛寺呢，他这个遗址的这个年代比较晚了，已经到了70级以后甚至更晚更晚的时间，那个他就融合了有许多的这个应用讲的一些。
[14:58.710,15:2.340,0]  下面是我们在阿旃陀的一些录音片段。
[15:3.470,16:3.470,0]  那个今天我们是按他粘图的石窟的第一号普，这是一个方形的一个金属库什，但它里面四周墙上有这个最有名的按人头的那个计划呃人很多，这个空间比想象的大多了，是一个方形的一个空间，四边每边各有六根柱子，那么前后十前后数对对遣使遣使四周的有围围绕着还有一圈就是这个森人们修行的一个小的一个一个一个小的空间，每人都一个独立的空间当中这个大的空间呢，可能是三人用来这个呃，辩论呀，或者是这个现金的地方，然后前后适当之就是连接前后是的，还有一个走到走到后面呢，室内使那使的有一吨很大的服务，因为我们因为现在只开放这个外事的空间，所以我们不知道内饰的一些结构怎么样，反正走进来还是觉得飞。
[16:3.471,16:31.960,0]  好像删删除了所有的这个石柱都是有特别精美的雕刻，然后所有的这个墙壁啊，我们都看到了有非常漂亮的这个壁画呃，颜色还是相当丰富的，而且时间大概什么时间应该是50G的大概就是基多广场对这个50G的话，就相当于其实对比的话，就是敦煌的这个比最早期的比方就敦煌40平米数是有，但是没有50G就相当于北魏史。
[16:33.630,17:7.990,0]  那个他的壁画是保存相当好，而且还有一个，如果你不下三年就不打算都是随便拍照的，这点我觉得比敦煌要要要好多，另外，他也天花上的这个凿井啊什么的壁画也挺鲜艳，那个，另外就感觉就是他这个结构也是很美的，一个就是他这个一个平顶的一个掏出来的一个石窟，其实那空间居然没有横梁啊，没有注重对这个也是哎，他就是火山岩也不是特别结实，还有一个叫做保存比较好，他很干燥，没有任何的渗水的现象，现在看来。
[17:9.330,17:12.250,0]  那么就是这个啊，丹丹坨的一号。
[17:14.070,18:6.680,0]  那个我们现在在大家坨的第二库，第二部一进来以后，一个感觉就是他的这个壁画保存的比第一部还要多呃花的还要满还有另外一个印象就是它这个有些壁画的这个样子，我们能看到一些库就邱慈这个克孜尔石窟的一些影子，当然了他这个时间跟克孜尔事故来比应该是略晚一些，相对克孜尔说晚期对吧，其实系客栈已经快结束了，不是其实这个把那个但是呢，这个炫生产的方式，它的这个和那个课表的很香，而且对对对这是一个我们的感觉啊，他这个就是说他这个会话呀，他完全不适用这种比如说他的渲染吗，完全不是通过这个光影的这种感觉，他也是只是要表现。
[18:6.680,18:15.780,1]  这个肌肤的一种一种一种三维立体的一种感觉，他那飞天这个其实跟金卡四什么对那大家都是有一些渊源的吧。
[18:15.780,18:44.740,0]  对，反正总体而言，第二哭的感觉就是比第一哭呢形式要要小的好像更精致一些，另外我们还想说的一个什么呢，说的就是现现在是印度的焊机应该还是他们算他们的冬天吧，开始哭的一个很重要的原因，就是说是库里通的下来的话，我们完全感受不懂我不觉得非常热，现在大家都已经汗流浃背了，呵呵也比较多，但是石窟里面他们这儿是呃，也是每个人不能停留，超过15分钟。
[18:46.390,18:49.870,1]  一个什么办的。
[18:49.870,19:33.610,0]  那那个二号库里面，我们就说跟不一样地方去跟一号无比的他两边有两个付款，那里面就出现了等于有这个图的这个形象在练习另外呢，还有这个壁画有这个签署对谢谢千佛呀，菩萨的这个大量的流行呢，也应该也在印度也是大哥57左右才才才才出现的这么一个问题，就是说这次和大乘佛教兴起以后的这个有关系对，但是不知道大概是在这个50米以后在印度才开始申请的，他从我们这个绿背景也可以看出来这个当时有很多的各种各样语言的讲讲解在这儿，因为印度人民也是非常这个热爱自己的遗产，呃，今天又是星期天。
[19:33.610,19:34.840,1]  可以来的人特别多。
[19:37.850,19:41.910,0]  两毛靠刻碑，还有上七个人相比关系。
[19:41.910,19:45.540,1]  Red。
[19:45.540,20:1.900,0]  零零这个选这五幺规则的那个什么还是ankuran逼格arroyo。
[20:1.900,20:13.180,1]  今天他这里lirenchapela。
[20:13.180,20:47.780,0]  唉，感冒ndanisforxlh。
[20:57.760,21:0.960,0]  再见转在干嘛呀，OK。
[21:1.510,21:2.550,1]  嗯嗯。
[21:2.550,21:6.120,0]  差那可能情况。
[21:6.120,21:13.910,1]  嗯嗯嗯嗯，那也行，那也行。
[21:13.910,21:20.270,0]  Oknoka。
[21:26.200,21:28.520,1]  是敲了以后把你叫醒了。
[21:31.680,22:31.680,0]  那个天气非常炎热，有30多多，在当地人说，这个夏天能到四十一二最好的季节啦，单纯应该是12月份到一月份，那是大概20多度，那么我们现在看到了第十计划呢就是呃也是这个佛的这个本身故事，那他其实也是就是说基本上是分成几层，应该是123层很满，对满满会天棚上的一般都是这个装饰的这个凿井啊，这种东西对这个哭这样古城嗦的这个非常非常的装饰的非常华丽，而且壁画保存的非常多，呃，也有很多本身故事，而且和那个刻字有点像他的本身度是基本上也是以这个就是单跨服来讲，像一个故事的呃，我们在这儿啊，很黑呀，现在因为他在再有几个角落打了一些灯巷享受1000。
[22:31.681,23:30.480,0]  百度年前那个疯人啊，也是领着这个这个参观者可能点的登到这儿来看，所以有一种有的艺术史家，他有一种理论认为这个他为什么单幅的这个本身故事就是猫的心理课的，这样的这种表现会多呢，可能是因为当时邮政的范围啊，也只能照亮这么多，所以你用这个技术是很复杂的故事，你用一个粉丝粉丝粉这个很多的这个场景呢，也这个也达不到效果，所以呢，他就是冲这个大致的一种说法了，因为油灯只能照亮这笔小块面积，所以他就在这一块面积里把一个这个一个故事的这个最高潮这个最重要的一个情节给他表现出来，当然这只是一种说法啊，现在已经是真是汗流浃背了，但是来这次来安龙觉得收获很多，但是至少有一点是毫无疑问，就是说以后肯定还会再来，而且可能会多次来，因为一次一天的时间实在是看不过来。
[23:35.680,23:37.300,0]  那个我们在。
[23:37.630,24:6.520,0]  旅途中也有很多的这个花絮，比如我们在安家吧得的石窟，我们碰到了当地的一些佛教僧侣，他们知道我们是从遥远的中国来的时候还会我们进行了送惊喜符合现送花还我们在西印度地区访问了一些很早期的石窟，比如说比较有代表性的就是CA历史库，另外我们还有一些在沿途录制的一些各种各样的。
[24:7.180,24:13.120,0]  声音的片段，有这个音乐是有各种奇妙的其他的声音。
[24:13.950,25:13.950,1]  那你开始不要在嘿嘿，还能搞个新旧eunice里二十五三百八二百二十一二百二十二。
[25:13.951,26:2.870,1]  嗯嗯，好啊，都上班啦啦，舟山吧，爹刮痧Baru呢，鸡巴croshaftyoyaa啊。
[26:4.570,26:8.790,0]  135。
[26:8.790,26:19.220,1]  嗯。
[26:23.050,26:31.730,0]  那个我们的印度之旅呢，基本上快要接近尾声了，现在我们在机场候机的时候呢，我们请我们这个。
[26:32.650,26:48.460,0]  团有这个我们这个收藏大家梁老师和这个我们资深编辑浮子一起参加我们的一个小讨论那个我们聊一聊这个，这次我们印度之行的一些观感。
[26:48.990,26:54.660,0]  那个我先问问梁老师，要是你觉得这次咱们这个您最大的。
[26:55.410,26:58.640,1]  最深的印象，对于印度来说，咱们这次是什么呀。
[27:1.290,28:1.290,1]  其实我呢，也是这个这个国内呢，咋咱们一起看了这么多国内的寺庙是吧，包括新疆是吧，早期的刻字啊，敦煌啊，这些都去看了，但是呢，毕竟是吧，这印度是这个佛教的这个发源地是吧，包括这些石窟寺啊造像啊，都是从这个最早从印度产生的，所以呢，然后来到这些这个原产地看一看啊，这对我们来说是一个这是一个新鲜的经验吧，是吧，我觉得这个还是这个收获很大，这个这个包括这个造像啊，石窟寺啊是吧，你看那个向上奇大塔给我印象比较深的，一个是这个桑奇大塔是吧，另外还有这些呃，而且我们这次主要看的这些是公司里头啊，呃，我觉得。
[28:1.291,29:1.291,1]  那其实最印象深的还是这些早期的数据库哈，既然怕假，哎，这个怕假呀，卡拉卡拉刷这个这个阿旃陀的九酷石窟啊，是吧，嗯，他26哭，CM不是早，但是这个规模呀，那些各方面啊，这种残酷看着还是很震撼，就是说跟因为跟中国的是酷似正常看的差别还是比较大的是吧，这个这个区别还是比较大，是吧，这个这个，这个这个印象还是比较深刻，包括这个什么，那些课啊是吧，这个那些课还有其实包括那个奥兰的对第四哭都都很重要，这个这个其实都是这个早期的工，因为剩下其实并不多，就看了以后啊，感觉另外一个呢，就是这个觉得嗯，这个早期孤单这个行。
[29:1.292,30:1.292,1]  精致哈啊，其实呢是有很多变化，我们当然还是第一次看比较生疏，其实他就看光看那副副播秋的形状是吧，就分早期的完中期的更晚的，所以有有差别，另外一个就是没想到他这个增防库哈，这么花少是吧，这里头特别是这个一个是体量比较大，不像咱们这个新疆那些小小小小的这个法中间那大厅特别大，他后期啊里头那么花少是吧，这个这个雕梁画栋的，然后还有佛像啊，这种什么这个这个啊，像那个中心芳祝福中间还开了佛堂两边还有都有雕刻这些还都是对咱们来说还是挺清醒的，所以我觉得呢，嗯，虽然我也不是研究这个，但毕竟分咱们一起看了这么多去过这个拉客的续过。
[30:1.293,31:1.293,1]  我试试这个，所以这个比较起来有点感觉是是还是挺有感觉的，我觉得一个是特别明显的一个到了波斯以后你就我当时看了波斯这东西我马上就想到这个其实你看这照片看很多吧就没注意到了不是你一看又印度这些什么，这个这个阿育王柱，这就是受波斯影响吧，结果你看到这一看那那更多了是吧，那个柱头上有各种动物打巷是吧，这个这个莺歌受尤其是这个这个，这个，这个码这个牛是吧都有哎，这个肯定就是波斯的影响，然后到了这边至少不思没大象说，大象肯定印度人呃，狮子是从那个过来的是吧，呃，对对对，所以这个其实要从人种学他们还是一只嘛，是吧，你看他们都认为这就是这个，这个公园前。
[31:1.294,32:1.294,1]  呃，2000年2000G，这个就是雅利安人一波刷一波到了boss还帮继续往这个早就进了这个印度河谷嗯，然后就把人家原来那摩亨佐达罗的那个文明，印度古文明就给给灭了是吧，就就变这帮人在这儿这个市场天下是吧，所以呢，他们还是同种同源，这个从你看下一批你要看印度人写的历史啊，他们特强调，他们这么多次的这个关系这些就早去啊，早期的，所以这还挺有意思，就说，你能看到这个文化的影响，他能看到这个到后期咱们看这些事故实际上又跟印度教是吧，说不定就用中和了是吧，你看那些照相那个又不一样，那意思就又学了辅教的一些他们互相还是影响这个，所以呢，其实这对中国很重要，其实中国好多过去，咱们当。
[32:1.295,32:11.910,1]  这个国内总的来说哈还是这个都是很有水平的，但是呢就是说其实我觉得缺的这一块呢就是多到这边来。
[32:13.430,33:13.430,1]  这个你这句说大专家学者来印度的应该挺多，但是我觉得作为一般的这个福教美术爱好者主要因素来的，我觉得可能可能以前不就完以后可能会做慢慢稳定，特别是咱们这条线啊，就我们这边现在有一个细菌在网上可以公布一下大家可以进行咨询，我们这个攻略吧，嗯也是有一因为我来这也是也是虽然这个奇侠做了一些研究，但是我们也是其实比想象的收获要大呃，实在没想到啊，那看了好多那个什么你看那天你根本体会不到照片，还有那什么发看他们画的一些平面图也没觉得还有什么特别的近了一看我完全两回事，那种空间感啊，那些都挺剁也，尤其是那些皮肤楼那个皮克罗，嘿嘿和东航平面很像一进去感觉去完全完全不一样了感觉。
[33:13.431,34:13.431,1]  然后中间大厅广深度完全那个柱子啊，卧槽，一边全是有一个上面全是侧面使对啊，很顺利没量多大，其基本上好多违约的尺度跟体谅都是而且保存的相对来说也比较贵，行因为最晚咱们看到的也得要相当于咱们送来但是对对最晚唐宋最晚的比较早的都得公园，潜意识是所以这个这个镯子也说说你有什么就是说我觉得就是因为我觉得跟大家分享一些一些展示不能来的人，一些亲身感受，因为有些的话，他们都可以从书上看到他有些亲身感受是不清零，其境的话是感觉不到所以我对他们自己最印象的深刻的就是他们每一个一地的原生态啊，就是我们常说，哎，秋季不光自用以前去过很多地方。
[34:13.432,35:13.432,1]  然后是按我们现在在的地方，但你看我们其实一路看的出了阿格拉这些地方我们几乎都可以身临其境说他几千年前还是这样不仅是这句我也是个很大，考验绝不是are，而且就是他们的数保护的相当好，我们得先从这个自然风化的修复，但也有不好的地方就是基本就还是把修复和没修复的还是能分出来对，然后他把以前的就他的痕迹都还存在的挺清楚，而他不会前女友停车场也不会有就是他的收票处都能小，他没有没有没有人为的吃蟹老多大品牌，什么巷云阁呢，修大广场啊，那种一个国大监区让你还没真正进入真正景区已经晕了，就施工嘛，所以修行比较早，这个对清幽幽静的地方休息，现在就是让你。
[35:13.433,36:13.433,1]  嗯，那个到我们在那个孟买周围的这个近郊这卡这里看那个凯特里特里已经就在城市的中心，另外的那个开发票，那个宝玉他的一个国家公园里面嘛，而且他那个这个环境基本上跟那个2000年前那个生人修行地方应该是差别不是非常方便，有些感情又站在那个高地上网那一看苍苍茫茫很多地方就是都要爬山吗，我们这边最近几天一直在爬山，爬山一一站在那儿接你就就已经忽略出远远的那个城市啊，或者是基本又包括我们在在哭里呃，第二感触就很好的就是我们真的可以近距离欣赏他没有栏杆，没有玻璃有客客户，所以也开错了，而且老婆用什么呀，包括昨天我们还坚持我的小相机是不要收费的。
[36:13.434,37:13.434,1]  都列的很清楚，他们就给你一种既亲戚又尊重的感觉，我觉得这个是很难得已经很久没有这种的则可出现了，看见他们这个保护她的国内标准直接保护措施，好像头顶，但其实大家的这个咨询维护也还挺好，也没有这个人为的破坏团结很少，但是应该也跟男方有关，因为它咱们主要的这个相关的这个区域都在在脱离很很因为一出来的话是像从北方开始到南方这他的力度不是很大，到那时候呢，他也有点这个就一三的也不那么不那么强烈了，所以就是所以相对来说可能但是总的来说，我觉得这个保存的状态，而且基本没有什么通道的什么很对，因为没有人去自来佛头还空一间花菜花试试这个事赶紧请假，第二就是觉得嗯，我们因为从早早期到晚期和对的都看过，这回又看。
[37:13.435,37:55.750,1]  他们找经理配置问我觉得很兴奋的，其实因为现在已经还有点火了就各个石窟之间的雕像的一个变化，但是有一个印象很深刻，就空间感就是我们开通肢体服务到他也一直在变，帮不到它的大小他的卡的形式，尤其我觉得在那个场合里面出现了那种就是像在不大的空间里买的，从这个崇拜这个肢体到以后再去说皮克，罗湖里头也全是这个消码方式，每种电话，我们今天在天天都在看呼这样我还蛮兴奋的，每天都不一样，要么就是规划不一样，要么。
[37:59.470,38:59.470,1]  我们在下回应该是从早上最晚然后那个什么时间条件说说了，最早因为路线的原因可能是最少最那个雕梁画栋，然后看自己只能鹿血不可能说按照这个教科书op大部分朝西，所以这个管局也不一样，咱们那天去那个他说啦，这个这个地石窟主要是落日的时候，这个光线这么打进去以后这个感觉就不一样，对是但是要都要凑到这个落日的时候去那是可以。
[38:59.471,39:15.280,1]  也是不太不是特别介意，的确是因为这个上他可能就说啊，但是这个这个桃花山老师说说，在这个卡尔拉的这个证听门道上方有诗主题几支，足以纳西科技。
[39:17.630,40:17.630,1]  不过从现住形制和纹饰形状分析，这个卡唐突要稍微晚一些，但也在20几上面二十二十几张满应该是挺20公里，20G这个这还其实这个还挺有意思，其实，有些东西我们那些在聊天就是20几咱们国内好发现那个比较早的那个所谓的总共三黄山的那个就是说认为是佛教有关系，那个他大概东汉晚期也就差不多在20级左右吧，20几下半这儿实际上我才我昨天跟那个就已经很早了，你想想国内那边多明天，这是一实际100多年了没有啊现在而且了二三十几。
[40:17.631,41:17.631,1]  不知道了，对当时首次耳鸣是没有因为特色也没有明确的其他事就不对对他也而且还ep以后就没去了，完了就这么只能是344元，但其实刻字，唉，觉得很复杂的那个时期还是不属于咱们华夏的范畴了，还是属于吸引粉丝就是实际上就是说咱们旱季最早其实也就是就是169，那个比较早对吧，给您塞那边有禁言的，但是像金卡四那样没有今年的，但是看起来有些东西有些也联系，对吧，但是我都感觉是他们的鼓励古代印度人的工匠的工艺水平是比咱们那时候看起来好像一个优先的这个这个这个营造对对。
[41:17.632,42:8.010,1]  对吧，嗯，而且，尤其是在一个整个的山体里头还不是说我给你换食投票超出的评估这么多东西，然后里头要把这个房子刷结构刷新什么鸡排泡塑都得对得起安排哪哪个造像在在这个时要说起来给你这么一大片寄身于几十米的石头一点点同比投标进去，上次还不能敞口吧，这样还得干这个难度，从技术的角度，纯技术角度对是这种就是说从人家生产力是也是够够高就什么印度古代意思其实还是赋予吧的属于发展，这这方面是是在就说印度跟咱们中国不太一样，就是他去不断的被外来的人。
[42:9.780,42:12.560,1]  我们相对来说这个影响不是那种。
[42:15.410,42:23.890,1]  买上是没有挡着的是吧，然后这边人家只要存从珀斯那边移过来吧，那就他就都从上面下来最高。
[42:24.930,43:9.020,1]  我觉得这个以后要是这个噪音来以后，甚至把印度的历史看名字，我觉得印度好多因为这个应该还因为咱们对历史它跟中国人不一样，他中国是一个主要王朝的医院，他是同时并存的很多独立的这个东西所以互相之间这个历史还有点搞感情，他统一时间比较短，而且很少有特别大的传统，基本上就能够大半个桶的就算了，因为我们实际上大部分事故看着位置都在这个德干高原对1万多元等于他那时候是也是一个山相对福利跟北方还不是特别就说那个恒河流域这种离得挺远，有的证券也不是完全就是所以的风格。
[43:10.050,44:10.050,1]  但是这个我们下次还要到恒河流域去探索呢，和楼那边就没有这边才让他要留的少六点前来，因为现在就说已经几年的比较晚，因为他也是因为其实其实佛教啊，最后的流程是在恒河流域恒河流域，再加上那个孟加拉就是孟加拉那边就是这个地区是就是现在最网坚持的最晚，而且呢，所以像那张图那些地方寺院呢，他一直有有一件建议只有一间等于这新旧更替比较多，所以说老的都一直都被后来都也给不了对因为地理地理环境不一样，因为它高原那边有个山可以找你那边没有这个环境，这个差别还是说也中国那庙木结构的你这个保存下的很多计划十多层吧进度，目前他这个他这个目前做到底是这种装饰还他。
[44:10.051,44:26.400,1]  孙有一定的这个好像也看不出有什么太多，结果老师啊，老师说那是仿那个团和团子和领的呃，这个还是房屋不是这个有明显仿木结构。
[44:29.600,44:42.090,1]  仅限咱们昨天看见的那个那个所谓就是能够到公园附近全价是27，然后晚也晚晚上的实际价值的，而且他说那个包括。
