[0:0.185,0:4.140,1]  今天势必下关的第18期，大家好，我是竹子。
[11:13.740,11:16.720,0]  因为这个时间早就他，但他们进行了科学的这个。
[11:20.020,11:46.680,0]  这个雅安的那个高一切当然是这个四川汉阙的代表作了，对那个雅安当时刚才讲的就是这个是当时的西康的这个首付，而且还因为在川西那个他本身呢，其实也是很富有历史的一个地方，所以高颐阙是汉代末年时间呢，大概相当于这个汉献帝的这个时代就是那个那个时候可是有位还没有进数是建安14年。
[11:48.140,12:7.430,0]  就汉献帝建安的年号吗，他也是一个它是个墓道去就是在目前面的两个这个是呃审批，现在好像只是剩下的保存的还比较好一些，对东却那种当时就已经解决没有，而且现在的缺的位置好像跟原来还都有所移动。
[12:8.360,12:17.480,0]  呃，对，因为呃好像就是我们，我们只去了高一却嘛，其实还有高一木好像可能却还是在原来的位置吧。
[12:18.310,12:23.440,0]  还是有过移动啊，高一学的这个位置啊，就是好像我记得是跟。
[12:24.090,12:46.320,0]  这个当时好像有点因为，因为解放以后好像进行了一些好像移动好像是不知道是不是哎，那个学校是不是哎，这我，我倒贴不是很清楚，因为现在他这个我们现在高一去能看到的就是他有这么一个这个呃文保范围嘛，然后有个祥，然后两个却然后前边有两个石虎。
[12:48.970,13:48.970,0]  我我我感觉可能反正没有移动不知道，因为我的现实有点加大，这个，这个不是一个这个咱们的这个深究的一个，因为那个高一却他其实其实讲到去咱们就顺便就是说把这个四川的一些主要测一切都可以，因为在四川是一个特别一个其特的地方就是它保留了数量为数不少的汉剧，这一点除了在咱们的这个呃，这个河南有这个几个区以外，这是很特别的一个现象，就其他地方没有保存下来，这些旱区那么除了刚刚我们讲的这高一却当然这个高一确实非常重要的一个，那个我，我，我补充一下，我想起来了就是高一木呢，是在那个确确北的大概150米左右，就是我们现在看见那个保存比较好的那个稀缺呀，还是在他的神道的南站没有动过，但是那东却呢，因为这个清朝修的时候把它一过，所以他那个走失呀，还有墓碑。
[13:48.971,13:55.550,0]  下金我们还那个高一不还有那个高一的墓碑嘛，也是东汉的那个墓碑和走势是被移动过。
[13:58.050,14:6.860,0]  完了，那个除了高一券呢，这个是那个山西呃，不是西斯，对不起，四川还有这个比方说比较有名的樊敏去。
[14:8.040,14:10.930,0]  还有那个这个这个那个。
[14:11.610,14:13.860,0]  竹子你总的可能比我们还多呢。
[14:13.890,14:28.780,1]  没有乡并不比你们多但但我可以给大家补充一个，因为我我还在关注我这个问题，那么我可以给补充一下就大家现在中国现在一共遗存下来的，你们要不要给大家先解释一下什么是缺呀。
[14:28.780,14:34.000,0]  呃，这个呃，如果专心听我们这个我们因为前几期讲到过那个。
[14:36.240,14:38.910,0]  太行就不太行就是嵩山的这个。
[14:39.220,14:45.280,0]  邵氏去太市区，那这讲一下确实这样是一种就说有点像这个。
[14:45.820,15:0.040,0]  嗯，怎么说呢，一种一种一种装饰性的东西放在这个一要么放在门，要么放在路的两边就是这个这个东西，比方说打个比方，像那个呃，天安门前那个华表。
[15:0.190,15:38.750,0]  那实际上我认为就是一种类似于像血一样的东西，但它变成了一根柱子似的东西就就是在门两边有对称的两个石头的呃，像真的有点像门一样的这种这种感觉的一个东西，但他不是封闭，听的，所以其实教育这确就是在其实却这种建筑形式吧，在战国秦汉时期就已经成型了他原来都是叫萌却和宫阙就在供电前面呀，城门前面就是说宫门前面有这么一个大型的一个很高的一个建筑一般，他就是左右对称吗，然后还有这个有时候分两部分，有这个母阙盒子却这个。
[15:38.950,16:3.450,0]  以后呢后来到了东汉末年的才发展出后来有这个叫神道阙杨木盗窃呀，在神道在这个比如说呃，祠庙之前的神道上就树立两个怎么有标志性的这个券或者在这个目的这个神道钱也输两个区，这个大概翰墨吧，就我们在四川看到和今天山东看到的大部分的这个。
[16:4.870,16:9.440,0]  石雀的这个这个遗传吧，都是神盗窃或者没倒去。
[16:9.860,16:29.510,0]  但是其实早期嗯，其实我们还能看到一个比较有意思的就是，如果大家去西江那个汉阳领啊，汉阳陵的那个我记得我忘了是哪个门是南门吧，汉阳陵的南门那个却他也给发掘出来了，也是很清楚，一个门，然后有母阙盒子却那那个规模相当大。
[16:29.540,16:34.740,1]  那么现在中国现在一共大概还有四个省份吧。
[16:35.240,16:42.170,1]  然后如果包括西安的话应该是一个还有汉语，这有这个缺的形式，一个就是。
[16:42.170,16:47.090,0]  对石雀的话，我想哎，山东对吧，河南四川。
[16:47.350,16:51.640,1]  一共有30处，但其中有20出21处都是在四川。
[16:52.160,17:4.210,1]  九四川对建德旱区呃，害事件却特别多，对除了我们刚刚说的高一却还有这个嗯，比较有名的就是。
[17:4.330,17:7.390,1]  平就是绵阳的那个平阳对对。
[17:7.570,17:11.470,1]  哎，对曲线曲线的朋唤去群府军去。
[17:11.920,17:13.920,1]  然后丁丁房去。
[17:14.070,17:18.640,1]  行那个绵阳的平阳府君去还是在哪是无名去。
[17:18.780,17:20.995,1]  嗯，都都各有特点。
[17:20.995,17:40.960,0]  对包括那个包括重庆那个那个三峡博物馆里面好像还发掘出一个那个挨着血痕很有意思，它，因为它好像因为嗯嗯，淹没了很久，是在土里埋场，实际上它保这样反而保存的更好哇，以后他这个还挺就说上面细节什么，因为都埋在土里保存的比较好是在三峡博物馆。
[17:41.450,17:44.210,1]  是参加工作那个名字。
[17:45.180,17:50.100,0]  对名字我记不太清楚了对嗯，其实这讲的就山，这在这个。
[17:50.440,18:5.550,0]  中午就汉代尤其是东汉时期，四川很有意思，除了刚才竹子讲的就是说保存的大量很大比例的汉阙一般就是在四川还有种另外一种实质的一种建筑遗存，就是这个崖墓也是非常。
[18:5.730,18:49.210,0]  非常丰富，这个也是这个在这个全国各地也是绝无仅有的就是杨木神秘，就在他是在这个山崖上凿了，有点像这种石窟类型的早了一个完了，木木血完了这个而且还挺大的，麻烦，有的还很深，对完了里面有各种各样的有柱子的装饰啊，各种精美帝这些东西，他从这个崖墓的立面压到他的空间的设计啊，都是模仿当时的建筑形式，所以而且又又又从他时间节点也很重要嘛，就是在大概东汉末年翰墨，这个时候，这个在四川地区发展起来，所以有时候到这个这个对给大家很多这个啊，讲想这个想想文化交流的一个遐想。
[18:49.780,18:56.110,0]  时尚的一种一种一种推测就是到底这个杨木这种形式，呃是怎么样，嗯。
[18:56.290,19:21.190,0]  怎么样发展起来的就是有没有受到一些外来的影响或者但是很有很有意思，崖墓呢，这个呢，倒是这种就行是就是说在山东也发现了一道不是崖墓，但是这种呃比较内部的形式很像的一些比方，那个临沂沂南的那个汉墓，它那个里面对一旦呃很像对，但它不是崖墓的形式，但是它里面的一些墓室的装饰和杨木。
[19:21.190,19:22.680,1]  嗯，对对也行。
[19:22.680,19:40.120,0]  这节课讲了崖墓了，那个学社的这个去考察了就是现在的这个乐山乐山这样的乐山大佛那大佛，其那个山上有很多的这个雅没他们，当时这个就乐山附近车有很多崖墓当时的营造学社去专门做了一些调查。
[19:43.310,19:49.480,0]  对他们看乐山那个很有名的，现在新现在也是开放景点就是那个麻浩崖墓。
[19:50.880,20:5.850,0]  对吗，好养不就在乐山的这个后山，嗯那个地方走一点就是一个马浩洋玫瑰花挺大，这有有各种各样的时刻，那么解放以后呢，后来又法陆续发现了很多这个呃质量很高的这个牙模在那个。
[20:6.620,20:13.610,0]  小孩挺有意思，主要就是在好像就穿西南的这个这一个范围，内亚目标。
[20:15.140,20:44.110,0]  呃，当时那古城你记得吗，这个刘先生在川康考察调查日期里还特别讲到了，因为他们经常就是沿江溯流而上，或者沿江而下看到山崖边上经常有许多牙模，而且呃，当时崖墓很多保存状况非常不好吗，很多人去这个偷盗啊什么的很多里头的呃，陪葬，凭什么都给拿出来的市场上售卖什么，所以留下来很敢开，而且他们经常也只联系当地的当局就说怎么样保护这些崖墓也是费了很多心思。
[20:46.060,21:4.500,0]  对，当然这个这个姐那个时期，因为这个这个整个国家都是不是很很太平了，所以这种各种各样的事情也是层出不穷啊，包括就是他们其实在四川考察，当然他们人生安全是是没有什么问题的，因为那时候已经是国民政府都签到了。
[21:5.550,21:12.690,0]  但是这个各种各样的这种这种这种事故啊什么的这些东西也是就跟我刚才。
[21:12.880,21:23.810,0]  呃，我前面上次讲到的就是呃，那个30年代的时候就有个很有名的一个学者叫蒋为新的就在四川考察的是就被除非杀害。
[21:25.200,21:38.160,0]  对呀，那长大这个土匪，那我们再扯远点其实就是在营造学社，后来他们班去的那个李庄，宜宾的李庄，同济大学什么也都签代理商中研院在李庄这里庄附近学校的有些土匪。
[21:39.070,21:40.200,0]  还挺有名的。
[21:41.490,21:53.560,0]  这个这个，反正李庄这个咱们在最后再再再再说写着哎，那我们崖墓讲过了，我觉得我们是不是可以讲讲一些这他们考察的一些四川的石窟啊。
[21:54.370,22:38.180,0]  对，那这个四川是真的是文文文物遗存非常丰富的一个，这个大省啊，它不仅是天府之国，他这个除了这个崖墓，这是非常丰富的一个一个就大家批改石窟也是四川非常丰富，有非常丰富遗存的一个点，佛教事故其实还有一部分有一部分倒角事故这个呢，因为宜春比较少了，现在就是咱们今天可能不涉及这个问题，但是佛教事故大家都知道，在四川是这个是非常丰富的对吧，那个咱们值几个比较大的例子，比方说这个列入到这个世界文化遗产的这个大都市课，对大多数库这个钱，哎，孺子大多数跟安岳是合在一起的变成这个时间公开。
[22:38.660,22:43.980,1]  哎哎，不是安岳就就一直淹没在大众认知郑州。
[22:44.190,22:46.660,1]  室外就很奇怪就是。
[22:46.690,22:51.190,1]  大同市非常就大多它就是指北山宝顶。
[22:51.190,22:52.870,0]  还是我们有个地方啊，对。
[22:52.870,22:59.460,1]  哎，我哎，对对对并不包括按月，但实际上哀乐和大骨就是挨着的。
[22:59.460,23:1.060,0]  对啊，就是基本上得。
[23:1.060,23:11.725,1]  可以非常清晰地看到就是按月的升值安岳应该比大足应该感觉早一点，因为从他们的那个雕刻技法来说，哎，又更更。
[23:11.725,23:23.460,1]  他姑姑气质而大图的时候就感觉这这些事，因为它是世家嘛，实际上我们一直在讲，比如说他的牙木它的汉血。
[23:23.680,23:38.650,1]  包括大家很知道，就是穿薄很有名的这个汉造就是画像石画像砖，嗯，包括石窟，其实总结一点，我们当时在四川也能看到四川的雕工石雕公司非常厉害。
[23:39.750,23:49.440,1]  一直是他们这个记忆应该传承到今天，今天我们看到一些新建的寺庙或者补的一些仿建那个雕工也非常好。
[23:49.680,24:1.870,1]  包括在对包括在按月有一个门有个四角鹿门寺，为什么要木门寺呢，就是因为他出了门是木头的，其他的房间斗拱。
[24:1.870,24:11.420,1]  早尽里边的这些照相全部都是石石头的特别的熟生医院远看根本就不觉得那个是。
[24:11.420,24:21.550,1]  就是你想那斗拱多多么复杂呀，但是它真的是非非常还有角角角度，那些就是小上的思想的受那些都做。
[24:21.760,24:22.960,1]  非常细致。
[24:22.960,24:38.820,0]  对，所以所以竹子说的我感我感触很深，对尤其是到了晚近以后特别明代清代以后，你看到其他中国很多地方很多的时刻的记忆啊，刷到的很厉害，但是你看四川做的呃，还保持着相当高的水平，这个不得不令人佩服。
[24:40.020,24:41.100,1]  对对对。
[24:41.620,25:37.320,1]  对，所以四川和安乐居，如果大家有时间了去那个大骨试课的话我很因为中间大概也就是20公里就是一脚油的事儿，我很建议大家推荐大家去安慰，现在二月大约只知道那地方产玲珑，然后甚至连安岳人都不知道，因为你在淘宝上就能发现就柠檬如果不买进口的基本就是安全就安岳人都很自豪，说我这是柠檬之乡，但是现在很多安岳人不知道自己的家乡有那么多的宝贝，大概他们只知道比如说华严寺还严重啊，或者是我们拍的，有一些肯定和大足飞有着非常紧密的联系，包括文本样式都是一样的，他应该是当时聚集的几家就是试驾就是这个石雕的是家，然后你能看到早期的是安岳这边的是非常细腻的就是线条非常。
[25:37.380,25:55.300,1]  那个细致，然后这个大同的就是已经是我感觉就是规划规划很成功，就是宝鼎啊，他就按着盐山事成群组有规划有目的就是就是大型连环画一样来进行消化。
[25:55.540,26:30.990,0]  呃，可能他第一个他的这个规模稍微大的比较大一些，这个而且比较密集一些嘛，但是我这里头还有一个历史的一个一个资源在里头，因为当年梁思成先生和营造学社他们这些铜仁啊，他们当时只去了，大多就没有去安岳，所以大周为什么出名很早了，就是两梁先生当时在大足收集了很多资料拍了很多照片，然后在抗日战争结束以后，两个人不是去美国这个呃普林斯顿，呃，美国，耶鲁普林斯顿访学吗，他在普林斯顿做了一个报告，就把这个大足石刻。
[26:31.200,26:54.220,0]  介绍给了这个全世界研究这个中国艺术研究佛教美术的一些学者做了一个报告，非呃影响很大，所以大足石刻的名气很早就在外面这个非常想了，所以也也，我觉得也有这个方面的因素所以大图一直这个名气在安岳之上，先大奖，想起四川是哭着大众南门晚，所以很多时候把这个按月是空的。
[26:56.070,27:21.140,1]  对，因为安岳实验就是第一小片，它没有变成连环画，他可能更像这种的课对开门那个林辛格就他只是讲一个他，他没有这种乡乡乡大大群的这种比较课，他都是散落在这个山坡芽面，甚至有的在田前边就是很很零散，他不像他不太像安岳就像大同这样成。
[27:21.340,27:25.440,1]  这么大规模就比较容易保护也容易被。
[27:25.660,27:29.705,1]  世人所知就比较容易发现，因为他们本来就是就是。
[27:29.705,27:37.240,1]  有个林先生他们就是从先到重庆，然后去的成都，实际上走的就应该是这条路。
[27:37.240,27:38.390,0]  其实啊。
[27:38.390,27:41.500,1]  就很奇怪就是基本上那个时间。
[27:41.500,28:7.180,0]  嗯，数量非常非常大了，我想一想啊，就是营造觉得他们这三个三四个月里，他们吃过了，我想就是峨眉山的那个乐山大佛附近的石窟他们去了对吧，然后去了青弋江边上那个夹江千佛崖千佛岩听伯牙对对对，然后后来还有个眼，我记得青蜂侠吃了好几个，然后还有一个就去了，特别有名的广元的千佛崖吗。
[28:7.230,28:7.790,1]  对。
[28:7.790,28:16.350,0]  对对，所以这个在四川师范叫千佛崖的地方蛮多的，这个都是有很多的这刚才讲到这个这个。
[28:16.970,28:21.890,0]  广元的千佛崖的是应该是这里面最有名也规模最大的全氟呀。
[28:21.890,28:23.650,1]  嗯，对对，黄黄家的。
[28:23.650,28:29.640,0]  因为那个最早可以就讲到广元就咱们又扯到这个川北了，对吧，那个是从这个。
[28:30.520,28:36.500,0]  陕西进入到四川的一个必经之路，这就汉中进入四川对。
[28:37.720,28:59.470,0]  据传呢，这个还是这个武则天的这个他不是应该是武则天就武则天三毛，他跟我昨天还发生一些关系不，不然有这个黄色这个字母皇泽寺对黄色四代武则天不应该是四川人，也不应该是生活在那儿好像那种那就武则天的祖籍是广元就是广元父亲这个。
[29:0.220,29:0.750,1]  对。
[29:0.750,29:21.370,0]  那我昨天不是山西人哎，我昨天自己是升升这个出生在这个山西的河东嘛，但是他的祖籍他父亲是这个，这个就他祖籍是德幼儿园的，所以广元有个巨大的那个皇泽寺里面数这个风险非常大，除了这以外就是这个公这个广元的千佛崖它等于是在这个历史嘉陵江吧，嘉陵江的这个。
[29:25.070,29:55.840,0]  是呀，大概大概这个有大概一公里还不止啊，这个因为毁坏了1/3嘛对而且其实我们从这个艺术史的角度，我们看了这个广元的千佛崖比起四川其他地方的千佛崖有几个很大的不同，第一，它的规模是相当大的第二个他的时代，也是开凿的最早的，甚至从北朝的晚期就开始这个开早了，第三个就他的风格呀，呃和四川其他部分的这个佛教造像风格都不一样，他的风格，其实我们看到更接近于。
[29:56.300,30:40.270,0]  这个黄河流域的这个河南洛阳龙门石窟的那些风格就是非常非常近似，广元的千佛崖呃，除了那个群嘉奖的那个特点，它有个特点就是它那个被评是非常有特色的好几个窟的那个备品，它都是属于那个菩提树，那个叶子上，它属于那种漏掉性质的就是这个寝室好像在其他地方也比较少见，对其他地方只是我们在比如说像在定州呀，这个曲阳那一带附近看到有一些规模很小的一些被屏是的一些十道巷造像碑小灶向背有这种形式，但是你把它开到那么大，在石窟里表现出来，这个是相当就是非常罕见的其他地区，但是广缘仙葫呀，就很多。
[30:41.840,30:45.620,0]  这个还有一个呢，就是这个双佛的这个表现也很多。
[30:45.800,31:10.950,0]  就是那个是加装防那个母的天对跟武则天那时候的这个形式还有一个还有个特点就是他没有非常呃，没有一些什么就是巨大的佛像基本就好像这个差不多就是一个一个一个，所以就是很多漫山遍野都密密麻麻一个一个哭摞在一起，不像云岗跟龙门比较有有一班有一个大象或者大铺什么，他好像基本上都是差不多。
[31:13.980,31:15.630,0]  其实也是一个他的。
[31:16.440,31:20.460,0]  其实我记得就是梁思成刘珍珍先生他们去。
[31:20.580,31:26.520,0]  考察广元千佛崖的时候，他们就发现当时因为那个修川陕公路吗。
[31:27.400,31:41.600,0]  咱们还记得吗，原来他那个千佛崖都是开在原来的古道边上，一边是将一边是山崖路又很窄，所以就直接是就这么贴着的，后来为了修这个川陕公路就一为了开开到嘛，就把。
[31:41.880,31:46.310,0]  一很大一部分的牙面给炸掉不少，所以这个也挺遗憾。
[31:47.450,31:58.410,0]  对大概因为因为自古这个数到就很难吗，因为尤其是从这个北边因为这条路是很有历史，因为呃从讲到这条路编舞。
[31:58.410,32:0.400,1]  就是那个金牛道吗，前面。
[32:0.400,32:7.630,0]  嗯，包括我想那个就是在唐代的时候那个比方去唐山中陶，南靖四川什么的可能都要从那走。
[32:8.070,32:36.350,0]  所以这个是非常这个也是非常繁忙的一条古道，那么在这个近现代开始要这个呃，这个造路路奥通汽车什么的话，他必须要把这路拓宽那这样的话，他那个时候还没有像现在就比方可以加起这个高架什么的，它只能按照以前的古道来进行拓宽这样的话就大概好像那时候他们去的时候就考察的时候好像那时候已经毁掉了就是靠北边的那个很多1/3好像都已经。
[32:36.810,32:46.220,0]  对差不多回了1/3是的，所以我还记得梁先生在干啥报告里就专门有这么一句话加千载铭记毁于一旦，是令人痛惜无疑。
[32:46.590,32:49.180,0]  因为我们今天看来也是觉得相当遗憾。
[32:49.190,33:6.740,0]  亲，这条路一直一直用到了这个上个就上个世纪末就是还是用这条路这个跑步，后来就是这个拖着睡近十年，其实这个最近十年这个国家花了大巨款，第一个先把那个千佛崖门口的那个村庄给。
[33:6.860,33:17.490,0]  搬迁了吗，现在就搬迁到那三后去了山后面去了，然后把原来的老公录制迁走了吗，所以现在就是公路不走，那个是胡前边的走势库后边儿了。
[33:18.780,33:42.450,0]  就是顾上边对呀，上海策这这个都是因为都有拖了那个四川地震的这个这个，这个叫到比较就是说，因为因为这个也属于这个一部分的，所以这个这个这完了，就是花了心思，好像上亿的资金完了，把这个事情做了，但这个以前的地区也很遗憾，在90年代的时候，呃，这个千佛崖也受到了这个到。
[33:45.260,33:52.730,0]  头道觉吧，就是贵拖到对有很多的这个一些这个哭的这个头像啊，那脑袋都被那个。
[33:53.600,33:57.990,0]  都被窃走有几个很好的那个几个，我王乐昆明了，就几个被评事。
[33:58.240,34:3.300,0]  很漂亮的被评的那个苦，那个那个前面的那个祖尊的那个。
[34:7.030,34:34.820,0]  这是我觉得非常非常遗憾，那个时候去对保护不是很很很得力啊，现在我觉得这个环境好环境都特别好大为改观，是而且而且不算你还记得吗，那个主宰我们上次去那个文包左那位昨晚给我们介绍说是他们现在不是要规划建造一个大的一个结构嘛，一个建筑结构好像透明的怎么样，啪整个押题都给他包起来，然后大家以后就可以嗯，这个这个，这个这个。
