[0:0.000,0:3.870,0]  今天是必须要关的第23期，大家好，我是竹子。
[8:29.520,8:46.660,1]  那么萧太后呢，萧太后是谁呢，萧太后是辽尽是聊胜中的爹聊景中的老婆，这个萧太后很厉害，这个咱们这个明年传说里面讲那个杨杨家将，这个跟那个三方打那三张的那个叫杨家将的对里面就是萧太后。
[8:47.930,9:7.520,1]  嗯嗯，所以那个表杨老令公那个属属于谁之手，那就死机萧太后直爽是萧太后是很厉害的，一个就是北方的一个就是就是草原明珠的一个女接吧，而且还有意思就是说为什么北方在这个聊带他都这样富足就是皇帝的仪器全姓耶，律。
[9:7.810,9:22.140,1]  沐足就是基本都行孝，所以全全是姓肖的，而且好像可以说，呵呵，其实好多小孩高考，但这个咱们说说这个咱们所说的需要带厚的是谁的，他的大名应该叫肖处。
[9:22.260,9:25.990,1]  就是那个三点水旁边一个桌就凑凑有余的那个臭。
[9:25.990,9:27.630,0]  嗯，看守那小太后吧。
[9:28.830,9:36.640,1]  哎，不是还少是另外一个开省的小菜或是谁开车比他早开始那个是是耶律阿保机的。
[9:36.640,9:43.670,0]  对对对嗯，那我觉得如果说这可怕就是那个呃，哎，那那想想瑞祥太好。
[9:43.670,10:7.470,1]  嗯，那个那个那个那个那个人叫述律平，哎，那个故事可以讲一下就什么意思呢，就是就医疗保健死了吗，他儿子要记为对吧，儿子就是这个呃，主少国国国一嘛，就是那个儿子年纪比较轻，那么后来那个就他妈的这个萧太后就准备要杀人立威就说把这些老大声的叫来说，哎呀说这个我做做梦。
[10:7.710,10:27.810,1]  说这个老老皇帝要想你们了，呃，把你们都招点，把夸夸就把这些全都给删了，删了就送到那边去，然后有一人不服说说这个说这个要问清叔叔的那个皇后，您老人家这个这个呃，这个更证件到那个最齐。
[10:27.810,10:30.840,0]  呵呵，完了那个。
[10:30.840,10:34.950,1]  他这个大家就看着这个笑泰和卷积怎么回答这个问题。
[10:35.070,10:55.210,1]  这小孩我不韩国说是说我是跟这个先皇对亲，但是我建议这个儿子要辅佐去不了，你看我这样吧，我自己解自己要胳膊，我把这胳膊先搁在这个老皇帝的棺材里就当场就拿刀就把自己那胳膊给给切下来了，就带来吓得立刻就无语了，这就是一个历史。
[10:55.350,11:3.640,0]  其实这是真实的历史就是这一方面的特别那个好卖，无语特别。
[11:3.640,11:29.260,1]  特别彪悍就是那样的呃，所以呢，就说这个，所以说历史说这个说好像说1000这定的是他们那个就那个肖台和咱们说的是后面的上来后的是这个这个后台对不是这个砍自己胳膊，那个是另外一个，那个萧太后的这个这个，但是你叫我查了一下就是我讲的后面这个萧太后啊，后面这个萧太后死在公元1007年。
[11:29.710,12:4.770,1]  那咱这个这个奉国寺公园陵这边还没见血还没见，所以这里面也有一些问题，肯定不是这个萧太后气，那是不是他们家庭肯定不太对，是这样一个问题，但是从现在现存的这个规模来看，无疑这是这个八达岭最大的一个肯定是有背景的对吧，不可能是一个什么什么一般的凡夫俗子就能盖起这么大规模的一个住院来，这是肯定，而且这个寺院按照背上的记载，这个相当宏伟，这个，这个现在咱们看到大雄宝殿只是其中之一，后面还有一个九间大的一个法堂。
[12:5.860,12:8.070,1]  完了，还有一个观音阁。
[12:8.370,12:15.010,1]  观音阁旁边东边西边还有两个两个大格完了又是什么大山门，山门就是五间的。
[12:15.620,12:17.170,1]  这五件的三本。
[12:17.330,12:18.820,1]  就很大那个。
[12:18.820,12:21.700,0]  读的书是没见过对啊，读了读了。
[12:21.700,12:32.800,1]  是波音独乐寺的那个山门也只有三天没有五间对啊，所以这个想象是很大的这个，而且这个规模一直跑，直到什么一直保持到了元代。
[12:34.150,12:45.220,1]  就人家说的，就是说从公园林1020年鉴一直到这个元代这个有一块呗记录的就是呃，公元1355年。
[12:45.340,12:47.960,1]  这之间大概有300多年的时间。
[12:48.090,12:51.710,1]  这个规模基本上都是一样后来到了明代就。
[12:52.350,13:16.760,0]  我那我很好奇就是说如果他他去，只是这边就是说确实是北方民族的一个特点，他就都建这么大呢，还是实际上我现在只存了一个还是还是实际上只建了一个这么大的思源对我有一个隐身的问题，对不那个就是我们说八大辽构有没有小聊够啊。
[13:16.890,13:18.370,1]  呵呵，没有想。
[13:18.370,13:24.140,0]  嗯嗯，好好聊聊，大声聊过，请问，你说没有剩下大的小的都有小的。
[13:24.140,13:27.630,1]  大不了都在这儿了，呃，没有大的小都在这儿了。
[13:27.630,13:31.100,0]  数据的关键是留留下来都填的担保。
[13:31.100,13:38.510,1]  呃，不是你要你要说那个小聊够那就是咱博物馆里看的那个那个目的出的那个像房子一样，那那个小林。
[13:38.510,13:41.670,0]  嗯，好，那个什么那个关国教官。
[13:41.670,13:50.500,1]  我哎对对对那小阳光大良做，因为咱们中国人号称那个几大几大嘛是哎，还正好凑了艺术是八个月就大大聊够实际上就是。
[13:50.500,13:55.500,0]  嗯，那其实也就阁院寺比较小吧，剩下的都挺大的。
[13:55.620,14:1.500,1]  呃，开像是也不是很大，开店是大概是也是三间的和。
[14:1.630,14:4.960,1]  赛格苑是肯定是从面积来讲，肯定是应该是最小的。
[14:7.970,14:18.175,1]  那么就说脚回到您就是刚才那个竹子你问的问题，就是说是不是有这个我觉得从朝考古发现来讲肯定当时规模跟。
[14:18.175,14:20.440,1]  宋博士一样大的庙肯定还有。
[14:22.030,14:26.190,1]  肯定是有的，那么当然可能十不存一。
[14:26.630,14:39.030,1]  正好富国自因为你也知道这个这个奉国寺经历了多少劫难，存留下来的确是对于过了都过了，九九八十一难才保存到今天是吧，你，你说那个五个阶段。
[14:39.030,14:44.220,0]  你刚才说园到元旦就结束，我还想问是不是因为元代的强地震呢。
[14:44.280,14:54.930,1]  元旦那个背呢，是说就说，有了地震以后完了又后来又这个有一个公主什么驸马要去修这个东西就说，所以在元代的碑的记载里面呢。
[14:55.250,15:21.210,1]  还是这样的一个规模就说有一个山门完了，又有这个还有一个就是吃一两一百二时间长的一个叫叫圣贤堂就说里面就是一间一间都缩了各种对那个东西是叫聊呃到元代还有这样的东西，因为原碑的记载，还有那么后来呢，为什么就变化呢，哎，大家看名碑的记载就没有了名碑的记载里面只有一个大雄宝殿了。
[15:21.790,15:55.000,1]  我是这么想的啊，这是我的猜测是这样，因为我认为啊就是说在原以前就关外，尤其是这个咱们讲到的锦州啊，或者是府新这一带这一带相对来说经济啊也比较发达，而且也是这个就是北方少数民族的这个统治的这个根基所在地，哎，对，所以这个地区的这个无论是人口也比较多，或者经济比较发达，所以使得这个地区呢，他的这个有这样足够的经济财力来支持这个。
[15:55.130,15:58.350,1]  这个四月这么大规模的寺院能够延续下来。
[15:59.050,16:52.590,1]  因为到了这个说是在这个这个元旦的时候，这个四月里还上千的增人来什么进行活动啊，什么那你像干可观啊，对吧，那么杂大家也知道明白是一个比较保守的一个社会，因为它那个国立就把这个一见什么都在长城外面了，他把长城山海关的一修以后基本上就退缩到这个关内包括这个包括你看那个呃就是东皇，东华也是明代的时候，后来都退守了吗，不管不要了就退回来，所以我觉得这是一个奉国寺衰落的一个原因，就是说他到了明代人都跑了，没有了那那，那自然他那个房子就房倒屋塌了，就都没有了，就只剩一个可能质量最好的或者是最坚固的一个大雄宝殿能够幸存下来，或者是他没有大家没有实力，把所有的房子都维护，只能保一个那么后来就大雄宝殿就。
[16:52.700,17:0.590,1]  保护下来，就我是这么认为的，但那个竹子你可以把咱那个这个宋国字什么历史上的五节可以跟大家分享一下。
[17:1.070,17:13.630,0]  哎，对对对这个这个我还觉得还挺挺不容易的，因为因为我见奉国寺就觉得已经很难得了，就说他，他从建筑然后到他的。
[17:13.870,17:27.540,0]  雕塑到彩绘竟然都这么逗我们还看了前面十公的那个时代还还不明确了就说他这么完整的这一套都在实际这样的私人是很少的。
[17:28.350,17:32.480,0]  呃，对他已经快1000年了，马上就一年级，但是以前。
[17:33.290,17:44.190,0]  嗨，我对对对，而且还四级，我们去年去的时候差五年，呵呵，不过这个这这水岸事情对是他的还有吗，这样的。
[17:44.190,17:54.360,1]  聊别说聊够里面，这个还真是呃，属于薯八大辽构啊八大聊过里面有几个还真是都是很完整的，比方说那个读了皮肤的观音阁。
[17:54.770,17:58.680,0]  对怀疑格式的ang木塔里全都有啊。
[17:59.420,18:3.870,1]  早起建议先墓台里全都有那个国家叫赵是最完整的。
[18:4.390,18:6.580,0]  国家叫赵对对对。
[18:6.580,18:11.850,1]  哎，对国家教你们茶树巷那个塑像当然是这个是辽代塑像的这个代表作了。
[18:11.850,18:15.270,0]  应该是对应该是在雕塑来说，这。
[18:15.270,18:42.460,1]  对完了，还有那个上华寺上化寺里面的上话寺的大殿，呃，是辽代的完里面的那个书巷是近代的，这也是相当不容易的，一个叫保存，所以相对来说就八大聊过你们，呃，唯一就是剩了空房子的可能就是开善寺跟各院这对哎格也是很遗憾就是空房子是文革的时候才变成空房子，文革以前都还有塑像。
[18:42.780,19:0.720,1]  这个在开善寺的是在呃这个营造学社去调查的时候就已经被回了，但那时候留真正调查说说，据说说开下次那个壁画还有，但是后来被当地人给粉的那个墙里了，但是后来怎么样，不知道这是刘尊当时那个呃。
[19:0.720,19:5.950,0]  对赢了学社17是有九个吧，还有保底那个吧，还是有更多。
[19:5.950,19:11.940,1]  还多了多了更多了，除了这个保底意外，还有一个一见就是河北的那个一。
[19:11.940,19:18.300,0]  河北的对，就是出那个四三彩罗汉的那个意思就是密的那个。
[19:18.300,19:41.460,1]  哎，袁旭林那个那个一见原来有个叫开元寺里面有三个秒购，嗯，那个叫什么超人讲的三个是小聊够就三个都是不大，不不是很大的三间的房子，但是说都是辽代的，但这个开原市过了抗日战争就不存在了，就不知道到底是具体回来，什么年代，不知道就没有了完了，那个聊过，还有啊，还有那个就是那个。
[19:41.560,19:45.770,1]  他们那个营造学员调查过的就是在博家教站旁边的那个海汇店。
[19:45.770,19:46.950,0]  爱海慧店。
[19:46.950,19:57.340,1]  这个是辽代的那个辽代的也是在在四几年的时候就是被拆掉的跟这个保济保底的那个广济寺三大士殿差不多年代背回家。
[19:59.460,20:5.030,1]  所以这个很遗憾那当时可能有这么算算，当时有十几个聊个现在就剩八个了。
[20:5.870,20:10.630,0]  嗯，是的数还不错，呵呵，所以原来是十大。
[20:11.440,20:26.330,1]  呃，原来不止时代时代，还有13还有还有三个小的呢，对但但具体被有没有被毁掉的，这里面我还要再想说一句的呢，是什么呢，就是说呃，其实对这个东西的研究呢，早于这个在这个。
[20:27.440,20:32.120,1]  早于学社之前在日本的昭和。
[20:32.730,20:33.880,1]  嗯，五年。
[20:34.110,20:41.800,1]  还昭和几年就是招生五年就差不多是公呃，公园1930年呃，日本人就是关野贞。
[20:42.200,20:43.060,1]  跟那个。
[20:43.060,20:49.740,0]  我也真不是三三本今年来的就是九月没有918事变以后来的。
[20:49.740,20:55.840,1]  是的，关野贞在这个以前他就出了一本就是他聊聊经。
[20:55.890,20:57.970,1]  五建筑这本书。
[20:58.430,21:5.400,1]  啊，这本书就是他是他这本书叫什么呢，叫叫辽金时代建筑及佛像。
[21:6.930,21:30.100,1]  是啊，昭和九年昭和九年昭和九年是大概公呃，是1925年家酒吗，1934年对三四年34年出版的，但是后来三四年出版，但他做的好多研究，当然肯定在出租以前就做了对吧，因为包括这个他差不多跟那个梁森同一时期做的这个独乐寺的这个研究嘛，基本甚至更。
[21:30.100,22:0.080,0]  嗯，一因为对冠军这段我还我还看过就是说他因为时间记得很清楚，就在就是在918之后还不到一个月，他就来了，他来，他是奔着哪儿还不是奔着封我司它是分奔着这个呃，万科城石窟去的，但去的时候，他就因为因为他们俩很近嘛，他们俩实际上大概就十几公里，就一个在大连和这边一个在大凌河的一个北岸一个男那凤凰村南它就在这个调查万佛寺观佛堂石窟。
[22:0.290,22:4.730,0]  这时候，发现了就封过去，而且一眼就认出这是辽代的建筑。
[22:4.840,22:12.700,0]  他们这个这个日本侵华期间，因为这个聊够基本都在日日战区里，他们有更深入研究吗。
[22:14.300,22:16.710,0]  呃，对我也我也就想问。
[22:16.710,22:33.700,1]  呃，反正有没有更深入研究这个，因为从出版的书籍来看的就是比较权威，就我刚才讲的昭和九年1934年出的这个辽金时代建筑与佛像，这个是比较权威的这个店，这个里面呢，呃烈士什么建筑呢，就是凤国字是第一的。
[22:34.680,22:36.970,1]  完了呢，还有就是那个大同的几个字。
[22:37.160,22:53.330,1]  完了，还有就读了呃，还有就是观音阁观音阁是第一，对不起，关于格式第一的完了奉国寺完了还大众那个还包括海辉店，所以我们这好多资料，实际上他们那时候照片拍的呃，其实其实很不错的，而当然还有后面是讲了好多聊塔聊，他特别全。
[22:53.330,23:10.480,1]  就是那边面很多的聊，他们都去都去走法，包括我们，我们去看到的朝阳南塔朝阳北坛那时候都有那个那么到了战争时期就是就是你说的比方，呃战争时期是这样的战争时期，那个他们去。
[23:10.910,23:12.560,1]  考察过云岗石窟。
[23:13.270,23:22.430,1]  云岗石窟的黄骅区做舅舅在战争时期那块对出出的那个皇皇巨作那么多本儿呢，老师顾就是在站点17层。
[23:24.900,23:33.750,1]  呃，还有呢，就是那个呃，你们也知道，就是有一本儿小书叫那个山鸡骨质就是再试，另外两个人就是什么。
[23:34.490,23:46.420,1]  胡碧野丈夫还另外一个比他们关系真年轻的学者就是调查了从太原一直到风陵渡去山西的这个古建筑，那时候在那水的战争时期，在1933194几年的时候。
[23:46.720,23:49.170,1]  就是这多他们站着17还做了一些调查。
[23:49.690,24:2.050,1]  但是还有一些考古发掘在站台设计做的比较他们对这个呃东北的一些古墓葬的一些一些一些表达，包括那个庆铃，庆铃实际上就是辽代的那个辽代的一个这个。
[24:3.200,24:6.700,0]  对是是是是那个中经吧。
[24:10.820,24:15.090,1]  所以说这个当然这些聊呃这些的这个。
[24:15.490,24:30.490,1]  就是研究了就是我觉得他们日本人跟着咱们中国的这个刘珍珍跟梁思成他们同时代一看就说，因为那宋国是在关外了，梁思成，他们可能一直可能到了到了减半，以后可能才有机会去。
[24:30.490,24:37.070,0]  但是聊城梁梁思成从美国回来，第一件不就是东北吗，但是它没有东北大学。
[24:37.070,24:37.850,1]  嗯，资料证明。
[24:37.850,24:43.730,0]  就是您那很近哦，他没去，他确实没去，他后来用的资料都是关于珍他们。
[24:43.860,24:44.710,1]  对是的。
[24:44.710,24:49.770,0]  你你中泰对不知道这个这个溥仪有没有去视察过。
[24:52.690,25:0.140,0]  嗯，溥仪应该有的话，肯定不会再产生嘛，有可能会有背的。
[25:1.030,25:5.970,1]  对，因为现在早期的资料主要是看这个辽宁时代的建筑跟学校。
[25:6.830,25:14.270,0]  对我我很我很关心的贾老师接着给我们讲就是关于针对这个这个风格四有哪些。
[25:14.600,25:15.760,0]  介绍吗，或者一。
[25:15.760,25:31.440,1]  呃，他那个书里面的主要也是录了一些这个就是说呃当时的呗，但有一点就是基本上跟大家这个看到的情况差不多，就是说很很很有意思，就是说宋国四关眼睛时候看到的样子跟现在看的样子，基本上差不多。
[25:31.440,25:35.260,0]  我这我有一问题，那个什么齿轮是不是后改的。
[25:36.570,25:39.220,1]  是这样的就说呃。
[25:39.700,25:41.830,1]  宋国是应该是在。
[25:42.770,25:52.850,1]  80年代可能是呃，大学我一次，这次大学不知道基于什么原因就说他感动了很多东西啊，你讲的讲在吃完肯定是。
[25:52.850,25:59.810,0]  我想说的是，80年代所有的大学都把持轮给改了，就是原来都是明代的那个流利，吃完权利改回去了。
[26:0.930,26:6.970,1]  最关键的改的，我觉得是这样，他是把那个前面南墙的那个行只给改了。
[26:7.150,26:11.960,1]  呃，特别有意思就是什么老照片里南墙他是这个男士开三门。
[26:12.210,26:24.290,1]  山怎么样就中间一个门完了呢就说因为他是九间的大店嘛，咱们可以减去中间开一个门完了，隔了一边隔过去两间世强完了再又开一个门。
[26:24.680,26:29.070,1]  呃，就等于钱，现在拿才知道是南北一六开的七个门的就跟。
[26:29.070,26:36.070,0]  那个那个什么是的那个一个羡慕塔是吧，米雷光美都想亮点里面哈不是但是呢。
[26:36.070,26:56.600,1]  这个我不知道是当时他考虑什么原因，为什么后来呢，那个后来表天津大学做的这个奉国寺复原他还是这样的还是三个门，嗯，中间是强，所以他一开门以后啊，他把这墙挪到以后你没看咱那个倒座不是呵呵，有好多的壁画就给切下来，因为原来那个壁画是画的篮球，华世华在南墙上的。
[26:56.720,27:4.240,1]  就那墙它变成门了，以后再抢没了是缴纳壁挂给都给切下来那壁画，最起码那个武汉的那个是应该是明代。
[27:4.240,27:9.050,0]  嗯嗯，那其实也应该会影响他的那个结构强度了。
[27:10.150,27:28.930,1]  呃，这就不知道为什么他什么原因，因为反正因为你回忆一下那个上华四的那个大雄宝殿就上上还上华严寺的大雄宝殿，他就是开三门，他就是开三个门中间有墙，那我不是说是一溜一溜开了比方开了呃，八个门或遗漏开呃，一路开的。
[27:28.930,27:34.460,0]  那我得检讨我那路上跟业边说的那个彩那个光线的问题。
[27:35.910,27:45.170,1]  呃，对呀，所以这个呃所以，所以有一个问题就是你要富源的话，这个前提很重要，到底以前是什么样的一个情况是。
[27:45.170,27:49.270,0]  当时还以为这个会有这个光线角度的考虑。
[27:49.610,27:53.460,0]  现在如果开三个门的话，那就里边一片一码黑。
[27:54.610,28:5.640,1]  呃，也不完全是特别黑就还关键还看外面关环境，因为你记得那个竹子，你记得我们去那个华严寺我回来看一下照片，心里边挺亮的就是。
[28:5.640,28:17.660,0]  对呀，那个还算是挺厉害的，他也是我不是去过两次吗，我上次去的时候天气特别好，不想这次，然后那个特别亮里面实际上是有日光反射进去特别亮。
[28:19.390,28:22.700,0]  你是几你几月去的第一次11月。
[28:23.440,28:26.200,0]  啊，对，那是因为冬天的太阳地儿呢。
[28:26.500,28:29.730,0]  哎哎，对有可能是照着那个多一点。
[28:30.390,28:35.540,0]  而且，实际上您你也说过这个空间它是不是里面它实际上不是靠。
[28:35.650,28:39.740,0]  日光就日光只是一个辅助光还是靠烛火这样。
[28:43.370,29:23.990,1]  对我觉得这个超人超人上次提了一个很好的一个我觉得大家的一个够呛，因为有些专家也在想这些问题，就是说这个光线实际上对于空间的这种这种氛围的营造是非常重要的，对吧，这个包括这个西方的教堂也好啊，什么都是这样，那么呃可想而知，其实中国的这个佛寺里面呃，当然，这个一个壳值得争论的问题就是到底是有意识还是无意识的问题啊，就是来营造这种但肯定是就是说你想如果里面灯光摇曳了以后这个呃这个竹果一片这个感觉跟比较你现在这个弄俩大电灯泡，呃弄弄些，这个什么ed灯照明的肯定效果肯定是不一样的。
[29:24.950,29:32.340,0]  因为我我我我比较有这个直观感受吗，你们都在那儿，那个去去别的地儿，我在里边拍照，我拿那个。
[29:32.730,29:38.330,0]  那个手链在这个不光的过程中，因为手电视要晃动的吗。
[29:39.010,29:47.140,0]  是吧，那个晃动的过程中，你那个你看那个那个刘丽娜佛像的那个流利眼珠的那个高光点就一直在动。
[29:47.510,29:56.430,0]  就这样就就像他那个眼睛一直在在浙江的眼睛一直在动一样，然后就那个感觉挺挺好的挺神奇的也。
[29:56.500,29:59.360,0]  就是你就是你能类比。
[29:59.360,30:2.510,1]  你是不是就觉得好像这个佛事应该看着你似的。
[30:2.510,30:38.750,0]  不是就像他其实其实他其实因为光线在摇曳在动你其实充个光影，觉得他就是有有有也有动感就是不是一个商家一幽灵骑士有至少不是一个这个死气沉沉的这个塑像，而是也有一点动感，特别是那个眼睛上有高光，因为你看竹子你看我发给你照片，有的同角度的不同光线的那个眼睛呢，我在那个在前台其实叫我在那个电脑里在不断的那个就是快进的时候，就看那个照片的时候就看他眼睛那个高光点一直在动。
[30:38.750,30:42.250,1]  六点下是不是也有点事动画之类的，如果你短期的片子。
[30:42.250,30:46.080,0]  嗯，就感觉他们眼睛的栋楼就是这个感觉挺有意思的。
[30:47.740,30:58.405,1]  因为我觉得这个这所以说奉国寺特别就是你们去第一次尤其第一次去的都有这样一种感觉，特别就是说被这个好像被这种甚为给震慑这。
[30:58.405,31:6.250,0]  镇设置了它是这个真的是有政策令大家最直观的感受，其实是那个一代宗师的开篇。
[31:7.900,31:17.880,0]  嗯嗯，对对，对，其实其实我回来还要还有看了一遍，那个有点公司来来考虑别的什么大的对不拍这个风格。
[31:18.980,31:30.070,0]  这也要感，感谢这个本身大叔啊，这个他是因为片子里有他们其他直接介绍家乡的这么一个古建筑给这个王家卫当。
[31:30.070,31:38.260,1]  的确，你需要肯定很多人都不知道说哎呀，说句东北还有这么一个大的一个真是很这个很神奇的就是在东三省。
[31:38.260,31:42.530,0]  这不是这我就是代表我离那儿。
