[0:0.165,0:5.010,0]  大家好欢迎收听地下关我是IBM包括网络的不2万如一
[3:19.560,3:28.940,0]  钻石节奏的这个这个墓葬形制开始以后就壁画比如说在这个汉代我们知道这个著名的这个洛阳附近的打虎亭汉墓
[3:29.150,3:32.620,0]  呃和呃内蒙古的这个和林格尔汉墓
[3:34.070,3:35.830,0]  山山东东平的
[3:37.650,3:39.660,0]  他的都这个发现了一些这个
[3:41.490,3:43.940,1]  嗯就是可以上溯到汉代
[3:45.880,3:51.460,1]  嗯再见要定一下这个壁画墓或者故障计划就是什么样的是
[3:51.590,3:55.770,1]  就不一定是绘画颜料作画是吗还是说
[3:59.460,4:1.760,0]  我觉得还是应该只是用这个
[4:6.050,4:11.830,0]  规划应该这个叫壁画那个是应该是专家但是它也从一个侧面反映了当时这个美术水平
[4:12.940,4:29.500,0]  因为是这样的因为在我们如果翻开这个讲这个中国绘画史的话呢这个竹林七贤的这个专家呢也是被介绍成为一种壁画的一种就说就说一种图样吧可以这么来解释因为那个我们大家知道这个
[4:29.780,4:59.360,0]  纸质的这种绘画在中国最早只能追溯到我们现在能看到的只能接触到随带也就是这个故宫所藏的这个单子签的游春图那么是最早的这个纸质的这个规划啊纸质的会话那么在以前的这个我们只能在这个只能在别地媒介上边专上砖石上来就壁画比方说敦煌有病还有一些石窟寺内保存的一些壁画嗯比方像那个新疆的刻字啊这些有兑换那么总的来说壁画还应该是
[4:59.440,5:5.250,0]  拿这个颜料没笔在这个墙面上做这个这应该定义成这个
[5:6.700,5:11.360,0]  哦对我再补充一下不知道是不是有点乱就是刚讲到现在的这个考古的
[5:11.380,5:21.060,0]  呃发些资料吧呃有一批壁画墓葬壁画是现在大家国内比较容易忽视但是国外的学者比较重视的就是在这个高勾丽
[5:21.060,5:23.960,0]  高勾丽王朝他的那个墓葬里
[5:24.200,5:27.540,0]  大概就相当于我们现在东汉晚期一直到
[5:28.690,5:34.560,0]  这个这么一段阶段他那个高高立的墓葬壁画儿墓葬也出土了很多就墓葬壁画
[5:37.870,5:40.240,1]  那不是你稍微说一下他
[5:40.350,5:45.530,1]  跟踪跟踪员的墓葬壁画的关联是什么是有关系的吗还是说
[5:45.570,5:57.110,0]  当然有关系了对因为高科力的这个当然有生意了因为我们和中国的韩国之间一些关系韩国人认为高高历史我们中国没关系但是我们现在
[5:57.350,5:59.940,0]  国内一般学者认为高高历史也是
[6:0.920,6:27.730,0]  汉文化系统的一个王朝确实是高忽略他的统治的其实都是都是汉族的汉汉代的一个将军他们过去然后形成了当地一个地方证券它的现在我们从这个呃墓葬的发掘来看他的高科力的从这个壁画的从这个画风从他的题材其实都是和山东地区这个我们华北这个汉代的这个墓葬壁画的没有什么两样就是与哇伏羲和征婚
[6:28.420,6:35.690,0]  女娲伏羲东王公西王母然后这个然后墓室主人的它的这个形式啊然后他的都非常
[6:36.290,6:38.820,1]  所以说汉语言是没有
[6:39.470,6:41.250,1]  没有发现墓葬壁画
[6:43.450,6:45.770,0]  西汉应该这个壁画我觉得
[6:45.890,7:1.610,0]  对因为这个跟藏智有关系因为到了东汉末期以后才开始就是砖石结构的木木那个目眩吗那样才为这个壁画提供一个创造的一个条件因为以前他这个表现我们这次在那个江西发的这个
[7:1.940,7:11.650,0]  还好那就哎对他这个东西还基本是这种木木才农机黄山停售这种因为木质上它虽然也可能有一定的彩绘这是有的
[7:12.190,7:24.620,0]  呃我我看跑跑爸爸说他那个木头上也会也涂了一些颜色什么的但是好像没有详细的关于就是壁画因为他要成为一个系统就是有有构图有什么呃不仅是只是画面
[7:26.080,7:32.445,0]  对呀因为壁画他一定要有他要花在地上所谓地上就是说他在这个专属上他在负一层
[7:32.445,7:38.840,0]  这个比如说你要的啊这样的然后他在上对然后他才能这个作画
[7:41.240,7:46.080,0]  比如说马王堆汉墓我们也这个出土了很多这个会话出来但它主要是以这个柏华的
[7:50.520,7:57.470,1]  然后是不是到了北极这个墓葬壁画艺术就像佛教美术一样突然发生一个巨大的变化
[7:58.330,8:42.650,0]  对啊就像鲜花盛开了这个我觉得当然这个也一个呢就说喂这个有禁言呃也就近20年八二三十年这个新的这个考古发现为我们这个提供这个亏是这个北芪这个会话的一个很好的一个机会也陆续发现了几座大木而且这几个大漠非常幸运的就保存了完整的一些壁画那么这样的话使得我们对这个北极时期的墓葬壁画呢也有一些就窥探另外呢我们也有一些北魏时期当然呃时间相差不是很多啊北魏北极之间也就差了100多年北魏时期的壁画平常在这个太原啊什么而不是太原就大同发现一些我们可以看出比较来就是北魏跟北汽实习的壁画是有相当大的
[8:43.790,8:44.890,0]  哎你觉得
[8:46.820,8:50.050,0]  就是汉以来的这个B换墓地这传统跟
[8:50.050,8:51.340,0]  国外有关系
[8:51.500,8:58.120,0]  那我想问你我想我想问你一个问题你去那个大流士内幕你们进去了吗那怎么怎么进得去啊
[8:58.670,9:8.490,0]  那个就是山上那个不有也有一个洞吗那个有一个目送我们部署那个里边就是一个时事那个墙壁上有东西吗没东西有浮雕吗
[9:8.950,9:13.350,0]  好像也没有我们看了那个就是照片和那个什么
[9:15.840,9:31.990,0]  有点儿是吧因为我觉得是这样我觉得壁画我我是拿这个比方说拿埃及的未来对我就是想拿埃及的比埃及的东西他又有壁画又有这种浅浮雕其实我觉得他应该是同源的就是它这个东西比如说
[9:32.000,9:48.900,0]  当然话最简单完了标肯定比华要复杂吧因为这个你叼肯定公比较多嘛对吧其实我觉得应该是有有类似的而且这个这些东西比方说他画不成或者是画着讲这个话的不够久远那么他就把它刻上去
[9:48.940,10:2.610,0]  课程那种高那种ig那种浮雕那种羊肉我们看的埃及帝王谷就是什么呃这一系列法老的墓吧大概都是呃3000年前嘛就比这个汉
[10:2.650,10:7.300,0]  早1000是吧早过了年然后那个
[10:7.750,10:11.430,0]  那个形式感啊和那个设色特别像
[10:11.550,10:14.870,0]  但是画的有一些更细一点比汉字的地方
[10:16.210,10:42.620,0]  就是那我觉得就是形式上当然你说这个它们之间有什么关联我觉得现在没有没有什么关联但就是说如果从比方说广义上来讲为什么要在墓葬里画壁画那无非就是也是一样的纪念这个逝者在生前的一些一些一些东西或者是或者是这个葬礼的一些一些一些一些行径这个屋红讲过这个哎你老你要注意
[10:43.060,10:46.190,0]  北京那个形式是新的在汉贷款没有什么呀
[10:46.600,10:49.820,0]  我是国内es
[10:49.820,10:52.660,1]  现在还是方向时画像砖吧应该
[10:52.880,11:10.840,0]  对但是技术即使他是壁画题材和画像石这个五粮时尚的题材其实是一样也是上中下三三层上面是天当中是历史任人物下面的他的现实生活场景就是就是所以说就是北芪也是跟咱们上次聊了跟对外交流比较
[11:10.930,11:27.460,0]  广泛就北朝啊整个就是所以说它的那个比如说换五是啊华这个天界的这个概念埃及也是这样啊也是底子是50然后也是那出警入地那感觉一边出一边进然后那个墓室形式也是长木到
[11:27.510,11:43.550,0]  然后底下有这个一个路什么路鼎或者券顶的那个木事然后一会儿是这样然后放随葬品特别像这个呢我觉得是这样就说当时是不是跟那个跟埃及有什么勾连这个很难去去勾连起来但是就说
[11:43.550,12:14.660,0]  如果讨论中国墓葬形式的变化的确这事发生在这个翰墨跟魏晋时期中国的墓葬形式发生了一个一个很很巨大一遍呃如果我当然不是专家就是说好像是有那种数学目因为网站red对数学慕变成了这种呃变成了这种就是那个砌砖砖券的这种这种形式的这种这种墓葬这是完全是一个不一样但是这有一定的演变过程比方说到了那个汉代的呃
[12:15.090,12:20.395,0]  中晚期西汉就有比如它是开始在山里找这个血
[12:20.395,13:4.190,0]  就是比如那个东山呃是中山王刘刘胜内幕不就是在那个山里头嘛它就变成山里头哎宜山店那么那我在想依山掏洞以后要没有删了呢我就在平地起一个券就像在山里掏洞是一样的就是不也有这样的这种可能这只是我个人的一个猜测当然这个就是说这的确是一个物藏变化的一个一个很大的一个时期就在未尽到南北就是汉到魏晋时期这样那么壁画的形式也有一些变化那么如果就是我们抛开来就说在看这个北齐的壁画它呢就无论在构图上无论在内容上面都跟钱潮的壁画呢有一些很大的不同或者说是创新或者说是
[13:4.750,13:21.890,0]  总结一下就我认为啊就是说那个他的这个壁画比方说墓道壁画它是有一个主卖这个是一直是主要延续下来比如你刚一边讲的次子无数张但是我就说在北齐的时候因为受到了外来的影响以后他的这个在形式上在他这种
[13:21.890,13:23.295,0]  呃一些
[13:23.295,13:29.890,0]  这些这个内容上发生了一些变化这个变化呢在我们现代人看起来是一种是一种
[13:30.540,13:37.450,0]  很正面的一种变化或者变的非常就比前前面变得更有趣的更为我们现在所能欣赏
[13:37.600,13:46.180,0]  我是这么认为的因为咱们只要返返回来咱们咱们蜀黍这些壁画比方说嗯目前这个考古发现的这个有这么
[13:46.320,13:48.740,0]  几个地方因为咱们也都基本上都
[13:49.770,14:25.160,0]  那个当然现在那个河北的壁画应该肯定不在原址保存了都在这个河北省博里面主要也一个是那个如如公主墓还有一个就是万张大目湾张大没认为是高高高阳的对吧但是也没有一个确切的证据只能是这么推测吧但是基本上这个质量相当是不错的那么我们一四年的时候我们一块儿去了这个太原对吧太原附近的这个这几幅壁画呃应该有咱们看了应该有四次对吧一个是这个原值看到最震撼的就是刚新鲜出炉的这个九元岗
[14:25.850,14:31.160,0]  另外呢就是原地保存的这个选秀的绿化还有两副呢是在这个
[14:31.470,14:33.630,0]  看一下那个山西省博物院
[14:34.710,14:38.220,0]  呃龙瑞龙瑞木的这个话跟这个
[14:40.750,15:0.550,0]  水平凉市在朔州就是朔州的一个地方水瓶男朔州的一个地方这四幅壁画各有特点应该说这个从句水准该不一样就是说从新鲜感从这个观赏的震撼感因为水那个九月份肯定跟我们最大的因为九原岗是在原地他的这种形制他的这种东西给我们印象应该是最深刻
[15:1.340,15:5.460,0]  另外这个九元岗本身窖酒云岗肯定也是有一定的点
[15:6.570,15:9.070,1]  咱们去看九月涨的时候是很兴奋的
[15:9.230,15:12.820,1]  但首先最重要的原因是因为刚刚苏今天出炉的
[15:13.040,15:14.820,1]  是吧冒着冒着热气的
[15:14.910,15:17.990,1]  你们怎么去色彩都非常新鲜燕
[15:18.100,15:18.960,1]  我们
[15:18.960,15:27.360,0]  我们是那个瞿老师就是那个山西省考古研究所那个渠成福老师他也是当时这个发觉九元岗的这个
[15:27.520,15:30.860,0]  等于就是这家负责人队长队长
[15:30.860,15:31.330,1]  嗯
[15:33.930,15:40.540,0]  因为我印象就是一跟咱们一块儿去的嘛咱们就是开车从忻州成网在他那个应该是在忻州的西南
[15:40.540,15:45.030,1]  西南西南靠近太原的方向就去回太原的方向
[15:45.030,15:49.870,0]  对那一路上开过去他那个高岗上就有很多的那个大的那个风土
[15:50.750,15:55.350,0]  好像好像还有三四个不止我就是一就是忙呢嗯
[15:55.350,16:1.010,1]  我当时其实印象最深的是属于全福老师给我们讲的那个盗墓的事儿
[16:1.720,16:5.230,1]  因为这个没当时是已经空了嘛就是他只剩下这一块
[16:6.520,16:8.410,1]  哎不它不是只剩下地块儿
[16:8.570,16:10.380,1]  他是连壁画也没剩的
[16:10.380,16:12.670,0]  这个墓室里面是什么都没有啊
[16:12.670,16:17.610,1]  然后是六八折之后才发现的墓道的一个对话但是这个木也是空的
[16:17.930,16:24.710,1]  对你被盗空了碰到什么程度就是当地人都知道这儿一个有一个木然后里面什么也没有就小孩儿的本人张
[16:24.850,16:31.030,1]  他们玩儿挺能看谁长大的一个地方就是往下假是吧好像我记得这么这么
[16:31.030,16:34.130,0]  嗯对对是的而且他们这个
[16:34.320,16:39.110,0]  考古队知道这个目的信息呢也是听说啊是有一个
[16:39.680,16:41.320,0]  就是他们三大一个学生
[16:41.320,16:42.060,1]  对研究生
[16:42.060,16:44.270,0]  提供的一个信息这个研究生对
[16:44.730,16:54.350,1]  对我还老板这个老板这个故事跟另外一个故事搞混是怎么算了一只手的那个故事那个是那个是全量的呃对
[16:54.710,16:56.865,0]  那水灵灵那个更有戏剧性
[16:56.865,17:9.360,0]  对吧那个因为其实这个壁画了就是不是壁画儿墓葬的发掘他都带有一定的这个其实带有一定的这个数据性在里面那个水全量就更更玄乎了那也是一个
[17:10.030,17:11.740,0]  其实那个墓葬也是被盗墓
[17:11.740,17:14.670,1]  那是因为盗墓才发现那个
[17:14.880,17:41.590,0]  对而且盗墓这也是很传奇的一个盗墓就等于那个盗墓贼吓得墓葬里面去以后群内墓葬里面其他东西可能当然屡次被盗因为以前壁画并不是一个很重要的一个值钱的东西所以大家就放在后来慢慢壁画也变得值钱而且随着一个摘取逼化的技术变得成熟了他们待遇敢于坚持这些壁画所以到目前你看那水源的地方那盗墓贼都把那个线没线都打好了在哪切割什么都弄好了
[17:41.790,17:50.920,0]  就准备切了而且这个看着没线来看这道目的还是有一定的这个鉴赏水平它主要都避开了一些主要的这个人物啊构图构图都比较完整
[17:51.550,18:11.430,0]  对完了那个说是好像据说是切以前绝对壁画有点潮湿因为它地下嘛比较湿怕弄下来弄碎的时候想拿火好好干也没想到这两个盗墓贼盗墓经验很丰富的科学经验比较差一生活以后就木底下这个这个不流通二氧化碳中毒这这两个人就都
[18:11.730,18:36.840,0]  就就就就就结束在这个壁画里面了呃结束在了这个节目账里面了所以上门给吓跑了两个人死在下面在下面时间异常这当时企业腐烂什么的就小孩下去玩可能怎么怎么看见什么好像这个垃圾堆里怎么有脸有人少啊什么后来去报案报案以后完了那个才通知这个考古队去发现你讲的就是一边刚才讲的这个手就是好像是这么个
[18:36.840,18:42.700,1]  我觉得我有一事其实到现在也没有特别想过吗就当时的细节那个他们点了一个蜡烛然后
[18:42.910,18:49.340,1]  嗯万福灭了吗后来他们是怎么就不知不觉就就就不这样就是人就没了是
[18:49.960,18:50.710,0]  你说谁呢
[18:50.710,18:54.210,1]  就是他们点了一个蜡烛这个蜡烛阿
[18:54.370,18:57.170,1]  那底下不是也没什么氧气还是怎么着
[18:57.520,19:1.140,0]  对呀一氧化碳中毒吗他印花的重读是慢慢慢慢
[19:1.140,19:5.510,1]  也就是说也就是说两张单独的时候他们的那都还亮着对不对
[19:5.980,19:8.730,0]  一氧化碳中毒跟没有氧气是两回事
[19:10.230,19:14.510,0]  杨帆的重读是他就一样它的浓度超过了煤气中毒啊
[19:14.510,19:16.280,1]  那这个为什么会氧化碳呢
[19:17.030,19:26.630,0]  就是那人生不充分燃烧吗补全都不充分结合red对国内不是有一种就是碳烧烧炭盆自杀
[19:26.630,19:34.000,1]  写了很多啦是吧不是他为什么会就是一直一直落土产什么养他就能足以让他们就就吱吱
[19:34.000,19:40.360,0]  不是吧他好像是他好像是为了要哄那对他生活要哄那个壁画吗这把这句话烤干了
[19:40.360,19:41.890,1]  就是刚才媒体蜡烛的事儿
[19:43.020,19:46.180,1]  是我脑补他为什么老虎他妈可能看过职工看
[19:47.100,19:51.480,0]  我觉得盗墓笔记那个蜡烛的事儿
[19:51.480,19:58.160,1]  那我原来那我完全自己老虎的就是你一说生活我就想到了是捡了一只蜡烛然后完了奖励大部分都不变
[19:59.640,20:4.850,0]  这这这这回事这完全感觉看看这批完全是豆腐笔记风
[20:4.850,20:8.480,1]  不是因为我前两天刚看了那个电影儿就是什么叫什么来着
[20:8.480,20:9.450,0]  哦寻龙诀
[20:9.450,20:10.530,1]  其中绝对
[20:10.690,20:16.030,1]  说什么那个蜡烛如果灭了的话你就得赶紧跑这肯定有问题
[20:16.030,20:21.770,0]  嗯没有养那大桌面了吗那种面都没氧气了要要窒息辣都产生不了一氧化碳
[20:22.220,20:25.180,1]  反正就是我是完全被这个没
[20:25.180,20:32.200,0]  咱们这这些也跟盗墓关系很重了就是这些都是在盗墓人嘴里嚼熟坑吗
[20:32.330,20:45.960,0]  他们新发现一幕先拿金银然后也是伴随这是国内的这个什么文物市场猖獗是吧然后词也变成陶瓷器
[20:45.980,20:53.350,0]  原来最早的时候盗墓直到今年那个淘气都是打碎的或者要的对然后再去首尔拿桃子
[20:53.350,20:57.280,1]  社会到九元岗元岗绝对整个酒店长就是一大坑
[20:57.620,21:2.680,1]  就是那个这个说起来有意思呢就是九元长这个名字啊如果是一个
[21:2.820,21:7.000,1]  专业倒不准有文化告诉给他一听就知道这怎么弄他不用去看
[21:7.070,21:10.740,1]  因为什么呢因为九元这两个字就是古墓的一个
[21:11.030,21:15.470,1]  是同义词吧而且它其实是有来历的这个内存也是其实
[21:15.550,21:18.260,1]  耽误老师跟我们讲了这么回事然后后来我
[21:18.320,21:24.430,1]  也回去查查资料反正挺有意思就是这是值得说的一个是吧就是九元这个名字来历
[21:24.600,21:34.540,1]  紫园呢是语出礼记礼记有一段什么呢李记有这么一段就赵文紫玉舒玉关乎呃关乎九元
[21:35.130,21:44.700,1]  嗯文子曰知者如何做业务谁与归缺什么意思就是说招蚊子是赵青啊就是战国时候赵国的这个大湖肇兴
[21:44.840,21:50.810,1]  呃和他的一个同僚一起去九原区巡视救援什么地方虽然就是
[21:50.830,21:54.530,1]  他们赵氏家族的目的就是当时的一个贵族墓地
[21:55.410,21:58.980,1]  贷贷是贷的赵赵氏家族人都到这
[21:59.100,22:4.700,1]  然后他们就在这目的有点感慨感慨什么意思就是说这个资质如何做业务会不会就是
[22:4.700,22:6.620,1]  如果这些人都活了
[22:6.850,22:10.100,1]  咱们跟跟谁一起那个
[22:11.330,22:12.580,1]  具体天下比较好
[22:13.240,22:15.960,1]  他们其实讨论了一个什么他们就是说这个
[22:17.850,22:23.690,1]  张匹天下就是点评萧山的名字谁的照得上如何如何好谁不行
[22:23.910,22:25.390,1]  嗯就有这么一段话
[22:25.600,22:31.780,1]  这段话呢因为在里地理嘛而且他讲的还是这个就是照阁文章的事儿所以就比较
[22:32.050,22:32.880,1]  呃
[22:32.930,22:36.730,1]  被后世的人重视然后就一直被人饮用
[22:36.920,22:37.770,1]  对
[22:38.030,22:40.770,1]  嗯九元这个名字就成了
[22:42.060,22:44.700,1]  不断的在股市古诗文里出现
[22:45.690,22:47.190,1]  那个目的的概念
[22:50.800,22:55.390,1]  历代的是诗人作家就不断的使用它然后就
[22:55.450,22:59.390,1]  呃很多地方现在都有零九元命名的
[23:0.330,23:2.600,1]  地名啊三明啊甚至
[23:2.980,23:5.410,1]  那就更大的区域比如说这个
[23:7.110,23:9.440,1]  我记得在临汾那边有一个左边山
[23:10.450,23:13.080,1]  然后他们也是你说那个是
[23:14.070,23:16.610,1]  赵文祖家族你在那里对对
[23:16.610,23:17.790,0]  呃至于这个
[23:17.830,23:22.120,1]  就是忻州这个酒云港到底是不是李经理那个呢
[23:24.610,23:26.420,1]  但是可以
[23:26.530,23:32.085,1]  就是佐证他就增加他的可信性的是什么呢就是在宁代理来的
[23:32.085,23:33.820,1]  这个赛季通知里面
[23:34.160,23:36.270,1]  嗯明确记载了在主人找
[23:37.750,23:38.700,1]  陈英
[23:39.550,23:42.620,1]  公孙杵臼和韩觉得
[23:43.730,23:50.830,1]  这三个人是谁呢这都是跟赵氏孤儿这个故事有房的大英雄曾经组织我爸
[23:52.440,23:56.290,1]  赵赵孤给救了呃照顾又是谁呢照顾就是里地理
[23:56.750,23:58.340,1]  说的这个赵文图
[23:58.780,24:1.440,1]  他的名字叫赵武吗赵文子赵武
[24:1.550,24:3.450,1]  然后照顾这都是同一个人
[24:3.780,24:8.210,1]  对就能把它串起来既然如果那个这仨人的墓
[24:8.470,24:12.620,1]  曾经公孙杵臼和韩局的墓都在紫园港附近的话
[24:12.860,24:13.860,1]  那么
[24:13.930,24:16.110,1]  赵文子当年很可能
[24:16.400,24:21.750,1]  你在这这附近活动对当时的九元很可能也就是这个领导
[24:21.900,24:26.010,1]  嗯这是你定的这个推理关系但他也很难做事了
[24:27.060,24:32.000,1]  呃其实明代以来方通治理方式里记录的这个
[24:32.450,24:33.870,1]  这仨人的墓
[24:35.310,24:36.790,1]  那是不是
[24:36.880,24:43.580,1]  先停着这个真的是这三个人的目录这也不好说了因为因为后代晚期的这个和睦其实
[24:44.350,24:45.870,1]  也都很多都是付费的
[24:45.870,24:47.850,0]  北方史地都不可烤了吗
[24:47.930,24:56.230,0]  但是呢这肯定是老木这个我觉得也还是可信比如说那个现在就说不知道这酒店港大摩到底是谁但是好像
[24:56.490,24:59.700,0]  有据可查的话也能多多少少推断出来
[24:59.850,25:1.130,0]  这个就是说
[25:2.960,25:5.140,0]  北汽17或者是那个
[25:8.080,25:8.885,1]  对对对
[25:8.885,25:28.260,1]  那个确实在山西通知里面提到了这个呃荆州西门外的主人掌上有还有一系列的木有刚才说的这几个之外还有一些有有据可查有名和有就在史书有记载的人物吧就是最有名的是就是有一个叫
[25:28.870,25:35.840,1]  呃设立干的北他在北其实太窄就还是很很显贵的女人她的墓在增长
[25:36.270,25:40.870,0]  这涉及这个这个这个等于就是他这个姓等于是先被人
[25:41.540,25:43.240,1]  而且是这个
[25:43.630,25:47.130,1]  在北区里面有很多劲射底的这个大圆
[25:47.320,25:49.820,1]  对吧像那个太原还出过一个
[25:49.930,25:51.230,1]  涉及回落的目
[25:52.180,26:1.910,1]  那是那个那个壁画好像不是特别完整但是它的器物非常非常多但是也不是不让用zappos
[26:2.180,26:7.550,1]  嗯就是涉及这个性质也是北衢州的先别打进去然后出了很多五项
[26:7.730,26:11.060,1]  嗯这个太窄意思当然也是有
[26:12.810,26:18.730,1]  那个通知一下就是北极太窄涉及战幕在西门外人虎崽王墓
[26:20.280,26:24.000,1]  红石与他并列的还有一个设立是的就是两座
[26:24.070,26:26.060,1]  并排在一起的设定是什么
[26:27.100,26:28.510,1]  这就很有意思因为
[26:29.000,26:29.990,1]  我们
[26:30.330,26:33.380,1]  看着主人长这个木就是从他的
[26:33.570,26:39.440,1]  这个没道理的头像我们来观察是可以明显地得出一个结论是他肯定是一个
[26:39.690,26:42.280,1]  有有军事背景这么一个
[26:42.710,26:48.550,1]  五这样肯定应该是五项吧啊就是市北及时性的币种这样
[26:48.720,26:56.820,1]  所以能不能跟他对上能不能说就是他一定就是涉及站改王墓呢那肯定是不能说但是也许将来还会
[26:58.510,27:2.690,1]  嗯也许就能把这个入住人的身份也能解开这个
[27:5.900,27:20.220,0]  但是这个木本身它的等级是还因为他他那个还是可观的因为它是一个30他的墓道很长现在主要的这个发掘的这个壁画主要是在墓道上对吧我我一我印象做好慕道友30多米吧
[27:20.220,27:31.140,1]  这种这种而且这就其实相当长啦这个你如果跟把它跟那个其他底座选修啊楼任命相比的话应该说他们其实等级是差不多的
[27:33.120,27:38.240,0]  对对对因为选秀的木跟那个楼瑞这两个人都是王
[27:40.180,27:42.610,0]  但其实他们俩龙瑞好像是什么是东
[27:42.610,27:47.630,1]  一个是中安网是吧无论是官网明显就是
[27:47.630,27:48.420,0]  这是什么网
[27:49.950,27:55.310,0]  不重要的就是反正楼瑞因为它是那个谁楼太后的这个侄子嘛那当然是很显贵的
[27:56.600,28:1.820,0]  荣泰后面是这个高氏家族的这个等于是法琢磨
[28:1.820,28:3.520,1]  嗯今天就是五万五
[28:4.180,28:9.150,0]  所以我说他这个所以这个九元岗这个估计也是非旺季
[28:9.150,28:17.950,1]  对对对为什么说它是有这个军事身份呢因为特别明显而且特别独特的地方就是这个目标就是我们
[28:18.800,28:20.700,1]  嗯北京市其其他的
[28:20.710,28:22.490,1]  大木里面看到的木造
[28:23.550,28:27.570,1]  绝大多数因为目前而言吧可能只有
[28:27.680,28:30.180,1]  人长是除外其他的木子木造
[28:30.490,28:36.070,1]  计划的内容都是就是鲁不一样就是中出行和入账的对
[28:37.560,28:41.940,1]  有各种服务做的这种配套的打枪的哪种记账的物质
[28:42.070,28:43.810,1]  嗯基本上全是这个名字
[28:43.990,28:46.630,1]  但是前面最前面是领导的这个
[28:51.380,28:57.070,0]  是这个呢是这个等于它不太一样它有这个涉猎的厂子还有这个
[28:57.070,29:3.100,1]  嗯咱们咱们都亲眼目睹了这个这个人长独一无二的木造
[29:6.510,29:16.470,0]  对反正我印象我首先印象最深刻因为我这个咱们这个呃建造师新出炉的也不多首先觉得这个颜色的鲜艳是超乎我们的想象
[29:17.450,29:21.180,0]  这是我第一的这个感觉非常多的但是我觉得他
[29:21.180,29:25.220,1]  呃跟我们一般对啊怎么说呢对
[29:25.330,29:29.390,1]  中原的绘画的认识还真的不太一样就是颜色特别丰富
[29:30.380,29:35.240,1]  不是特别那种就是很雅君的那种硬塞的方式但是确实很丰富
[29:36.940,29:43.120,0]  而且还带有一种这个我觉得这个有些这个草原民族的这种这种这种风格在里头
[29:43.900,30:19.645,0]  这个大家都谈谈这个观感我觉得因为我们我们四个人都在我们有幸在第一时间看到这个这个因为现在已经看不到了因为结果就被这个接接取了因为没法在那个生活其中原来想原址保存但是可能还是没有这个条件因为原值保存的确涉及到很大问题不要去体检项目那时候就决定在原址保存为说那时候那个徐老师说那个当时觉得这个他选项目在一个高岗上他的这个地理环境比较地下水位对但是呢通过了这犬畜牧这个十几年的这个原值保存监测还是不太理想
[30:19.645,30:23.790,0]  这个他的这个人的脸上还是起的这个没办法
[30:24.250,30:37.570,0]  对因为他还是没有达到因为毕竟即使地下水位的但不能保证这土壤中没有水分尤其下雨啊或者怎么样淘气他没有做到这样那个盐碱化特别厉害那个脸上都泛言出来
[30:38.550,30:42.490,0]  所以这个这个而且国家的保护资金也没到位因为
