[0:0.490,0:4.340,0]  今年势必下关的第17期大家好我是竹子
[3:38.500,4:20.970,1]  就是根子赔款当时是像这个清政府向这个英美啊就是八国联军的八国赔款后来英美等国呢就决定把这笔钱呢就是他们不让不让进自己腰包他们就组织了一个这个退一部分退了退了一部分对不是全部的不是全部的然后就是用于支持中国的这个教育啊这个学术呀这些东西所以好像朱老当时他们是申请到英国的更更款所以后来这个三七天以后营造学社被迫离开北平以后呢这个好像这个更宽的这条来源也断了所以他们还是就是非常的以后就是八年抗战期间可以说是这个弹尽粮绝啊这个非常的困难
[4:21.460,4:39.910,0]  嗯中国再次有一本书叫中国营造学社史略里边他提到了中国就是这个营造学社在三年到三七年之间学社调查过137个县就说我们说他的前一段就是还有哥哥推广还有资金来源的情况下他们大概调查了古建筑
[4:41.050,4:54.795,0]  1823速完成测绘图1898张那这时候还是有来源的情况下那么看到以后他们男性以后实际上这个在资金非常短缺的情况下他们仍然坚持着做这个调查
[4:54.795,4:57.815,0]  和测绘的工作那么实际上在
[4:57.815,5:2.610,0]  昆明和调查的昆明大概是50米处然后滇西北
[5:2.610,5:5.560,0]  九个县140多除以及四川
[5:5.830,5:11.450,0]  三十五千七百三十一处也留下了大量正规的资料和这个测绘图
[5:12.150,5:16.680,0]  所以这个这个相比来说后一段其实更在
[5:16.920,5:22.850,0]  举步维艰的一个情况下完成了非常对中国建筑史非常重要的
[5:22.850,5:31.830,1]  对这个这个是非常就是我觉得非常让人觉得感动和值得这个大家来回顾不能忘记的这一段这个历史啊
[5:33.440,5:58.270,1]  其实我们还可以就简单回顾一下吧就是说尤其是就有一有个事挺挺可惜的就是因为当时嗯卢沟桥事变爆发以后这个站站和非常这个猛烈嘛然后凉城和林徽因还有营造学社的其他的研究员社员他们就准备南迁而且他们走的很匆忙嘛他们不可能把他们在以前在华北考察的所有资料都带走所以就
[5:58.430,6:4.920,1]  就是主体乾朱老呢就把这些资料都存在天津的一个一个外国银行的地库里头
[6:5.190,6:8.420,1]  这个所以很多重要的资料都存在那儿
[6:8.660,6:12.290,1]  但是非常可惜呀好像在40年代好像
[6:12.430,6:15.410,1]  天津发了一次大水把那个地库给
[6:15.600,6:31.560,1]  淹了泡了所以很多资料就就瘦了很多损失这个线图呀他们发的测绘图呀好多照片啊什么的后来虽然做一些抢救但是肯定很多资料都都就回来这次水患里头了所以这是一个非常遗憾的事情
[6:31.860,6:38.470,0]  对我记得在清华大学那个资料室里面看到有的他们那个资料还有不开现在都有那个
[6:38.470,7:27.330,1]  水印SF后来好像朱老板他这个有些照片翻拍了有些图后来再请您重新描重庆话哎非常简单肯定损失了很多我我记得很清楚就是好像是零零辉鹰好像有一个文章好像有个记录说是当时看到助老写信给他们收到朱老师跟您说这个事儿就像是晴天霹雳一般的对他们来讲是非常非常的这个这个痛苦的事情我觉得是因为他们后期他们后期再特别有效期到了这个呃呃四川李庄他们因为很难再出去考察了嘛所以主要就是依靠以前做的测绘资料在那做研究撰写中国的这个古代建筑史所以如果没有这些特惠资料来说对他们来讲的简介就是不可想象的事情
[7:27.840,7:40.620,1]  因为这个讲到这些是对这这测绘资料其实相当珍贵因为那个大的历史背景是在这样一个这个这个国内临近或者是这个这个
[7:40.620,8:40.620,1]  不太安安全的一个环境下他们极力在抢救而且后来的事实也证明他们刚才阻止您讲的他测绘了这么多几千出的这个估计有很多都没有幸存的抗战以后而且还有更多的没有姓陈到现在今天所以这些股计对我们来说就说是一种非常珍贵的一个资料而且就是他们他们从北京就是从北平吗还是真可以说就是拿淘那两个字而且他们都不知道逃到哪儿好像呃都是先是跟着就是反正跟着中央研究院走吧就是当时这个民国政府的这个学学术机构好像我记得一开始他们先到了长沙在长沙呆了一阵子以后然后那个战国又来了然后呆不下去了又往这个四川走哈这个我看到这些记录我老想到了一本小说当然不太不太那个这个这个严肃或者不太这个准确我老想着围城维斯里不是也有反应就是他
[8:40.621,9:27.660,1]  去三里大学路上这个这一段故事但是有些还是挺像的比如说赶赶那个长途车呀怎么往上挤车呀然后这个用凉水和林徽因带着上有老下有小戴了一家好多口然后这个非常难然后行李怎么运然后人怎么做住在旅馆里然后又生病了然后好像我记得有一次他们到了一个好像湖南的一个小小小城市找不着住宿然后就正在手足无措的时候然后林徽因找到了一批这个空军的这个飞行员然后怎么样然后认识这些人让他们帮他们安排了一个地方看着非常感动的后来很遗憾的是这些飞行员以后基本上很多都这在空战中这个预览了所以对林徽因也是个打击他正好当时他认了好多弟弟
[9:28.220,9:33.490,1]  抱歉林辉本身自己有一个亲弟弟是飞行员教龄横吗后来不也是这个
[9:33.490,9:34.090,0]  资产
[9:36.200,9:56.790,1]  对他们基本路线就是说从这个北平对吧完了一路南下大概在长沙呆了一段时间完了在长沙呢完了后来又再往西走完了通过这个贵州啊什么后来最后辗转的是在三八年的时候后来到的这个昆明对到了昆明
[9:56.950,10:0.200,0]  终于看到了昆明有一个落脚地
[10:0.200,10:21.830,1]  落脚对因为当时那个大部分的这个文教机关那一天呢都在昆明包括这个很有名的这个西南联大吗西南联大不就后来在昆明这个所以很多的这个学者啊这个研究机构都在昆明所以他们也后来在昆明落角准备在那里原来是准准准备在那里度过整个的抗战的这个阶段对
[10:22.350,10:27.070,0]  他他们他们到昆明先是先是住在哪儿是在市内吗还
[10:27.070,10:31.490,1]  对他们他们好像因为他们一开始也找不到什么房子他们
[10:31.520,10:55.300,1]  营造学社办公点他们办公和住其实都都和在一块儿嘛一开始是在城市中心但是因为日本这个空军就是日本那轰炸特厉害嘛经常躲轰炸后来他们想这个就搬到城外去嗯很多西南联大的一些学者呀中央研究院的学生也都搬到了好像在昆明北郊吧都搬去北郊好像龙泉镇
[10:55.350,10:59.550,0]  龙泉镇对现在叫现在叫龙头村
[10:59.690,11:0.950,1]  对然后
[11:0.950,11:1.930,0]  人教龙泉镇
[11:1.930,11:23.960,1]  龙泉镇龙头村或者叫现在他原来叫中坪村后来我们我们发现其实这两村是挨挨一块儿的对这不是就是就是村子靠着村子可能是这样子所以有人说这是龙头村有人说是这个这个中坪村怎么样当时那个地方聚集了很多这个这个有名的学者冯友兰啊什么好像都在那一周
[11:23.960,11:26.260,0]  这是一个名副其实的文化村啊
[11:26.260,11:26.860,1]  对
[11:26.970,11:30.470,0]  今天早就肯定到处都是这个名人故居
[11:30.470,11:32.470,1]  也不尽然哦
[11:32.470,11:40.160,0]  但是我们看到的不是这样我们看到的是民工村应该城中村但其实如果你责成
[11:40.350,11:51.880,0]  对我我的意思是说现在时间住的已经不是那些名人了这个房子也都变换了现在应该表明公司就很多在昆明打工的人就在那儿租住
[11:51.880,12:6.250,1]  很很多就是原来坤原来那个深圳特别多嘛竹子你还记得吗就是对呀就是路特窄然后那些农民吧把自己家里房子都盖得忒高然后特密就是每家都盖了545层的那样子然后租给别人住然后就是
[12:6.250,12:9.840,0]  对对对我想听懂老师讲的听课
[12:12.110,12:25.820,0]  但是离离婚应他们那个那个房子在这儿建的那个房子因为是文保单位所以不能改也不能变然后就就变的被这个周围的小高楼包围建了一个厂
[12:25.820,12:26.500,1]  对呀
[12:27.010,12:39.250,0]  还记得我们我们去但也有一个好处就是我们当时不是走到旁边那个楼上面去进到人家宿舍的时候我们从上面往下俯瞰反倒这个格局更清楚
[12:39.380,12:58.230,1]  这个有点遗憾啊这个我们虽然也没尽到这个量零他们在这个龙头村或者叫中坪村他们这个故居啊但是我们反正也就是居高临下借别人窗户也看了差不多室内没看到室外是看的挺清楚的反正感触很深啊
[12:59.890,13:38.870,1]  这个这个房子当初还是这个倾注了他们辽宁两位这个那个先生的这个很多的这个心血因为这个是唯一他们为自己作为两位建筑师来说为为他们自己设置的一个呃小的一个暂时的一个居住吧还是这个就虽然在这个材料啊什么这个物资很短缺的时候但是这个设计还是看出了这个大这个大大家的这个匠心这匠心而且我觉得里头透着好多林徽因作为一个女建筑师特别的细心特别的事啊特别精致这整个建筑
[13:39.990,13:48.660,1]  对虽然虽然非常朴朴素的这么个房子但是就特别有品味其实其实比如比我想象的还要小看着很小的一个房子
[13:48.660,13:53.720,0]  我记得当时那个奇侠跟我们讲就是底下底下的那个
[13:53.860,14:4.830,0]  那个累的一块石头还还有一个排水的地方底下就是在在台基和普普菲墙的中间还有一块儿就有一圈时
[14:4.860,14:9.710,0]  石头磊的这个然后婚一抹上去还很有
[14:9.850,14:11.155,0]  看别致
[14:11.155,14:30.610,1]  哎对呀其实就是这就是他们这个作为古建筑学家他们非常的这个巧妙嘛他们就做了一盘散水吗我们在宋元建筑经常能看到这个因为南方雨水多嘛所以要把这个余水排了而不影响这个地基吗所以叫散水他们拿那个鹅卵石铺的然后做的特别精致
[14:31.090,14:56.690,1]  对那反正那个其实那个这个工作大部分都是离婚的时候在这个做梁思成后来那个因为继续要这个肩负这个营造学社的这个工作嘛完了那个因为那个华北地区和华东地区什么都已经沦陷了那么咱们正好趁这个机会等于到以前不太能到的这个西南地区把它对那边的这个古建筑进行了比较大范围的
[14:58.400,15:6.400,1]  今天这个因为这个古建筑考察他们主要是在这个云南跟四川两省吧主要是这两省
[15:6.540,15:12.110,0]  当时他们还没想到四川他们只是就近只是在昆明做一些考察
[15:12.130,15:45.980,1]  因为这孩子跟经济有关系对呀是因为你在那个读他们的那个就是那个考察刘敦桢血糖而且经常有看到这个要跑到当地的这个银行或当地邮局去取钱啊去什么这个这个什么东西就是说这个因为没有钱他下面就走不了这里头还有一个小花絮可以跟大家介绍一下就是当时引导学生在昆明开展工作以后呢梁思成的其实病了他好像得了那个关节就脊椎那儿不能动所以都拿什么一个什么东西固定的就是一直坐在那儿
[15:45.980,15:46.700,0]  你妈假
[15:46.700,16:35.920,1]  对对铁马甲他睡躺不下来所以他就根本没办法出去考察所以都是刘珍珍先生然后带着这个没松江城明达这两位年轻骨干吧在昆明周边考察有一很有意思就有一次这两个年轻人他们在考察的时候被抓了壮丁了呵呵就是给强征入伍了还去参加了这个军训后来好像说是是梁先生这个带着病体去找沈主席怎么样然后通了关系才把这两位放弃啊商贾对对所以所以但是我也可想儿子当时这个这个一个乱世嘛就整个社会的这么一个气氛这个环境这几位先生还能在这种情况下还能坚持他们的学术理想也好学术性也好也确实是令人这个非常佩服
[16:36.840,16:45.380,0]  那那他们在这个昆明城内也做了基础考察是不是有一些地方现在都不在了因为昆明事件太快了
[16:45.460,16:48.050,0]  就今天好像变化很大
[16:48.050,17:2.360,1]  对我先说看不到的就是刚刚竹子你不说了这昆明城市的变化很大吗这这这么多年的这个发展啊这个城市改造看不到的其实特别有名的就是公共建筑吗比如说最有名的金马碧鸡坊
[17:3.020,17:24.300,1]  现在当然我们有金马今晚上今晚必这是两个这个新造的大牌坊对吧但是这都是新盖的这两个牌子其实到文革说才才拆掉还有一处就是他们重点考察过就是在昆明的大西门那有一个很大的牌坊教鞭难守俊这么一个牌坊这个牌坊很可惜是给日本人空气炸掉
[17:24.480,17:55.270,1]  对那给日本人炸掉当然不止这一个排放了还有那个他们当初那个考察那个昆明文庙昆明文庙这是中心嗯对大成店这也是被炸掉文庙本身现在还是这个机子还在整个的这个呃布局什么现在基本上都还在就是就是说大成殿什么当时都被那个日军的轰炸被炸掉对好像我们去的时候文庙好像昆明在准备后面是要把准备文庙再重新修起来
[17:55.530,18:12.950,1]  所以不知道现在学的怎么样了应该修好了吧但我觉得文庙修就有一个很有利的条件啊因为当时刘先生他们这个呃做了对文庙大成殿还做了很很很细致的测绘都有测绘图所以就根据当年他们这个测绘图基本上就能把这个大成殿给付园区
[18:13.650,18:44.060,1]  对这也是就是为什么这个测绘对我们来说的重要性就是他当门他们当时就是到一个古建筑都进行了很详细的一种就是科学的这个测绘啊因为这个不像就只拍两张照片也拍完照片并不能够完全复原一个键但是他们测绘图基本上可以给我们一个呃比较完整的一个方案啦昆明城内还有很多估计就是学社当年考察过的现在还基本上都在我们可以给大家一的简单介绍一下
[18:44.210,18:47.900,1]  嗯很有名的就是城外有一个筇竹寺
[18:48.450,18:51.740,1]  这个大家都很清楚吧因为特别有名
[18:52.940,18:54.440,0]  你这个加速做成
[18:54.440,19:16.900,1]  对呀就有500罗汉当然他这500罗汉市期末时候这个修的这个新宿的呃重读四代四后还有几个元代的和尚墓塔都是这个你这个西藏这个喇嘛教形式的这种这种复播塔这也是相相当有特色当年这个学社也是拍了照片做测绘图
[19:17.430,19:21.125,0]  还我还记得有一个是真心观吗
[19:21.125,19:35.760,1]  真庆观的城里曾情况有个紫微宫他是个木狗建筑应该是建于明代呃是昆明城里可能是现在吧是现在昆明城里保存的规模最大的一个目标建筑
[19:36.190,19:40.820,1]  不这个呢也挺有意思的当初那个他们去测绘这个
[19:40.930,19:46.140,1]  申请观的时候那时候那个道观已经是变成了这个昆明火柴厂
[19:46.710,20:46.710,1]  就说生产那个毅然的火车啊对对完了那个他们因为那时已经不是到关了这个实时变迁也挺有意思既然这个当时的这个火柴厂在这个现在应该说70多天以后了现在又变回了道观而且居然这个还保存着呃相对来说还是蛮完整的就是说比起其他这个被拆掉的古建筑或怎么样来说这个所以真心观还是挺这个挺幸运的一个古建筑谈到征信快还可以提一下子给大家介绍一下就是这个蒸汽罐的北边儿有一个很有名的一个过街塔小昭关塔应该也是元代的就是有一个像城门似的然后上面有一个复播塔减在那儿这是在元旦非常这个呃有有代表意义的一个一个这个公共建筑嗯在我记得在镇江呀在我们北京京郊呀都有类似的这个就是卡上面就是过节喽过节的这个门洞上有一
[20:46.711,20:52.470,1]  这个过节塔特别有意思大家去呃昆明仿古的话千万不要错过这个塔
[20:52.710,21:52.710,1]  对其实那个总体来说呢这个昆明这些年因为我在网上看到一些昆明的时候的老照片啊呃变化其实相对来说是蛮大的而且昆明的这个旧城保护工作其实做的我觉得是基本上是不是特别好因为因为你现在你现在你现在去昆明看基本上看不见任何的这个历史的这个遗迹在那里本来昆明城就不是很大那个基本上都是高楼林立呀这个老的这个历史街区什么的这个所剩无几就蜷缩在这个高楼大厦的这个后面有那么一小点所以这个我觉得是挺遗憾的当然这个这并不是昆明一个城市的现象就是这个整个中国的这个现象因为当初那个老照片你看那个昆明干这个那个曲家讲到那个那个大西门那个原来有老照片那个西门外面一片那个水池完了有山呃相当的这个美的一种
[21:52.711,21:53.580,1]  这个景象
[21:53.600,22:2.750,0]  去昆明本来就是以他有坚持啊才有这些股股市以及这么一个这个很优美地一个西南的一个
[22:2.750,22:4.700,0]  一个尝试这样
[22:4.710,22:22.160,0]  所以我记得有一一很长一段时间就是昆明的一些文人呼吁就说要保护老昆明那个食人鱼间还专门出了一本书就叫老昆明找了很多昆明的老照片来做这个对比来
[22:22.330,22:24.030,0]  我爱看吧
[22:24.290,22:45.170,1]  昆明特别有意思就是什么呢因为昆明暂时的时候就跟重庆一样的是一个暂时的一个大后方的一个都市吗完了有很多的这个很多飞虎队的这个飞行员当今飞虎队当时也在在他们那时候最先进的这个美国的那个什么柯达彩色胶卷啊什么的拍了很多的那个昆明那时候的老老
[22:45.170,22:46.930,0]  对对很多老照片是那个是
[22:46.930,23:5.870,1]  对对对所以昆明跟我聊得很很丰富的这个影像资料而且我记得好像前不久还前些年还做过展览啊什么的就是特别有意思因为他那些老照片保存得很好彩色的看起来就是就不像咱们看的黑白照片啊就觉得实在很久远的一个照片这些彩色照片一开开过来好像跟昨天拍的是的
[23:6.010,23:12.640,1]  但是已经是已经是这个呜呜面目全非SF
[23:12.640,23:13.770,0]  Red
[23:14.290,23:35.070,1]  对这这个是挺可惜的因为而且昆明挺有意思的我看那个昆明那边昆明很多程度上那个房子街景了挺像江南的那个有些情风貌的就那个那个街上那个两层楼啊什么大将来没有那么多山地啊这可能跟当初这个昆明的历史因为大家知道云南这个地方
[23:35.430,24:17.670,1]  主要的开发是在明朝嗯宋朝的时候云南那个地方还是属于另外一个当地的一个割据的一个就是南江政权南招对吧完了后来是元旦的时候后来并入到那个版图的明代的时候在明初的时候这个朱元璋还把江南那边的很多的这个人口都迁徙到了这个昆明那边等于来充实这个边边疆地区嘛所以我想可能有这个原因吧可能所以昆明有些这个建筑的这个风貌可能跟江南这个昆明市里最重要的两两个地标性建筑就是东塔和西塔现在还在当年留的那些也都考察特惠的非常仔细
[24:17.910,25:17.910,1]  嗯我记得我印象里好像西塔和东塔然后当中现在现在是昆明做了一条步行街好像里头有考托美食是是什么玉溪风味的什么嗯冰稀饭啊凉米线什么的我印象挺深的这个这两个塔数台历史还挺悠久的婴儿而且在他们那个以前日本人去呃也去考察过这两个塔而且闹出一段挺有意思的这个这个这个也不叫笑话了就是一段这个益是当初那个日日本学的叫什么名字宗派一中泰安一中动态哎他就看两个台他就通过外形绝对两台都很尊老好像是唐代的什么其实他也不知道是一个塔是老的一个塔是是在这个光绪连接重盖的只是按照老的样子改好像是西塔八步步西塔呢还是难招时代的就是这种北宋早期的一个原物那个其实挺遗憾的这个西塔原来金色的特别大可能
[25:17.911,25:24.650,1]  东西也也挺大的但是后来都是在这个同志年级那个回民大集的时候给烧掉
[25:25.020,25:57.570,1]  呵呵很遗憾所以西塔还是原物但东塔呢是毁了在光绪九年的时候重盖的但移动中泰这个他因为嗯他只能看个大概了他所以他说哎说两个都肯定都是他们认为是堂吧唐代的原物后来刘先生去看了那东他觉得哎这个卡的形状是似而非啊所以刘先生就仔细的研究了一下碑刻发现这呗看写得很清楚这东塔就是光绪酒店重新干
[25:57.900,26:4.210,1]  所以刘先生哎这个做做学问做考察一定得仔细啊不然不仔细就得办
[26:4.250,26:9.680,1]  犯错误所说说到这文章里面写的还是觉得汗流浃背这种感觉
[26:11.510,26:28.780,1]  这个所以这也是在做学生的意识嘛因为有些呃上我们也讲过就是日本人到中国来做他们自诩为这个好像对中国的东西也很了解实际上对于文化来说即使他们用汉字其实有时候还是隔着一层隔膜因为这个
[26:29.220,27:4.010,1]  门限跟碑刻石上提供了很多这个你表面上看不到的一些信息我们还可以提一下子就是其实我们到蒸汽观增进挂7万感觉就是现在的昆明市博物馆走没多远然后在博物馆里有一处这个实质建筑嗯我当然是用广义的这个建筑概念里头有一只这个经幢教地藏庵经幢可能那那个经常呢这个哎保存很完整然后规模也不小然后雕刻也很精美他应该是现在昆明城里保留的这个年代最久的一个
[27:5.670,27:7.130,1]  非常非常有
[27:8.280,27:9.810,1]  就那个什么年代的呢
[27:9.850,27:16.500,1]  年代我觉得可能也是南召那一定是难招的应该还是早期的会比那几个东塔和西塔可能还好一些
[27:16.570,27:56.290,1]  那个因为昆明呢当初也在西南的一个重镇所以他呢这个遗留的实际比较多啊当然不是很早了包括这个有些这个在滇池边上的一些什么彤彤停啊什么的他们营造学社呢也也走仿了一些这个大的一些寺院比如像这个昆明的这个圆通寺啊穷犊子啊他们都去这个做了走访但这些自愿的这个建筑呢呃应该说都不会很这个古老那个像这些试卷基本上都是清朝才就是就是现成的这些建筑都是清朝的
[27:56.620,27:59.240,0]  圆通寺应该是重建了吧
[27:59.410,28:13.940,1]  其实圆通是挺有意思圆通是格局呢看起来挺老的因为它是那种水大店吧前面有一个水池什么这种格局好像这个在这个呃在寺庙的这个布局里面还属于一个比较呃这个还
[28:14.010,28:15.730,1]  比较古老的一个古志
[28:15.780,28:53.830,1]  是不是这个区甲就是有那么点意思就是其实可以让大家想到一个那个晋祠就是这样对吧对呀就说我想到就在在镜子前面有一个有个大水池对吧有个桥怎么过来玩了这样的一个一个一个姓圆通词但他那个建筑呃应该说是这个不是年代很久园对其实这就有点让人怀疑圆通寺在最早是不是佛寺因为它我觉得因为你那个大家还记得吗桌子你还记得吗他圆通是后边儿前面其实都有一些水都有些全演示的可能他是不是附近也有一些这个山泉的这个发源地啊所以这个可能是一个
[28:54.080,28:55.470,1]  考虑的方向啊
[28:56.220,29:25.060,1]  当然这只是我的VIP了我没有做过很很详细的研究对完了还有另外郊外的那个群主似穹周四嘛当然现在有名的是它里面有那个泥塑的清代的500罗汉这个是筇竹丝现在比较有名的另外还有一些这个古计来说呢有些元代的这个复播是的一些呃和胜负塔这个可以只能就等于浴室的这个四的这个这个历史起码可以上溯到这个元代的这样一个
[29:25.820,29:26.890,1]  然后
[29:27.150,29:35.830,1]  学生把这个昆明做了一个大概的细致的或者说细致的深入的调查以后呢然后他们就决定
[29:36.020,29:39.960,1]  继续深入云南府地去调查云南的
[29:40.000,29:54.290,1]  当时应该算边疆了吧边疆的而且是尤其是少数民族地区的一些一些建筑因为梁先生生病走不了吗所以这次的他们在云南府第的一个调查呢也是刘先生带着木东江和陈明达一起进行
[29:55.180,29:57.820,0]  这个时候已经是三八年底了
[29:57.960,30:13.010,1]  对对对三八年的对他们一共要大概的这个行程就是昆明出发完了往西经过什么进去现在的经营啊还有这个呃居住山啊完了再沿着它是沿着这个呃洱海的
[30:13.270,30:40.290,1]  洱海的西边往上走往北走就大理对吧下关大理往上走完了中国大陆以后呢完了再在网上到那个就是呃南边转出完了到到到丽江到丽江以后再返回返回的时候呢是回来的时候是沿着大理那个洱海的东岸完了往下走完了呢再这样再回到昆明基本上是这样的一个大概的这样一个行程吧
[30:40.620,30:43.560,0]  他们在这一路上又做了哪些调查吗
[30:44.070,31:44.070,1]  对我觉得记录上去之后因为它这个调查有很多嘛就是说因为一讲的还有很多这个续费的这个地方我们学两个比较重要的一个节点来讲吧一个重要的节点当然这我觉得这个我们想周二几点其实也是今天两个这个这个云南的这个旅游热点对一个呢一个就是大理嗯大理当然现在大家都知道大理古城这个现在是这个非常热闹的一个旅游景点这这这个有点儿不雅于这个这个其实跟丽江也差不多啊这个一个就是很多人在那有有人开店有人干嘛的很热闹当初呢大理其实刘敦桢现在去的时候大学挺荒凉因为有这样一个时历史背景知识啊大概是在这个186几年左右嗯和那个云南呢出了一次叫杜文秀呃现在历史书叫杜文秀农民其其实呢它是一个云南回族以回族为主体的
[31:44.071,31:45.650,1]  一次这个
[31:45.750,31:59.370,1]  战乱吧呃把这个云南省呢就等于是基本上呃有那么有那么十来年不到的话也有七八年的这样一个时间那么大大家知道战乱一过吗
[31:59.680,32:33.130,1]  基本上就是这个中国的古建筑及肯定是第一受到这个灾难的一个地方这是第一第二个呢这个也跟这个企业的性质有一定的关系这个因为它是回民起义所以这个有宗教上的一些原因所以这个刚才讲到的叫昆明的这个佛寺啊什么的这些寺庙的这个破坏呃相当的严重那首先来讲的就是大理大理现在一个最有名的一个旅游景点就是大理崇圣寺三塔这个崇圣寺呃是相当大是南昭时期的就是
[32:33.220,32:59.730,1]  一个大的一个佛斯当时这个留的这些人去的时候那个崇圣寺的除了三塔存在的话他那当时那个佛店的那个机子因为因为那个那个佛寺都在这个回民回民的这个这个企业当中被被烧毁了但是那个机子啊柱础啊这些东西那时候还还都在非常规模非常大所以那个刘德珍那个当时测那个调查的时候也挺感慨
[33:2.420,33:23.130,1]  但是我们今天去看课就是已经是完全变了换了人间了因为现在现在那个崇圣寺已经修起来了而且修的特别大现在找了一个比可能估计比原来还大了不少倍的一个一个佛寺一直从这个从洱海边一直修到了苍山脚下等于是
[33:24.130,33:36.960,1]  呃对呀是啊就是但是就是有点遗憾啊就是说当然我们先暂时不说他这个建筑修的怎么样啊就是修的到就是外形怎么样但至少有一点就是它
[33:37.310,34:37.310,1]  对景观这个是一个有一些这个影响因为本来站在那个角度可以很清楚的看到这个洱海啊三塔呀还有这个昆明的城的这个这个这个这个来给现在都被他那个很差的建筑给挡住了是啊所以那个这个单这个因为这个这个古建筑附近这也是一个值得大家去讨论的一个话题啊这个而且怎么附近附近的规模怎么样按照什么标准参照什么形式对吧这些都是就说有很多值得探讨的地方那么但我们说到崇善寺嗯从大理三塔大理三塔本身这三塔还是挺有意思的但是呢因为现在有一个很有一个不太好的一个一个姓就说这个一个井有个尺度的问题哎代理商哪毕竟它是这个以前这个谭朝时期啊也就是快1000年前的一个一个建筑哎我我我补充一下这个三塔只有一个塔市呢
[34:37.311,34:50.460,1]  27的一个老塔其余两个都是这个名但是配的这个两个塔对男老师那个塔他等于也是一个等于是密檐式的一个方法对83大概13层那么最漂亮的中间那个大的高的
[34:50.830,35:9.720,1]  那个但是它这个尺度跟后面新建的大殿一笔呢他这个看着几个点就不是那么高大了就这就是一个问题这是一个我觉得是一个很重要的一个问题就是说现在的建筑如果他过于的炫耀自己的话就会把古建筑比他去这个因为没有办法跟古建筑来比
[35:9.720,35:21.750,0]  这就是前期华严寺新修的这些房子古建这个这个错误就是所以你要把原来最大的那个大雄宝殿显得特别的小就隐没
[35:21.880,35:25.020,0]  因为新建的塔河县太多
[35:25.980,36:4.770,1]  那应县木塔fit想到就是应县木塔吗最近是这是一个最大的一个我觉得是个问题因为你必须这这这个这个咱们这个套用现在时髦的这个话说就是对对这个股历史古迹要有一个定位的这个心态啊不能说我要做的比比古人还要这个还要强呃这是一个就当初那个他们离婚他们去调查的这个大力大力崇圣寺三塔起码另外呢就是大理其实大理县城就是大理古城周围还有一些这个塔就是不处理重资产还有好像起码还有两个塔吧
[36:6.040,36:7.990,1]  对他们当时调查过
