[0:0.220,0:4.595,1]  欢迎收听并下关今天势必霞光的第16期大家伙事业编
[2:44.810,2:52.930,1]  但是我对这个中山的了解还是非常片面的那那那这些这个有有小学的春游啊什么这些东西组成的中国人
[2:52.930,2:59.080,0]  这个这个了解更好呀我觉得先页面你不如先谈谈自己片面的了解你觉得松山是
[3:0.830,3:15.140,1]  坦白的说只有什么跟同学一起去春游然后那个女同学什么长什么样儿那个照片儿因为只有照片现在还有就是当年其实完全荒凉因为那个是80的
[3:15.140,3:18.520,0]  这个时候释永信大师还没去呢是吧去了吧
[3:19.230,3:21.950,1]  那应该是吧那就是
[3:22.190,3:25.640,1]  对很荒凉的那时候就是刚有上一次那个电影那会儿
[3:25.700,3:38.840,0]  那个是大师可是在少林寺电影之前就去了不讲了讲了少林寺电影这个这个这个什么我第一次听见中山的名字就是上次电影日出嵩山坳晨钟惊飞
[3:38.840,3:41.020,1]  嗯哎你你要不唱两句
[3:41.020,4:9.770,0]  哈哈哈哈呵呵这这个这个不太合理我来wesley哎这个古村这个我我觉得你这个知道中山也太晚了因为我知道嵩山就是小时候看的那个叫少林寺的民间故事这样类似的这个儿童读物嘛然后反正还是跟少林寺SF有意思就是它里头这个民间故事的一条主线就是少林寺的和尚和松阳观还是哪儿的这个这个倒是的
[4:9.770,4:10.330,1]  蔡老师
[4:10.330,4:15.710,0]  这个争夺斗争复杂呵呵Ali使的一条主线
[4:16.350,4:18.620,1]  好像个名山其实都有这个故事
[4:18.620,4:38.970,0]  中山头总的来说就是其实少林寺呆了这个还是跟咱们这个历史上的这个五月有关系啊这个其实那个阅读镇海你们五月咱东南西北中对吧按照中文的五这里面其实有一个挺有意思的一个现象就是说呃咱们我到泰山去你可以看见泰山写一个叫五岳独尊
[4:41.190,4:59.910,0]  嗯对吧完了就说你好像以东岳泰山为主可是呢其实按照中国的五星如果咱们去过这个这个北京的那个设计谈对吧那个东南西北中其实中间的那个黄埔是最最主要的它不是五色土吗那个那个设计谈吐所以其实
[5:0.240,5:5.360,0]  哎其实其实我觉得就历史上就挺有意思的就是说中越跟
[5:6.090,5:22.920,0]  东岳其实这互相之间是有一个纠葛这也挺有意思的一个是而且而且这个咱们松山之所以登上历史舞台也跟这个风扇啊也跟这个很有很大的一个关系的估计原来离首都近后来离首都远了就变态上了
[5:24.120,5:47.150,0]  不泰山的实际上是一直有一个因为泰山这个传统倒挺深的因为你想东岳泰山完了那个完了各地都有一个还有那个东岳庙这个东岳庙呢又跟泰山有关系还跟这个就是这这让我想起一个去山西一个有一个有一个有一个有意思的一个经历就是那时候问人家哎是那个东岳庙在哪里和那个老头说
[5:48.350,5:49.240,0]  黄飞鸿
[5:49.660,5:53.750,0]  皇皇妃是黄飞鸿黄飞鸿red
[5:53.750,5:58.220,1]  华为黄飞鸿黄飞鸿你会es
[5:58.220,6:6.180,0]  没有跟我那个跟上一次港一句我觉得就是说其实这个就中越崇拜东岳就是泰山崇拜
[6:6.180,6:7.450,0]  这个是挺有意思
[6:8.480,6:16.370,0]  就是好像这个当初那个谁那个旗下还做点研究关于这个这个武则天风扇什么
[6:17.100,6:31.430,0]  呃对这个三月的崇拜其实应该是在战国时期这个和如家这些山东这些如是门市大有关系的所以他们讲讲了一个所谓的风扇的概念就是不是封吗是风天吗就是
[6:32.320,6:38.500,0]  这个是对天的一个崇拜然后善事其实是善地所以风扇风扇包括这个两
[6:39.300,6:48.000,0]  所以他们这个如家就讲就是就是创造了这么一个观念就是说只有在这个太平盛世只有有得到的这个这个
[6:49.030,6:55.390,0]  得到天命的帝王才有这个资格去分散所为真是所谓天人合一了吗就是这么感觉
[6:55.870,7:0.410,0]  那其实最主最最初风扇的帝王是不是就是秦始皇
[7:0.810,7:2.950,0]  对啊对秦始皇就是封泰山
[7:3.140,7:6.830,0]  他统一之后才有四至要不然这些山东别人国家里的
[7:10.010,7:20.760,1]  哎你们你们讨论了这么多这个形式上的这些话题跟我们的那个阻止号称是要谈论艺术史话题这有什么关系啊这个我问一下
[7:20.760,7:25.520,0]  我觉得有关系啊我觉得这个锁有的这艺术都围绕着意识形态展开的呀
[7:26.080,7:29.710,1]  嗯那你点开一下喽那你不能只有意识形态咋弄
[7:29.710,7:33.040,0]  对呀你比方说那个咱们现在到这个这个
[7:33.800,7:36.605,0]  松山看见直停
[7:36.605,7:39.330,0]  就说挺重要的一个就是汉三阙
[7:39.920,7:47.260,0]  这个应该是这个咱们这个在中国大地上所保留的最古老的
[7:47.960,8:5.510,0]  建筑物地面这个咱们以前在那个在这个古剑里面讨论过啊这个广义的建筑物应该包括识趣对吧那么这就涉及到那个太室阙少室阙根其母缺的这个三区的这个由来这个问题这这三区基本上都渐渐在这个东汉时期
[8:6.450,8:12.330,0]  东海17那么其实他原来都是什么都是这个庙前面的一个这个神道阙
[8:13.600,8:14.810,0]  太室阙那就
[8:14.840,8:22.270,0]  直接这个因为咱们讲的松山松山实验室是两座大山构成的对吧一个叫太室山一个叫少室山
[8:23.240,8:37.830,0]  那么泰山因为古人嘛对三月的这种崇拜使他在那个泰山他那个汉武帝时好像就有了在下面就修了一个泰式庙完了在东汉时期在泰山庙前面建了两个区的派市区你这解释一下太适合设施
[8:39.270,8:44.410,1]  对为什么有这两个区别就是是只是有什么身份象征吗还是什么
[8:44.650,9:3.420,0]  我觉得太时尚是其实不是特别难解因为它就是两座山完了呢那两个山呢就说一个呢矮1.1个高一点那么他就把高一点的就以太为民泰师大的意思吗叫泰式就是一个座大山那相对来说比较矮的这三个就要少室就是小小小一点的山我能补充一下吗
[9:3.620,9:6.660,0]  就是传说中就是说其实呃
[9:7.250,9:14.610,0]  这是这个和我们华夏文明的实时组织一这个大于有关系这个大雨呢有两位妻子
[9:14.810,9:30.580,0]  一个叫其母一个叫邵一说是这两位呢就是分别住在两个山下所以那个大的呢就是就住在太室山他也是就是以以这个大房这个得名的少室呢就是以这个少一这个名字这个证明
[9:33.140,9:50.060,0]  在这里面呢有有那这里面那个那个其母就有点更那什么了那那个那那个其母因为这个大大老婆生了起所以呢他这个他妈就是最最管他叫其母就起着起他吗对吧完了给他建了个去那这个不就
[9:50.060,9:51.920,1]  你是大禹的儿子吗
[9:51.920,10:1.880,0]  对对其实大禹的儿子的大雨那时候什么几过家门而不入完了那个后来说是起是从这个他妈的这个被里面的时候跑出来的后来为了为了纪念
[10:1.950,10:8.250,0]  他妈就是大雨的这个等于刚才曲霞说的这个大老婆完了就弄了一个这个其母去
[10:8.560,10:10.250,0]  那那那小老婆没声吗
[10:11.060,10:17.870,0]  这个就不知道了他问出来了呵呵呵呵
[10:17.870,10:19.640,1]  我说你刚才提到说这
[10:19.640,10:24.205,1]  但却是中华地面上最古老的古建筑
[10:24.205,10:31.320,0]  对对对最古老的这个东汉时期的嘛因为那个呃虽然那个在
[10:31.450,10:41.470,0]  四川有很多去对吧但四川去的年纪就是年纪了这年就宁这个这个时间比较晚东向雅安却基本就快到了三国时期
[10:43.670,10:46.190,0]  都到了这个这个汉献帝啊什么的时候
[10:46.580,10:58.390,0]  那山东那些比如说像那个五粮食的那些却吧其实他和这个呃太室阙和邵市区还就松山这些去还不太一样它都是这个这个
[10:58.620,10:59.980,0]  铃木前面的去
[11:1.440,11:2.590,0]  对是墓葬群
[11:2.590,11:3.740,1]  那年代呢
[11:3.740,11:6.840,0]  岩代应该也是稍晚的应该也到翰墨
[11:7.190,11:10.490,0]  因为我们知道这个券吗作为中国这个这个
[11:10.600,11:23.820,0]  却形象有点像忙啊就说这么一个就是放在门前面的这么一个建筑原来都是些宫阙呀公式前面后来发展到这个在什什词呀这个前面立这么一个这个
[11:25.010,11:34.130,0]  标识的这个G入口这么一个概念以后慢慢的再发展到这个墓葬前面神道前面一个比如说审审走的这么一个路径的这么一个
[11:35.850,11:40.330,1]  那神道不是少是跟其母都是神道阙吧应该是
[11:40.450,11:42.810,0]  蔡氏却也是什么而且是陈大圈
[11:43.140,11:45.190,1]  嗯哦对对就这三天
[11:45.190,11:48.330,0]  第三次所以说他那个牧区还等级不太一样
[11:48.990,11:51.160,0]  哎你们最近几年有人去过吗
[11:52.340,12:0.560,0]  呃没有我在网上看过就是说那个那个网友贴的照片儿就是那个少室阙是重新盖了个房子
[12:1.140,12:17.650,0]  盖了个玻璃房子那个泰式却还跟原来一样就一个小房子来封的严严的也看不见那个少是缺钙了个透明的玻璃房子我觉得挺好的虽然不开吧他起码在外面都能看得见嗯嗯能看得清那就是咱们进去当时那个呃
[12:17.930,12:21.700,0]  哎当时那个房子也挺结实的就给扒了重新盖了哈
[12:22.260,12:28.550,0]  因为咱们去的时候正好就是看他那个规划图3D效果图说要进玻璃房子
[12:29.100,12:33.350,0]  但是咱们就是还是清华设计的什么没看见什么样的
[12:34.640,12:36.910,0]  对所以可以简单的说一下吧
[12:37.160,12:42.360,0]  太室阙在什么位置呢太世界现在就在我们这个今天这个中岳庙
[12:42.570,12:47.950,0]  中岳庙前面大概我觉得有一里路吧大概500米到1000米之间这
[12:49.070,12:52.320,0]  这个呢他正好是对着这个太室山的这个主峰
[12:52.610,13:0.100,0]  太室阙就很很没定的就是我们现在肯定确切无疑的知道太室阙的这个位置啊就是在他原来
[13:0.120,13:4.640,0]  太室阙刚出建的这个位置而且他前面的那条北北边儿这个
[13:5.350,13:16.310,0]  这条道路吧就是当时这个态势庙的那个道路所以以后我们现在知道就是以后的这个中岳庙应该就建在泰式庙的这么一个大概的这个这个这个位置上
[13:16.800,13:25.830,0]  嗯今天我们太出去今天还不太还没有开放这个有一个小的文保房那个文宝房很有意思他还是民国时代建的
[13:26.290,13:28.560,0]  当时就有一个保护这个文物的一个官
[13:29.030,13:43.220,0]  所以这个我们去很有意思我我印象很深的是我们去了然后我们因为通过这个呃文物系统这个开的门然后附近的有有有人来玩儿一看门开了也也进去了那个人就是这个
[13:43.260,13:47.620,0]  就是附近村里的人他都已经涨到40多岁了他40多年他都没提
[13:47.960,13:57.470,0]  没进过那房子所以也正好趁着这个我们采访的机会他还看到了彩是因为是那个纠正一下就是少室阙秀了玻璃房子
[13:57.940,14:0.510,0]  太室阙还是那个民国那房子
[14:1.920,14:38.210,0]  对的对的那就是上市缺八上数学因为那个位置吧少室山因为距离现在登封县城比较远一点所以那边呢还没有什么建筑物而且比较慌所以我去看上数学其实还感觉挺好的因为你现在还能看到他这个很清楚的看到上市却和他这个整个少室山的那个关系气氛也挺好所以我觉得把原来那个小的那个文宝防拆了建了这么一个玻璃透明的房子又就是又保护了石质文物的这个建筑嘛然后又又起到通风啊又起到观赏的效果嗯好像我听说是清华的郭老师做的
[14:40.550,14:43.830,1]  那他得经常打扫才行让他保持洁净
[14:43.830,15:26.930,0]  如有水气因为这个我看了网上有照片这个房子建得还挺大的这个就不是说是一个小玻璃罩着把这个缺罩住他是整整个建了一个建筑是这个全玻璃型的然后两边的这个两个无影呢是把建成却的模样等远远看就是两个现代化的大却套着一个这个两个一对这个古代这个缺然后远远的是山两个都是透明的我想风就是感觉还有其实你是想向他这个还是有一定的缺陷那个我觉得这个咱们可以不妨对下一个老照片啊其实古人那个就是那是外国人拍一些老照片老照片那时候看的因为那时候松山的一个职位不太多都是
[15:26.930,15:29.710,0]  都没有什么书看起来挺凶的
[15:30.790,15:43.320,0]  对就是这线所以呢现在呢他你说那个盖了个玻璃的房子玻璃房子还有顶说那老照片是连那个民国的房子都没有的时候是吧就是那确就是DEF是露天的
[15:43.610,16:4.810,0]  对对对全是露天的好像沙婉拍的还是拍的那个那时候看起来那个样子是最感觉最好呀但是文物保护吗那你当然就得考虑到各方面的原因吗但是如果你把这个却在放在露天的话那按照现在的自然环境那就保护不了多久了这这这这也是所以这么严重
[16:5.420,16:42.950,0]  对完了那个讲到一些这个引入证的话就去就是缺少了有很多的这个就是咱们西安就是秦汉那时期的那些那些各种各样的这个符号也好图腾也好或者各种各样东西啊也有些大家比较引以为这个好玩的一些东西比如说吉姆缺上就有这个蹴鞠图就大家在一起踢那个所谓的最早的足球的那个图案啊什么的这些呃反正就这些一系列的当时我的印象比较深就是去看这个松山汉三阙就觉得汉代这个艺术啊真是跟秦比
[16:43.510,16:45.520,0]  一下就衰落了
[16:46.920,16:50.930,0]  嗯就是他的那个写实能力就突然下降了
[16:52.110,17:1.250,0]  但是你从建筑来说你也看不到什么秦代的建筑除了你不是建筑是那个上面的却上面的那些那个浮雕啊砖雕呃
[17:1.350,17:2.400,0]  呃石雕
[17:2.930,17:5.710,0]  就是人物啊马呀
[17:6.360,17:9.890,0]  但是你也不能拿他柯兵吗有笔吧呵呵
[17:9.920,17:11.920,0]  嗯但是
[17:12.500,17:17.070,0]  就是他也是其实靠近这个首都圈的吗
[17:18.900,17:21.090,0]  对呀因为东汉的首都在洛阳
[17:22.270,17:25.380,0]  嗯首都圈的这个艺术就
[17:26.050,17:28.500,0]  整体写实就下降很多
[17:28.700,17:32.030,0]  哎但但不并不一定显示就是高明啊对不对
[17:32.710,17:39.370,0]  那这个但是它是一种技术他肯定是这种技术失传了写实是一种需要训练的技术
[17:39.550,17:55.400,1]  我我印象中那个汉三阙不是就是这个松山的这单却好像跟五粮词什么的相比它的那个雕刻还少很多是吧没有那么没没有粮食那么就是满铺的人哎对
[17:55.400,18:5.810,0]  那个因为五粮词是这样五粮词因为一边说了五粮词但我两次大部分的这个雕刻都是在五粮此前就是却后面的那个
[18:7.690,18:9.660,1]  因为它并非在那个券商
[18:9.660,18:20.320,0]  这样其实因为那个确现在还完好我也那个就是比较完好的这个树立在那儿呢但是原来那个食屎吗挡了他大部分的雕刻都是在那个那个石构建筑上
[18:20.470,18:21.860,0]  所以这个是有一点点
[18:22.850,18:27.120,1]  除了这三区还有什么呀不是还有这个有什么可可以可以
[18:27.120,18:34.515,0]  我觉得我觉得最主要是要讲一下这个一个引进一个天下之中为什么已经添加之中就是武则天风扇的这个问题
[18:34.515,18:41.890,0]  因为为什么我我就要讲这个就要回到解封因为这个刚才那个页边讲的这个就是其他的一些这个
[18:43.080,19:13.280,0]  那么因为山古建筑舅舅其实还是要回到一个风扇的一个问题就是说风扇问题就说这因为这跟这个倒角这个有关系因为除了唐代唐代以外呢就后来包括在宋代的时候因为那个嵩山梨的这个也是离着这个开封很近嘛所以惊醒了很多的建设就是留下了比方像重复工这样的这些宋代的这些建筑就是说唐宋咱们就一点吕下来比方就就刚才咱们讲到了汉对吧看完了以后就就应该是
[19:13.280,19:16.240,1]  哎怎么怎么怎么就躺着那松原市
[19:16.240,19:23.570,0]  嗯那是北京那是佛教的那个那屋啊好非常非常那那我们再再再再回去这个跨度太大了
[19:23.570,19:31.325,1]  就是为什么就是想你到底想讲的是这个就是风扇的这个概念是吧天下之中的感觉那可能确实跟踪圆子没有太大的关系
[19:31.325,19:50.150,0]  对因为是这样因为那个因为我们这样两条线一个是这个其实最主要就接下之中讲了这个古建筑群实际上还是跟这个天下之中这个概念有关系的当然他后来打包的时候好像我觉得那个就是我我印象中好像打包的时候304这些东西都没算进去
[19:51.510,19:53.400,1]  他没有出都安在里面的
[19:53.520,19:54.380,0]  储存在在
[19:54.380,19:56.880,1]  木伦河中越寺塔都在的
[19:57.710,20:33.890,0]  但是当初这个东西我不知道他怎么编排到这个天下之中里面去的这个其实我我一直是觉得这个东西还是有一定的这个我国声音就喜欢打包就喜欢办这个这个团体天下之中的升级其实这里头还是一波三折的他们第一年升的时候是就是叫就是天下之中嵩山天下之中大概以这么一个抬头生的但是去讨论的时候这个联合国教科文的这些委员们觉得不没散子天下之中哪有天下之中啊他们可能也没讲清楚然后第就发回重审然后第二年才把
[20:34.060,20:43.300,0]  古建筑加进去所以我们其实还OK就是以古建筑为这个遗产所以把这个一个形而上的概念又落实到了下面的我们这些建筑上
[20:45.300,20:53.680,0]  不过不过这个咱们再拉回到那个比这个什么还早的一个比瀚海早一个讲的天下之中最关于那个周公测日的这个问题
[20:53.760,21:9.200,0]  嗯摄影是吧这个才是这个天下之中的一个什么最最早的应该是起源吧就是包括那个告成镇不还有一个那个那个周公庙对吧还有一个那个大周公庙它本身内测的那个东西那个又晚了那个是元代但是说
[21:9.200,21:11.090,1]  对常州工程平台嗯
[21:11.090,21:17.270,0]  对车公庙那特警台就是那个小的那个就就那个两米高的柱子其实也是唐代做的
[21:19.010,21:27.440,0]  那个叫什么叫叫数了一池什么什么影子有有多少这个我不是特别记事表长吧池隐藏15
[21:28.420,21:38.050,0]  反正就是天地之之中的一个意思但是那是我觉得从现在科学角度来讲是没有什么道理的因为在那个比较纬度一样的地方都应该是这样的一个影
[21:38.430,21:52.390,1]  对他还是一个复会吧他其实为了为了迁都那个在营建洛邑吗成州营建洛邑他等于从那个关中也就是千都过来的时候然后为了为了证明这这个地方是一个好地方
[21:53.410,21:56.060,0]  完了基本上它是有一个范围那么
[21:56.090,22:5.290,0]  按照现在考古学来说就是说好像这个地区反正最早的这个华夏先民就应该在这个范围内活动那么自然他们就把自己的家乡认为是天下之中的意思
[22:5.520,22:19.090,0]  而且这个纬度上就差不多在这一个线上正好作为一个测试就差不多就好像是嵩山在南边完了好像还有人在测过什么包括到下线啊或者二里头啊什么这些地方反正就这一一个区域
[22:20.600,22:28.820,0]  嗯早期名就是一条大红这个这个对对对这个首都圈什么的好多都在这条线上
[22:29.410,22:48.835,0]  长安洛阳开封这这还晚了这更早比方说现在什么早期的一些遗址什么二里沟什么二里头什么还有什么包括啥基本上就在这个区域对对其实对啊那其实我们扯的远一点其实华夏文明这个我们鲜明有两个区域一个就是
[22:48.835,22:55.870,0]  这个中山附近这个洛阳呀附近其实还有一个就是在河东地区在山西新西南就是线下线
[22:57.420,23:0.470,0]  在那个位置其实这两个是一个比较重要的一个的
[23:1.270,23:3.420,1]  啊只有这两个点吗应该不止吧
[23:4.170,23:14.190,0]  这这就要保存我们华夏签名早期记忆的可能是以这两个点这个两个文明就说可能为这个为主的吧我觉得说
[23:15.270,23:33.335,0]  因为在现在在找那个现在不在那下商贷断代工程不着找来找去好像就一个就找到那个就是那个那个叫陶寺遗址那边现在不有什么发现什么的还有一个就是还在河南这边找嘛就是就是就是河南北部山西南部这些地区就觉得这是
[23:33.335,23:39.390,0]  这有可能因为包括这个什么跟咱们讲的大禹的传说呀什么的都应该在这个地区发生的吗
[23:40.240,23:44.970,0]  洗不是后来就是传说就是就语言起步就是下长的这个开始吗
[23:45.800,24:18.330,0]  这个天下之中是这样完了我们完了就是顺着来完了就到了周代以后完了到了请这个秦汉完了就变成那就是这个包括那个武则天风呃这个这个汉武帝啊什么的就见太师庙什么的那这里吧后来又又插入就刚页边您说的这个比如说这个松叶斯坦什么就本来这一下都是咱们中国的这个最传统的这个意识形态完了最后再在这个南北朝世纪就就横插进来了一个这个佛教的这个东西完了又也是占了这个就是
[24:18.410,24:24.620,0]  我想知道就咱们可以讨论佛教为什么就也在松山这儿开始落脚了这有什么书童
[24:25.020,24:29.880,1]  呃这还是因为洛阳吗佛教进入洛阳也也很早也是东汉
[24:29.880,24:31.140,0]  对呀对呀对呀对呀
[24:31.140,24:36.150,1]  对啊对那个少林寺也很早上一次也也不是在北朝才有的
[24:36.260,24:40.800,0]  哎上次应该上次应该是北朝是达摩这个到了这个
[24:41.730,24:44.720,0]  少室山下然后再再把魔洞这个
[24:46.700,24:52.630,1]  不是吧上一次就是咱们确实上次已经有了他在军训的时候休息的时候就有了
[24:54.090,25:1.520,0]  我以为从打比方说那个因为因为那个嵩山那边有一系列的寺院什么蒋宋月是法王寺
[25:1.690,25:8.100,1]  少林寺太晚了好像是永泰寺就晚了这个是坦白但是北朝长沙市北朝
[25:8.290,25:17.220,1]  赔偿永泰公主这这本类似永泰公主不是躺在那个大招牌陕西不是永泰公主墓吗但是那是唐代理的
[25:18.100,25:19.460,1]  这个也快40
[25:21.010,25:30.950,0]  所以这个佛教遗迹在那边也挺多反正讲起来这些现在就是教科书上讲的这个我们最早的一个古塔就是嵩岳寺塔是建立在这个北魏时期
[25:32.120,25:39.100,1]  对我觉得这个还是其实挺重要的因为这个就像你刚才说汉三阙是中国地面上最早的建筑这个村子
[25:39.490,25:41.330,1]  这个是中国
[25:41.330,25:49.000,1]  就是最早的塔吧对吧现在我们这话说有过一些争议但是纯一样现在基本上还是认为是
[25:49.120,25:53.270,1]  对吧普通老师你们也认为是主要还是应该是北魏时期的这个
[25:53.840,25:57.840,0]  但是留下来的吧不是最早的是吧是留下来的水
[25:57.840,26:0.560,1]  呃对对对就是现存的现存的最早的
[26:1.660,26:5.260,1]  他有过一些争议是吧就这个这个CSF
[26:5.260,26:7.460,0]  他其实是非常了不起这个
[26:7.830,26:22.340,0]  因为我们现在看到早期的一些塔的形象当然呃早期很很应该大量流行的是木这个木结构的木塔但是木塔这些东西保存不到现在我们除了辽代的应县木塔以外我们基本上看不到纯木结构
[26:23.000,26:26.110,0]  那么其实留下来大部分就是砖石
[26:27.000,26:33.160,0]  所以松叶是他现在一般我们这个建筑史上就说它是现存最早的一座这个
[26:36.310,26:42.970,1]  而且它的结构也极特殊就是公历嘛是吧就是唯一有这么一个一个形式的就是12
[26:42.970,26:43.830,0]  12面的
[26:43.830,26:47.970,1]  就凭面试一个12片12边形的一个平面啊
[26:47.970,26:53.010,0]  就是远远的看着像一个炮弹似的这么一个流进
[26:53.010,26:53.560,1]  嗯
[26:54.210,27:8.900,1]  就是非常美了其实他的那个曲线是上次我记得聊过说那个说明卡还是什么时候那个他那个曲线就及其呃就是飞虹路是吧咱们上班聊那个广胜寺的分红盘
[27:9.170,27:14.380,1]  嗯就就就完全无法相提并论哈就这个从中美
[27:15.290,27:20.630,0]  反正这个作业寺塔是这个至少是我们现在现存的最老的一座这个密檐式塔
[27:20.710,27:25.420,1]  对我记得我我觉得很有意思就是说他那个他这个形式哈
[27:25.510,27:33.690,1]  嗯也是有来有来源的就他不是说那个评分就是在旱地突然出来的一个形式他平时你看他那个跟你在
[27:33.850,27:43.470,1]  呃在西北地区看到那种北凉的那种我也想说北大持卡是有关系的对对对那个形式是应该是院士一看就是非常明确的嗯
[27:43.470,27:52.170,0]  哎那我们再往前面推他的这个原型在哪呢因为我因为我们这次去印度没有去这个北印度吗那个页面去的那个菩提迦叶对吧
[27:52.340,27:55.990,0]  你你觉得复习家电那个塔河松叶斯塔有点项目
[27:56.340,28:2.350,1]  嗯那应该还差还蛮远的吧那个是很晚的那是比较晚的那个大概是
[28:2.350,28:6.680,0]  但是就是感觉就像那种密檐那种感觉
[28:6.680,28:9.330,1]  这种产于印度是叫做只提的那种卡
[28:10.320,28:13.630,1]  嗯他跟他跟主卡是两个系统吗
[28:14.420,28:26.190,0]  对不一样对但是我觉得收益市场这种形式在中国也是蛮少见虽然是他加密颜色淡跟后期的面试它是六角形的面试是12角形
[28:26.190,28:28.980,1]  十二十七十八变形的主要
[28:31.160,28:46.710,1]  他那个因为我看他这个就是如果你把它跟北凉石塔去比的话其实是能看出它的这个形式的意义是什么就是说上面其实那个叫所谓的相论嘛嗯像游戏是从主板上面来的就把最上面有一个那个就是
[28:48.040,28:53.660,1]  就是就是像供奉舍利的那个地方出现了哪些那个道道阶梯型的那么一个东西
[28:54.190,28:59.210,1]  这就是现在这个卡差就是特别像伦巴他整个比较像RSX是吧
[28:59.290,29:6.510,1]  对对在整个就是在作业市场上其实审核上面的这个历年其实就是卡就是像轮就是插插一句行
[29:6.510,29:13.730,0]  我看综艺斯塔之前我以为唐以前全是四边形的哎对这这也说的没错唐大部分
[29:15.700,29:18.840,1]  呃方的是吧四门塔
[29:18.840,29:35.200,0]  嗯我就当时就没想到这个这个堂之前就已经有这种流线型了这也是其实也是绝无仅有的但是所以因为送SD卡是一个孤立嘛所以这个有些人有些学者也提出来这个质疑认为嵩岳寺塔可能到不了北魏那么早
[29:35.820,29:42.260,1]  嗯尤其是他们在那个发掘出的工以后是吧公里有那个
[29:42.260,30:3.670,0]  开元的一个就是唐代开元的一个纸还有更晚的是吧那是后来那个有比较有耐心待人什么进去玩啊什么的就这里面有一个问题就是说因为这个就是一个建筑常识一般来说都是先发地下水在修上面东西所以你觉得你地下室都是很晚了你上不动怎么可能是早呢这就是有些人来这个争论的一个一个论据了
[30:4.260,30:7.390,0]  我爸也是买了一房之后自己掏了地下室
[30:8.080,30:11.190,1]  你爸是想要到没没有他就想增加
[30:11.190,30:18.030,0]  你这这这北京很多啊这个这北京很多在家里这个这个干这个事情的啊
[30:18.030,30:21.690,1]  这个呃对不是还要把那个整个aa
[30:21.690,30:25.470,0]  啊18层地狱ev
[30:26.420,30:33.740,0]  但是像松悦卡这么一个结构如果你先有塔再往下去掏地下室的话这个卡扣往下掉了基础肯定是不稳定
[30:33.740,30:34.660,1]  嗯对
[30:34.660,30:44.850,0]  所以这个东西也很所以说各说各有理很难解释但也有专家认为这上面的好多东西就跟钢业边讲的这个很多东西都是很符合这个是那个时期的很多建筑课程
[30:45.130,30:50.370,0]  而而且有些东西只是在那个那个期那个时期才有过了那个时期就再没有发现
[30:50.370,30:51.100,1]  对对对
[30:51.290,30:57.970,1]  对他的那个塔身其实就是下面有两层吗那个两层上他身上有一些那个很符合
[30:58.100,31:3.190,1]  北朝尤其是其实跟那个小汤山那些那些
[31:3.190,31:4.860,0]  图文的那个那个
[31:5.210,31:7.700,1]  对他其实有四个
[31:8.160,31:13.470,1]  那个就是我们在安阳灵泉寺石窟那儿看到那种灰申卡的那种卡那种形式的
