[0:0.310,0:5.270,1]  欢迎收听地下关今天势必下关的第九期大家好我是竹子
[3:37.740,3:42.870,1]  补充一下啊这个从离开升级以后我们这个
[3:42.870,3:46.300,1]  直接就去了这个就是本科就上了德干高原了
[3:47.170,4:2.990,0]  基本上我们的这个从中印度地理来讲它这个德干高原一直到那个就他这个在印度中西部吧一直到那个阿拉伯海这一块地区他是有点这个嗯有点像这个美国大峡谷那种样子那种
[4:2.990,4:14.670,1]  它年代比较久了嘛所以大家都比较新嘛所以就地方有一点像但是因为它青石的已经很厉害所以相对来说也有点平但是还是有一些比较这个起伏的一些山峰吧
[4:16.080,4:29.580,0]  其实从不怕开始那么我们这个不怕哒这个城市大家可能从这个80年代的那个那次有名的污染事件可以知道其实这个城市本身其实是我们路过印度城市里面少有的挺漂亮
[4:29.580,4:30.230,1]  真正的成熟
[4:30.230,4:31.520,0]  对有个大湖
[4:32.600,4:33.885,1]  那个安静而且
[4:33.885,5:7.900,0]  对从博帕尔开始那么我们那个下面从博帕尔我们倒想去看桑琪哦看那个阿旃陀安装这个中间其实是蛮长一段路的我们花了两天的时间那个到了那个阿兰加巴德哎牙来加班的开始地址我们后来到孟买结束这一段时间大概一个礼拜的时间我们是看了各种各样时期的石窟大大小小大概有应该有食醋十多处是酷那最有名的我们是看啦加班德西呃北边的这个阿旃陀
[5:11.070,5:13.210,0]  出来一点点大概应该在
[5:16.610,6:9.770,0]  对la完了呢2018的本身自己有石窟完了我们又在开车去的那些课那些课也有石窟完成纳西克去浦那中间还有这个蓝牙迪这个石浦浦那本身附近也有两个早期的石窟怕假跟那个卡利完了我们再到孟买在孟买我孟买的北边是我们看的最后一个石窟这个石窟叫那坎合理那么基本上我们主要的就是石窟另外我还在孟买看了这个孟买向导上的这个印度教的是酷那么基本上我们这个行程就是从德里起到孟买中形成我们呃包了辆车大概是开了有4000公里就是这4000公里当然包括中间的这个小的这个呢这些缺口因为有些地方像海螺啦我们都去了两次
[6:10.500,6:23.260,0]  呃为什么去两次呢因为这里面还有一个就关门做题就是说大部分德干高原的这个石窟啊都是冲西的所以最好的时间如果大家去观看或者摄影什么的都是在下午
[6:23.860,6:50.950,0]  那么这样的话有些时间就安排不过来有些时间就必须下午先去抢一个完了第二天早上再回去看所以这个就是主要对很重要因为有些石窟我们没法安排到下午上午去的话都是被装所以我们从摄影的角度来讲就不是特别理想因为有些东西在这个背光就是不是看得很清楚这个是来提醒我们这个专业了对吧呵呵因为大学
[6:50.950,7:8.320,1]  从观看的角度也也也是其实就是阳光进去的时候最自然的阳光进去的时候最好对但是这这现在好多都都被忽略到了了好多旅行团或者自己设计旅行社都忽略了阳光的这个角度问题
[7:8.320,7:16.880,0]  对对对这其实是提醒他注意是非常重要的我不知道那个竹子你还记得不记得就在led石窟那次我们第一次去是下午大概四五点钟
[7:16.880,7:58.530,1]  对呀对呀我就没有赶上嘛我因为因为就是因为前一天做功课呢L啦最最烦就是最辉煌的地方最初这个摄影视觉效应比较冲击的地方就是那个你去要跑到艾罗拉的那个那个Sara的那个卡拉萨对就那个印度教的那个水钱庙那个地方结果我们在上去的路上被这个回家的回调的这个密封阻住了却在一番争斗之后就错过了在阳光最携入到内地石窟的那个场景的确比较遗憾嗯背竹子就老对小动物攻击是吧
[8:0.150,8:17.160,1]  那好像是另外几个小朋友养的这个然后我和古城还有这个超人的干爹这个去了第十课他们都是最早去的就是在太阳还很高的时候去的所以就就两样比较壮观的时刻DEF
[8:17.160,8:37.390,0]  他那个挑的落日的时候啊它这个冬日的这个斜阳值设定这个石窟这个这个情景还是蛮就说呃这个感觉还是蛮奇妙的这个不是说白天这个就是外面很亮里面很黑的能够能够感受到这样的这个这个情景所以说有条件的话这个时间的安排也非常重
[8:39.630,8:55.700,0]  那么基本上就是我们这一圈的这个大概的行程是这样的一个路线就是说如果我们也会可能把这个按照这个地图给他标在网上以后大家可以参考以后如果是要有机会去印度的话可以参考我们这个行程
[8:56.180,9:37.350,1]  因为上次我记得你们在印度上的那一批好像就说过说就谁提醒过这个问题说为什么没走那个蓝屏捏拉篮错那些特别著名的那个佛陀遗迹呃选择了这个西印度这些这些地区就瞿家做的主要的功课然后我们开始的这个旅行呐现在问问徐霞是不是现在回过头来看达到了一些目的或者是有更多的收获呢对呀那是自然的我们在第一次也就是说简单的谈一下我们为什么要走这条线儿因为我们这次一瓶有八个人嘛这个志同道合的八个伙伴儿嗯作为都是而且都是第一次去印度
[9:37.540,10:3.750,1]  呃因为我们以前知道这个大部分的我们现在中国人去印度啊就是说呃如果你是主要看佛教的东西的话一般都是走北线儿因为大家觉得哎印度这个佛教是从对呀朝圣之旅吗大因为大家认为佛教是从印度北部这个这个行程兴起然后像整个这个扩展的而且这个佛陀的仪器主要是在这个
[10:4.610,10:10.790,0]  哎那我打断一下你说你把北向稍微这个给大家解释一下北线到底是经过哪些
[10:10.790,10:14.945,1]  对现在就是主要很很有名的当然就是和国投的这个
[10:14.945,10:29.870,1]  啊这个生平的一些对这个活动相关主要有合同的这个单身地蓝毗尼还有这个博城到的这个菩提迦叶还有这个呃反映合同很重要的历史就像这个路影院啊这些地方
[10:31.050,10:38.760,1]  但是事实上呢就是说从现存的国教史记的这个年代来说呢其实这个
[10:38.860,10:56.020,1]  就是我们这次去的这个德干高原的这个时代呢要远早于这个白色线现代性县城那些仪器为什么呢因为第一个就是北京的这个佛教呢是比较繁荣的而且就是他的当时虽然有早期的一些寺院但是经过
[10:56.160,11:23.260,1]  历代的这个重建啊他后来留下的东西其实都是偏晚的东西举个例子比如说菩提迦叶那个很有名的这个塔的他其实那个卡是在公元二世纪才实践而且以后又丽带着翻建所以现在保存的那个不敌嘉业我们看到的那个塔呢其实是相当晚的一个一个一个建筑而其他的比如说像蓝屏的遗迹啊你能看到一些许多遗迹很多都是以后的这个这个这个建设
[11:23.710,11:35.330,1]  呃为什么德干高原能保存了这个更好的这个更早的一些这个国家实际呢那是因为这个这个很重要的就是我们这次看了一个主题就是他那开打了大量的这个佛教石窟
[11:35.550,11:43.950,1]  这个石窟这个东西虽然说可能也许他的这个源头是在这个伊朗高原但是他是在这个
[11:43.950,11:45.360,1]  印度才被
[11:45.510,12:1.560,1]  发扬光大然后再向全世界传播像像中国我们中国后来看到了很多是图像东南亚吴哥窟什么的其实都是印度的一个影响它的源头就是他的这个发展他的心其其实都是在我们这次看的这个所谓的干高原
[12:2.120,12:13.060,0]  我这里面就是说因为那个也就说有一个这个历史知识啊普及一下因为那个佛教呢基本上在这个公园
[12:14.780,13:3.660,0]  五世纪的在印度呢就开始就是衰落那么被这个新兴的这个印度这样的取代那么这样这个时候呢得到高原这个地方的这些佛教遗迹包括像阿旃陀这样的地方逐渐的呢要么淹没了要么就被印度教这个取代了所以这些佛教遗迹呢基本上在一个自然的一个就说那个荒废的状态那么这个北印度的这些佛教呃1G呢基本上一直保持到了公元十世纪到12世纪呃随着这个北印度这个这个伊斯兰化的这个过程呢他们造的这个毁灭所以这两个这个佛教就因为这两个他们的这个这个这个损毁的这个原因跟这个时间不一样相对来说使得这个南印度的这个佛教遗迹呢呃因为他是自然的这个
[13:6.020,13:13.390,0]  没有很多的人为破坏所以在19世纪20世纪再被重新发现以后呢他的这个保存状态相对来说
[13:14.400,13:34.920,0]  北印度的这些佛教遗迹能要保存得好这是一个原因另外一个呢因为北印度的佛教它一直延续到了公元十世纪12世纪因为它这个佛教嘛因为他在不断地在也是不断的在去就建新所以它保存下来原始的这个早期的这个一汽反而不如南方那么多
[13:37.750,14:4.840,1]  对还有一个我想补充古城就是说那个很多现在我们知道这个北方的那些就是蓝屏鸭脖离家也很多这个自愿遗址博教遗址的这个新的发现很多都还我们这和这个玄奘的大唐西域记有关系因为是很多人研究了闲着大堂洗衣机以后然后根据玄奘的记载然后到当地去这个进行考古发掘然后哎真的说明玄大气的非常准确把一些一直给发掘出来
[14:5.570,15:5.570,0]  讲到这个呢其实那除了玄奘以外还有这个发帖因为法显示早一早玄奘300多年到印度求法的一个大概应该算起来在东晋时期的生日对吧他这个这个他去他是从露露去的这个印度从海上回的这个中国那么他这个写的这个区域求法记他这个保存的更多比较早期的信息另外讲到玄奘的那个大唐西域记啊我这回来也研读了一下他有些东西呢咱们大家虽然刚才那个群侠说的是按照这个玄奘的好多记载进行了考古发掘印证了好多古代的遗迹但也有些东西到目前为止大家还在争论的一些东西比方说玄奘在记载里面大家认为记载的这个阿旃陀的这个地方叫阿哲罗呃石窟其实后来我对照一下玄奘的描述跟我们所看见的阿旃陀的这个石窟的现状并不是很对的上
[15:5.571,15:21.250,0]  因为她在她玄奘在他的这个表述里面讲到了这个啊这个罗这个石窟有这个大象70余尺那按照倘使71吃的和到现在起码也得有十几米到20米高这个好像我们在一路上看见印度好像没有发现这么大的
[15:24.110,15:41.930,0]  呃对呀那肯定不是现在现存的这个因为现存的这个这个啊单驼的这个石窟是在十八十九世纪的时候被英国人这个重新发现呃后来进行了科学的考古发掘这些都应该记录的很详细并没有发现有有这么大的这
[15:41.930,15:44.370,1]  证明他没有这个大象的1G是吧
[15:45.530,16:2.990,1]  对至少应该有比如说像像清楚这样有没有到那个很高很大的项目因为这二张图是看不到而且就说无很多人认为这个我昨天看了本书啊说有可能玄奘描写的那个那个那个四月有可能是26块
[16:3.640,16:5.600,1]  是鞍山坨的26库吗
[16:6.110,16:8.840,1]  对是啊所以说有可能是二战头26库
[16:9.340,16:12.210,1]  26号就是最大的那个支提窟是吗
[16:12.440,16:26.650,1]  72对对对对最大试题库对因为它毕竟那个后面那个最最里边那个那个读卡那个卡卡上面不是有项目但那个像最多也就几米吧到不了十几米高
[16:27.170,17:8.370,1]  但是有一点倒是说的挺说她说那个两边有跟前台说了两边叼叼着就是各种各样的图标这个到底合26股比较比较比较贴近对但是就说大象这一点哎他还说了就说他这个门啊就是说在宿舍的门口丢了两个大项就是那个像L的那个像这个呢也许现在26我们是看不到因为有可能崩塌了现在我们看到的是第16库还有两个桌子你还记得吗有两个像对不对但是16窟里头一个16铺是一个那个那个金水库嘛这个又和这个玄奘那些描述不是特别的对对的上所以也许这个还是一个
[17:8.490,17:9.810,1]  未解之谜吧
[17:10.440,17:33.050,1]  那那我们就索性来把那个因为我这两天也一直在回顾之前的里程哈我们索性把比如说每一个石窟的主要特点来来回顾一下或者你们按照因为我们是受理行的限制我们没有按照年代或者你们可以按照年代比如哪个是最早的或者每一个时刻有什么特点
[17:36.680,17:38.290,1]  因为上次太现场感
[17:42.110,18:6.820,1]  那个因为我们这个行程又是从北往南吗其实实际上是存在这么一个现象就是说因为我们后边看着呢到其实很多都是开导的年代比较早的嗯对对对比如说我们还记得我们到孟买前一天看的那个怕假石窟这个石窟可能是我们一路看过来时代最早的一个事故它的那个主要的那个智题库大概是开发于公元前20次的呀
[18:7.240,18:9.630,1]  这个是相当相当相当早了
[18:10.060,18:22.310,1]  对就是说它的这个雕刻应该说是可能比这个桑吉大塔的这个就是盟和那个两边为难的教课还要早因为那个是在把公元前一世纪教课完成
[18:24.970,18:32.300,1]  那个主要是提供烟台早于公元前对对还更早100年是这个这个更早的
[18:32.300,18:52.660,0]  这里面就是说也补充一下就是说为什么这个石窟在这个西印度有盛行啊呃因为这里面我觉得这个也是看了一些书籍介绍他就他就其实有一个最主要的原因就是那边的气候所造成了因为最早这个佛教徒的这个集结它是等于是
[18:57.380,19:57.380,0]  那么在最早他是拿木头见一个就是叫卡迪亚好就那样的一个房子那么在里面但是在西印度呢有一个旧特殊的地理条件他呢是一个等于是热带季风气候他半年的是干燥半年的是某种就是那个雨季雨季的时候几乎是天天下雨而且雨下的非常大所以这样的话呢就是说在早期印度那时候的建筑呢他也基本上就跟中国早期建筑一样它都是拿这个竹子呀拿这个木材做的那这样的这个房子是经不起这个长期下雨跟洪水的那这样的话呢就是说他们的早期佛教徒呢就就按照这个木构的这个形式那么开山凿成这个石窟来来进行这个这样明显的他就比较比较结实耐风耐雨了吗是这样的原因那么另外呢他们又借鉴了因为在那个孟买孟买是一个印度自古的一个商港他们主要的生意呢是跟这个阿拉伯就来就来
[19:57.381,20:1.440,0]  我那时候贾博思啊还甚至远到这个埃及啊这些地方做
[20:2.640,20:7.130,0]  明显的就是他收到的这个埃及啊这这个就是
[20:7.340,20:53.360,0]  波古波斯的影响这点就是那个超人你去过那个你给我们看过那个就那个大刘呃居鲁士的那个墓啊大家都把这句古诗的这个目的这种崖墓这种形式来作为这个石窟的一个早期的一个等于受到影响的一个源泉吧呃这样的话在西印度的这个他的这个德干高原的这个呃悬崖上因为得高于正好到了孟买第二他有很多这样的断崖这种断崖就非常适合开导这个石窟这就是为什么石窟在这个地区鑫盛的一个一个原因那么我们看到的呢比较早期就刚才那个群霞说的比较怕假石窟大概是纪元是在公元前两世纪那关键两世纪什么概念就是工业老师就在我们这个秦呃秦没
[20:56.500,21:20.330,0]  那么面对这样一个时代在我们中国科假肢这个无论是阿房宫的遗址啊还是什么已经基本上都是土堆了但是你到了这个这个怕假事故什么你看到他这些这个实购的这个东西还是非常完整的保存下来对这个还是相对来说按照他的年龄来来来来考虑的话还是相当震撼
[21:20.550,21:22.820,1]  对而且我觉得这个
[21:22.950,21:36.760,1]  特别就是说比较神奇的就是我们从因为刚才古村说了吗他的这个石窟当时开刀的时候都是仿造的地面的建筑就是木构建筑所以我们从石窟的这个形式和外形才能非常形象的能够
[21:36.760,21:46.630,1]  能够知道能够看到当时印度在公元前二世纪他的这个木构建筑是一个什么样子因为竹子你也看到非常的这个仿真非常的这个形象
[21:47.000,21:54.400,1]  对啊对这个这个印象还挺深刻但你想那些墓都不会是就真的是
[21:56.310,22:35.140,1]  这也太神奇了对就是他的整个石窟的开凿了这个形制吗就说一样的是纺织木狗的有些像早期的比如说像那个在我们看到这个怕假还有公元前一世纪开到那卡利的那个那个大锅对可以可以可以看到他还有一些这个木构的这个这个它在有些地方比如说他的那个上面的券顶啊还有他的一些椽子呀还大概用了一些这个木结构但我们到了奥兰加巴德看到他那个只提拨虽然也是这么一个顶也是这样一个券领但是它那个目标已经完全是用这个石头雕凿而成的所以也有什么的出现的眼镜的一个过程眼睛对对对
[22:35.140,23:14.660,0]  不仅是这个就是说吵架从早期的石窟到晚期的石窟我们也看出来他这个他的建筑装饰比较早期的时候怕什么时候比较基本都是素面的对吧也没有什么太多的这个没有太多佛陀的这个呃影像只是一些这个比较素的这个说法在这个字体库的中间那么随着这个时间的推移它这个佛像会变得越来越多完了然后这个装饰也更加的繁复那么还佛陀的形象也出现在那个正宗的这个只提的这个这个佛塔的这个前面或怎么样这能反映出反正任何的艺术它都有一个由简到繁的一个演变的一个过
[23:15.840,23:37.475,1]  对呀就比如说这个从石窟的形式来说吧现在有些人就是如果分得很细的话呀他把这个德干高原这边的这个印度的这个石窟它分为四四个其就说一期二期三期四期但我们不用分这么细我我觉得作为我们就是说如果普通爱好者来说我们只要知道这个早期和
[23:37.475,23:50.280,1]  晚期的早期什么概念呢大概就是我刚才说从公元前20几一直到大概公元后的230G这么一个情况就是我们看到它的这个当时开的这个基本上比如说他
[23:51.170,24:2.170,1]  大概是两种类型吧一种是只题库所谓支提窟就是他只几乎就是说英文教材接货这个恰恰是什么意思恰恰其实就是一个纪念性的一个一个
[24:2.180,24:16.120,1]  一个这么一个东西它就是在这么一个殿堂里把一个有迹象生有象征意义的纪念性的一个东西放在那里供信徒朝拜怎么个意思主要呢当然就是spa了就是所谓的佛塔
[24:16.370,24:19.310,1]  叫贾家后他是礼拜功能的
[24:19.450,24:22.450,1]  所以可以用英文来说他就是一个
[24:22.490,24:30.080,1]  天普什么功能而这恰恰获得这个周围呢就知题库的周围呢我们看到了很多呃你可以叫他
[24:31.100,24:42.780,1]  用用三水用用繁育来说他家这个皮科罗湖嗯迪尔对吧他是其实用英文来说其实他就是忙的腿他是真人修行居住的这个地方
[24:43.150,24:45.460,0]  咱们中文中文翻译就是
[24:46.460,25:2.480,1]  金蛇哭你也可以翻身房屋反正就是个对各种将就金水库因为当然是最更准确一点了这个他因为他的这个形式比较特殊它当中有一个公共的空间然后在石窟的这个就是说在呃
[25:2.620,25:23.370,1]  3D吧除了这个入口的那笔他都有一些小的这个呃给僧人修禅的这么一个空间然后在这个最后比他有的时候他有一些呃供你这个观佛啊或者或者米饭什么一个一个对象所以这个叫皮科罗库或者金属主要是这么大两种形式谁
[25:23.420,25:40.915,1]  那是不是从一刚开始就是这两种是要是就是说早晨同时出现对对对应该是这样因为他完全是模仿它地面建筑因为你想他地面的原来的这个寺院对不对他就有礼拜的这么一个建筑它也有分人居住的建筑所以他在这个
[25:40.915,25:48.430,1]  作为这个red他在山洞里掏出来这么一个这个这个私人它也是完全模仿这种形式也有这个
[25:48.500,25:55.770,1]  礼拜的这个拆迁后也有这个公司人修行啊这个居住的这个这个匹克路口匹克罗孤独
[25:55.770,26:39.270,0]  这个呢就是说那个因为早期寺院他这个不同的地方有不同的比方说我们去那个桑其当期也是一个很大的一个四月集合因为它那个地理环境适不适合开刀石窟的对吧但是也能看出他的寺院就说呃这还跟早期这个佛家生人的这个修行方式有有关系因为大家都知道这个佛教早期主要还是以小乘佛教为主那么小乘佛教讲究的就是个人这个修行啊这个所以在早期的佛教寺院它有好多的这个各种呃这个CL就是英文加起来就是小小的秘史就是一人一间一个人一个一个一一个商旅一个小格完了在里面打坐内部一打坐可以有的是闭关可以什么打长达一个月
[26:39.270,26:43.440,1]  因为我们再派假的时候我就感觉像学生宿舍
[26:43.720,26:50.960,1]  就是ad对对还能看看套间然后一个长廊
[26:50.960,27:25.080,0]  其实你看那个你看这个在那个其桑奇的那个佛教遗址也是可以看见他那个佛寺的这个呃那个大卡周围的那些那些忙的责任就那些增增房也是一间一间一间间像小的很小一般来说你可能想到就是你横躺下来可能有点困难只能就是说坐在那儿盘腿打坐的一个对一个人一个人接完了围绕着一个大的一个礼拜空间那么这个礼拜空间的是他们这个赠旅进行讲法呀或者集会的地方那么正宗会有一些佛陀呃佛教的这个当早期佛教起来比较简单对
[27:25.080,27:36.350,1]  我想问一下就是说呃是不是刚开始实际上只是一个宿舍就是只是一个很小的空间用来打坐修行的后来才出现了这个机会空间
[27:37.570,27:41.980,1]  因因为我我感觉会不会是有这样的一个变化后来才
[27:42.110,27:49.880,1]  才有比如说像中心痛苦有有有有就是把风防护和合里外实际上是放在一起了
[27:50.060,27:55.840,1]  是有这样的一个演变过程吗还是实际上的早期还是相对比较简单的
[27:56.010,28:32.540,1]  对早期还没有出现这个竹子你刚才说的这种情况早期还是就是说因为第一个他礼拜空间当然他是围绕着这个佛塔重办因为国投当时还没有形象对吧给佛法对我的印象就是我们见到的越早的地方那个空间也相对小然后也不是那么规矩像我们后来看一下阿旃陀就很明显就是都有大的李白空就是这个礼拜的空间越来越大或者说集会的空间越来越大他刚开始是这个是有这样的这个是怎么说呢是有两种考虑第一个呢就是早期开头的是开导的时刻都是一些普通人的贡献
[28:32.620,28:55.200,1]  就是说这个供养人都是一些普通比如说是一些在孟买这在这个西海岸做生意的商人啊一些有钱的手工业者啊甚至还有一些根据奇迹呀还有一些这个比较这个从事一些这个丰富行业的一些女性的一些东西所以他是普通人支持开头的对他那个私人的规模不会很大而到了以后
[28:55.700,29:11.850,1]  这个桌子你看到就是砸丹彤加进啊丹徒对他都是一些上层人物都是一些以国家的力量来开导的所以他那个规模那就是完全是不可同事而已所以你看到他的呃他深谈也会大寺院规模也大所以这个这个
[29:14.040,29:21.960,1]  就是不是随着时间的演变而且这这也方便对对对这都是并行的这几个因素都应该考虑在里头
[29:23.420,29:25.560,1]  我觉得你的观察还是非常敏锐的
[29:27.070,29:42.320,1]  没有因为我们是倒过来的所以你在带回去想我虽然是我觉得是我的一个误解嗯就是我我感觉是以为是这样一点点演变的因为我们见到我觉得每天都见到一个不同的形式然后就是点到推的意思
[29:42.440,30:40.215,1]  现在我只不过就又把它再再到续回去因为这个咱们是第一次吗第一次先是浮光掠影的先看一下以后有机会我们再去的话可以更深入的看一些更细节的东西比如说呃就是我们作为一个艺术史或者是佛教美术的爱好者来说比如说说你有没有感到我们去行程费我们确实是做了一些功课但是我是有意的把功课做得特别细就是说我大概知道这个是裤裙什么时候开的但是对每一个哭我并不很强大就是我们去之前我们就知道他具体是公元11世纪或者是20世纪公园和20G30G开头我们当然我们去了以后我们再看我们根据他的一些石窟的一些雕刻的细节他的空间的一些设计我们再来一个做根据我们原来的知识做一个初步的判断然后回来再看书对吧你还记得我们在这个那个那些课内事故我们看到那第三窟对吧哎觉得很有意思的样子是一个橡皮和罗湖的那个样子但里头呢虽然是有一个
[30:40.215,30:57.440,1]  都发在里边儿一看到这个石窟的这个正面一看哎这个他的雕刻呀他的这个门楣的设计阿姨看到和商机非常接近对一下子就把他的时代基本上就能断确定下来大概就是在公元前一世纪对包括里面有要差的那个那个形象
[30:59.000,31:15.900,1]  对呀特别有意思然后我们还是在在哪个石窟就前面有巨大的那个那个石柱然后还有肖也是和香气很很呃我们在两个事故看到了这样的形式一个是如果你记得吗是在这个卡拉石窟
[31:16.160,31:36.840,1]  他大概是开到于公元前11他现在他的那个支提不现在是印度现在流程下来的这个空间最大这个最最这个赛事最大的力度对吧你就能看到他是有大概有两晋前面一个空间后面是一个这个石窟然后前面有两个像那个那个
[31:37.360,31:42.190,1]  阿育王石柱一样的那么巨大的粗的这个这个这个这个是住对吧
[31:42.350,32:4.110,1]  会非常壮观现实留下来的一根了另外一个已经被毁掉了另外一个你记得吗但但是卡利那个有点意思就是他前面是后来了我们这对呀就觉得他这个很所以你还记得我们最后一天去了那个孟买那更合理那个第三窟其实他保他现在实在比
[32:4.220,32:40.290,1]  比卡拉可能要晚大概近100多年近200年的样子但他就说形制基本相同但是完全保留了像喀拉是出的一些基本元素前面的这个阿姨网速就类似阿育王柱这样的这样的注释然后后边那个门没的这个这个正面的设计然后在这个石窟的这个正立面上雕刻的这个供养人的这种形象还是他非常有意思就包括它外围墙就是一进等于是一上台阶的那那个类似大门或者外围墙上两边还有就是有有雕塑然后那个那个
[32:40.660,32:46.300,1]  就是这个墙上雕塑有点儿像像桑奇三塔的那个那个
[32:46.450,33:1.110,1]  栏杆一样的那个那个显著对呀对呀对呀所以我们就说现在大家谈到这个我觉得我们此行第一个当然是对这个印度早期的这个石窟啊有了非常深入的了解第二个也对这个印度艺术
[33:1.570,33:36.640,1]  古代的艺术它的本土这个申花的艺术也更加深入的一个一个理解因为现在大家讲到佛教造像讲到印度一开始大家现在很多人冒出来就先是健陀罗对其实建投老师一个后期的外来的一个但实际上我们见的极多的是我的意思就说我们比如说我们在咯尔利我们在更合理我们看到的那个事故上的这些雕刻对他没有河头的形象但它有普通这个供养人的形象啊我们可以看到他其实还是非常写实非常非常自然的这个这个这个根据东方一就是根据印度本土对对本土化的这个美学
[33:37.080,33:50.380,0]  对其实其实我觉得就是我们看到看到很多的这个照相或者这艺术风格就是是就说接近于就说咱们讲到的这个中中转期的佛教的这个集多风格的这个艺术的东西比
[33:51.630,34:14.580,0]  因为我们比较遗憾因为那个就是那个没有到那个码头的那个马坨的这个对博物馆因为时间对在但是我们看到的这个这个吗普罗风格或者还更晚的对极多风格的东西非常多因为我们在以前的那个北齐的那个艺术也讲过救急多风格的东西其实对咱们中国的这个佛教造像也产生了
[34:16.620,34:44.520,1]  对但是我觉得这个股市你还快了稍微快了一点就说我们在早期的比如说在怕假在更合理我们还往前再推吗就当时还谈不到码头楼盘不到箭头谈到及格就说这个还都是后期的一些发展但就看印度早期的就比如三级的艺术就这个这个差假呀卡利亚更合理一些石窟这些雕刻艺术这都是早吹这个箭头时代的这个印度本土升发的这个这个这个衣服
[34:45.400,35:23.620,1]  然后这个他以后发展出来以后可以说在以后形成了这个曼陀罗以后北方还有这个这个箭头路但是现在我们在反思我这次回来以后我看到这么多这个东西实物在反思我觉得就是说进度现在有一种本土的学者有种请向就是它抬高这个曼陀罗而这个扁的箭头并不是完全没有道理对我们感觉这个从视觉上看和或者从你一些传统审美的角度来看a箭头确实很美哎就是你觉得很美但是你不觉得这个箭头它是因为它只是一种其他的并非这并非是很写实的东西而是一种
[35:23.820,35:44.350,1]  一种很高仿吧应该这么说而这个你看我们在喀尔利看到的这些这些活生生的这些男女的形象我觉得真的是非常非常的生动而且非常非常的这个这个这个现实设计这个当然了这是一种是我自己的观点了所以我自己也在不断的调整的一些一些一些学校
[35:44.350,35:52.500,0]  其实我觉得这个东西很有意思就说印度这个国家当然也是四大文明古国之一啊它跟中国相比呢就是他的这个
[35:52.960,36:9.220,0]  对外交流其实也很多就跟中国其实佛教艺术等于是外来的艺术对吧中国的佛教艺术来了以后挑战了本土的很多的这个关除了观念以外对于中国的墓葬啊对中国的这个整个的艺术形式都发生了很多的变化就是因为佛教艺术的船
[36:12.160,36:22.550,0]  他早期的佛教是他本土的一种艺术对吧主要南方的叫张齐这些表现的非常但是印度这个国家比起我们来说有更多的这个外来
