[0:0.165,0:5.220,1]  欢迎收听地下关今天势必下关的第37大家好我是宜宾
[4:52.060,5:52.060,0]  差不多反正就凑出一个字怎么就突然大概四月末才知道然后就很匆忙的就就离我当时在大连念书然后就离大连最近的就跑到山东去了玩儿了一大圈而且也是在路上又碰到了同学校的学弟他们在就是我们的战士坐船从大连坐船到烟台然后第二站就是到青岛就在青岛的时候我们就遇到了嗯到第三天他就跟我们告别因为没钱了他们一天就把钱花光了然后我们就两个女孩儿我们这两个女孩儿他们这两个学弟嘛就算据我女孩总是带钱多一点后来变成我们四个人行不行然后所以所以就就呃我们在青岛然后还去了区铺去了泰山去了呃这这现在看起来就是挺挺挺基本的那些行李进来然后就去什么大明湖泰山
[5:52.061,5:53.770,0]  就就泰安就是泰山
[5:54.160,6:10.810,0]  然后呃屈服肯定就孔林孔庙现在曲阜比较有趣的时候我去了颜庙从此对自己的姓氏有了一个一个追问后来呢就好像慢慢的有这个概念开始看家谱啊什么的哎这这是一个一个
[6:10.810,6:11.980,1]  云之旅是吧
[6:12.440,6:20.010,0]  但那个时候完全那时候完全没有那时候就因为因为因为岩庙就在孔浦的几乎是对面
[6:21.070,6:22.600,0]  就跨过去了
[6:22.810,6:26.800,0]  对对对对对对其实很近然后就
[6:26.800,6:30.910,1]  会员就是说因为有一个黄金周是吧就是因为黄金周的出
[6:30.910,6:38.630,0]  那时候还没有黄金周就那时候没有放弃休息没有这个概念哎对就突然蹦出一个我们当时学校里给的叫春假
[6:39.170,6:48.200,0]  就然后我们想因为我们就是毕业那一年嘛所以就居然还有春假这好像是都是在外国小说里看到的
[6:48.200,6:54.190,1]  你是学什么专业呢现在啊那你们那个毕业那年还很就是
[6:54.890,7:9.060,1]  嗯就不是很很放很放纵吗难道我觉得那时候应该就是随便应该不论什么假期吧你要真的很想出去晃你就可以出去晃RN我们那边我们也是
[7:9.060,7:51.700,0]  差不多都已经呃对其其实对就从五月份以后基本就开始很就是对就有点儿有点儿就各种离愁然后每天什么吉他什么反正就什么折酒瓶子这这夜夜笙歌也差不多了然后男生女生宿舍啊也不太好意思那么管了但是但是确实是因为我们男生女生之间还挺就那个宿舍还挺严格的因为学外语的肯定女生多吗男生就属于被坊的那一波哎一直很咱到最后就每天都有哭的每天都有不舍得分呢反正那个关门的时间就越来越晚或者有有有有有在抵押唱着喊的那那像这个旅行给我很大的
[7:51.700,7:55.920,1]  哦好没什么好亏啊
[7:55.920,7:58.450,0]  有点每个月不是
[7:58.450,8:3.350,1]  我是说这个好橙子换掉因为每个人可能都都经历过这个整这
[8:3.350,8:23.880,0]  对而且我想我那个旅行也还现在想也就太一般了而且好多概念都没有那个什么什么文庙什么样子然后就呃就我我我真的全都是片段哎今天我还试图找一找照片发现照片全都不在手边也因为那个时候是我当时还记得我带了大概
[8:25.740,8:32.400,0]  那个时候我特别技巧的把每一章每一卷那个那个胶片都能拉到36张
[8:32.960,8:44.820,0]  就不是基基本能排出33张嘛然后就是你上学的时候要特别小心我基本每个都能到三十五三十六这样子但那样也其实就拍了四卷而已现在还是一天就干掉了
[8:46.350,8:49.220,1]  嗯这个这个细节我觉得挺挺怀旧
[8:49.220,9:25.210,0]  哎但是36张是标准的能拿到40张的有的时候08:38三十九四十哎呀那当时我当时我已经在这条很得意了手动相机多三证自动相机就是36哎呀好我都已经歌厅小朋友们都没事ad我听竹子这个屁股我有一个感触就是确实说的这个真是就是呃泰山曲阜三孔确实是90年代我觉得应该是最经典的一个旅行线路了如果你要看历史古迹啊什么的
[9:25.210,9:29.270,1]  这个哎难道每个年代有每个年代的经典路线
[9:29.270,9:38.300,0]  有啊我觉得是有有啊那个我觉得还挺有意思ore
[9:38.300,9:39.420,1]  经典的是这个呢
[9:39.420,9:45.900,0]  因为当时这个旅游市场还是方兴未艾吗而且这个文物啊什么的然后那难道不应该
[9:45.900,9:47.870,1]  是这个苏州杭州什么
[9:47.870,10:0.160,0]  是啊其实其实其实有一点是这样的就是当然也有地域性的问题吧还有一个交通的问题因为当时这个这个就在这个京沪铁路线上嘛所以比较方便对就行
[10:0.160,10:15.100,1]  那那苏州也在京沪铁路线因为当你是非a但是我自己那个的体验就是我当等我考上大学之后我我我父母给我的奖赏就是带我去了趟苏杭oksf
[10:15.100,10:24.010,0]  对呀天堂吗这个是从哪去的其实我觉得跟那个火车的时间有关系吧那时候火车没提速去哪儿
[10:24.010,10:33.240,1]  啊不我那个其实不是我那个算是什么呢就是呃高中毕业嘛我考我上大学就在杭州所以我怕带我上大学去在路上就玩了一下
[10:34.500,10:48.510,0]  哎对因为那时候交通是个很重要的问题比如说我们哎对啊你像我那时候家在苏州然后在南京读书那个坐火车就正常的时间都要开四个半小时
[10:48.770,10:56.050,0]  这个现在就是上海到北京的时候是已经已经很短了我们这都都论夜车的对我那个时候
[10:56.050,10:58.200,1]  上海到杭州就是四个小时
[10:58.200,11:0.860,0]  啊是啊那太幸福了
[11:1.150,11:31.970,0]  我基本都是夜车的而且这个旅行特别逗的是我们还打过拖拉机搭过解放军的车然后还被黑车甩下过然后还做过什么人力车呃坐夜车就火车那个时候学生根本就不舍得买卧铺脑子里都没有那项目就一定是一定是夜车然后这样就省了住宿费而且其实都很远就从青岛到兖州一味的去曲阜吗就是正好是一晚上觉得哎呀本省
[11:31.970,11:35.590,1]  你别说你那时候啊其实就是那个
[11:36.060,11:43.370,1]  古村跟奇侠他们最早开始晋东南旅行的时候其实他们的效率跟你这个其实基本类似
[11:43.370,11:56.920,0]  对吧是是我们刚开始SF背包然后就手机信号时我用联通手机red
[11:56.920,12:12.500,1]  这个这个事儿也是一个新兴事物其实这个大概是十年前或者十几年或十几年前吧对啊对然后那个现在我就觉得这都是一波一波从那个海外就是传播过来的一种一个概念是东西就是那时候开始一开始有背包客
[12:12.910,12:28.250,1]  驴友然后我觉得这几年突然开始有这个毕业旅行这件事儿也挺有意思的就是因为这个其实这是一个怎么说呢他就是刚才跟你说的那种啊我觉得严格意义上我不得不指出他不能算是我们现在说的这个毕业旅行因为
[12:28.250,12:57.370,0]  对我我只是时间上下调但因为我自己完全没有这个三没有免息而且而且也没有经济实力嘛当时学生多穷啊手里没几个钱而且刚才说到这个夜间还有那个竹子说到这个省钱或者怎么样的哎哟那个时候很多同学很不看的我当时我们班有一个甘肃同学他是他也像旅行家吧他他最后一年就是经常在外面跑据我所知他跑遍全国从来不买火车票
[12:57.390,13:0.090,0]  全是跑票那这个真的很多这样
[13:0.090,13:23.130,1]  对呀因为这个就是他们是一种像江湖人士或者让人有同学就有过关系非常好的他那个他就花了15块钱在外面浪荡了一个多月会员跑到乌鲁木齐然后这样票然后移到那个到任何一个城市就到大学里去那个振臂一呼有没有乡什么就这样就这样过了一个多月然后就回来的时候兜里还有两块多钱
[13:23.130,13:31.050,0]  呵呵ers
[13:31.050,13:36.860,1]  今天刚说那个是一回事儿就是好像有很多这样大家都是用这种方式来进行
[13:36.860,13:42.940,0]  我觉得是那个那个我我我上大学的时候十年前那还有很多人
[13:43.120,13:46.520,0]  回家什么的或者去出去玩就不买火车票了
[13:46.520,13:53.080,1]  对啊就是什么那个查票的时候就躲在厕所里然后实在不行就跳车什么的就是这种
[13:53.080,14:5.720,0]  啊然后这个哎哟很多惊险的故事我我我我听了而且他们很多就是因为当时南京火车票出站也挺人特多吗都拥而出反正怎么怎么样的这些反正都是都是高手
[14:5.720,14:36.230,1]  对说实在就说有一些这个旅行他不见得是毕业的那个时候发生的但是它其实符合这个概念因为毕业旅行他这个核心的意思是什么呢就是在我的理解啊就是西方的这个给人家感觉说你其实是一个成人礼吗就是一个叫就是按人类学的概念来说应该是叫red是你你的人生进入一个新的阶段的时候你需要呃做这样的一件事情当然也可也可以是别别的事情就成人礼有很多种就是毕业旅行是其中可能他们觉得
[14:36.840,14:49.250,1]  但是这个也不是西方自古以来的事情可能也是某一个阶段开始有的我觉得也也许是比如说那个60年代或者什么呃就是他们开始有这样的一个一个这个这个传统吧嗯就是
[14:49.250,14:51.310,0]  哎这个传统需要结伴而行吧
[14:51.310,15:20.450,1]  不一定还真不一定有很多人是就是单独因为他们可能个人主义倾向比较严重一些就是很多单独出去的嗯对对对就是就是不一定是在毕业的时候发生的就比刚才那个我们说的这种什么那个上海大学12就出去玩去了然后他其实也是有一有一种他觉得他自己快要成人了或者干嘛他有一种进入社会然后游荡江湖进行他可能神秘的成长对吧那在这个过程中这个很有意思因为我我其实
[15:20.900,15:29.110,1]  刚才立刻讲到的是什么呢是那个我小我在大学时候看到了一本一本小说了就是是余华写的叫18岁出门远行
[15:29.640,15:37.650,1]  啊但他其实是一个中篇小说但是那个它有它它有一个中篇小说集这个标题叫18特殊原因我不知道你们看过没有
[15:38.210,15:45.450,1]  就是我我上大学时候在图书馆看到这本书当时就是就是心神为之一档就是我觉得这是一个非常浪漫的
[15:45.450,15:48.760,0]  我哎我讲然后你出去啦我出去唠唠
[15:48.760,15:56.130,1]  我们那时候可能也很很多这种机会因为就是可能跟我学这个专业有关系吗经常也会出去就是去玩儿什么的
[15:56.130,16:25.650,0]  对所以18岁是个很重要所以为什么西方很多他所谓的comsf的这种电影或者讲毕业的都讲高中毕业了可能就觉得这正好是一个卡哎对我觉得觉得在colleges大学这个管理他已经是研究社会他只是SF但是刚才我说的那个真的就是这么一个像全球性质的这么一个人生的这个重要的阶段我觉得可能还是高中毕业可能更
[16:25.650,16:37.680,1]  好吧那我采访你们一下你们先那个思考两秒钟就是每个人你们的这个其实不一定是毕业旅行但是是跟你成人有关的有没有相关的这种旅行你们给我那个跟我们分享一下
[16:38.630,16:44.640,0]  这个对我来说这个问题到付不完美的为什么呢因为我其实其实
[16:44.640,16:45.640,1]  你还没成人是吧
[16:45.640,17:0.280,0]  知道啊你是老板出来不是是这个因为我从小其实挺爱玩的因为小时候我爸妈就不是我就是我爸就经常带着我出出门玩儿所以当时因为我苏州人吗所以
[17:0.280,17:11.710,1]  没问题啊因为我也很少就是出去玩但是我就是说呢有一有一趟有一趟是让你觉得你神秘的长大了有没有这样的一个过程因为我觉得每个人是不是不是说应该都有对象
[17:11.710,17:26.120,0]  我有我有我我加入我觉就是在这那那应该挺targeting我们这个旅行其实严格意义上不是毕业旅行但是特别特别像因为我们全班出动
[17:26.500,17:30.530,0]  我们我学美术的吗就是有那种艺术生的考察线路
[17:30.990,17:34.170,0]  我们当时就是按照央美的一条线路
[17:34.430,17:44.560,0]  看佛教没办法从这个早早就被下跌下关对我们的主线就是佛教美术从那个浦东船嘛从
[17:44.560,17:47.840,1]  对看见尾数然后最后归了那个伊斯兰教啊
[17:47.840,17:59.440,0]  我就是我刚刚申请了对啊是啊呵呵而且我们那个那个线路是越看越好的就是说从从北京当时做了硬座坐了两天
[17:59.820,18:12.330,0]  到敦煌当时还没有东方车站到柳园站嗯然然后夜里再包车然后开到敦煌那那个特别美因为到柳园大概凌晨
[18:12.660,18:18.900,0]  三四三点多然后你包车去敦煌的那个路上就会在沙漠里看日出
[18:19.900,18:23.780,0]  然后整个那次旅行的那个记忆特别深刻然后
[18:23.930,18:25.430,0]  呃
[18:25.560,18:28.980,0]  到敦煌敦煌完了之后去嘉峪关
[18:29.190,18:32.170,0]  呃然后西宁
[18:32.580,18:41.810,1]  就是你们第一站其实就是敦煌或者说第一站就是柳园火车站是吗就中间那个河西走廊完全就跳过去了是吧基本上
[18:41.810,18:44.600,0]  对我们从我们从东方往里看的
[18:44.720,18:55.420,0]  那那发那那发生了什么让费了发生什么你你神秘的长大找到自己的闺女那那就是看各种各种庙看各种
[18:55.420,18:56.820,1]  因为这种不靠谱是吧
[18:57.590,19:2.010,1]  啊呵呵是不是那你不靠谱为什么就那个初一的
[19:2.010,19:12.350,0]  对啊那你觉得什么考当时是当时是因为因为我们这个一路各种这个各种磨难吗小朋友吗都是
[19:12.790,19:16.380,0]  刚大一然后那个大一新生然后
[19:16.960,19:21.990,0]  什么就是比较凶的喇嘛呀或者是
[19:22.280,19:29.240,0]  看这个庙里各种这个有求必应啊各种还愿各种这些
[19:29.920,19:42.950,0]  然后突然到最后一站是价格七最后一站是西宁八七年因为考察是最后是试驾和和铜仁然后但是从西宁才能回北京吗
[19:43.350,19:53.170,0]  然后到西宁说看在看个什么吧然后就是住在这个东关清真寺附近然后我们去看看这个然后
[19:53.370,19:56.720,0]  去的时候那个门口看门的老大爷就说
[19:56.940,19:59.340,0]  呃你不要票你们进去看吧
[20:0.230,20:0.930,0]  这个
[20:0.930,20:3.480,1]  因为没要钱还没开放
[20:3.480,20:5.220,0]  对然后
[20:5.510,20:21.480,0]  就是之前就是各种卡这个门票知道吧就是因为学生他们那个庙里有没有减免你知道吗就是其他的像文保单位会有比如说半价啊学生证或者什么但是庙里都是懒嘛这个收这个钱他们就
[20:23.200,20:27.140,0]  然后就一一就是班级他们
[20:27.270,20:29.230,0]  去搞票务的就很多不愉快
[20:29.230,20:31.830,1]  哎呀这个太值得他们这叫反思了
[20:31.830,20:34.620,0]  是啊那如果那个超人
[20:34.700,20:52.170,0]  Charat去了一个好的那个教堂不就归了这个了呵呵那我又不是小白我我我之前都都有了解吗但是但是其实就是就是对伊斯兰教没有了解
[20:52.390,21:0.380,0]  哈哈那当时也是你你想想我们零三年那还在911的那个战士当中呢
[21:0.620,21:4.930,0]  但是脑子里还是那个时候出各种觉得是一个
[21:6.360,21:9.350,0]  葛觉得基本绝对是一邪教的还
[21:10.670,21:14.950,0]  这就是一个青年人的这个逆反心理这个大爆发
[21:16.380,21:30.670,0]  太不可思议了我们一路上各种磨难在票务上然后竟然给我们主动点他其实收票了你知道吧他看我们都是学生然后就就就门口的一个开门再说你不要不要买票了就进去了
[21:31.790,21:42.590,0]  进去之后因为原来在北京其实有很多回民有很多忌讳你知道吧就是家长会教你就是说你你不能跟他们说什么呀你不能给他们照相啊什么的
[21:43.990,21:51.590,0]  我们到那个那个东关清真寺那儿有一个就是他们正好赶上礼拜我们其实就是为了要去看的然后呢那个
[21:52.160,22:1.580,0]  那个一开始我们这还在底下说不能照相不能怎么怎么样然后来了一个伊玛目一个阿红跟我说哎没事儿你们这你们不进大店就行了
[22:2.900,22:6.590,0]  然后就就是那个特别开放的态度
[22:6.590,22:11.590,1]  那这也真是缘分啊因为有时候我去清真寺感觉他们那个
[22:12.020,22:16.470,1]  可能是时代的不同啊就是他们可能会更具棋牌室你去拍照啊
[22:16.470,22:31.810,0]  对不是一个一个是时代不同一个是就是不同的清净寺的那个所以说是最远的是完全是个人的资质就是机缘就是然后你一路上看着我们是看从敦煌看到藏传佛教就是
[22:31.880,22:39.340,0]  从敦煌从古代的然后到汉川的到站团的一路看就是各种神像各种
[22:39.550,22:49.150,0]  各种这个到后来就是各种慢还敢拉各种班达拉姆各种这个怪怪兽各种人皮什么血海嘎布拉碗之后
[22:49.300,22:50.710,0]  然后看到这就是
[22:50.940,22:52.540,0]  好几千人
[22:52.540,22:56.530,0]  突然对着一面墙什么屁都没有就是
[22:57.350,23:4.090,0]  就是一从事宗教活动然后整齐划一但是那个背后那个寒毛都立
[23:4.090,23:15.140,1]  呃所以其实就是说你你试图在那个寻找宗教感的这个过程中你在你想你期待的那个地方没有找到但是意外的在另外一个地方找到了
[23:15.140,23:29.590,0]  我当时觉得我是一个懒得教徒我觉得旱船已经完蛋了我要我要看去看因为我第一次进藏区嘛我觉得我藏区一定还特别纯洁像各种书里写的那样然后
[23:29.790,23:35.490,0]  去了之后极端使网就是破灭了然后突然在最后一站有这么一个
[23:36.920,23:39.100,0]  终身难忘的一个体验
[23:39.100,23:42.930,1]  藏族同胞听到你那个那个自白肯定会说哎呀你来晚
[23:42.930,23:46.910,0]  嗯那他人去的那个藏区是是那个下河那边吗
[23:46.910,23:51.340,0]  是甘南那边吗安多an
[23:51.830,24:0.070,1]  哎这确实在你到已经进入你这个本世纪的时候其实已经很不一样了你期待中的那个西藏去可能就
[24:0.070,24:7.460,0]  您看的都是80年代的那个甚至更早的是吧就是20年代的那个技术然后
[24:7.630,24:8.560,1]  我我
[24:8.560,24:48.130,0]  我当时就就是那种从初高中以来就是必定要信点什么的那种人然后就就就当时觉得赞旱船已经哎呀我我我接受不了了已经然后我觉得我的那个理想的藏传着然后但是我那个旅行整个把我给破灭掉了但是其实有一点因为他让你去看的那些东西很多其实并不太森人啊或者是这个真正的这个follower手里而是在一些这个行政管理部门手里而且搞得很多乌烟瘴气的事儿这确实有所以这是没办法但是其实我我当时的体验包括我到现在的体验
[24:49.780,25:37.640,0]  有的时候在行政管理部门手里反而好一点纯粹一点也得看时代吧所以比如说我们在我觉得在特别是在二二十一世纪初吧就是00203040506年这么走的时候其实当时搞得很不像话的就像我们上学期说的那智化寺内事儿其实北京你看新闻报出来多少那个不好的事儿啊后来对不光是那样他们只是改头换面就一帮骗子就是智化寺搞过冬页面也给他们祸害过就是那个淘外那个那个东岳庙都是这样全包都这样现在那个鼓楼也有上去鼓楼也看了楼特别神秘的领了我们去鼓楼那个干活然后边上他们就在这
[25:39.240,25:50.950,0]  啊这我觉得这个从刚刚页面说的这个毕业之礼是毕业旅行的这个从成人的这么一个角度来说我觉得他人这个这不算是比较的的意思
[25:50.950,26:2.880,1]  没有我我其实ad这个不不是不是怀疑是一就是说他对他人生很重要他可他不他找到了他的他要找的那种宗教感但是
[26:3.040,26:7.870,1]  这个这个没有成长的感觉就是没有那种就是我通过
[26:7.870,26:11.920,0]  那你就找到新雅还不归少亏数感的那我要去成长
[26:11.920,26:14.610,1]  呃他在他在寻找一个东西他找到了
[26:14.610,26:18.290,0]  绵阳长大学科的啦这个你知道知不道那种
[26:18.290,26:35.960,1]  那个不是那种传统的那个文学作品你想表达的原因那意思就是我我的一个旅程啊然后经过了各种坎坷或者经过一些充满的教育意义或者说各种meaningful的events哈哈最后哎突然发现就是或者是很各种好来屋式的那种
[26:36.440,26:38.250,1]  桥段和这个
[26:38.250,26:44.240,0]  这个都是在这个文学作品比较多吧也也得得需要很多机缘
[26:45.560,26:47.990,1]  是这个这个反正嗯
[26:48.260,26:52.545,1]  我我我自己所知道的那些著名的这个
[26:52.545,26:55.490,1]  毕业旅行或者类似的这种旅行好像确实还
[26:55.510,27:4.600,1]  不太有那种真的就是神秘的成长这样的一个意味深长的过程总是一些那个可能别地别的含义在里面比如说
[27:6.120,27:18.270,1]  那个你知道我我想到其实也是一个非毕业旅行但是是一个类似的东西就是我我我特别喜欢的一个名著吧就是文学名著就是看到课程写的伊豆的舞女
[27:19.900,27:27.230,1]  我那个我这个书就不说了因为他确实是名著所以也不用太介绍但是后来我因为这个事我还专门
[27:27.370,27:31.780,1]  自己去就去跑了一趟这个流程因为这个伊豆的舞女的
[27:32.210,27:44.800,1]  这个情节所描述的那个路线现在是存在的而且日本是一个呃很成熟的一个徒步的路线嗯但是并没有并没有索性是并没有太多人知道或者说并没有太多的
[27:45.120,27:51.700,1]  我国人民知道就去那个体验这条路线的话那个感觉是非常非常好的就是像
[27:51.920,27:56.480,1]  就可以像是回到了某一个时间然后嗯
[27:56.670,28:8.310,1]  嗯就就是那个感觉是很奇妙的因为如果你看过这这本这篇小说的话你就知道他那种微妙的情感吧就是是很呃怎么说呢我我觉得很难描述或者说
[28:8.440,28:12.020,1]  是不是很私人的一个体验吧就是他为什么
[28:12.290,28:15.830,1]  这篇小说这么注明或者这么呃被人
[28:15.830,28:18.800,0]  那我能问一下页面你是什么时候第一次多多这个享受
[28:19.410,28:22.810,1]  是咱们在大地上早就大学的时候就是我开始对
[28:23.330,28:36.980,1]  这种文学作品发生集中的兴趣的时候就是集中的开始看的时候很早就看到然后就觉得难以忘怀吧就一直是有比较深刻的那种印象就他所他所传达的那种那种情感的方式
[28:36.980,28:45.820,0]  因为这个小说我我我大概是十五六岁时候读的我觉得呵我比你还早所以我完全没有情感体验
[28:45.820,28:49.440,1]  对有可能你更早的话确实还还达不到那种共鸣
[28:49.440,29:1.990,0]  对啊对因为80年代正好是就是嗯就文学名著特别就在中国特别长大量被引进的时候所以我都是在小学读的课
[29:1.990,29:5.780,1]  我我不是一个文学今年或者上厕所服务比较晚
[29:5.780,29:9.420,0]  就没有看那个电影我记得
[29:9.570,29:19.830,0]  啊对对还有三次和和那个和山口百惠山口百惠三个板块好像是300度特别累
[29:20.530,29:32.580,0]  Iori特别美就是我我别都不记得就记得他们俩在好像是要分手还是刚见面的时候那个那个彼此脸上都泛着光泽
[29:33.290,29:34.450,0]  我回来要带独立
[29:34.450,29:37.640,1]  演的也蛮好对是是那种平平怀
[29:37.640,29:40.520,0]  被无数电影引用的好像也拍过很多版
[29:43.140,29:46.500,1]  嗯但我你们没去过的话我真的其实非常非常推荐
[29:46.500,29:52.980,0]  我看你的朋友圈我很有印象因为我有一次去日本我还问你这个但那个旅馆非常难得
[29:52.980,29:55.720,1]  对那旅馆太少吃
[29:56.500,30:1.400,1]  他那整个那个路线完美无缺就是从各种方面来看都是玩玩游戏它的起点
[30:1.400,30:4.940,0]  但是它路线需要走很就是差不多一直在徒步
[30:4.940,30:6.710,1]  有大概十几公里吧
[30:7.410,30:17.380,1]  对要如果走的很轻松的话走两天会比较好嗯如果要赶的话一天其实那个小说里面是走了一天就走了好像不对渴望两天可能对两天
[30:17.380,30:19.050,0]  呃十几公里到一天是可以
[30:19.050,30:22.170,1]  一天改的话可以走他他要爬山吗他要翻过一个山口
[30:24.830,30:31.020,1]  这当然有点跑题吧就是但是这个确实是一个严重推荐给大家的一个路线现在应该还没有
[30:31.020,30:32.570,0]  根本就没说从哪儿到那儿
[30:32.570,30:46.430,1]  嗯对从一开始是其实是从那个他在一楼半岛吗一个半小时离东京并不是很远然后你做其实跟那个乡根也很也很近大家一般去什么日本去泡温泉啊可能最初都是说听说的是乡根
[30:46.930,30:50.140,1]  然后什么轻井泽然后那个一逗呢
[30:50.170,31:33.460,1]  他那个起点在教修善寺这个地方就是这个小说的起点也在那里就三次而且很有明星三四是谁呢是那个空海就是日本的属于弘法大师就是把密宗从长安带到了那个日本的这个这个这个初祖吧就是他在嗯他建立的资源就他在那开山建了一个资源那个那是一个温泉胜利然后现在还留了一个就是在那个和中间有一个大石头大石头上说是空海大师什么用他的西藏在那儿着了一下就冒出一股温泉玩那个权限居然还在但是可能肯定是付汇了就是那个寺院也仍然还在就是那是他的那个开衫的资源说因为因为空海是在日本
[31:34.100,31:36.530,1]  呃创立正宗是在哪个高野山吗
[31:36.820,31:38.240,1]  现在还是这个
[31:38.610,31:48.440,1]  日本的这个真言宗的就是叫什么应该算是主题吧就是他的大本山但是在他在高铁站之前事先好像据说是先到了修善寺这里
[31:49.240,31:52.370,1]  然后这是他的这个这个路线的起点然后
[31:52.380,31:58.240,1]  在一直往下走往这个其实网移动半岛里面一直走走到走到海边
[32:0.570,32:9.500,1]  我难以言表所以那个可疑我觉得还可以计划一下因为很多人喜欢去日本因为我相信去过这条路线的人还是还蛮蛮少
[32:9.750,32:13.970,1]  那个大家是不是可以也分享一下就是你们所知道的一些
[32:14.100,32:19.360,1]  著名的这种可能跟跟我们谈论的主题相关的这种线路
[32:19.870,32:43.210,0]  嗯线路那哎其实有一个咱们就说个名人儿吧这个其实大家都熟知的这个量森林婚姻他们其实也做了一个类似于毕业旅行的这么个旅行吧但是有可能更多的有因为这这而且他们得多密钥就是俩人结婚了就是毕业了然后又结婚然后这个作业这个我看了一下其实我还挺感动的这个
[32:43.210,32:51.350,1]  哦就是说他们俩其实是一毕业就结婚了是吧对对对他们在地势毕业旅行幼师毕业旅行
[32:51.350,33:14.210,0]  对对对但是他们这个蜜月旅行度的特别有就是过得特别有意义吗因为呃梁先生是学建筑史的嘛因为当时建筑史叫呃不是学建筑的但是它建筑的建筑师教学主要是这个欧洲的对这个文艺复兴以来的最最最最经典的一些建筑所以这个其实很有意思他们策划这个旅行啊梁启超在里头做了
