[0:0.000,0:4.990,1]  欢迎收听陛下关今天势必下关的第27大家好我事业编
[3:20.740,3:56.190,0]  呃福州所在的这个这个这个这个地方啊还是在当时江南的割据政权叫做吾悦的这个统治之下就是北宋还没把吾悦这给通通病所以有些人就认为OK这吴越五代十国吗还是十国的一个范畴所以还能把它归为五代所以这里头就有坑的固定所以前几年就说在大概呃六七十年代起或者是吧现在更早期大家都说他是北宋介入但是现在因为大家又喜欢把他往就是年代早地推嘛所以就又大部分人把它叫做五代建筑大概就是这样
[3:57.410,4:2.860,1]  其实就是说当时这个北宋还没有统一是吧没有统一全国啊对不对
[4:3.080,4:7.820,1]  那那应该来说还是应该算五代比较合理一点对吧
[4:7.820,4:30.980,0]  但是我觉得这个怎么说呢五代也好北宋也好因为它建筑一种风格一种形式也不可能也不可能就是A961一下就断开吗它都有个很延续的过程当然从华林寺的这个建筑结构呀它的这个呃行质押造型啊他的这个大目的特点应该说还是保留了大量的这个早期特点所以我觉得说他是古代建筑也并没有什么问题
[4:31.290,4:37.450,1]  嗯不因为事实上来说在当时这个在福州其实还没有
[4:37.650,4:43.760,1]  北京这回事吗因为北宋还在开车远处对吧啊嗯
[4:43.880,4:49.420,0]  但这个华林寺的最早的企业是什么因为我觉得他是个很小的地儿
[4:50.060,4:51.750,0]  就只有三天吗
[4:51.960,4:58.460,0]  对呀这三天不算小啦这个比从平面上来说这个体量来说还比保博是大呢
[4:58.460,5:9.520,1]  哎我想问一下我想问一下那个你说这个江南他是就是第一股吧应该是吧应该没有比它更早了嗯第二应该保国寺吧
[5:9.520,5:10.330,0]  七零
[5:11.620,5:12.690,0]  104级吧
[5:12.690,5:13.260,1]  嗯
[5:13.360,5:20.850,1]  哦那差了有一百七八十年小100年七八十年对对再往后再往下是应该是什么
[5:20.850,5:29.620,0]  原来还有一个就是咱们那那七条那个聊的那个录制宝胜寺嘛但是现在这保证四没有了所以再往下就是南宋了
[5:30.650,5:34.800,0]  就是那个苏州那个那个那个选票管理
[5:34.800,5:41.130,1]  嗯先别挂啊哎那个好像在肇庆有一个没安是吧好像是
[5:41.130,5:59.950,0]  但是没安的对有有也也认为送过但是它这个结构不是特别纯粹所以一般我们把它就是讲送过来就把相没啊有时候就把它就它有部分这个送达特点同样相似的还有那个广州那光孝寺吗他那个夏妍内存斗拱对也是这个宋代的但是主要的这个木结构都是以后
[6:1.730,6:5.250,0]  就这个问题我们还得看他这个大目的主要特点
[6:8.110,6:20.690,0]  当然送购还有一些比如说这个就在福州不远的那个莆田有一个那个元妙观的那个三星店那那个店也也也是个送狗也还还挺不错的
[6:21.030,6:32.100,1]  嗯对对对其实我比较好奇的是我比较好奇的是可能可能华林寺之前的长相因为它修过吗他修之前的长相忆是不是应该很像元妙观
[6:32.120,6:35.660,0]  呃嗯我要其实更像保国寺
[6:36.560,6:38.290,0]  因为从屋屋檐的
[6:38.290,6:41.390,1]  那个那种起翘的这种弧度啊或者各方面
[6:41.390,6:43.500,0]  不是因为你看过他的老照片吗
[6:43.500,6:48.910,1]  老照片我模模糊糊似乎有点印象哎他是重檐的嘛就把那个沿口给拆掉
[6:48.910,6:59.940,0]  因为它清代就像宝国宿舍他外面加了一层那个那个严嘛所以而且他那个屋顶啊就完全已经是这个当时这个清代的那个样式也也比较高我印象不深但是
[6:59.940,7:6.600,1]  但是从理论上来说是不是应该更像原班因为他们同处一个地区吗那你说宁波的话
[7:7.480,7:16.880,0]  其实啊其实这个如果具体分析的话在粮价特点上这个华林寺的这个粮价特点啊
[7:17.220,7:22.220,0]  就是我不说细节啊装饰啊主要的这个大木特点其实还是核保博士更
[7:22.280,7:23.440,0]  更接近一些
[7:24.650,7:50.050,0]  哎而且就是因为他有一些后休息痕迹嘛所以当时在没有修华零四之前他就从老照片来看其实它那样子也也更像保国四道并不像那个后来那个那个那个莆田那个三星店因为30天内老照片我我也看过三星电视那个外贸和现在没什么太大变化还是还还是那样但是华林寺可就完全是这个改改投画面了
[7:50.050,7:53.330,1]  大变样对大学校队嗯
[7:53.330,7:54.680,0]  所以变得怎么样
[7:54.680,8:6.200,1]  有什么有什么有什么特别的原因嘛就是为什么它看起来他们俩会就是同处在同一个地区的两个同时期的建筑嗯差别比较大
[8:6.200,8:7.570,0]  就说
[8:7.570,8:9.300,1]  宁波的也比较像
[8:9.300,8:19.800,0]  其实是这样就是说其实啊这个因为华林寺当时建造的时候是这个呃五月那个国的那个国王叫钱钱聊吗
[8:19.920,8:49.020,0]  前刘对然后他呢这个他当时这个建筑呢是当时他这个吴越啊就是在这个杭州那边他现在过来一个一个好像是一个什么节奏还是将近是的他是在这儿建的一个一个所以是相当关市的一个建筑而这个以后这个莆田那个三星店的应该是就是说不是那么有特点哎他就晚了嘛而且宋代的很多送风就从这个男方又不断传过来了嘛所以华林寺更具看了很多早期的特点
[8:49.590,8:52.580,1]  这个就和当时犹豫对对对
[8:53.300,9:6.630,0]  而且就是相当早有有很多甚至可以说是唐代的一些特点因为很多东西我们都可以在这个有一些特点都可以在敦煌的那个壁画的那建筑上能够能够找到后后面实力就几乎没有
[9:6.630,9:22.890,1]  好像我们我们之所以这个要把福州作为龙兴之地来谈可能主要也是跟华林寺有关系啊因为他的他的他的这个保护设计里面有很多有很多故事吧是吧因为这个再给我们讲一讲
[9:22.890,9:46.070,0]  这个大家如果去滑了一次就知道易华林寺的位置啊非常的这个特殊他在什么地儿呢他在这个哎那个山叫平山是吧就是反正太平山他在平山的山的南麓我们现在去一看呢他就在这个福建省省委的这个大院的就有一套像CD似的他就在这个省委的这个前头所以
[9:46.070,9:47.400,1]  空了一块地出来
[9:47.400,10:26.330,0]  对呀对呀是所以而且还有还有点悬的是什么呢这个所以我们也有时候也得佩服这个福州人还是挺不错的其实我在这方面还挺感佩他们按照以前的做法吧因为怎么说呢其实是福建省的省委啊一直就站着那平山那块很好的地方其实就是华林寺那地儿所以原来的那个华林寺呢他是给整个省委包在里头了那省委那楼就在他的那个后面挨着很近后来这个就有一种说法就是想把这个房子拆了就把这个花零四拆了觉得这个省委前面留了这么一个老房子在那儿干嘛呢后来争来争歧后来还是没差就是把这个房子像
[10:26.430,10:38.130,0]  就是前就是向南东南部和东南部大概一了十几米就错开一些距离所以还行所以当然如果一念之差把它拆了那就完蛋
[10:39.190,10:40.670,1]  谁的功劳啊这是
[10:40.720,10:50.110,0]  嗯其实我我今天早上查了一下就是我原来以为是这个金尚的公房但现在看来还未必经商的gran
[10:50.110,10:52.840,1]  啊那是谁呢那具体是怎么的
[10:52.840,11:2.950,0]  因为我看了一下这个华林寺在这个修复的年代啊他是在八五年开始修的到九零年修完的而今上最好是从九零年从厦门去的福州
[11:3.950,11:8.100,1]  哦那就是没有可能哈门童实际上是没可能的
[11:8.100,11:12.760,0]  对时间上好像不太有可能但是哈乌尔这个龙兴嘛这个我觉得金
[11:12.760,11:18.030,1]  呃但是因为做了这么件好事所以那个就后面就一帆风顺了是吧
[11:18.030,11:23.000,0]  对呀我觉得是有道理的就她在她在她办公室一推窗下面就是华林所
[11:23.590,11:25.400,1]  呵呵呵
[11:30.140,11:37.640,0]  哎我很好奇和福州合金上的关系还有哪些地方呢估计我们可以一并游览的
[11:37.790,12:11.110,1]  不据我所知其实可能有另外有一个地方是有直接的而且及其密切的关系的但是这个这个这个估计不能说太古啦就是呃占一个谷字当然就是在在这个福州呃东北部地区吧就是因为大家都知道鼓山啦因为鼓山是呃福州的一个名胜吗在在鼓山的北边有一块地方也是一个山区吧就是山间的一个那种像小盆地这么一个一个地方是一个很好的纳凉的地方因为因为福州到
[12:11.110,12:14.955,1]  到这个夏天是一直很热的吗嗯
[12:14.955,12:27.470,1]  这个在福州开瑞开辟了开埠之后就是成为通商口岸之后这个外国人就把那个地方作为一个一个避暑的地方因为海拔挺高的大概有可能有七八百米吧相当高了
[12:27.860,12:38.680,1]  现在还是相当凉快那个叫叫古领呃然后像什么传教士啊这些外国的那些伤人啊这些官员他们就会在那里借鉴了一些别墅吧
[12:38.680,12:41.690,0]  哎那我插一句那个那些别墅现在还在吗
[12:42.210,13:20.160,1]  呃对呀现在就还在啊就是他其实后来已经沦为各种那个民居了其实因为福州有很多这种地方像我可能我们都比较熟悉的像那个上厦航上航路向阳路呃什么仓前啊那些地方都有很多现在也还有就是也是这些就是这种因为这种通商口岸都有这种呃就是外籍的嗯人是修的各种各种呃官商民居啊这些建筑呃贾贾岭这块就是就是专门就是度假的避暑用的其实在这在这个在中国各地的通商口岸都有嘛对吧我们想到比如说嗯莫干山是吧
[13:20.470,13:46.460,1]  然后什么那个鸡公山啊这种青岛这都算嘛就是这种避暑的地方对秦皇岛是吧庐山对对对对就是牯岭这个地方呢就是完全就是同样性质的这么一块避暑胜地有一个叫叫什么来着叫尤金加德纳吧就是这么一个一个美国人他呢他他是跟他父亲从小他父亲是一个传教士他们从他从小就在这边居住吧然后呢他
[13:46.460,13:57.880,1]  当时是大概190年就是一个团的时候然后义和团他父亲就就回美国了他在加州出生的他们家就是加州那边的嗯那那他自己是在福州出生的吗
[13:58.830,14:58.830,1]  他他本来应该在福州初审结果因为闹义和团所以他就到美国了一个他父亲回美国BB乱的时候把他生在加州了但是生完以后这个这个义和团被平息之后他马上就回来了他们家就住在牯岭那边他从小就在牯岭住了大概可能做了十年左右吧然后后来他又回美国然后后来他就那个在游戏拨腿就是呃伯克利加州大学伯克利分校那个读的物理系然后那个又呃在S就是戴维斯分校做了一名物理学教授然后他晚年的时候呢他就老念叨说这个哎我小时候因为它只在那儿待了九年时间是九到十年吧可能呃就他就一直念叨说他一直没回去过因为后来就各种各种这个政治形式就是把它风云变幻他就再没去过他就可能就是生命走向尽头的那一段时间你就一直在念叨这个这个说鼓岭啊国林我小时候住的地方多好什么的
[14:58.831,15:1.470,1]  然后呢他就有一个中国学生一个留学生
[15:2.260,15:8.365,1]  就知道怎么就就听他说这个事然后就很好奇说顾虑是哪就帮他找然后
[15:8.365,15:9.770,0]  嗯他因为他写的是
[15:9.770,15:13.860,1]  那个英文嘛就是他他他写的那个发音是
[15:14.080,15:17.640,1]  Chem
[15:17.640,15:22.020,0]  大家不知道这是哪啊因为这个来有点像那个庐山的孤岭似的
[15:22.080,15:57.550,1]  没错所以大家都往卢山找说不定街如何如何然后就找了半天没找到后来这个学生呢他这个留学生就给他下了一番功夫就终于意识到说是其实在福州的这个鼓岭啊然后这个就写一篇文章发在发在哪儿发的人民日报我不知道这个学生什么背景啊怎么回事儿啊呃对对对对ran然后那个然后这个时候就被就被当时在福州任职的金上看到了哇这个哇九二年那是九二年然后立刻安排说这个这个
[15:58.010,16:1.080,1]  那个赶紧来就是我们穷游一下
[16:1.080,16:25.310,0]  我插一个花絮啊因为讲到这个人民日报海外版我我想到了我们这个古村主播的一个事儿古村主播也是在992节再出这个大概9293年嗯在美国留学嘛然后他当时也给这个我我易清洁也给这个日报海外版投稿对打牌还发啦怎么没给计算机呃对es
[16:25.310,16:26.550,1]  有简报留下
[16:26.550,16:30.640,0]  呃写的什么环保啊什么美国怎么绿色怎么怎么处理这个
[16:30.640,16:33.180,1]  垃圾分类那肯定那看到也没有用
[16:33.180,16:42.300,0]  哈哈这个时候这个古村主播还没有做这个这个呃呃文保爱好者还以为听为主呵呵
[16:42.300,16:50.270,1]  不是92292年那也很早哎这边也看到了就是就是直接就略过去了就可能是弄不好是同一张报纸
[16:50.270,16:53.810,0]  呵呵呵其实时间真的很近然后
[16:53.810,17:32.830,1]  呵呵对然后让我接着说那个然后呢对这个这个就马上接过来但是但是这个时候很遗憾就是这个这个教授已经过世了这个尤金加德纳然后他一刷出来了然后就就就跑过来看然后就是这种那个感叹吧就是说传为佳话了吗然后还居然找到了他小时候的那个就是他的邻居一块儿玩儿了那小孩都都还在吧就是但是中国人啊本地人然后就各种那个这个这个这个倾诉什么的然后这个友好友好界面呃然后从此就这个就很重视嘛就是说
[17:32.830,17:39.130,0]  那时候福州我不明白不是他遗孀来了嘛他一双怎么会找到他小时候的和感觉他不写的书了
[17:39.130,18:11.680,1]  因为他可能描述过或者有舒心啊对对有各种记录嗯嗯因为这种找嘛就肯定这个政府就特别重视呗就是这个这个这个就是各种帮他找嗯对然后然后其实那个时候牯岭已经早就沦为就是一片这种很混乱的这个民居了就没有人知道那是怎么回事然后但是因为这件事儿呢就是这不就开始重视就把这个地方重新用就可能保护了一下什么之类的然后牯岭现在还是一个就是比较已经是比较比较成熟的一个旅游流行都没去过
[18:11.680,18:19.230,0]  要去这儿对对我也在别地都比商场踢下去了还真的到那些什么这个果岭啊什么的去看看
[18:20.920,18:32.680,1]  对我小时候在福州生活的时候呢都没听说过这个地方那就是80年代吧就是九二年之后才有这么大一些嗯有这么一个事儿然后那个这个是后来就
[18:32.680,18:57.260,1]  变得特别这个远近闻名了是因为什么呢因为大概121年还是一二年就是那时候基本上已经确定成为要成为这种对吧呃这个领导人了然后就是去美国厨房然后这个领导人自己把这个事给讲了一遍然后在美国人带着vargas对对嗯
[18:57.260,18:58.440,0]  死了哎
[18:58.620,19:3.030,0]  哎是不是还他们那还还送了一个什么那个什么机器什么的是吧
[19:3.180,19:47.470,1]  啊对是那个就是这个教授自己小时候呢他们家里传就是当时藏了一堆这个这个这个就是脱胎机器就是福州的福州386吉宝之一吧啊对对很有名但是是福州最最有名的那个手工艺品之一吧就是他们他们藏了一堆当时也是那个呃就是名家制作的因为那个凸台机器是这样就是它是嗯它其实是乾隆年间才才才才创造出来的东西它其实瘦的那个加注的加注这种工艺的启发吗对吧这可能我不知道大家是不是开始呃是一个叫沈沈沈绍安的这么一个人乾隆年间他就是对对
[19:49.110,19:59.940,1]  家住这个工艺就是就等于是有有有重新重新再创造了一下然后制作出这种脱胎机器这也是福州的一个特产然后那个
[19:59.940,20:1.660,0]  他的就是他的后人
[20:1.660,20:16.710,1]  在没在大概就清末民国年间就有很多那个就是传承然后就是有一些老字号就出现了就是这种嘿嘿脱胎机器的一些名家然后那个这个教授的父亲的当时就收收藏了这么一段
[20:17.510,20:32.080,1]  民国时期做的这个这个商家他们有有款的这个一个嘿嘿嘿嘿七的这个这个这个拖拉机的弹屏然后他他到他到那个九二年他来的时候就把这个把这个把这个瓶子呢
[20:32.260,20:40.990,1]  就就送给送给您一下然后形象当然就肯定也不会留下来就是反正就放在那个福州市ore
[20:40.990,20:42.830,0]  服务还是苏州市博物馆哦是
[20:42.830,20:48.630,1]  不是ad应该是波对就现在还有展出其实嗯对
[20:48.630,20:59.190,0]  咱脱胎漆器挺有意思因为我还为这个事还去反过就是他如果来自于家住但他的那个工艺好像已经完全
[20:59.290,21:29.350,0]  呃至少是审美已经完全改变了但是说实际上在期末的时候日本人还来分配学习然后人家回去就变成了实惠呀是是是有有受到这个影响因为它可以抛光吗很亮然后我我去的时候就以为福州市产期的有很多听说有七元呀什么去了才知道其实他并不产期就七还是从湖北啊四川呀什么秦岭这样地方去去的但是
[21:29.350,21:32.730,1]  哦你是说那个期数就是原产地在福州并没
[21:32.730,21:47.820,0]  并没有福州并不是一个产期的地方但是福州因为靠海嘛就他的空就是它通风又要潮湿是最适合期来一次一次晾干就他的环境最适合期的加工
[21:48.310,21:56.180,0]  所以咱也是因为福州福州人的这个这这因为这个人他把这个公益发展出来所以这个还
[21:56.180,22:14.050,1]  你刚才说到这个美学其实确实非常你说的很对我觉得那个你像加速的那个一般以前早年就是像在早期随堂啊那时候用相国项目做做塑像呃那个跟现在的这台机器完全两个概念就从美学上来出来
[22:15.200,22:22.870,0]  甚至现在那个我看他们也也用它来做一些佛像因为福州在游神的这个习俗仍然还有
[22:23.590,22:30.400,0]  就他对他还是有有这个方式只是就工艺上学没学他他还是直飞
[22:30.400,22:38.160,1]  稍微跑跑题我觉得可以讲讲家住佛像其实应该应该也是这个我们以后可以其实可以dab
[22:38.160,23:5.950,0]  单独讲这个家住回放这个真是挺大一个话题其实我我觉得我们其实刚我觉得华林寺韩意犹未尽我们可以拉回来再讲点804嗯嘿嘿那行那你就回来回去804当然了我们刚才说他是这个长江以南最古老的一个目标建筑但是华林寺为什么后来名声大噪呢其实它还有一个渊源他还有一个特别坑就他适合日本的一种
[23:6.150,23:16.570,0]  在镰仓时代大概就是我们相当于我们南宋就是在12世纪一几年的时候日本当时流行的一种建筑样式有着非常密切的关系
[23:16.910,23:36.750,0]  这个月你知道是哪种样式叫什么代佛院大火呀似的其实这个研究呢其实是日本学者开始做的因为日本人有一点就是说日本的建筑学家在大概在上世纪60年代70年就他们就有一个很疑惑的地方怎么以后呢因为根据历史记载啊
[23:36.880,24:10.420,0]  就是当时不是南宋时期嘛当时日本主要是不适合北方的经代交流适合我们这个男方这个南宋交流比较多这个有很多道南送来的这个日本分人留学然后把中国的佛教然后中国的文化中国的艺术都带回日本其实有包括很多这个建筑艺术所以根据这个死机记载就有一个很重要的这个日本三人这个大家都知道叫成员的她呢当时正好因为很有名的这个奈良的东大寺的那个大佛店东大店给给
[24:10.510,24:14.680,0]  给给烧毁了所以他呢就从中国请了
[24:15.170,24:33.090,0]  呃有名有姓的人叫陈河清这个这个工匠然后就请到日本去重修这个东大的这个东大店所以那个东大店当时又叫大佛店嘛所以这个所以当时的日本就把这种建筑样式就叫做大佛一样又叫做天珠一样
[24:33.250,24:38.240,1]  哦哎那这个这个人是从哪儿过去的呢就不知道啊不知道
[24:38.240,24:45.120,0]  不知道是送人知道知道是中国人但是从哪来的不知道所以但是很很有意思就是
[24:45.700,25:42.650,0]  后来大家还知道就是在大概重圆以后大概才二三十年又有一批那个著名的那个产生就是荣西道元还有我们中国的那个很著名的一个兰溪道隆他们不也对他们不也到那个那个日本去嘛然后他们以后又带了一种另外一种样式在在在日本流行建筑样式也是中中国船区的叫做这个禅宗一样这这都是日本惩罚不是我们这个中中国的存法所以但是这个禅宗样和这个大佛一样不太一样而且大红要当时只流行了大概20几年所以日本原来他们日日本建筑学家以为这个大幅量应该也是源自交流最广的比如说扬州啊明州就是宁波一带吧但是后来他们觉得这不是这么回事儿这个好像和现这个以后的禅宗亚和现在我们以后我们看到那个呃保国寺呀还有那个那个那个苏州那个玄妙观这些建筑好像差别都挺大的所以他们就在
[25:42.910,26:7.280,0]  这个怀疑这个禅宗要不传重要就是这个大方向到底是出自中国哪一个地区呢所以他们就做了研究所以他们根据中国当时的一个一个就是说对804的研究对这个翻那个莆田那个三星那个玄妙观那个大件的研究所以他们提出来这个是从福建一带来的一个建筑牙齿是日本学者的研究了不那那问题是他的样
[26:7.280,26:14.380,1]  日本并不充分吧因为他你比如说在江南地区能看到的这种同时期的建筑那没有几座吗
[26:14.730,26:19.400,0]  对对样本是不充分但是哈尔滨只在福州看这福建看到了
[26:19.400,26:20.290,1]  哦
[26:20.290,26:26.020,0]  所以他们认为可能当时乘务员是请的就是所谓这个陈河清就是福建这样的是真人
[26:26.110,26:31.060,0]  确实这个其实相似性还是挺高的了当然1980年代初这个我们
[26:31.230,26:53.560,0]  国内的著名的建筑史家出示严先生然后在日本学者研究的成果上他又做了对福建当时留下来的三座宋代建筑就是华林寺莆田的三星店还有一个毁掉的这个甘露安的一个房子这个就是不是一个房子一组建筑它做了一个比较研究所以他也比较富先生也比较缺人说是这个
[26:53.890,27:0.230,0]  这个我们这个这日本的这些所谓的天都让大佛呀就是从这个福建一带一一带过来的
[27:0.690,27:5.370,1]  哎那你讲讲这个大抚养何尝中药的这个区别的主要是什么
[27:5.370,27:29.290,0]  这个其实怎么说呢大伯一样的在日本流行的时间不长我们知道当时按照大佛样件的第一个建筑就是那个东大寺的那个大佛店后来又毁掉了所以现在这东大店又是以后见的是十四十五十级之间的吧所以和那个大幅已经没有关系了但是这个呃竹子肯定印象挺深的你去那个东大寺看到那个南大门
[27:29.820,27:32.540,0]  对呀那难道还挺漂亮的吧对吧那就
[27:32.540,27:33.810,1]  Red
[27:34.300,27:48.320,0]  南大门就是比较颠经典的这个在日本流程对这个大方向的一个建筑还有一个建筑是叫兵库县的净土是净土堂我都不知道这件长什么样但我只看到这个文件上说这个也是一个大火一样的一个代表
[27:48.740,28:36.120,0]  我们中国的这个大幕的这个特点如果按按照这个营造法式来说吧一般有这个殿堂皂盒厅堂造这么这两种基本类型所以呢这个比如说我们佛光寺就是比较一个经典的一个殿堂造的这么一个格局厅堂照这个这个就不太一样然后还有一种就是复习结付先生叫他这种混合型就是殿堂兆赫听到一种混合父亲又把它叫做分过事情呃简单来说就是呃以这个排量是结合了一些穿斗式的一些一些特点吧反正这些我们调出来我们都都不管他我们就只这个华林寺为特点我们简单的这个介绍一下就是大家如果去华林寺就能看到这华林寺啊这个这个房三间这么个房子前面不是开了一个很
[28:36.230,28:37.810,0]  场的一个狼吗
[28:37.820,28:48.210,0]  当然了清代不是这样现在我们看到华林寺完全是就是九零年代附件以后的这么个建筑当然就是他就是按照这个这个这个原原样复原的
[28:48.700,28:54.870,0]  那么天狼天狼大家呃这个页面还记得吗前廊他的钱狼的顶上啊是有这个
[28:55.090,28:56.640,0]  键度数比较平按
[28:56.770,28:59.320,1]  嗯就是天花板天花板嗯
[28:59.770,29:3.380,0]  这精铸就是开门的那个里头是
[29:3.810,29:10.390,0]  鹿鸣的就是彻上明造就是空的就是整个粮价这个都有的这个其实和宝宝是很像的对不对
[29:10.470,29:15.550,0]  法国四也是前边儿的那个那个那个就是郎的那个部分
[29:15.670,29:20.340,0]  因为这些都包在里头了它上面也是有三个藻井的那个那个天花吗后面
[29:20.340,29:22.550,1]  比如说今住里面还是住外面
[29:22.760,29:27.600,0]  进度里头是鹿鸣的精铸外面是这个那个天花呀有平安啊
[29:27.960,29:30.450,1]  经住外面听说外面有电话
[29:30.450,29:32.450,0]  就是开朗的起郎的那个地方
[29:32.450,29:34.470,1]  廊子里面是有天花的
[29:34.560,29:37.250,0]  对蓝色的天发然后里头就是店面
[29:37.250,29:40.560,1]  DSD是没有变化的哦
[29:40.560,30:14.730,0]  对他这个滑头他有什么特点呢它大量用了这个丁头拱这个在保国寺我们也是看到很多的就是丁头拱兵孔大概俗语又叫插孔吧怎么回事就大家如果再去山西看多了看这个北方这些斗拱啊他都是从这个炉头里出票的或者这个都有一个斗然后这个出票丁头拱了他就没有下着那个卤抖他是从柱子里开了这个这个草酸毛以后直接从柱子里出票然后他的这个拱的上端就拖着这个量的尾
[30:14.970,30:15.690,1]  哦
[30:15.690,30:23.270,0]  就他不是从这个柱头然后有斗或者再跟房子上有有有掳走然后出票抖他是在这个祝生
[30:24.400,30:27.450,0]  就是就这么单办的一个叫丁头拱
[30:27.450,30:34.020,1]  所以这说明什么这是是不是因为那个听就是听创造的一些一些一些做法
[30:34.020,30:37.780,0]  对这这个其实是呃怎么说呢是经常上的一些做
[30:37.780,30:39.310,1]  对就穿走的那种电子
[30:39.310,30:48.910,0]  键唐兆和青唐兆有一个很重要的一个区别就是殿堂到他的这个锁有的这个柱子从那住精铸包括延住他都是等高的
[30:50.440,31:1.350,0]  他在海光是整套的我们去太和殿也都是很高的然后上面再有铺作层就有这个股价起来然后一圈一圈的把它这个这个加起来但是在新塘道理就是说他的内裤是身高
[31:2.100,31:7.200,1]  这穿斗跟川岛跟粮价的一个比较明显的区别主要的区别
[31:7.200,31:21.930,0]  对对对但是山西的很多这种厅堂上的他是不用插孔的他虽然备注身高但他还是以这个抖动的这个出票的这个不同来把它这个高度给他给他给他持平或者这个驻村就直接插在这个这个柱子里
[31:21.930,31:23.180,1]  嗯嗯嗯
[31:23.180,31:31.540,0]  但是用斗丁头拱这种形式其实我们现在这个日本的这个嗯南大门是很很很典型的还有一个就是在这个
[31:31.810,31:33.940,0]  报国寺还有在804
[31:33.940,31:37.800,1]  嗯所以说这是大批量的一个比较重要的一个
[31:37.800,32:37.800,0]  是一个非常这个这个标志性的东西还有当然还有一些很多细节的一个一些啦比如说他用叫什么单拱素芳交替这个重叠就说嗯呃就是他有一一层单狗然后上面再出一个方子然后再在一层一层一层的然后直接这个发到这个这个团下面它这个我们就不多说了所以这也是一个特点还有我们看到华林寺这个斗拱啊他那个他那啥昂昂嘴啊不是我们北方简单说像量身杨先生写的建筑师哎就是P图啊停电啊或者怎么样这这或者现在还有叫瓶身啊他不是这样他这个房子他他有一个比较漂亮的一个曲线标的这个大家去看一看华林寺就知道这个也是在在这个这个日本呃这也是这样子但是他还保留一些早期的一些建筑特点比如说他有名斗哈就是呃早期唐唐唐唐代建筑不都有一个掳走才上加个模板吗
[32:37.801,32:47.740,0]  他现在把两个构建他这个怎么结合在一起了所以这个都是一些华林寺一些比较值得的一些看点啊这些都在这个日本的这个这个
[32:47.740,32:58.090,0]  这个大火亚就是东东南大门还有什么那个净土堂什么我们都能看到所以就结合这些吧可能就是说有什么关系
[32:58.090,33:1.580,1]  嗯哎那禅宗样呢大概大概是怎么样怎么一回事
[33:1.580,33:5.700,0]  禅宗让这个说禅宗要就是和
[33:5.980,33:26.280,0]  我因为他们当然当时咖啡的就是我们那这个南宋江南是江浙一带的五山十五三十大的那些最重要的那些大的这些这些这些禅寺在日本线保持数量还挺多的但是因为我没有什么具体研究嘛我现在也不敢就是怎怎么说但是说这还是不太一样
[33:26.280,33:27.220,1]  对
[33:27.220,33:51.780,0]  可能如果我们要理解南宋建筑更多的要去看这些建筑我可以这个大概我印象里我还有有几个例子大家去日本可以看一下比如说日本的那个贱人四间长色还有南禅寺还有什么的呃还有政府是的地藏堂什么的对然后就是这些建筑说都是常重要的这个代表我觉得大家有兴趣可以可以自己比较一下看看还有什么区别
