[0:0.400,0:4.050,0]  今天是低价关的第14期大家好我是竹子
[2:25.660,2:28.490,0]  众筹从业古建通览可以
[2:29.570,2:39.450,1]  那个就是山西那个人民人民出版社出在80年代初过一部叫那个山西古建通览这本是我们向大家极力推荐的
[2:39.450,2:42.860,0]  但是这本书已经很不好获得了
[2:42.860,2:58.970,1]  对你得到那个就蛛网去吗对好几百但这本书还是还是挺值得这个买一本儿应该是这个也算是这个去山西有古剑的葵花宝典ore
[2:59.470,3:30.560,1]  呵呵是亏了除了这个书以外呢就是还有一些就是说不一定完全是介绍山西啊因为那个因为如果大家介绍就看这个古建筑的话这个还应该就是如果比较系统地看一些园梁思成写的这个中国建筑史啊还有这个流动甄先生编的这个中国古建筑史这些呢都可以到网上搜一下都能够应该是但都是老书不是新书啊这个都可以这个我估计到那个孔夫子什么的可能能买
[3:30.560,3:38.840,0]  嗯现在就那个建筑系的中国建筑史教材都挺好看的我知道但是那个建筑系的同学们不一定认为好吃
[3:38.840,3:56.230,1]  因为还有一套一大套五册的那个就是90那边的这个中国建筑史这个分分成历史朝代不一样分成了五大册那皇皇巨著可能太专业了就不不在这儿推荐给咱们的这个听众了就咱们先看一些这个比较浅显的
[3:56.280,4:56.280,1]  对我觉得我也想和这个味这你以香水这个新表这个说两句那您的这个男性我也是这个非常认真的这个看了我觉得第一个也要谢谢您对我们的支持然后这个我读您心里觉得特别的有意思特别读到您写的那个呃您说您姥姥这个就与我们谈的这个为什么山西古建筑保存这么多很多情况是因为大家这个呃庙虽然这个费了但是这个地址啊这个几折都没有什么去特这个这个碰它所以您说您用您姥姥说的这个山西话叫什么树本儿上有雅呀所以这个因为神明还在吗所以这个大家不去碰到看看当时就特别特别觉得有意思所以谢谢您给我们的来信然后这个我还想说的是我也为您这个味对您的这个家乡的热爱对我们这个古老的名字唉我我们都觉得也挺感动的我们作为一个外乡人这
[4:56.281,5:13.700,1]  呃呃呃山西大学山西的古建筑去山西这考察然后可以或许可以做一些这个推广呀这个促进的作用但是山西的古建筑最好的保护还是要落实到您说像您这样的这个本乡本土的这个爱好者的生产所以再次谢谢您
[5:14.060,5:27.680,0]  好那男性就念到这儿我们现在回来我们上期的这个主题太行发行我们上次已经和大家分享了南边的三行
[5:29.010,5:30.500,0]  呃西关行
[5:30.810,5:37.695,0]  哦太行洗白鞋哎我我我上次没参加我问一句我没听到上一批呢
[5:37.695,5:41.140,0]  你们回忆没有风门口的大雾啊天呐
[5:41.140,5:41.970,1]  对啊
[5:42.490,5:47.880,1]  这个大家都是印象深刻那个风口的那个村子招人开机一下吧
[5:47.880,5:52.040,0]  就是那个吊炉烧饼然后伸手不见
[5:52.130,5:53.650,0]  五指的大雾
[5:53.990,6:4.020,1]  这个我们都听你说了还有那个我们上传行的时候这个啊白雪然后上山然后咱们咱们拍的那个悬崖万丈深渊
[6:4.020,6:5.710,0]  娟就是白行吧
[6:5.900,6:7.020,0]  对有一水库
[6:7.020,6:12.140,1]  对呀保全保全水竹子双飞下去的那地儿呵呵
[6:12.140,6:17.480,0]  我昨天整理照片还看了这那个百看不厌啊一直在那个
[6:18.080,6:30.330,1]  嗯是那个再给超人补充一下我们还提到这个大学之中这个去看修定寺塔看红旗区的那个干渠领域山离离古山
[6:30.610,6:34.730,0]  林虑山咱们那个遇到的那个题一天向您提到了吗
[6:34.800,6:36.120,1]  没有你说
[6:36.340,6:38.470,1]  一束阳光这个打出来
[6:38.470,6:40.910,0]  就是就整个那个山上
[6:41.210,6:42.150,0]  这个
[6:42.290,6:45.400,0]  那个迸发着红光是吧周围全是那个
[6:45.470,6:47.510,0]  云气缭绕真神奇
[6:48.030,6:56.720,0]  那我们回来这个接着北行那就到了下一个星空就是出口型上次奇侠说这个
[6:56.800,7:6.560,0]  你到过了这个白线以后的现象就不一样了对然后就提到不够行那你是想上次接着上次的话题是怎么不一样
[7:6.560,7:30.620,1]  嗯主要第一个好像是山是的感觉有点不同了第二个这个历史的这个大的背景大历史的这个环境用不太一样了所以所以我这就我说的这个班儿看着就是我们现在去看了这个东西有点不一样这个湖口型一个很重要的看点就是如果行就由我们当然我们前几期节目也提到了有
[7:30.620,7:37.350,1]  著名的小长沙石窟这个南响堂就是在就正好就在这个福考什么位置
[7:37.440,7:46.140,1]  这个符号你要解释一下这个服务口是啥意思实在服务考试那边有条这个就南响堂门口有条水
[7:46.330,7:48.260,1]  这个古代叫浮水
[7:48.310,8:12.290,1]  所以它那个实际上是个河河口那么这个阜阳核对阜阳核对那么这个这南响堂的那个位置正好在和这个边上所以这个等于也是一个他的这个高因为上次我们讲到这个古人一般都以山定水水电路嘛所以一般这个路都是沿着河所以这个福口型实际上就研究一个进进太行山就沿着阜阳和这个
[8:12.720,8:18.280,0]  这个路怎么进作为我有一个是印象不深咱们是没有穿出口型
[8:19.170,8:33.590,1]  福口行是这样的因为对因为它那个行到其实是现在好多古代的这个行到现在就改成了这个国道啊改成什么呃上次我们跟李老师没做但是我们走过一部分
[8:33.820,8:44.260,1]  走过一部分那个就是广义的夫口气因为那个我想取消掉也可能会讲到那个高分运动实际上就在这个老路上就是老的这个行到上
[8:44.330,8:51.200,1]  因为什么叫高端运动就是原来高欢从这个晋阳到这个邯郸区路过这个地方
[8:51.260,8:52.150,1]  在这儿
[8:52.190,8:53.080,1]  这个
[8:53.090,9:53.090,1]  造了一个石窟但那个石窟没报完那个地方这么推测的话那个地方就应该属于这个原来的这个老路的这个老的历史道路他这个浙江随州的出口型为什么重要呢当然了就有一点就是在历史上就是说我们再回到历史就是说北魏分裂以后呢有限制了东为何这个相继建立的东魏和北齐就在华北的这个东边儿这个他们这个东北河北区的首都呢就是在我们昨天提到的就是上一期提到的这个夜场悦城当然现在已经这个废弃了我们现在没有叶城这个店了但是它这个城址还在就在这个呃张和的这个南北两岸嘛然后有意思就是说如果我们现在职业城遗址的话签好的话往西边一看啊就能隐隐约约看到这个严明的太行山很有意思的在文献上当时把太行山就叫做西山就有点像我们现在北京叫西山是的而且感觉
[9:53.091,10:46.240,1]  约一下我们现在北京天好的时候往西山一看哎那延绵的群山青山对健身也是感觉上个月成天好的时候就不用填好哈就是他现在聊天好有些雾霾严重吗这个网上一看哎西山岩棉的而那个口呢就是在叶城附近的那个进山的山口往山西去的那个就是福口然后那条形状就通廊就是直接从这个五香啊这个这个左权那然后一直走的最后一直也也没到尽量就是今天的太原附近那个就叫做户口行所以当时为什么中奖呢当时这个北齐的这个这个皇帝啊就高氏家族他们虽然这个首都建立在叶城但是他们的他们他们自己的根据地他们的这个陪读呢是在晋阳就今年太远所以这个
[10:46.240,10:46.905,0]  嗯
[10:46.905,11:20.220,1]  经常在太原和两个对两个首都嘛对经常在这个两个都成之间这个来回这个往来而且大家到夏天嘛夏天这个高原上这个山西会比较凉快一点嘛所以他们这个夏天都不爱呆在叶城就会往这个这个山西走所以他们就在这个整个这个行道上呢建立了一系列的很多的这个石窟寺因为北区崇佛吗佛教特别新市嗯比较著名的当然是我们提到的这个湖口的这个这个
[11:20.490,11:56.870,1]  就在福口型对南响堂呀北响堂石窟呀他也刚才主持人提到了一个就是高宽运动这高科运动呢这个历史书上有记载但具体在哪呢不知道但我们现在根据就是在现在的一个山口里的一个没有开早晚的一个大的一个洞库推测他有可能是高攀高攀运动呃特别的壮观这个呃虽然没有开完但是大面上大的形制上就洞口的立面啊都已经做出来了非呃特别的这个雄伟而且这个风格和特点呢和我们这个特别著名的北响堂大北洞非常的接近
[11:56.900,12:24.505,1]  因为那个就是福口型应该就说一个大因为我们刚才总结了比方说呃昨天那个前面讲的这个白型的特点是比较这山水很穷没那么福口型他就主要的特点就是沿途有很多的这个大小的这个佛教的这个石窟那么除了这个以外还有大大小小很多知名不知名的大概在这个时期比方说在在左权有一个另外有一个叫石佛寺的一个石窟也是
[12:24.505,12:34.550,1]  北朝时期开凿的两个那个保存的艾双口保存的也比较完整呃像这样的零碎的石窟在这个区域还有不少
[12:35.020,12:50.270,1]  除了石窟以外呢就在这条线上还有一些这个呃出土了很多的石佛造像的遗迹这是相当有意思的一些比方说我们广义地讲这个在这个
[12:50.750,13:30.160,1]  庆解就是山西的这庆县有个叫南涅水南涅水他就出土了一大批的这个佛教造像各种各样的这个呢广义说也是在这个福口型去通往这个太原的这个路上但难点水这个我们可能以后有机会还可以再专门订单分一期来专门就讲南京水这个佛教造像的这个问题但这个呢也是广义的就是在这个出口型的这里面而且它出土的年代基本上照相也是在这个北朝时期啊在一一直到大概晚了到唐代吧除了这以外在什么榆社呀在榆次啊这些地方都有这个
[13:30.290,13:38.270,1]  照相的出图可以还还可以提一下这个涉县的娲皇宫吗也有这个重要的北朝晚期的北汽时代的客厅
[13:38.840,13:46.780,1]  嗯对这个是河北的河北涉县的娲皇宫这其实也是在这个口型的这个这个行到的这个区
[13:47.240,13:49.420,0]  他学校讲到那个这个
[13:49.500,13:54.945,0]  就是国象出土的禁言叶城一直都是在不断的发掘
[13:54.945,13:57.215,1]  对对对这是另外一个就对
[13:57.215,14:14.040,1]  对这咱们在那个北齐北京艺术说过对对所以我们想做重复的题但是有可能我们会专门另批单张来说这个是另外一个但是我们就这就一笔带过就说就说讲的就是福口型的特点是这样一个特点
[14:14.780,14:16.970,0]  那还有其他的这个回调1G吗
[14:18.080,14:19.880,0]  应该有个尝试再尝试吧
[14:19.880,14:24.435,1]  常德市因为年代人还可以但是就是因为寺庙呢他
[14:24.435,14:43.070,1]  老师有老虎的其实现我们县城看到那些就一纯那些雕塑那是经代的的也有好的也有找的这个大兴贷只是一部分应该还有那个经幢啊什么订单但他那个照相应该也是在北朝北朝到这个唐代的这个照相不过说起长乐四人
[14:43.070,14:43.780,0]  他那个单
[14:43.780,14:52.010,1]  对对对那个那个肯定是比较早期的那说起长了出来比较遗憾就长乐市最后就在民国时为什么被毁掉还是有点儿挺长期的故事
[14:53.030,15:8.300,1]  是好像是在20年代吧这个当时兴起了社会上兴起了就是破除偶像的这么一些运动嘛就是说很多地方就把尿茬给侵占了然后把这个博思毁掉反常了就是说是一个中学老师带着学生去商量
[15:8.300,15:28.750,1]  呵呵不是二不是20年代40年的40年的啊怎么是20年的那四个人为什么还会做这个事儿呢348年怎么四八年就是四八年的是吧那就是我我们这个有关系就是和我们这个新的证券有关系我原来以为是在这个20年的冯玉祥他们那个星期的这个破车某项运动有关系
[15:29.240,15:32.330,0]  哎这个我看照片儿有一个
[15:32.530,15:38.290,0]  那个福福口型有一个跟咱们去顶形式的有一个那种过节门洞然后
[15:38.380,15:40.160,0]  呃上面是
[15:40.190,15:43.150,0]  呃玉皇阁就是在峰峰矿区里
[15:43.220,15:54.120,0]  然后呢他那个门洞上还有一些浮雕阿龙啊什么的边上有个新陂写着太行吧行出口型好像咱们这个那年考察的时候把这措过了
[15:54.120,16:23.200,1]  对那个没去对我我我我记得你说那老照片好像我见过那个什么样但反正这个呢但是这个不一定是这个太行吧行的一个就跟上海国咱们不要认为是好像山海关的一个什么门市的就好像那是可能不一定是这样一个概念就跟我们去那个河北那个锦行这土门关不也看见土门村有那个两个村门也有上面写的什么什么那样的那个其他多半可能就是条古道从川村儿
[16:23.240,16:34.770,1]  穿村而过完了这个等于村子一般那时候都有什么大门吗南门北门什么这样的等于他就等于这样的一个情况他并不是完全是一个一个绿的一个一个一个门
[16:34.770,16:39.890,0]  但它确实是关口就是土门关吗应该是关口的这样一个
[16:40.370,17:1.170,1]  那个对这可能是以前的有一个什么1G吧或者但他完全不是娘子关的那个概念你要喜欢那个安安成了对对对对对长城的一个关系那这其实就我们就等于引到了这个咱们出口型在北边的一条这个型的就是这个井陉
[17:1.190,17:11.600,1]  呃这里面的就是这个一个就是科普一下就是就是说大家为什么叫锦行啊景就是这个一口井的井啊
[17:11.700,17:14.565,1]  这个紧急呼叫紧急呢因为这个最早
[17:14.565,17:19.240,1]  其实锦行的出名挺早的这个早在这个这个
[17:19.240,17:30.660,1]  吕氏春秋啊就是吕不韦编的这个吕氏春秋里面他总结说天下的有久坐很重要的山唉就关爱啊这个里面的这个
[17:30.660,17:47.060,1]  天下有酒塞里面就有一个锦行就其中之一这个为什么锦行的说那个时候那个地方在那个时候说那个地方很凹陷的有点像就是个盆地一样的一个地方像景致的所以为什么叫锦行完了就跟呃是这样的一个
[17:47.060,17:52.900,0]  最近概念有点像说南口那个似的说说特别是吧带上这样的这种
[17:52.900,18:7.920,1]  对类似于这样的一个一个一个东西就这个呢就说是点击里面这么说清楚因为锦行实际上很多呃典故实在是跟这个春秋战国一根秦国呃有一些关系的这个东西比方说这个
[18:8.800,18:11.880,1]  他这个什么我记得那时候那个寒
[18:11.940,18:18.390,1]  韩信打仗什么这个什么破釜沉舟啊什么这些故事就发生在好像井附近
[18:18.690,18:19.760,0]  飞水苑
[18:19.760,18:20.760,1]  对背水一战
[18:20.760,18:26.680,0]  那个秦始皇的那个去死后那个尸体不是也是从景兴拉回咸阳
[18:27.460,18:41.350,1]  对所以说那个地方就咱们去看了就那边有一个行驶到的遗址啊但但是说是平时的和现在看到的遗迹不一定是秦代那时候的1G就是那个什么车轱辘印儿啊什么石板啊
[18:41.350,18:43.970,0]  特别是那车者对
[18:44.080,18:47.630,1]  对但那个应该说是可能平时倒也是充到
[18:48.900,18:59.470,1]  那么大家知道秦始皇那时候这个死在这个什么商丘市吧商丘可能是在应该是在河北的北部的一个什么地方玩了
[18:59.470,19:34.280,1]  从那儿完了这个李斯跟这个活儿是准备这个密不发丧押运回咸阳完了就弄了好多咸带鱼跟着车尸体放在一起喝ru看到那个游戏就是现在的河北那边叫潼关吗土门关村系统龙湾其实古代可能也就就是景观吧进口我们还看到有两个东西两个关门嘛然后我记得那天我们去也是下着小雪啊反正风景还是挺不错的挺挺挺清幽的一个地儿
[19:34.580,19:43.760,0]  这种老的国道啊基本都延续在这古道生嘉实太多痛苦原来总对
[19:44.220,19:48.040,0]  咱们咱们那边考察还是就是遇到浴血再试
[19:48.050,19:50.420,0]  这个老的石太高速上
[19:50.810,20:8.640,1]  对呀那那次主要是大年初一一大早咱们这个从石家庄开车准备去太远就说走的就是这个聪明招录的这个时态公路石太高速这石太高速的确很挤白讲初一应该是好人少点没想到初一人更多在家又下点小雪真不多
[20:8.640,20:11.800,0]  就是因为出车祸那个连撞呃
[20:11.910,20:23.670,0]  因为那个那个道路太滑了就是因为刚前一天下雪有点雨就它它的温度又不低所以就结了冰然后大家开的快以为都以为车少
[20:24.220,20:34.610,0]  就就如果您超过咱们的两辆车立刻就在前面撞在一起了特别印象深刻呵呵那那个车就很不耐烦嫌我们开的慢然后就超
[20:34.610,20:41.970,1]  所以你还梁梁老师梁老师这个这个资资深的比较有经验
[20:41.970,20:49.460,0]  我就但是我就记得我们在娘子关前面那车打了一个转然后聊聊当时说又说下个都动不了
[20:49.460,21:15.340,1]  PFP一下这个紧急的这个军事战略的价值嘛其实刚才说了石台县吗其实锦行基本上我们现在看就是在石家庄和太原之间这个很老的一条那条石太高速就是基本按着就在典型的附近那么修起来的呃然后这个当年这个抗日战争的时候日本人往这个从
[21:15.430,21:49.560,1]  华北向山西进攻然后其实就是两条路一条他从北边儿我们后面台北三星堆的朴英行另外一条其实就是这个进行然后在娘子关在平型关这都是在紧急附近的几个重要关口嘛那长城的关口然后都打了很重要的这个大仗吗杨紫关这个烽火抗日然后还有我们这个呃11540115是在平型关打一个那个那个阻击战也是抗战第一个证件号重要炭火所以还是非常有因为
[21:49.690,22:5.880,1]  自古以来这个锦行的实际上是其实是很重要的联系这个呃山西尤其山西的这个晋中盆地跟这个华北平原的一个很重要的一条路嗯比方说这个除了这个抗日战争讲到这个再远一点这个
[22:5.910,22:47.605,1]  呃辛亥这个是变的时候这个慈禧不是逃到山西去了吗桃山区以后这个八国联军不是想乘胜追击吗自己淘呢是从北边草丛军官里面过去到山西的但八国联军的是南下先到保定然后从保定到了石家庄那边镇定本来本来想从正定就想从紧行这边进到这个山西去到太原但那个地方呢因为这个一个这个地形比较险要这个庆军在那里设了防什么的后来他们就打到石家庄那边后来就再没往山西那边走回来就退回去了这也是就是说这个这个关爱的这个重要性在尤其在这个冷兵器时代这个这种关爱还是非常
[22:47.605,22:48.430,1]  非常重要
[22:48.430,22:55.520,0]  像那个太行吧行这个从先秦从商周时期记载就是很多是从
[22:55.800,22:58.340,0]  泰康吧行这几个行头走了吗
[22:58.950,23:15.310,1]  对你想上周吧对你想上周你还记得就咱们这个讲到另外一条这个古道等于就是在井陉的北边一点儿仅北边一点有一条大河是从这个山西发源流经这个华北
[23:15.310,23:16.670,0]  这个呼托和
[23:17.530,24:0.850,1]  慧胡同合适北方的一条很重要的一条河流那个那天咱们跟着李老师去那个咱们先到的这个呃对中山国在那个五台县附近看了他那个一个就就只对吧绿城对自身的就只完了后来就沿着那沿着湖托河河谷这么弯弯曲曲有条路完了一直又回到了山西的这个零售跟那个就西柏坡那边的那个那个那个那个线那么这条路给我印象很深的就是我没想到在北方呼托和还有这么多的水那条那条路上的风景还是相当的这个不错这是我没有印象到的而且这个等于也是一条古道
[24:0.980,24:20.770,1]  对呀而且这个通过这次旅行这个李林老师还解决他一个学术上的一个一个问题嘛就是说在文献记载和历史上的一个一个出入嘛他就是也就证明了原来中山国起源于这个在山西五台五台地区后来怎么沿着这个湖托河后来到了南下后来在现代呢
[24:21.110,24:30.120,1]  这个零售这么一个一个地区还发发展壮大是中山国在战国战国之前是一个七雄吃饭一个非常重要的一个国家
[24:30.700,24:51.760,0]  中山其实就是因为守着这个口子他就像守着苏伊士运河一样所以他才这么Sally这么多出土的东西而且他能和这个七国抗衡也是因为他掌握的这个重要的交通要道和这条河他进可攻退可守啊他在一个特别好的位置
[24:51.880,25:5.310,1]  对讲的中山国因为我们出来也看了一下那个中山国那个一个王的那个没往那个地方那个出土过一件很重要的一个文物就是一个中山国的一个教育储蓄现在好像应该在河北省博吧那个
[25:5.310,25:10.990,0]  在河北省模那个北京的读者要想看好像那个叫什么
[25:11.140,25:14.330,0]  先农坛古建博物馆有一复制品1:1的
[25:14.720,25:18.630,1]  什么教育图呢就实际上就是一个铃木的一个规划图
[25:18.990,25:21.650,0]  但是是中国最早的这个零规划
[25:21.650,25:32.490,1]  对铃木的一个规划图中国中国这个地方是不是根据周礼的这个怎么个这个规划什么规定怎么做这么一个领域的一个图
[25:32.800,25:36.460,0]  谷谷这古村老师做建筑设计这个
[25:36.930,25:48.810,1]  业内那哎这个他这个其实其实他这个中山国内现在发觉这个礼物并不是按照他赵玉成那个来教育除了他规划有七个差不多吧他没没见完
[25:48.850,25:54.175,0]  哦那三个主要的是都在的就是那三个主要的大的风土都在
[25:54.175,26:33.850,1]  对没建完对那挺逗的那个主要想当地后来想建个博物馆还弄那个半还弄那个办掉了但是那个地方就是还是挺值得去看的因为在这个中山国跟他稍微北边那个满城的那个那个汉代的中山国那中山国那是完全两个不同的意义上的中山国这个一个对一个时代不一样一个一个主体民族也不一样那个中山国在战国时候中山国还应该算不算那当时还不算是华夏的这个呃汉族不可能是敌人吧对什么白迪啊或者什么呃容忍啊敌人啊这样的一个
[26:33.850,26:41.620,0]  对就是咱们这还是刚才说的那个吗就是泰康吧行就在先秦就一直以来是北方民族
[26:41.680,26:48.790,0]  这个网南下就其实进攻这些都成近工业城安阳洛阳的重要通道
[26:50.360,27:42.725,1]  选择这个就说那个刚才讲过就是说我们讲的这个男三型男三型它的历史背景呢就跟我们的这个跟我们大概战国以后一直到这个北呃北朝唐代隋唐时期的这个政治历史还有就是呃比较有关系因为那时候的都城啊洛阳啊什么在内完了随着后来这个宋代以后呢这个其实这个北三型的这个在中国历史上的好多这个历史事件发生都按重要这个北三行就呃很密切地联系在一起了这个北三星就是我们刚才讲的就越过了这个尽行以后再往北太行吧行李还有三条行这三条行呢呃如果还有我们还要从南往北那么数的话呢就是一个是朴英行一个是非弧形还有最北边的一个军都行
[27:42.725,27:55.580,1]  这三条行呢就是历史上呢就是我们称之为北三星它也是一个其实也是一个历史地理概念它就是囊括了就是太行山北部和这个
[27:55.770,28:1.920,1]  主要是跟这个北方太阳山以北的这个蒙古草原的一个地理关系的一个
[28:1.950,28:6.890,1]  概念曲多的这个游牧民族如果想要入侵中原
[28:7.250,28:12.090,1]  尤其到华北平原基本上都要通过这三条行到才能够
[28:12.830,28:42.265,1]  进入这个华北平原对呀所以可以补充一个大的历史知识就是说在唐末就是在五代这个早期这两场进瀚州嘛这后劲不是出了个儿皇帝嘛就石敬瑭他呢把这个他为了他会做皇帝这个得到这个北方这个游牧民族契丹的支持他就把重要的这个燕云16州割让给了契丹而我们要谈的浙北三型的就就在这燕云16州的范围里
[28:42.265,29:3.170,1]  所以这个对中国历史以后影响很大因为太行山北部我们刚才说了自古就是古代中原民族我们汉族和这个北方游牧民族的分界所以你一旦把英语燕云16州这个这个太阳山的北路都给了这个游牧民族那中原地区就失去了一个屏障了所以以后为什么宋代
[29:3.300,29:19.680,1]  怎么说呢在外交上或者在对对外一直采取一个手势就是他失去的这么一个很重要的一个地利啊所以一直采取这个手势他就北方都可以很顺利的通过太行山的山口直扑你中原所以为什么就只北宋后来玩的那么快对啊
[29:19.680,29:21.880,0]  因为维钧宅人是这个
[29:22.040,29:30.480,0]  中国古代实际到近代那个手这个中国的主要的战略要地都是靠这个
[29:31.940,29:38.030,0]  就是就是虽然是就是有飞机大炮有这个卫星导弹但是实际上
[29:38.120,29:48.150,0]  那个你看我我军的这个很多这个手背如果当时苏联入侵中国的话很多都是退到这个明朝的边界上就是这个
[29:48.350,29:51.290,0]  这个或者说秦版图的这个这些
[29:51.490,29:52.320,0]  这个
[29:52.580,29:57.420,1]  上海长呃长春长城一线的龙腾四海
[29:57.450,30:57.450,1]  对因为强制讲的北三行就是长城防线就是我们知道这个在明代说也是一个这个大学长城的一个时代那个明代除了修了传统影响我们认为的比较清楚这个东西山海关西到嘉峪关的这个北边这个一线的长城他其实在这个就是我们所讲的这个呃尤其是山西太行山南部这一地去修了很多的这个向内长城那长城实际上是就是为了抢注这个好多这个从这个从陕西的一些地方口子往这华北平安的这个包括咱们这个北三行那个所以我们去那个北三星好多就像像普京行附近有这个云端紫荆关紫荆关聚把关SF那参观还有雁门关好像是那三观完了那个什么Y3观那三观这些都是包括在太行山的这个山脊上都发现了明长城的遗址他就是在那等于就在西
[30:57.451,31:2.330,1]  这等于又从头呢修了一套房现像那年那个咱们知道的这个
[31:2.490,31:9.360,1]  土布之意就是这个民宗在这个土木堡被抓了以后完了那个那个蒙古瓦剌
[31:9.360,31:15.250,1]  准备这个围攻这个北京他们那时候当时从那个居庸关就没有突破
[31:15.830,31:17.880,0]  让让重新呃
[31:18.000,31:20.215,1]  对让他补完了从那个
[31:20.215,31:24.920,1]  倒马关那边就紫荆关那边突破了以后就从南边
[31:24.920,31:33.470,1]  近的北就是从北京的南部等于是保定那边等于是这么突破进到这个违规的这个北京有两次都是这么大
[31:33.470,31:34.020,0]  哈哈
[31:35.220,31:56.320,1]  这个是历史上这个这些这三观因为我们把这三这三条行等于可以就是结合在一起这个说因为这三条型的一个呢就比较相似都是跟这个北方防御有关系另外一个他那个行到呢等于也是呃基本上都是穿越这个北边的这个太阳山呃
[31:56.470,32:15.750,1]  尤其对于浦音型学者呢有一些不同的这个解释就是哪一段到底属于普通型的这个呃呃范围啊呃现在基本上大家认为就是那个灵丘到可能就是浦英雄的这个一个范围我们是走过的就大概是从这个
[32:16.180,32:18.330,1]  这个河北的来源
[32:18.730,32:21.230,1]  到这个山西的这个灵丘
[32:21.290,32:22.310,1]  这条路
[32:24.340,32:27.360,0]  这条路呢就是咱们去那卡那种是吧
[32:27.360,32:29.780,1]  对就是那个觉山寺塔就在那条路上
[32:29.780,32:33.360,0]  然后他散还有那个什么预设台嗯
[32:33.370,32:47.960,1]  哎对对对对对预设才对这个讲到提供的提供学说投这个先讲这个预设台预设台这个是很老的一个这个就等于是在南北朝时期北魏北魏就是守在平常大风的时候
[32:48.040,32:51.710,1]  对完了有一个就是那个长效
[32:51.810,33:0.805,1]  孝文帝关关成立文成的文成帝啊文成帝他呢等于也是从大同那边完了那个沿着这个这个
[33:0.805,33:31.120,1]  普京行等于他到那个华北平原区在路上首列完了再有一个地方完了他这个弄了一个弄一块呗他在那打过猎完了写了一块背那个背带的史书都有记载后来时间长了淹没掉淹没掉以后他近代有人居然靠这个史籍的记载后来在那和他又把这块被重新给发现了这也是一个很了不起的一个就是文物上的一个事件他这块碑呢现在就保存在这个呃有一个这个角三四的这个寺里面
[33:31.360,33:58.620,1]  这个角三四呢也是一个非常有历史意义的因为最早也可以追溯到北朝时期完了现在我们所存的一个建筑呢当然这个一个塔是这个表大概是辽代的一个塔这个辽代北朝时期的这个建筑是没有遗存但是我记得我们去看那个辽代那个塔旁边就是有一个断坡儿那段坡你看见看见一层一层的这个等于这个呃就是沙老师讲的不是不是不是
[33:58.620,34:46.570,1]  就是不不上传SF一直看着一层是不是就是比较一层一层的瓦利的那个机子就是让他考古探仓那种样子看着去能看出它一层一层的历史上曾经有过的这个建筑的痕迹啊就说明他这个这个庙就是这个934最早是在这个就是这个北魏时期他就有了完了历代又毁了毁了又建建了又毁毁了右键怎么现在我们看到的一个塔是是辽代里边有些聊斋的壁画当然这个塔非常的壮观而风景这个卡和这个建筑和风景绝对是一个绝配啊这个气质非常非常雄伟因为它正好就在那个因为周围边上那个教堂和吗就他的那个唐河正好是一个拐弯的地方大家还有印象就是处于社团
[34:46.570,34:54.470,0]  到学生字塔这一段的那个地势也特别想要山市市场基本上就那个一个口子河谷能走
[34:54.540,34:56.725,0]  嗯周围都是特别显得深
