[0:0.000,0:1.480,0]  欢迎收听陛下关
[7:9.130,7:30.200,0]  另外对另外这个第二流的不也不能说你把这会被第二条大人也不是很乐意啊比方说芝加哥芝加哥芝加哥这SF实际上也是那个博物馆这个也有相当多的那个中国城还有就是比方说中西部城市的那个录制的这个博物馆辛辛那提的博物馆
[7:30.840,7:39.860,0]  还有包括就是费城还有一个博物馆叫费城只要费成本博物馆费城艺术博物馆对他也收藏了这个很多中国的
[7:40.690,7:45.670,0]  包括就是说比较有名的就是这个北京智化寺的有一个早景
[7:45.770,7:51.560,0]  就在这个费城的这个播放哎也挺有意思就是一个是在费城还有一个在哪儿去
[7:52.920,8:19.560,0]  对嗯这里面就很复杂的还有很多我们才可以提一下比如说像哈佛大学赛克勒美术馆耶鲁大学的艺术博物馆还有甚至于大家就是不太知道了比如说在俄亥俄的一个逃离的美术馆也有很好的中国收藏比如弗吉尼亚州立的美术馆甚至我们前一阵子去了一个SFZ他的这个美术管理甚至也有相当不错的这个中国收藏
[8:19.740,8:38.970,1]  那我现在忍不住想要先问一下就是这些东西呃这么大批量高质量的中国的那个FX在美国其实是不是他们是集中在一就是在非常集中的一个时间段内有非常集中的几个掮客弄过去的呢呢
[8:38.970,8:41.570,0]  我觉得我给你讲的是不分正确
[8:42.330,8:43.050,1]  这些东西
[8:43.050,8:59.100,0]  这其实是在比较集中的一段时间内从中国流出的但是这些博物馆在收藏的过程中是经历这个比较漫长的时间就说他一开始这个是通过几个的了晕过去了然后分散在个人手中然后慢慢慢慢的这些
[8:59.160,9:4.750,0]  这些APP有自然而然的留到了这个博物馆中所以有这么两个阶段的这个股
[9:6.010,9:54.240,0]  其实这里面这里面的其实也有一个现象就是说其实大部分美国这些刚才我们讲的这些重要的博物馆的收藏他的这个流出或者收藏的时间相对来说都比较早呃比方说一些不大我们说句大型博物馆那儿是什么他们的因为每一个品那个售产品它不是有一会有一个收藏的时间的就是一般来说你看得多长时间都是在呃晚的话也是五六十年的像冰大的更早生20年贷30年的像这样这样一个时期但也不排除美国现在有些博物馆也在收一些呃200几年以后说这个可能就是呃纯一的性能比较大这这纯一我觉得是两种方面一个呢是来路不明来路不明有可能是呃也有可能是伪作的并不一定是偷盗的你明白我意思吗
[9:54.520,10:19.740,1]  明白明白嗯但是这个问题呢我们要先按下来后面再说不然就搂不住了因为我对这个问题就是有更多的问题就是但我知道就比如说美国在那个就是呃呃和中国合作就是归还这个偷盗来的就是非法流出文物方面其实是做的非常积极的一个国家嘛但是这个话题太大了我们今天先不说我们还是回到片片上来先先回到宾大博物馆呃只说他
[10:20.220,10:32.850,1]  呃先跟大家介绍一下吧就是总的介绍一下这个博物馆就是他除了我们刚刚提过的有很多这个中国的艺术品和藏品之外呃他总的来说是一个怎样的
[10:33.560,10:38.950,1]  比如说我知道他其实还算年纪很大的博物馆吗比我要大一百多岁呵呵
[10:38.950,10:49.150,0]  对对这个博物馆应该是比我们中国现在任何一家博物馆的历史都长他是在1887年就就就创立了
[10:49.550,11:20.840,0]  当时是有这么个契机就是当时宾夕法尼亚大学有一个这个很有名的一个人类学这个人类学系其实里头有个考古队吗考古专业所以他们当时在1880年代呢就参与了现在在伊拉克就两盒留一个很重要的这个尼泊尔古城的这么发觉我觉得尼泊尔古城现在国内知名度也很高啊因为有了这个SS的这个这个这个这个前一阵子不是遭到了一些破坏把那个博物馆给砸了这个视频
[11:20.840,11:24.690,1]  嗯我们最新一期的博物志的会员通讯就是讲这件事情
[11:24.690,11:26.160,0]  哎呀对呀所以
[11:26.160,11:29.470,1]  所以把我给心疼的呀喝了好长时间
[11:29.470,11:37.420,0]  那是真的这个让人觉得非常心疼的但是宾大博物馆当时创创立之初呢就是当时宾大考古队在呢普洱
[11:37.730,12:2.190,0]  古城的一个发觉当时有很多这个文物呢当时呃当时其实是个大英博物馆还有伊拉克这个刚刚局了就是联合发掘的然后文物就分成了三波就有一波就到了宾夕法尼亚大学所以当时为了存放和管理这一批尼泊尔来的文物呢创建了这么个博物馆这是博物馆的一个对对对是这样的然后后来就是说呃
[12:2.340,12:22.840,0]  因为这人类学习他在埃及呀在两河流域啊甚至在这个意大利地区的这个艾特鲁yas露西亚地区都做了好多这个发掘工作所以馆藏越来越多所以他们在呃1910190几年就开始要考虑建立一个比较大的博物馆就是专门的一个一个博物馆的建筑来说放这些文
[12:23.380,12:26.010,0]  所以对基本上是这样的一个
[12:26.500,12:31.210,1]  然后我看他网站上说现在博物馆的馆藏已经
[12:31.580,12:35.460,1]  Red
[12:35.460,12:38.245,0]  对是是东西是很多的对对对
[12:38.245,12:54.480,1]  就是仓库都有多大我的天啊但事实上展出的东西就是几嗯就是就是这个分母如此大其实是很少的一部分拿出来展出的对不对那我看他对自己的定位也更多是一个教学型的不
[12:55.300,13:26.590,0]  因为这个和美国其他有些大学的博物馆还不一样比如说哈佛大学耶鲁大学他们就给自己比如说普林斯顿大学吧他们就给自己定位的是这个艺术博物馆这么个定位但是预判呢其实在上世纪初他就给自己有一个很明确的定位他就是一个呃以考古和人类学维维为本的为基础的一个教学博物馆他主要是供这个病大的学生啊或者是在这这个这个领域里做研究的一些学者这个服务的这么一个博物馆
[13:27.700,13:38.150,1]  嗯我看就是其实哪怕不是丁大的老师和学生就是外部的研究人员也是可以申请使用这个他的二胎甚至上班了
[13:38.440,13:39.885,1]  嗯对的对的
[13:39.885,13:45.520,0]  我觉得这方面在美国的很多博物馆都是做的不错的这个不光是一大对很多的博物馆
[13:45.520,13:46.910,1]  现在也是
[13:46.910,14:6.370,0]  只要你只要你是你甚至不用是圈内或者是哪哪个也正式的研究机构或者是哪个你只要是以private高二的身份你有和正当的理由你把自己的这个研究的目目标想法告诉这个博物馆里做一个申请一般都能够这个开放做一些这个Visa
[14:6.990,14:19.200,1]  没错没错这和国内的博物馆是非常不同的一个你很你很难想象那个故宫写封信他就让你进仓库是ad对嗯嗯嗯
[14:19.840,14:24.750,1]  哎哎那个收到工作人员大厦我要说什么来着那嗯
[14:26.090,14:30.480,1]  中国方面来的RTX大概有多少呢
[14:30.480,15:23.210,0]  这个具体数量呢我也不是很清楚因为这个但是我可以简单的讲一下这个冰大的呃就是宾大街博物馆收藏中国文物的一个来源或者一个元起吧其实宾大博物馆其实宾大博物馆收藏中国文物的历史并不长而且时段很短它主要是从1974年开始收藏中国文物的就是1914年那时候我们这个满清王朝刚刚刚刚被推翻然后对然后大概就在到了1928年基本上该该有的就都有了二八年以后就是有一些就是陆陆续续有一些人的捐赠啦这个有一些人的这个还有一些搜狗但是主要的现在我们在宾大博物馆的最好的一批中国文物都是在1974年到1928年之间说完的
[15:23.270,15:29.830,1]  OK嗯然后您说话说话我一边看他的网站是evertonefivethousandobject
[15:30.090,15:31.530,0]  就是铲腻子来
[15:32.660,15:34.780,1]  25000多嗯
[15:35.650,15:58.550,0]  但是其实怎么说呢这个我呃订单为什么收藏中国文物其实这里头也有一个其实难解之谜这里头就有和一个兵大当时这个博物馆的馆长有关系这个馆长呢是一个著名的人类学家是个考古学家它的专业呢是做美洲大陆的这个印第安部落的这个考古的但不知道佛法的reason他
[15:58.820,16:11.140,0]  居然对中国文物有了兴趣所以是他在看我也不知道为什么这个只是放炮他就对中国感兴趣然后他就开始在他的主导下就是博物馆开始收藏中国文
[16:11.870,16:29.050,1]  OK那我要插一句啊对不起这是博物志节目一个重大的那个缺陷就是爱跑题嗯既然我在那我要跑题我发现他就是这个天津建管就是印第安文化还继续叫印第安文化这个在美国不算政治不正确吗
[16:29.190,16:50.030,1]  这个不这个这个是没问题啊这个啊你们美国人原来这么大我们不是美国人啊和大家有不同的教堂对现在要说哪可能一点嘛对es不能说他们是离离咱点一点是不行的就是一头跟你翻脸哎
[16:50.030,16:56.870,0]  我觉得这个没问题因为在美国的那个国立博物馆这个在弗利尔隔壁就是叫印第安那个艺术博物馆
[16:56.870,16:58.180,1]  大概会
[16:58.180,17:3.130,0]  把它搞成是印度博誉度我我大家都知道这个是哪一方面儿坑啊对不对
[17:3.130,17:13.160,1]  OK那看来这两个国家在这件事情上的敏感程度是不一样的在加拿大你如果要就是说他们是银联的话就会非常非常的生气可我打岔结束再说了
[17:13.460,17:16.940,1]  呵呵嗯嗯呐嗯
[17:16.950,17:25.560,0]  这里头还有一个很有意思的现象呢就是当时宾大博物馆在1915年就是他那个博物馆的新馆呃开始启用了
[17:25.860,17:55.690,0]  当时他这个博物馆雄心勃勃要造一个巨大的博物馆说是规模非常大K对然后请了士兵大建筑系的这个老师设计的然后是一个整体主义风格的这样一个房子还是很有意思的这个他和现在这个费城美术馆的那个建筑完全是两种这个风格但是因为当时他的规划中他当时要建建立一个很大的一个一个一个一个一个博物馆而且他当时设计了就当中央和左右设计了三个大圆厅
[17:56.950,18:7.960,0]  所以当时原来考虑是什么呢就把这三个大圆厅里放三个古古典就是说西方这个怎么说呢西方觉得他们文明的三个源头吧就是两盒
[18:9.380,18:24.360,0]  和希腊罗马准备三个袁经理每个园厅里放一个文明的这个网络后来这个因为经费有限吧这博物馆造好了以后只有规划的这个子实现了这个规划蓝图的1/3只有一个原因检查
[18:24.360,18:27.920,1]  那怎么办对啊所以那个快件很有意思在这
[18:27.920,18:37.060,0]  馆长的这个广场叫戈登馆长就是它不是自主收藏中国文物嘛所以在他的建议下他就把这个原先放在中国的屋
[18:37.060,18:40.330,1]  所以这就是为什么现在
[18:41.310,18:44.460,0]  就是原先英文叫做仓单吗就是这个产品
[18:44.460,18:46.950,1]  对现在而且他就叫HM
[18:46.950,19:46.950,0]  怎么查呢商家因为它对所以已经怎么说呢就是他这个产品和他这个建筑已经形成了一个很密切的一个很close第一个文化上的一个一个联系了所以所以以后你再如果研究在美国研究中国艺术史你其他你再插你折腾的大家都知道就是这个什么文物对对对我觉得这个兵啊就刚才讲的这个时间段特别好正好是1974年928年这段时间这段时间实际上从这个文物这个流失海外的角度来说正好也是中国文物流失最密集的这么一段时间因为二八年以后这个南京民国政府成立以后也对谷物的出口实行了很多的这个限制对吧那么亲满清时候也是主要是在满清结束道明中央民国这个南京政府建立之前这么一段最这个中国最最es所以他这个时间段特别好而且宾大当时呢也的确是不知道这个广场有眼光
[19:46.951,19:59.570,0]  双节文物的确还都是从现在来看都是中国的这个国宝级的人物除了刚才讲到的这个壁画以外最有名的我想中国人耳熟能详的就应该是昭陵六骏里面的两句
[19:59.860,20:16.950,0]  对对对是的那为什么刚才古村老师提到了就是二八年级那就不收了就主要不收了就主要就是那为什么呢其实很有意思也是因人废是因为这个这个咯噔管理收文对或者他他出了一个事故
[20:17.460,20:22.820,0]  哎呀今天其实还有一些呃呀他出了个事故从那个赛马摔了下来
[20:22.950,20:24.080,0]  就是去
[20:24.080,20:28.070,1]  哦这个是过我以为是那个呃啊去世了
[20:28.070,20:32.590,0]  对突然猝然而逝所以以后这个就再也没人就是
[20:33.040,20:34.900,0]  对中国文物就到此为止
[20:35.500,20:37.300,1]  啊
[20:37.900,20:41.840,1]  Mayhem好吧
[20:41.840,20:52.320,0]  嗯所以这个呢我觉得而且但我觉得这个事故是一方面还有另外一方面我觉得也是跟可能呃整个二战以后费城的这个呃
[20:52.660,21:2.270,0]  费城的这个在美国的这个地位的变化也跟影响到了这个闵行的这个芳龄的这个来源有关系因为基本上好像
[21:2.420,21:14.110,0]  宾大博物馆进去看那他的这个整个转成那个方式什么的就就好像二战前的这个博物馆的样子而且呢之前都没有空调
[21:14.790,21:40.730,0]  哎呀这个这个单因为这个网易我们待会还会再讨论这个这个这个故障的问题我们会说但是就这个展来说救兵大的差你可来平来说我觉得有一点呢还是需要强调的就说这个人啊真的在里头写了一个很重要的作用因为冰大人收到这么多的世界顶级水平的中国文物啊第一个要花很多钱所以这个其实是一个很大的手笔
[21:40.960,21:43.260,0]  所以在戈登广场去世以后
[21:43.370,22:16.360,0]  其实继任的因为这个中国部主任广场也好也是叫号儿见这个人也是一个在在中国艺术方面也是相当有成就的这么人物但是他就没有这么破这么大的魄力这么运作来收这么多东西所以就没有那么多钱嘛对对对对是的对好像是不全是不少而且刚才讲到的昭陵六骏昭陵六骏好像那时候宾大收这个呃就是收这个昭陵六骏化了可以当时的价值来说花了好像几万或者十几万美元但是在当时来说是一个非常大的一个数字
[22:16.360,22:22.820,1]  嗯那我们要跟他多多补一句给布置的听众补一句就是我们它其实是昭陵六骏中的二句对吧
[22:23.880,22:36.775,0]  说到这儿记了我再补充一个花絮吧这个星期星期四那个就是我们开始讨论录音时间后来这个没没来得及吗因为我那天去博物馆接待了一批这个
[22:36.775,22:47.160,0]  呃艺术界和考古界的这个违规的一些访客嘛其中来了两位这个俄国啊乐泰大学的两位专家
[22:47.160,22:56.140,0]  这个我是带我就带他们去泺源听了这个我以前也不太合这个这个国学这打过交道这次我也是挺开眼的呵呵
[22:56.140,23:0.700,1]  这个所以我觉得我觉得网上说这个
[23:0.700,23:3.810,0]  网上说这个哎战斗民族还真是有道理
[23:3.810,23:7.550,1]  呃呵呵因为他们同怎么领啊这个头
[23:7.550,23:21.845,0]  因为也同时还有一些比如说来香港的一些还有来自德国呀奥地利的一些学者这个他大家都一开始晋源听之前大家就还都还挺有秩序结果一境内原听那两个俄国人称一下就穿到这个
[23:21.845,23:24.970,1]  昭陵二骏前面然后
[23:25.300,23:29.930,0]  它搭载拍照因为没有安排他们看二军我们安排他们看了一个其他项目
[23:30.300,23:37.740,0]  然后而且还安排了一个副馆长给他们讲我们的那个壁画的怎么的一个保护的问题然后那两位俄国人根本就
[23:38.630,23:40.670,1]  怎么不住就是
[23:40.840,23:55.850,0]  根本就不管你们主人怎么安排他们就四个字的拍照零二俊然后拍了十几分钟都没停后来然后我就有点不好意思我就走过去问他们我说这个哎我说哎我说您是不是还要看看别地啊这是
[23:55.850,24:2.490,1]  嗯呃他他会不会手指着这个原拼的那个他那个啊
[24:2.490,24:11.870,0]  就很不屑一顾他们觉得这个最好然后然后有位年轻的这个这个这个那个乱选的高了也挺有意思他他说哎他说
[24:12.470,24:18.330,1]  你中国人对这个应该没兴趣他说这是他这是他这这些人
[24:18.330,24:22.980,0]  我的传统对我说他说的是大的但是我也没和他争辩因为他们是客人
[24:22.980,24:28.210,1]  嗯就是让他觉得咯就对但是中国人其实最最二
[24:28.210,24:30.110,0]  最近的这个情感啊也是很
[24:30.340,24:32.370,1]  那简直不能再申好吗
[24:32.370,24:33.345,0]  啊对啊对啊
[24:33.345,25:2.350,1]  那我们说就这个话题就继续往下说那个宾大博物馆里面对于中国文物的这个保存的和研究的状况吧嗯照照他们网站上的说法呢就是说只有不到1%的中国的藏品来自中国的产品呢是就是昂displayed的绝大部分都是在仓库里不知道呃我一个没去过美国的人连展厅什么样都不知道那仓库什么样就更不知道了您您进去过吗其他老师
[25:2.350,25:3.920,0]  那我我进去过
[25:4.390,25:7.390,1]  怎么样一个还反正就喝
[25:7.390,25:13.210,0]  管仓库没有什么差别吧这个反正就是库房吗
[25:13.470,25:23.210,0]  然后分裂北呃这个分门别类的这个这个放着反正这应该是大部分东西都没展出但是我可以说展出的都是好东西
[25:23.230,25:30.950,1]  哈那当然啦哎他有他有他有那个25000这还挑出比较好的展吗就是那个所以
[25:31.160,25:35.250,1]  所谓的和一般的博物馆差不多也就是
[25:36.000,25:47.040,1]  嘛也就是一个恒温恒湿的仓库里面各种架子上面摆着然后就标牌对吧那每一件藏品就是就是理论上说都是有相对完整的
[25:47.040,25:48.040,0]  那个
[25:48.170,25:54.270,1]  档案嗯那这个当那这个档案里面有没有比较详细的就是每一件产品都会讲它的来源呢
[25:55.090,25:56.650,0]  呃我觉得
[25:57.540,26:0.550,0]  作为25000件每一件都有一个
[26:0.860,26:10.500,0]  档案就详细档案这个可能也不在线但是主要的肯定是都有的因为你想他25000他抗的比如说一块瓦片他也是一间啊所以有谁对吧
[26:10.500,26:18.890,1]  哎呀那可是他的这个来源里面的讲述呢就是照美国人的说法就是
[26:19.290,26:29.800,1]  还是合法的对吧就是呃虽然说就是他可能从我们的角度来说他们是从那个非法弄出去的这些文物贩子手里买来但是就是到他们这一步
[26:33.370,26:50.230,0]  呃这个怎么说呢呃咱咱们就就事论事吧我先把这个档案情况跟大家先先先介绍一下就行就说我不知道其他博物馆怎么样但至少在宾大博物馆他的档案是分三类就是三种吧一类叫做入墙党
[26:50.630,27:13.780,0]  叫可叫叫叫Kenny就是说当时这个这个这件东西是怎么来的当时是谁卖给我们的当时的一些和这些古董商的通信还有一些就是原始记录多少钱发票就是这样的这个教育长达另外一个呢叫这个康森微信的档案就说就是一个修复记录
[27:14.660,27:17.710,0]  对修过没有怎么会去清理过没有
[27:17.710,27:19.310,1]  就目前什么呀什么什么
[27:19.310,27:23.870,0]  丢的对对对对对对毕竟要修复当
[27:26.830,27:31.380,0]  就说在什么时候展出过然后到哪去巡展过或者怎么样就是他
[27:31.380,27:34.500,1]  包括在包括展出和巡展相关的手续
[27:34.790,27:46.280,0]  对对对是的这个这这是所以他档案主要是分为这三部分我想大家最有兴趣的应该也就是就是入场党吧就是至少可以从这个入藏党里知道它的这个来源
[27:47.060,27:56.230,0]  客舱打理应该有很多信息而且我可以很负责的告诉网银的是什么呢就是入党保存的非常完整全部是原始记录
[27:58.040,28:36.890,0]  就是比如说我举个例子吧就就我们就拿昭陵二骏举个例子吧这个二俊当时呃流行斋是怎么样的就是说先见的给大家就是给博物馆发发信告诉我有这个二军的信息然后博物馆的馆长区域在这个他纽约的仓库里怎么看到这个二军然后他们来回的通讯怎么商量安排就是说先商量这儿见到并带来借展然后他们当时做了一个什么样的计划就说如果在这个多少多少年前宾大筹集到这个钱那么二舅归并大所有如果投资到笔钱这儿现在还给路径在咱们怎么样之类的通讯您可以查到非常清楚
[28:39.650,28:41.430,0]  基本上每一件文物都是这样子
[28:42.380,28:50.980,0]  而且还有很多讨价还价的过程比如说这个这个不懂上药这个5万这个价格我们只能出2万或者怎么样就这么一个
[28:50.980,28:55.480,0]  这些书信都留着唉对全部留的应该是每一个纸片都在
[28:56.970,29:35.675,0]  因为因为说起来这个昭陵六骏里面这个流失因为也有大家这个后来国内这边的这个故事出来最主要这个昭陵二骏实际上流失还得跟中国的这个我觉得你说的政治体制的腐败有关系因为好像那时候是陕西督军好像怎么扣查完了古董商是通过了袁世凯的儿子的这个关系说实话看到对对完了说是要怎么玩了后来把它们运到了北京反正这样等于还是走了一套这个官场的这样的程序呃从另外一方面讲来说就说虽然是腐败但是它是一套这个当符合当时手续的一个
[29:35.675,29:43.480,0]  过程完了等于是被这个卢廷斋接了盘卢勤灾再通过他的营销策略完了再卖到了这个
[29:43.480,29:46.870,1]  来洗白洗白了好几次哎其实所以说句
[29:46.870,30:31.450,0]  这东西怎么说呢这个因为文物比方呃应该说这些都是属于不可移动的文物这个流失肯定是有一定的因为它跟书画或陶瓷不一样说话陶瓷呢本来就是可以流转的那这个东西就没有一个什么呃太多这个这个这个可以更多指责那么不可移动文物肯定有一个从他的呃原来属地呃拆出来的一个过程这个过程往往师是有很多不不合法的大家所诟病的可能也就是这个过程比方说呃像那个纳尔逊的这个或者大都会的这个龙呃龙门的帝后礼佛图这个表拆下来那肯定是有一个这样的过程但是就是昭陵六骏反正是有这个有国内那边的所有的这个所以说任何的事情如果没有那边的配合美国人是肯定不可能
[30:31.450,30:34.900,1]  尤其是他这个打碎还是中国这边给打碎
[30:35.460,31:2.080,0]  法师他有两种因为我现在看了一下照片的确那个大陆仔是被打成那个三块全包刮好像是有这个两块的这个破裂因为它那么大的体谅当初如果他不退不给他断开的话他是真的找不到蔬菜预没有办法运输的像那个后来留的另外那四个就打得更费大概剩了六七块而且每块之间它的那个片源都是哎对是
[31:2.080,31:5.370,1]  我真的眼泪都出来了嗯因为
[31:5.370,31:9.290,0]  我觉得打碎他是在山上在招0032就已经打碎了虽然的话他是用不上
[31:9.290,31:10.780,1]  他是不是大山对就是
[31:10.780,31:36.350,0]  其实其实比起我觉得大家可能昭陵六骏可能因为是跟唐太宗有关系所以这个这个知名度比较高其实在兵大他的原厅里面还长了两尊这个来自这个小唐山的这个菩萨的头那个蔬菜的那个我个人认为是非常精美帝两件艺术品而且他的他的他的这个年代比昭陵六骏还要早起码早早100多年200年是没有问题的
[31:37.540,32:20.230,0]  呃所以呆在你但是你认为就是我我想这个大家的心痛有很多的方面比较有的我们作为这个这个中国人来说这个文物流失海外总有一种失落感这是一个还有一个我觉得艺术品被破坏了嗯失去了很多它的这个性质ad对这个我觉得我觉得这是最主要的一种一种一种失落吧因为我们讲这个海外流失文物已经已经已经很多时间了这个大家的这个呃com企业很多我觉得这个所以这方面呢就是呃也有很多很极端的这个这个这个评论有的认为啊这个还是在国外美术馆保存好如果在国内可能都流程
[32:20.230,32:48.480,1]  SF是的这个说法是绝对站不住脚的那那那这个我们是和刚刚我说他住的那个话头一起咱们再回头再下去再录一下那个今天据说这个呵呵不然哎呀啊所以他呃我们刚说的保存状况嘛那研究状况呢他们有没有就是专门的比如说负责呃研究中国文物的这个部门呢拿他的一个人员构成是怎样的阿
[32:49.290,32:56.870,1]  然后他们大概有多少花花多少时间去做这些事情他们的经费的来源是怎样的那个钱够花吗这样
[32:57.430,33:9.440,0]  OK其实这个美国博物馆的很多的这个机构设置也好人员设置也好和中国还很多和中国许多博物馆还不太一样因为据我们了解啊
[33:9.440,33:10.590,1]  很不一样我觉得嗯
[33:10.590,33:39.070,0]  嗯对很不一样对而宾大博物馆的和这些博物馆还不太一样为什么就是说咱们不拿其他的这个博物馆比咱们这个大学之间的博物馆比较就是说现在宾大博物馆是美国主要大学博物馆里唯一一个还是以这个大学里的process兼任qa的OK其他其他的像大呃那个哈佛呀像粉色呀也有了甚至堪萨斯大学的博物馆什么他们都已经有了专职的这个
[33:40.290,33:52.190,0]  QHM就是研究员也好主任也好对但宾大还是每个每个部门还都是以大学的老师教授相关的教授兼任所以这是宾大的一个问题
[33:52.280,33:54.550,1]  但是就是说对他是从
[33:54.550,33:58.965,0]  付款管理来说就是他有些专职人员比如说中国不他有一个keeper
