[0:0.095,0:3.700,1]  今天是第下关的第12期，大家好，我是竹子。
[6:57.440,7:29.170,0]  在克孜尔石窟啊，看了当地的一寸的这些呃遗迹历史遗迹以后啊，更使得我们有这样一种就说像追寻历史多的一种感觉，因为我觉得我对新疆的这个这个其实也有一定的这个固定城市啊，后来去了新疆以后，回来以后完了又大量的做功课完了就再去看历史书啊，什么才对，新疆的好多这个历史还有一个更全面，更深刻的一个一个了解我觉得所以我觉得这点我也是特别希望跟大家分享。
[7:29.410,7:32.790,1]  对，而且尤其男男将更加原生态。
[7:33.000,7:44.240,1]  午饭，我记得就是我们从库车然后到克孜尔的那个路上就到课快到褐色的时候一个很大的转弯，然后豁然开朗就是一片。
[7:44.430,7:48.260,1]  就是连绵的丹霞应该是在下的吗。
[7:48.480,7:52.940,0]  啊，我就说你是不是你讲就是那个好像是以前的铁门关那个地方好像是。
[7:52.940,8:14.420,1]  对对对对对转那个大弯，然后，然后当天晚上，住在这个秋季研究院的那个招待所的时候就就都能看到迎合，然后就天地相连，但非常近，就这个地方很近，你就拍拍已经他，他学校很很容易让我们一下就回到以前。
[8:14.900,8:32.000,1]  他们去禅修的这样一个地方儿，我说的觉得还应该再补上历史背景啊，就是说我觉得至少有一点我们现在去刻字啊，或者去库车地区有一我们必须应该牢记的，就是说在古代这个秋瓷国也好，就在附近的一些好，他邱辞过他就是一个佛国。
[8:32.310,8:51.490,1]  这个我觉得应该特别强调了对所以他才会留下这么多的这个国家雨季吗，国家以及呃，而且其实我们今天看到的是一个伊斯兰画的世界，但实际上，嗯你去看了这些意思就能看到很明显的一个曾经佛教盛鑫的这样一个活动。
[8:51.490,9:51.490,0]  现在就是又回到一个就是咱们简单讲一下一个大历史的一个一个概念啊，就是呃，整个这个新疆地区的佛教传入呢，跟基本上跟这个佛教传入中国呢时间呢，是基本上差不了太多呃，现在学术界主流认为呢，大概在公元二世纪左右公园20G左右呢，就佛教的开始就同时基本上是传入新疆，跟传入的中国内地，但因为中国内地呢，因为福源比较广大人口众多，所以它传播到佛教兴盛的有一个有一个比较长的一个过程，因为到了四五实际首付叫新生，开始那个但是因为新疆地区呢，他这个相对来说人口比较少，这个1000传统文化的可能没有中国那么生活，所以他的佛教一传入以后，马上就新生了，所以新疆佛教虽然跟中国传入的时间差不多，但是它鑫盛起来的时间比中国呀，早大概在公元三世纪的时候，整个就说我们现在所讲的新家就原来古代的丝绸之路这些西域这个饭。
[9:51.491,10:31.810,0]  基本上都已经是佛教兴盛的一个一个状况了，完了，因为他们新生找，另外地理位置呢，跟着这个印度啊，北印度地区啊，或者是呃，或者那个阿富汗河谷那是地区比较近，所以他们相对来说得到的这个当时那时候比较流行的比较无论健陀罗风格啊，还是印度北方的一些风格的这个影响滋润那比较直接，所以他们惨生疏的一种佛教文化呢，是比较比较比较璀璨也是比较丰富，荣呃，跟内地的，因为内地相对来说要得到了再一次二传，所以是不太一样，所以他们的佛教文化相对来说内地来说要更加的多彩多姿，一起。
[10:31.810,10:40.120,1]  不要去感觉这个亲自这个国家虽然比较小嘛，但是好像他特别有创造力，尤其在这个艺术上面它这个成就还是香港。
[10:42.010,10:51.270,1]  还有很多自己接着这种独特的艺术形式就完全是道创的我们能看到印度的影子，但是非常有自我风。
[10:51.270,11:19.490,0]  对是的就是尤其是这个我们要讲到的，这个关于这个石窟艺术，因为大家知道这是故意是单源自于这个印度了这个尤其是这个西印度地区对吧，这些石窟那么石窟这种形式传到了克孜尔的时候呢，他等于又一次的结合了当地的这个文化氛围，跟这个风格又一次绽放，这是一个完了这次绽放又影响到东边有包括我们呃内地的这个事故艺术呃。
[11:19.890,11:35.310,0]  这个时空艺术随着这个基本上是只支持中学的这个秋次这个佛教文化产生兴盛，到最后筛网中间的是过程的，大概从公园30级大概一直到公元11世纪就是。
[11:35.540,12:33.450,0]  简单的讲是这样一个范围，但每个事故的影响呢，因为是酷的陈延续长度不太一样，呃，大概是在这样近1000年的时间里面，在这个西西域的这个范围内就产生出那么丰富的这个佛教的这个漫画，那么到了大概公元11世纪以后慢慢的因为这个政治格局的变化，那么佛教的这个影响慢慢的开始销往一直到了大概公元16世纪的时候就是大概在中国明代中期的时候，整个新疆地区，那么佛教彻底的退出了这个历史的这个舞台推出了人们的视线变成了费，续那个是这样的一个情况，那么讲到特别讲的这个课资克孜尔克孜尔呢，我们呢，那个现存的就是刚才讲到的这个吉大师裤裙的，我们首先要讲的就是克孜尔事故全就是我们讲的钢材库存秋词的石窟群里面，我们首先讲就刻字还是不聚，客栈式服务群呢，是现存规模最大，种类最多也数量最多的一个事故去。
[12:33.450,12:42.820,1]  对啊，所以就回到刚才这个肘子说的那个他的那个在克孜尔这个切身感受，我觉得我在第一眼看到可多了是不是说我的。
[12:43.100,13:11.070,1]  感觉也特别特别的激动也好，兴奋也好，甚至于我现在都觉得这是我人生中几个特别美好的这个瞬间之一，我不知道格子你有没有同感啊，因为我们你还记得我们从这个酷车城出来以后，大概开了大概要两个小时汽车吧，大概前面都是在这个几乎是不毛之地戈壁上这个这个穿行，突然这个汽车网下这个第四往下就是转个弯，然后一片。
[13:11.230,13:25.810,1]  你悠悠的这个绿洲，然后一条汹涌的大河，然后这个夕阳照在这个这个前面这个大山上看见这个远处的一个到达的那个时期的确特别门对啊，三个感觉特别特别好。
[13:26.320,13:31.780,0]  因为客栈石窟就在一个特价时候就在这个扎木赵家木提盒吧。
[13:32.780,13:37.280,0]  呃，一个河谷里面对吧，它主要是在和的这个北。
[13:38.040,14:16.800,0]  大概散落了那么一一两两公里这么一个河谷地带都是分不了这个各种各样的开凿的这个石窟，那么石窟呢，他现在按照现在分的是分了四个区，对吧，一个叫贾东区一觉古西区，一个叫山后区还叫贾中区将四个车在现在在三法安的是酷的编号编的，大概好像编了有300多号的一个石窟就是现在还可以这边好记录的是酷，那么学者们大概就是把它分类呢，就是这个克孜尔石窟呢，就是大概有三类吧一类呢，是好像是那种蜂房哭。
[14:17.180,14:32.840,0]  就是增人居住的一些是因为因为秋词那说流行的也是小，趁所讲，小胜佛教主要讲究这个分人的这个自我的这个修修炼吧，他有很多森防库那么比如说像我们去看到的那个第八苦。
[14:32.960,14:46.230,0]  第八，酷航就是一个非常典型的一个呃呃，对不起，说错第十十五库是一个生防库现在还留了一个那个那种很很高，高级的一个壁炉的一个形式在那里，那是一个比较特有特点的一个。
[14:46.230,15:6.330,1]  他那个能出我一个小套间使的，因为它这个新疆地区他这个风沙比较大嘛，然后他进去以后都有一个走道，然后一拐是真人的一个居住的空间，然后总体还记不记得就在浦东刚才说的是18不有一个非常西式的一个病毒啊，拿到十九十五实际上是一个非常。
[15:6.350,15:22.680,1]  对对15库对吧，都是非常一个就说很好就的这么一个记录，就位位置也好像很像，因为西方人通常把壁炉就像我们不要把电视放在客厅的中心部分，以他来做中间设计它那个并不有点那个意思。
[15:22.680,15:36.830,0]  对完了那个除了松房库以外呢，当然这个还两种比较这个一个呢，叫他那个我们现在中心住户市中心住哭呢，这个有的学者认为它是从这个呃这个印度的这个。
[15:38.030,16:38.030,0]  就是那个中间有的主板那只题库，上肢啼哭演变过来，因为它那个肢体晚上就变成一个中心住啊，上面有福相什么的，呃，那大致有的学者这么认为啊，他认为这个是符合这个小乘佛教的那个观佛的这个他这个仪轨了就是就正面有一个这个佛祖的一个佛陀的一个形象，那么符合就是兴图文都是右旋怎么来礼服，那么两边的是有福传故事啊本身故事完了后面呢，后面的甬道甬道的是佛的这个虐袒这个车挨的，然后再回来以后你当你从右边绕出来以后，你看见的进口上面有一个这个山墙上等于就是一个密集额的一个呃，都在兜率宫的一个说法，图等下就是在天就是一个一个佛一个菩萨，他一佛一菩萨，这种理念是符合这个小数佛教的这个礼佛的一个衣柜跟更换那个大乘佛教的就比较有千佛万佛的那个。
[16:38.031,16:49.540,0]  不太一样的一种，那么，这是一种就是一种学说，一种一种观点认为他这个是从印度的这种塘沽救治题库里面演变过来，还有一个就在刻字来比较有特色的就是一个。
[16:50.790,16:55.460,0]  这个大象裤，咱们也去看过那个主动，我不知道你还有没有印象。
[16:55.460,16:57.040,1]  什么价格没有了。
[16:57.040,17:1.560,0]  哎，对像单都是没有了那个比方，有那个。
[17:4.030,17:24.550,0]  就是个大象裤，还有我们去过的那个47库四期库也是个大象骨，但他那大象哭呢，因为像当时都没有，但是能看见是一个就是开着了一个很大的一个，前面就是有一个大概有的人起码是六七米高拿了，再有多余到十几米高，一个很大的一个一个空间实际上原来都有一个立项。
[17:24.550,17:32.000,1]  对对就是想那个以以前在这个地方是应该有有木木购的那些钱最好。
[17:32.000,17:48.070,0]  你这个顺眼就是说，呃，具体就是说放什么东西的，不知道有可能是挑出来一个台字很有可能是挑战一个台子就跟里面的壁画一样完了上面呢，是一层一层的完了，每层都有这个记约啊，有什么有各种各样的这个眼做就是为了这个。
[17:48.080,17:49.340,0]  大象来。
[17:49.340,18:21.610,1]  嗯，称一下，因为刚好村这个口口述了这个大概这个克孜尔这库存地区销售地区大概过了这个形象，可能大家听着还有些这个呃茫然，这个不知道他到底是什么样子，我说一个很简单的例子，大家就很清楚了，如果从外观上看这个大三故旧和我们这个大家都比较了解的那个巴黎杨哈哈的巴黎一样的那个那个两个大象在外观上在他的这个康婷上其实是非常像的可能只是大小不同而已，发明的那个更大。
[18:22.950,18:36.920,0]  对吧，米么，对吧，米粒佛八名大象是一个是大概是50几米，一个是30几吗，在秋思地区的这个好像发现的限制的这个大象裤行最大的应该是十几米吧，十几米的一个打击。
[18:36.920,18:40.680,1]  嗯，我记得好像在三个三个散的时候有最大的大厦。
[18:40.680,18:49.490,0]  对对对对就秋词就克孜尔大概是好像也有不少个大象裤，大概大概在十米左右那样的一个规模。
[18:49.490,19:9.610,1]  对以前有一种传统的这个观点认为呢，就是说是八级牙的那个大象吗，建的最早，然后呢，说是影响秋子然后继而引导内地比如说在这个呃天梯山呀，一个经营岗啊什么的，但是现在别墅建有有些学生也开始纠正继承法，因为。
[19:9.820,19:15.850,1]  据现在他们会去接个碳14的这个测定啊，他们认为这个发芽的大象啊，并。
[19:15.910,19:28.675,1]  定位比较并不一定比这个库车地区发生的这个大家会更大可能比库车这个发生的证吧，而且另外一个他们觉得这个现在大厦出的流行，他们觉得很多学生认为是从。
[19:28.675,19:58.070,1]  秋子地区开始流行，而且现实保存的这个一直来说也是车子地区的最多吗，我们在课看到好多再生饭再打哈，这些都有这个大厦裤儿在八零只有俩嘛，对吧，所以很可能大家认为是候车地区修辞地区先先产生的大象部队流行线，然后分别向东迎霞历下西一下向东嘛就影响我们中原内的这个开发大厦儿向西的就是一些这个方案呀。
[19:58.560,20:12.660,0]  这个呢就说因为这个咱们再回到这个讲邱慈的这个石窟艺术啊，是提交有意思的那个他的这个时空艺术呢，因为秋词是古代就是一个等于是一个交通要道呃。
[20:12.900,20:49.550,0]  库车说是在当时这个这个应就是在这个当地语言中的意思就是一个十字路口的一个意思，因为他等于是一条呃，东西当然是丝绸之路的一个主要的一个通道啊，因为丝绸之路往那边走，烟台的木盒的两元，南园跟北园北园就是沿着库车这边南园演的和田那么另外就东西向二南北向就是等于是呃，穿过天山到达这个新疆的北部地区的一个主要的一个路口，所以他等于在一个十字路口这样影响比较多，有这样一个一个就是学着有这样一些这个嗯呃推测，因为比较在。
[20:50.490,21:30.730,0]  这个刻字儿的，这个像这个这个壁画里面发现了一些就是说，呃是是这个就印度这个壁画没有的一些情况，比如说一个简单的一个比方，就是说这个他们大象裤后面不都有那涅盘像嘛，他有那个壁画一般的那局，哎图就是就是，是辅助涅盘的时候，这个地址们都在旁边这个非常悲伤啊，悲伤的致癌图呢，这印度是有的，但是呢，他这个在这个克孜尔壁画里面就只爱途他出现了一些比方说这个呃捶胸达萨还有这个哥哥面就是就是把脸给划划出划到了以后那血流出来。
[21:31.310,21:41.340,0]  他这种情况呢，呃专家那专家这个考察了以后呢，说这个肯定不是从印度来的说这个呢，这种风俗呢，实际上是北方。
[21:41.530,21:42.980,0]  草原民族。
[21:43.380,22:5.540,0]  G就是说的一种就是说祭奠亡人的一种一种风俗就是这样的就是把这个脸脸更破了，以后去血流出来，那这种东西反映到这个秋词，这个壁画上的就明显可以看出他就是结合了一些，就是说不是来自印度，而是来自别地地区可能非佛教信仰地区的一些一些一些习俗呢，它就融合到你们就这只是一个一个力。
[22:5.540,22:19.880,1]  对啊，我觉得这个非常有意思吗，像像古筝刚聊的这些这些尚属这个在以后甚至以后直到了辽金时期，这个契丹人你真的人，他们在这个香港的这个仪式上也还都保持这样。
[22:20.250,23:17.890,0]  对，另外还有呢，当然也是一个研究生的一个一个一个若呃，就是就是困惑点的就是秋词，这个他这个地区整个的这个是裤裙啊，它很少有这个文字的记载，这有一些呃文字，但不多，所以呢，对于现在我们判断比方秋词这个词户群比较克制石窟到底到底是什么时候开始见到每一个事故的见到您这个都只是在一个推测跟一个学术上的一个一个假设中，因为只能退这个大概的年代，或者根据碳14啊什么的，但是没有一个确切的纪年，因为他们这些这个这个西域国家跟咱们中国可能不太一样，就是他们是陈文的历史啊，并不像我们中国那么完备，我们就中国的内地地区，那些开始库什么都要客人自首，一般查出来这个石窟在哪个年龄段或者是数什么对应是一般人是很很有据可查的，但在这个西域的这些石窟呢，这方面呢，就是不不像这个内地事故一样。
[23:17.890,23:26.060,1]  她是不是也和印度早期佛教一样，就是它靠的是口耳相传，而不是支持对就附注文字里头还有一方。
[23:26.060,24:5.070,0]  面的，因为他们西域地区的这个就是这个民族的这个流动性跟语言的变化的，也是相对来说比较比较比较多，频率比较高一点，对他们的，因为包括现在主要认定锦标邱慈地区的人种到底是属于什么样的人种也是一个比较复杂的一个，因为它的人种变化呀，还语言变化也比较多，嗯比较早，七时前，那时候有些发掘更后来怎么样，这些都是呃以后很多要带鱼，大家进一步学术界进行这个研究的一些一些课题啊，这个答案就是比较深奥一点，再咱们再回到比方讲这个课自然的事故啊，客栈石窟。
[24:5.070,24:23.550,1]  嗯，好像林飞有一个有一个观点，他就是说说，根据这个体质人类学和比较学的这个语言学校白云秋，此人属于呃，高加索人种，这个这个是没有什么问题的，当然现在我们的这个这个，唯独这个民族成分是有各种。
[24:24.220,25:13.670,1]  多屏轴这个活动和而成的，这边这么平成新鲜的这个为主，所以他人而且我也包含了以前有这个汉族的血统嘛，也有很多来自一个，西方就是就是草原，这个民族的很多血统，所以这个是一个比较复杂的问题，那我们再回到这个QQ的艺术吧，我我觉所以就像刚才本身说的邱慈的石头，每个十字路口它吸收了大量的来自邻近地区设置很遥远地区的许多文化，比如说像南亚的呀，像这个伊朗高原的呀啥的波斯萨珊啊，还比如像现在河中地区佳木斯别克就中亚地区物品，哈萨克斯坦的，然后就是我宿舍B区的这个文化呀，甚至更遥远的还有蓝色这个地中海地区叙利亚呀，这些这些地方的这些这些王化，所以结合在一起，我们现在能看得到的，而且现在大家推崇备至的。
[25:13.710,25:17.750,1]  就是说不叫邱慈的和交易数可能主要还是以壁画为主吧。
[25:20.000,26:16.920,0]  对，因为那个因为因为很不幸的，因为在这个佛教消亡以后，这个在这个新疆变成伊斯兰化的这个过程当中，因为因为不同的宗教信仰啊，对于这个佛教的这个遗存的破坏也是非常大的那个，所以在整个秋季地区现在所能看见的，这个只有这个佛教遗存，只有这个壁画还有那么对于这个塑像啊，基本上已经全部都已经毁坏了对所以对于塑像的一些句真实的这些面目啊，我们可能只能从一些零星的一些遗存，还有就是说，比如国外这个这个都好点，都看看行对所这个发掘出的一些一些小型的一些一些塑像呢，可以看出一些端倪，但壁画呢，还是留存的大量的这个壁画给我们提供了很多的这个信息啊，这个从壁画呢，到我们也能推测的，当时是塑像到底到底是一些什么样的面膜，因为我们看那个。
[26:17.210,27:17.210,0]  克孜尔的这个壁画就这一发现就克孜尔壁画，它那个人的这个非常有特点，就是基本上人的这个脸型都是圆圆的，这样的一个完了，依着呢，这个基本上都是是是不是汉室的还有很多这个呃罗珍啊，这种东西，哎，对这种东西在这个明显裸体这个东西是呃，是受到了一个收到的印度南方对吧，咱们是印度南方看的那些是酷好多，那供养人什么基本都是裸体的对吧，还有一个是受到了这个咱们讲的古希腊古罗马的这个裸体的这种这种这种风格的这种影响，一个是逻辑，那么还有呢，就是他们库车的这个就邱慈壁画，它这个颜色也是非常特别就是它采用了很多的这个蓝颜色这个蓝颜色呢，是从这个原产就青史吗，应该是从这个阿富汗现在的阿富汗地区对这种蓝颜色当时到现在都也是一种比较昂贵的一种绘画颜料，因为它是矿物质颜料，所以也可以享受那时候的这个库秋子地区的这个一个是赋予的这个程度。
[27:17.211,27:25.540,0]  另外一个就是他们对佛教的这个全程啊，这个供奉的这个钱财什么也是非常的可观的，所以才产生的这样一个。
[27:26.460,28:0.040,0]  那这个就是说呃，还有一个就是说大家就是我们感受到一个在秋次壁画中看到的另外一个一个非常让人印象深刻的一点就是秋词的音乐，这个是完全是跟咱们史书记载比较邱慈那边的这个历史，因为中国古代史书记载秋词就记载很多就邱慈悦秋词的音乐，怎么如何如何的这个呃呃，动听，或者如何如何的这个鑫盛，那么这个点在这个我们比方说看到最有名的一个就是呃，第38窟第38库对也叫这个悦诗。
[28:1.230,28:10.430,0]  对吧，唉，越是栋对，因为它那个两壁上就是有大概呃两两两两一对组合的这个就是那个月。
[28:11.080,28:20.890,0]  月季嘛，就是大概有一边是12个好像是那个完了，都是各种各样的乐器，有谈琵琶有谈什么空红有。
[28:20.890,28:27.220,1]  应该是上下两层吧，就底下是一层上面还是就是它的建筑勾栏上面还有。
[28:27.220,28:47.990,0]  对有点就像于像一个对有些像一个SF对对对晚上的人都是在那里坐月的一个完了，还有很多各种各样的这个乐器展示出来，这些乐器，有的现在还在那个呃呃，这个使用，有的可能已经失传了，那他是一边是是我看一下照片，一边是有。
[28:50.200,29:10.430,0]  就一边就是它那个它那个中中心洞窟的两侧，一边是七组一组是两个他那个按照这个黑白两个这个器乐的这个来表现等于就是一边有14个两遍，28个这样的一个充满了就是看着就好啊，你到了这个洞护理就就觉得好像这个这个。
[29:10.650,29:14.930,0]  各种音乐就想起来了各种各样的这个渠道就付现在这个。
[29:14.930,30:14.930,1]  哎，你场面场面非常热烈，这个38肯定是就是谷西区的一个这个重点我们大家必须要关注对经理让关注的一个石窟，如果大家在这在绕过这个涅盘台，从这个厚实照到前十，看到正面的那个米乐说法图可以看到有几块就是被这个德国人当时这个贴走的这个痕迹在这儿对这我还得补充一点，其实这备有两块被切走的这个这个，这个，这个供养仙的共两天的这个形象啊，其实现在并不存在德国是存在这个美国的对接，打压大学的这个博物馆里头这个渊源就是算这个迈克尔对这两这两片其实就是在缸1920年代，这个勒柯克主持这个病，当时德国人经费不足就是当时就卖给了一个叫单位连的这么一个一个一个商人，然后他又把这些东西办到美国来，所以大概就是这么被很多现在有一些很重要的这个秋季的壁画残片，其实并非保证的德保同在这个美国的啵。
[30:14.931,30:16.030,1]  谢谢哈。
[30:18.330,30:27.810,1]  38户还有一个就是特别印象深刻，就是也是秋词艺术风格特别独特的就是他那个菱形格来描述或者故事。
[30:27.960,30:34.560,1]  对对这个那个券顶上的天井上面其他其对对对其他地方没有限制。
[30:34.560,31:11.590,0]  因为那个他是这样戚秋词呢，他这个呃，就是有很多大量的壁画呢，是描绘的这个佛的这个一个是佛传故事，那扶正故事什么什么就是佛大概就是佛，他本身就成佛的这个自己的这个一一长串就是怎么样就能宣传自己的这个佛教这个就是有点像这个打表一点，像这个孔子那时候的生平那种样子的，这种那佛传故事，还有一个呢，就是这还有呢，就是本身故事音乐佛讲就它有很多前生嘛，钱是有多少次转轮回就讲他以前就。
[31:11.600,31:26.590,0]  以前是的这个很多次轮回之间的这个很多，这个故事就是说的这个本身故事，还有就是什么因缘故事，就这三种，这个都是以这种玲新格或者你连环画这种形式来表现在这个。
[31:26.590,32:26.590,1]  我这么有秋实特色的这个艺术表现，其实我们可以看到其实也是他修辞地去接受了很多，这个外来的地区的就是说艺术和文化的影响，然后结合在一起产生的这种语速，比如说举个例子，这个它是以这个单词的这个画面来表现一个很复杂的本身故事，他对他不是连它不是联网的话或者连续一年是这个故事里面最精彩的那一段最可以最有代表性的这么一个场景一个片段，以这么一个很小的一个画面的表现出来，这个其实我们住的你还记得我们在印度其实可以看到很多类似的这样的一个表示，可以可以说他的可能都是比如说这种脾气阁就是方格的形式大可以说对他这种表达的方式就是内容的表达形式可能来自印度，可能他的这个话滚吧，有印度的这个原因，他这种菱形格其实有张家口市全是来自伊朗高原或者是一来一两个说的伊朗高原这个这个。
[32:26.591,32:28.250,1]  机票三等于啊。
[32:28.550,32:54.300,1]  他那个菱形格不是平的，我们说打了个菱形在里面，它的每个菱形实际上就有点像孔雀，那个平就是须弥山就每个都是那个新鲜的形式，然后有一个形象，他自己这个山啊，或者是一些这个装饰的这种花纹啊，给他隔开这么一个很漂亮的一个，这个这个菱形非常漂亮，这这个非常有。
[32:54.700,33:2.930,1]  颜色也安排的特别眩目，而且在圈顶上中间总是有一条就是上面是什么，日月天。
[33:3.070,33:21.060,1]  嗯，那个是，然后有个在路的，在那个那个这种形式在其他地方，比如说我们去他给写的特别大家介绍一下这个科地区的这个就是准时库，现在的开放情况啊，其实现在刚才古城聊了四个区吧，那其实现在大概只开放是这。
[33:21.240,33:35.370,1]  普通观众开放谷西区然后对对对，然后好像我们刚才聊了这么多的这个38裤业始终还是一个特孤就说还要叫曾老师的你还需要就是说出这个花特哭的这个门票才能看到这些事故。
[33:36.010,33:39.220,1]  不知道现在是不是还300我们那个首饰300啊。
[33:39.350,33:44.490,0]  嗯，反正现在这个要这个看这个东西，这个价值还是不肥的。
[33:45.050,34:21.850,0]  完了，那个因为除了38苦恼吗，还接着往下可以走啊，就是股东就是还有这个比方说呃，我们讲的这个如果想看一看比较完整的就是说这个事客栈石窟呢，我们有一个70库，后来你也边城教新一苦就是这个石窟呢，是在大概是在40年代或者50年代的时候发现了一个是酷，那这个是库里面，因为呃，因为以前被埋了，所以发现了以后呢，里面的保存状况还比较好，难能可贵的呢一个呢，就是石窟里面的还有一些残存的一个服务项的一些这个。
[34:22.070,34:47.700,0]  雨季比较这个佛的下半部分的这个包括他的裙摆啊，他的这个股做过还有一些壁画，另外呢，还有一个比较完整的一个涅盘像进度是这个比较难能可贵，还有就是后边甬道，上面有这个很漂亮的这个飞天这个飞天的也是这个相对来说是这个整个克孜尔石窟群里面最完整的一个飞天了，呃，这个都是在第七。
