[0:0.610,0:4.875,0]  欢迎收听B端今天是不相关的第二期大家好约定
[2:36.110,2:42.080,1]  呃那个刚才那个超人的干爹讲的这个的确也是一个无
[2:43.940,2:50.440,1]  深思熟虑的一个方面啊我觉得对于可移动文物实在也是有一个他的这个场景感的问题
[2:50.920,2:52.410,1]  所以我觉得
[2:55.020,2:59.250,1]  呃我我想做的补充就是其实是个特别复杂的问题
[2:59.450,3:2.610,1]  元青花这些瓷器啊他刚他刚刚这个
[3:2.950,3:5.490,1]  就是烧造出来的时候可能他们并没有一个
[3:6.340,3:9.330,1]  但是等他这个订了货以后这个运到了这个
[3:10.230,3:15.620,1]  订购者手里以后然后他们再给他再创造一个空间这可能说是一个再创造的
[3:17.990,3:19.420,1]  嗯超人说的那个
[3:20.120,3:27.640,1]  啊迪迪尔新增四或者是从尔其那个拖布卡理工他们都这个在一个很好的环境下在这个长链
[3:28.600,3:31.150,1]  呃另外我还想到的一个例子是就是这个
[3:38.080,3:39.440,1]  是一个以前一个
[3:41.850,3:44.460,1]  印度殖民地的一个一个官员他收了
[3:59.430,4:0.840,1]  这些瓷器和他做
[4:2.800,4:5.180,1]  陈列这个环境形成了一个新的一个
[4:6.470,4:8.770,1]  所以我觉得超跌提了一个特别有意思的
[4:11.470,4:15.590,0]  对对对呃我能想到的什么就说我觉得反过来说
[4:16.340,4:25.020,0]  不可移动文物的这些属于用户的位置信息或者什么空间啊D类的它一旦丢失也会是一个很大的麻烦
[4:25.230,4:27.810,0]  对他也变成了某种程度上变成一个
[4:28.010,4:33.280,0]  嗯他不能叫可用额度但是他这边可能没有归属感就比如说我们
[4:33.380,4:40.050,0]  所以说在美国的美国管理有网上自助的这一块但是如果这个地方我不知道他是啥公司来的时候
[4:40.090,4:47.110,0]  那可能就是造成很大的麻烦我们就对他的缎带也好对他的姐夫不像学生的各种认识也好都会
[4:47.610,4:48.970,0]  反正不少的麻烦
[4:49.550,4:50.600,0]  嗯嗯
[4:51.160,4:53.905,0]  呃呃我觉得今天咱们
[4:53.905,4:56.900,0]  要进入正题要讨论的这个话题呢
[4:56.950,5:1.420,0]  呃跟这个超级说的这个事还真的
[5:1.420,5:4.250,0]  多多少少有点关系而且嗯
[5:5.020,5:7.630,0]  家长我待会而进入之后再说一下
[5:7.890,5:12.880,0]  嗯我们现在是先进入正题吧呃今天我们想聊的是
[5:14.300,5:17.350,0]  嗯我为什么要为什么要了解呢
[5:17.770,5:21.210,0]  我觉得我的采访一下我们这上面直播
[5:21.330,5:23.330,0]  那个你们
[5:24.060,5:26.940,0]  一人一句话吧好吧哦
[5:26.990,5:28.130,0]  从股东开始
[5:28.740,5:31.940,1]  我觉得聊北区因为它的这个
[5:32.270,5:33.600,1]  实在特别短暂
[5:34.230,5:40.880,1]  实在特别短暂就是就是说呃相对来说就是说我的潜台词就是他留下的东西却特别多
[5:41.190,5:43.310,1]  我想说的是北区开创了
[5:45.100,5:46.340,1]  一种全新的风格
[5:51.390,5:55.390,1]  嗯说一个那个个人的直观感受吧就是
[5:55.530,5:56.880,0]  呃
[5:57.920,6:0.450,1]  北齐这个壁画墓里
[6:0.780,6:2.260,1]  看到的这个
[6:3.150,6:5.710,1]  北齐时代的这个墙上的这个
[6:9.430,6:14.550,1]  第一个直觉的感受就是超越了后市大量纸上的
[6:17.610,6:22.810,1]  就是我们刚看了上期刚6万持续宝地大都会正在展这个
[6:24.400,6:25.400,0]  中国的
[6:27.010,6:31.490,1]  就是当时我就看看到那个北汽的艺术之后就
[6:32.610,6:36.310,0]  政治的慢慢再打开吧咱们先那个因为我觉得
[6:36.470,6:41.540,0]  对对对大多数对大众而言可能其实知之甚少的时代
[6:42.060,6:55.790,1]  对那个咱们普及下知识点就是咱们中国南北朝时期北朝的其中的一个很短命的一个王朝他大概的时间呢如果呃狭窄的算是的话他是从公园
[6:56.370,6:57.930,1]  呃公园
[6:59.390,7:2.410,1]  呃534年到500
[7:2.640,7:26.000,1]  就是77年这样一个时间我说的呢是从这个大概把这个东北也算上从那个东味道北齐一共是这么多如果真的北齐世界还要转打个前后只有28年的时间充550年到五百五百五十五百七十七年那么北区这个证券呢是由鲜卑化的汉人高氏家族
[7:26.300,7:29.470,1]  呃篡夺了这个拖把是的这个
[7:30.030,7:32.280,1]  东北证券以后建立起来的一个
[7:32.770,7:38.960,1]  一个证券当时中国就是是这样一个分封呃分呃三足鼎立的一个情况
[7:39.020,7:42.170,1]  北区的这个国际呢大概是在中国的这个
[7:43.860,7:46.360,1]  基基本上就是北到这个燕山
[7:49.000,7:50.670,1]  难道这个江淮旅游
[7:51.260,7:53.770,1]  东呢就到了这个山东的一个半岛
[7:58.690,8:1.240,0]  呃一般我们说北京
[8:1.240,8:6.090,0]  你把他听课就是北朝晚期嘛是吧平常总会北区就是北朝晚期
[8:6.250,8:7.520,0]  呃那么
[8:8.670,8:11.045,0]  在这个时代其他的
[8:11.045,8:12.480,0]  密码是
[8:12.480,8:17.210,0]  当时是什么情况就比如说这不是南北超市吗南朝区
[8:17.210,8:18.240,1]  长沙市
[8:21.110,8:27.770,0]  凉凉的晚去好像对再加到晚七然后他的第一面应该是
[8:27.810,8:29.440,0]  西北和北周
[8:30.680,8:31.620,0]  北面呢
[8:31.930,8:34.990,1]  北面是柔软是一个很强大的一个草
[8:37.530,8:49.400,0]  呃刚才咱们也说了就是北极我们现在对他的了解其实相当有限然后他也很少出去我至少我我是有意向他很少出现在那个
[8:49.520,8:50.840,0]  大众水平
[8:51.390,8:54.330,0]  所以说如果说到这个流行文化我们
[8:54.580,9:1.220,0]  有无比多的这个历史题材的电视剧吃东西不错行卖送奶然后最近
[9:1.530,9:4.080,0]  这个也快到了坚持这个
[9:4.140,9:5.870,0]  对吧你预算
[9:5.870,9:7.315,0]  嗯那个
[9:7.315,9:8.710,0]  但我不知道有没有
[9:9.230,9:10.680,0]  得几个点击
[9:11.910,9:23.200,1]  这个有啊北京电视剧这个最近我在网上瞎浏览看见的就有一部电视剧叫陆贞传奇就是主要描写北齐时代的一个
[9:24.240,9:26.970,1]  当然这个故事跟历史现实差别比较大
[9:27.080,9:34.490,1]  这个完全有点这个南辕北辙的意思但是他的确是反映了这个北齐高氏家族证券的人
[9:38.340,9:41.440,1]  服装道具什么的我觉得可圈可点吧
[9:41.540,9:43.730,1]  但是这个历史性来说呢
[9:46.630,9:48.810,0]  哦服装道具是很靠谱吗
[9:49.170,10:29.800,1]  呃也比较服装的就是服装道具很靠谱但是我就讲的是这个因为现在的好多这个有的古装剧把中国人恶搞成一些这个披头散发呀或者是完全没有任何的这个这个历史依据的一些形象那起码这个电视剧里面我看了一眼这个皇帝也好啊那个什么大成也好还还不是那么特不靠谱的服装当然这个呃这个女女就是女女人的服装可能我估计跟历史的真实感可能还是有一定差距因为咱们以后谈到这个其实这个北芪留下在壁画里面比我们很真实的这个当事人的这个呃一一装风貌的一种形式
[10:31.230,10:33.190,0]  这个电视剧到底讲什么呢
[10:34.050,11:9.210,1]  呃简单地讲这个电视剧吧是讲了这个中国历史上唯一的一位其实讲的唯一的问题在这当然也是可圈可点的因为洪秀全有个女仔像这个嗯他是讲了一个可与宰相叫路真的这个人的一个传奇故事是在历史上呢的确是有这么一个女人但他呢并不是以靠自己的才叫才华当着在想而是靠这个裙带关系跟这个皇帝的这个而且他这个人本身是一个祸国殃民的一个坚持他的儿子这个也是北齐晚期的一个大的一个一个这个宁成教那个
[11:10.790,11:19.140,1]  您听这名字目的博反而也不是这个汉人的一个名字因为他们之间呗那这么一听是不是觉得北区的皇皇帝更不靠谱
[11:19.670,11:21.590,1]  皇室秘术是吧大
[11:21.590,11:31.090,0]  我我我比较好奇的是他有没有反映出某种就是这个时代的特点所以说你能从中追到北区是怎么回事
[11:31.870,12:25.180,1]  呃你简单的看他那历史就能反映出一个他当时的政治的一个面貌就是非常荒诞因为北区实际上他就短短的其实就是两代人几个兄弟再加一个侄子一个老街就这么完了一个老妈就是都是姓高的完了这些人的一个一个一个兄弟急什么但是非常荒诞的一个历史因为这个当然在这个咱们读北史的话这个里面会讲到很多的这个荒诞的这个故事这也是为什么现在好多人把北京以为奇葩的一个王朝但是其实无独有偶其实当时同样时期的南朝尤其是那个刘宋啊这个呃南南其啊什么也都是相当荒诞的咱们大家都知道什么什么山阴公主给自己治什么30个面首啊什么这种事情都是发生在那个奇葩奇葩时代
[12:25.300,12:28.640,1]  那另外一个特点是从北区的特点从电视剧里看
[12:29.430,12:30.850,1]  大量使用湖人
[12:32.250,13:0.370,1]  这是北齐的一个特点因为所以说那个刚才说就是介绍北区王朝他叫鲜卑化的汉人事项高氏家族它本身是汉人但是呢他们是长期这个在在鲜卑族的这个环境下他们自觉不自觉地把自己都已经从汉人变成了一个鲜卑他们的很多这个风俗习惯啊他们的这个省很多的这个传统都是跟汉族传统汉族不太一样所以他们比较灯放
[13:0.550,13:31.080,1]  另外一个呢就是当时这个时期呢可能也是中国民族大融合的时期所以在中国的这个华北尤其是华北地区呢有很多的这个外来的湖人参与到这个中国的这个政治当中比方说刚刚才讲的这个就是路真南路真它的原名叫陆世轩路是轩他的这个儿子刚才讲的目的博是个是个大奸佞当时有叫八个八桂八个这个宁陈其中还有一个叫合适开的这个也是很有名的这个一个昵称
[13:31.080,13:33.650,0]  因为好像是北极最大的工资是吧
[13:33.650,13:45.420,1]  嗯对因为你听他名字和姓何的也不是个汉他这个和不是那个人口和他是那个和平的和和平的和他据说这个主张是叫姓涑河
[13:46.300,13:50.270,1]  是来自西域的湖人完了他定居在在在这个
[13:52.180,14:12.650,1]  完了弄什么票弹琵芭特特别好对说是会弹琵笆会会跳这个壶反正你这个来博得这个皇帝的这个重庆那可想而知皇帝是喜欢这个就跟现在用现在来说这个也是哈这个呃不是哈哈日式哈西域
[14:12.670,14:17.300,0]  我说荒唐具体指什么是就是说公平的
[14:17.690,14:19.910,0]  会乱公平是吧就是对方
[14:19.910,14:35.670,1]  我觉得荒唐以咱们今天来讲就是说这个北齐的这个皇族啊好多都你现在人来看当然这个精神病是相对的这个精神都有点不正常这个比方这些一个这个他们的遗传基因里面都有这个
[14:36.580,15:14.530,1]  是久爱喝酒的这个遗传几比方说他们的北齐的实际的第一个皇帝高阳就是喝酒喝死的最后一喝酒撒酒疯连他老老娘都都乱打打完以后酒一醒觉得要等把老娘给打打了呢又自己又自己把火柴这个才会堆在那儿说自己要倒火自焚来谢罪完了吓得老娘又怎么样就说一群就是很荒诞不经的人在那里玩了好多行为艺术之类的东西呃什么裸体这个叫国内叫什么现在有时髦词什么轰趴这是什么的这个这种情况老是抖得都不少
[15:15.020,15:23.740,0]  对其实呃我觉得电视剧可能特别有助于我们对于时代有一些很迅速的把握吧可能刚才说的跟老师给你介绍的就是
[15:23.740,16:7.940,1]  因为我觉得是这样就是说它这个东西能够很快的拉近这个观众比较轻重跟这个历史的距离就跟就跟这个再讲一句在明月传一样的就芈月这一讲以后我看网上就是说有些咱们这个圈子里的文物圈子里的朋友就觉得一下子他那个比如说介绍一些呃先秦那些文物文物的一些文章立刻就受到大家的关注因为大家呃看了芈月传以后有点爱屋及乌的这感觉会去感性A货去找这些跟这个芈月或者跟先秦跟这个秦秦孝文王或者秦惠文王的这个历史有关的这些这些知识点去看这就涉及到好多这个包括那个就是那个生态后的这个零是在宣传或者林就在秦始皇陵
[16:14.210,16:18.680,1]  故宫的宣传一直靠着还珠格格甄嬛传两部电视剧啊
[16:18.680,16:31.030,0]  那么那这个这个电视剧叫什么来着呃陆贞传奇吧如果说传祺有没有那个涉及到我们感兴趣我们这些话题感兴趣部分就给出的意思吗
[16:31.820,16:41.910,1]  呃这个好像因为一个我也没全看完因为实在那个电视剧边有点不太靠谱那个我觉得我觉得最主要的它是涉及到北
[16:43.240,16:47.030,1]  这个没有太多涉及到我觉得我们要讲的这个北汽
[16:47.030,16:50.720,0]  还有公平对宫斗系统对吧
[16:50.850,16:58.450,0]  北极的艺术是吸引我们的最主要的地方所以咱们就聊艺术吧还是那个
[16:58.600,17:0.930,0]  虽然你说咱们要聊什么呀
[17:1.930,17:4.230,1]  我想我们可以从北区的佛教
[17:6.770,17:9.450,1]  因为如果不是在1996年青州
[17:9.940,17:14.860,1]  荣兴是佛教照常大发现的话现在可能大家对北区的认识还没有那么
[17:16.940,17:19.490,1]  所以我们是不是先聊聊这个北区的好像一出
[17:19.900,17:24.060,0]  嗯就是呃这个肯定我觉得是地聊的
[17:24.100,17:32.140,0]  一大部分那个北极的佛教美术的文物和遗迹其实咱们都大多数都去过都访问过
[17:32.370,17:34.990,0]  对吧如果我们要了解咱们是不是先
[17:35.260,17:41.740,0]  您给我们安排一个行程吧如果我们要去看北齐的佛教美术的重要的
[17:41.900,17:43.100,0]  人物飞机
[17:43.120,17:44.960,0]  咱们怎么走啊走一趟
[17:46.100,17:50.160,1]  那个我们要么就在脑海中画一个地图
[17:50.310,17:53.600,1]  呃如果这个大家这个京东对这个中国的
[17:56.990,18:4.780,1]  按着时间的这个顺序来咱们按照时间还按照这个空间来来话这个顺序
[18:4.780,18:9.240,0]  咱做做行程吗咱们从咱们这有一提点好了咱们从北京走
[18:9.790,18:10.900,1]  从北京走
[18:11.850,18:18.900,1]  那咱北京走的话呃出门奔南沿着这个京港澳高速咱们是首先可以就是
[18:18.900,18:23.370,0]  等等等等我觉得你走走了你北京就得看半天了
[18:23.620,18:25.940,0]  波波有没有啊故宫有没有啊
[18:25.940,18:31.400,0]  如果有听青州的呀然后这个不光有曲阳的呀对吧
[18:32.200,18:50.390,1]  啊那这个如果按照这个来理解啊是那这个因为北京这个咱们这个呃人文荟萃的这个首善之区集集中的这个全国各地的这个出土的文物那个咱们这个最大的两个博物馆国家博物馆跟这个故宫博物院都有这个
[18:53.260,19:1.360,1]  那首推的我觉得应该是这个孤儿院最近开的这个雕塑管理的这个曲阳造像陈列这个是相当
[19:1.970,19:10.980,1]  可观的一批这个佛教造像但是它的出处呢是来自就我刚才讲的这个咱们北京西南部的这个河北省曲阳县
[19:11.280,19:14.660,1]  他发现的时间呢是在上个世纪50年代
[19:15.230,19:17.700,1]  嗯是叫修德斯坦
[19:21.140,19:24.980,1]  哎对周四也是一个非常偶然的一个机会发现
[19:25.360,19:29.830,1]  那这里面咱们在是不是要再补充一个知识点就是什么叫窖藏
[19:32.120,19:37.070,1]  嗯因为窖藏文物呢这个呃通俗的讲的就是
[19:37.150,19:49.040,1]  把一些东西咱们这个挖一个地窖完了把这些东西呢这个买在这个地下呃当然原因呢是各种各样的有的窖藏是因为躲避战乱有的窖藏呢是因为
[19:50.560,20:10.430,1]  呃关于佛教这批窖藏的这个他有有些学者提出他并不完全是因为战乱的原因而是就是有的学生提出是因为这样呃预埋坑就是因为佛教造像它也有一个损毁送回了以后等于就把这些残疾的佛教造像就把它通过一个一室买到地下就行
[20:12.090,20:13.780,1]  啊这是一家之言啊
[20:13.810,20:14.870,1]  他这个呢就是
[20:17.060,20:24.740,1]  然后就是国博那个国博呢因为它这个陈列在几个不同的地方一个呢就是国波它有一个这个
[20:26.290,20:43.220,1]  最最新发就有中间有个佛教文物展厅那里面有成立的呃不少见的这个也有曲阳造像也有这个青州造像还有一些别的地方的一些造价另外就是在那个他的这个充实感里面也有成立了一些呗
[20:45.820,20:49.920,0]  主要还是比较重要的是那个郑州的是吧
[20:50.790,20:52.270,0]  嗯拼车东西比较
[20:52.670,20:53.720,0]  呃这是
[20:53.790,21:1.740,0]  护肤婆婆有了咱们这个两大调查了已经是非常重要的男人郑州的是两室的室
[21:2.050,21:4.040,0]  北京还有一个这个咱们就
[21:4.600,21:6.020,1]  不提但是
[21:6.120,21:10.900,0]  不能提名字但是也不能假装不知道的这么一个博物馆还有一堆
[21:10.900,21:18.240,1]  啊哈哈那这个呢这个呢这个这是一批这个新发现文物应该怎么
[21:18.740,21:33.020,1]  具体这个文物的这个真实性到底怎么样有待于大家的考证啊这个呃这么一讲的话这个不仅是首都了这个咱们中国有几个大城市呃博物馆都成立了一批呃应该是跟青州风格
[21:37.650,21:43.250,1]  北京上海一个一个是吧在上海有一个然后台北有一个
[21:44.410,21:49.000,1]  哦对这个是量比较大的其实在世界各地如果您去这个
[21:52.300,21:58.950,1]  文物展的话有的时候林欣也能看到不少大概都是在上个世纪90年代末和这个世纪初这个
[22:0.230,22:3.890,1]  文革都很相似然后然后还有组合性
[22:3.890,22:8.190,0]  深圳市出处都难以判断是吧没有出现没有
[22:10.060,22:22.450,1]  但讲到讲到讲到出处的话那咱们就就反正呃如果按照这个时间因为刚才讲到就是因为结合到这个曲阳造像刚开始我就点到了咱们这个初北京往南
[22:25.420,22:31.280,1]  河北曲阳县对吧曲阳县其实也是一个相当有历史沉淀的机电的一个一个
[22:32.480,22:40.350,1]  除了我们刚才讲的这个修的斯塔休得四的这个教材文物以外就在潇鸽是北边大概几百米的地方就有另外一个这个
[22:45.780,22:52.330,1]  大家可能现在可能比较知道的就是我们中国五月里面的北岳是在山西省的浑源县
[22:52.430,22:54.600,1]  但其实在清代以前
[23:1.800,23:4.230,1]  所以呢历代帝王祭祀的时候呢
[23:7.530,23:9.610,0]  则庙的建筑是
[23:9.710,23:10.360,1]  元旦
[23:10.360,23:11.870,0]  好的元代对
[23:11.870,23:13.350,1]  对县城建筑
[23:14.350,23:20.250,1]  然后就是我们如果这个转账的话我们可以一路沿着京港澳再往南
[23:20.890,23:27.740,1]  呃过了邯郸我们就大概到了另外一个就是也是跟北京非常有关系北极的首都
[23:28.790,23:32.820,0]  呃不行我还得打断你之前得在石家庄一块儿
[23:33.250,23:35.900,1]  呵呵I
[23:35.900,23:43.840,0]  嗯曲阳修德寺以及河北省的北极的国家调查组大多数应该还是在
[23:45.920,23:50.480,1]  呃修的是的大部分都在故宫了但是就是其他地方
[23:50.480,23:51.000,0]  没有
[23:51.000,23:53.030,1]  就不分了两部分吗
[23:54.390,24:1.120,1]  50年内进行修复的时候都调拨给故宫的那批然后剩下的都在那个河北省波
[24:1.650,24:6.140,1]  而且这次故宫展的你会发现好多东西跟那个河北省模式一样一顿
[24:6.140,24:8.560,1]  就是每个题材大家一人一个
[24:8.940,24:13.900,1]  不过这里面要吐下槽就是这个故宫这个修虽然那时候是
[24:14.040,24:18.430,1]  送的故宫去修复的但是这个故宫的修复质量实在是不太敢
[24:20.270,24:29.980,1]  呵呵其实去那个石家庄以前这个你要提醒我了去石家庄以前有一个地方也是值得去的就是这个灵寿县的幽居寺塔
[24:32.370,24:48.460,1]  因为那个是那个就是也是北区的往往皇族就是高蕊见光死云高瑞对建的寺院那寺院已经荡然无存了那个塔呢本身也不是北齐的卡但是它里面有几尊佛像是当初北芪这个黄色这个
[24:48.670,24:57.590,1]  都到了这个三尊佛像这三周佛教现在呢大家都一到了这个河北省博物馆嗯这三个国家也带走了北区当时佛教造像的一个
[24:58.680,25:0.950,0]  嗯不是河北省博应该说
[25:1.780,25:6.885,0]  对其实是不是还有别的别的地方突出也不少有那个北庄嘛是吧
[25:6.885,25:9.800,1]  再往南走呗我觉得邯郸怎么都得停一下吧
[25:10.850,25:13.330,1]  第一个是邯郸市邯郸市博士相当
[25:22.850,25:25.400,1]  而且现在距离邯郸比较近的呢
[25:32.370,25:35.270,1]  在还在天津河北省的峰峰矿区
[25:37.670,25:40.370,1]  想看石窟现在我们知道都分为这个
[25:45.720,25:47.520,1]  非常石窟那是
[25:52.770,25:53.640,1]  南昌时空
[25:58.720,26:0.050,1]  谁是小小堂
[26:4.300,26:6.650,1]  这边人经常深刻的当然是这个赔偿
[26:7.390,26:10.850,1]  非常石窟因为这个规模特别宏大我们去北响堂
[26:11.540,26:14.030,1]  关注几个一个是可以看他这个石窟的行
[26:14.560,26:18.600,1]  他这水库特别有意思他的这个一大北栋美丽吧其实他
[26:18.740,26:21.010,1]  北洞中洞蓝洞基本上都是
[26:22.480,26:24.480,1]  就说是当时流行的一种
[26:27.070,26:29.910,1]  拨打基本形式是什么样的呢他是一个
[26:31.230,26:32.480,1]  平面为方形
[26:33.380,26:35.580,1]  然后他的这个顶上呢是一个副波比
[26:38.430,26:39.910,1]  在当时特别流行
[26:39.930,26:42.570,1]  然后他的这个卡的这个内部的空间呢
[26:42.580,26:46.100,1]  是空的然后当中有一个中心柱中心柱四边呢都
[26:48.380,26:50.590,1]  这个赔偿改动大概就是这么一个
[26:52.660,26:55.600,1]  不想还看什么呢看这个北齐的这个雕刻
[26:56.010,26:58.530,1]  比北向石窟雕刻当然是特别特别的
[26:59.940,27:1.950,1]  另外一个还要看这个客厅
[27:3.180,27:5.180,1]  呃这咱们稍微补充一个知识点吧
[27:6.250,27:9.380,1]  北齐吧北朝晚期吧因为这个社会比较混乱
[27:9.720,27:12.080,1]  然后这个国教的兴起的所谓的这个没法儿
[27:12.800,27:15.580,1]  因为在这个活期里有记载吗说我
[27:16.700,27:19.980,1]  这个在世尊这个补录的是尊灭度以后呢
[27:21.440,27:23.070,1]  房价可能会经历一个
[27:26.110,27:32.050,1]  然后有像法时代千年然后以后就进入了所谓的这个末法时代也就是
[27:33.800,27:38.480,1]  佛法衰落而外道兴起的这么一个黑暗时代说要1万年
[27:38.810,27:44.950,1]  所以因为北朝晚期的这么一个混乱局面的所以大家就相信了就很多人认为末法时代真的来临了
[27:45.060,27:51.500,1]  所以大家就开始一个开达石窟第二个就把铂金刻在这个石窟的这个墙壁上
[27:52.580,27:53.830,1]  保存下这个
[27:56.870,28:0.270,1]  所以我们在北响堂在南沙能看到很多客厅
[28:0.270,28:3.960,1]  这字啊都很大应该说是北魏北朝的这个
[28:7.720,28:9.850,1]  没想到就想着啥时候大家看中
[28:11.140,28:30.400,1]  哎你刚才说的这个就是北响堂那复播型的单层的就是那就跟印度那个茨坝的形制一样是吧就不是咱们那个楼阁式的他当然不是老格式的他就他那个顶我们罗瑟塔就是我们下边儿是以中国的这个传统的楼阁上面顶一个卡差就像印度的那个
[28:32.920,28:42.870,1]  对这那卡差应该才是塔是吧那底下是一楼是中国哎那那就咱们看的那个只有什么明惠大师塔和
[28:45.770,28:49.760,1]  底下那叫什么名汇大厦卡的很唐代了唐代的行
[28:51.150,28:55.950,1]  他们才是这种单层的但是北区的这塔呢何明辉大厦不一样在哪
[28:59.150,29:1.120,1]  单程的很详细他也平面放
[29:1.840,29:3.200,1]  但是他那个卡插呢
[29:3.980,29:7.810,1]  就北区流行的是那种复播是的但你看明辉大厦他已经数
[29:10.500,29:13.990,0]  嗯对但是上次你提到过那个修订斯卡
[29:14.600,29:18.380,1]  哦修订手术SF修订是他
[29:18.650,29:25.440,1]  呃我们是不是后面再聊一下修订因为我们要如果按照这个路线的话邯郸看完了对吧我们就得网页上去
[29:26.120,29:27.770,1]  古村老师来介绍一下业权
[29:27.930,29:37.340,1]  呃叶城应该说是咱们中国的这个几大股东之一啊因为历史最早可以追溯到这个进度的话那个曹操就在那里等于
[29:37.460,29:49.760,1]  把它作为自己的根据地借了这个业北城那么曹操以后那么相继这个我在在南北朝市区有历代的几个几个王朝但是都不是很长时间在这
[29:49.760,29:50.580,0]  录播的时候
[29:50.580,30:15.640,1]  是我在进入赌场比方什么什么北烟呐什么冉魏呀什么但最主要的我觉得这也是最后一个对叶城大兴土木的王朝就是北齐北齐在这个公园535534年迁都这个叶城以后对叶城进行了大规模的营造这个在曹魏的夜夜北城的这个基础上扩建了叶南城
[30:15.950,30:26.390,1]  那么这里就说叶城在这个中国的这个都城营造史上一个比较特特殊的一个地方就是他这个首次采用的这个中轴线的这个
[30:27.170,30:43.600,1]  学校咱北京的这个中轴线最早是在叶城出现但最早是在叶北城潮位那时候就开始有了越南陈继续的中轴线的这种做法嗯叶城这一个城市呢也是唯一一个咱们这个古都里面至今已经变成了一片荒芜的一个
[30:44.170,30:52.580,1]  不像咱们北方长安啊什么洛阳啊虽然屡毁屡建但基本上现在还是陈是耳叶城现在基本上就是一片农村了
[30:52.660,30:54.630,1]  这当然是因为这个在这个
[30:57.390,30:59.350,1]  这个颠覆了以后那么
[31:7.820,31:9.880,1]  完了就以后呢就因为这个
[31:10.370,31:17.960,1]  当时这个就是夜城附近有一条河流叫张和的这个泛滥跟洪水的是的这个叶城的这个一之类
[31:23.680,31:28.800,1]  那么虽然地面建筑都已经荒凉了但是地下还有非常丰富的吧
[31:29.300,31:34.690,1]  那么远的不说就说呃进来就是在2012年
[31:38.680,31:42.340,1]  这个北农庄的一个地方发现了一大批的这个佛教教材
[31:42.590,31:46.570,1]  这批应该说从数量上来讲是这个优势的最多的
[31:47.580,31:49.460,1]  3000多间大大小小的
[31:51.190,32:1.190,1]  最近的这个这些佛教造像基本上被整理出来以后放在了这个他们所属的这个临漳县临漳县建立一个佛教造像博物馆但也有些精品呢是放在了
[32:5.110,32:5.930,1]  另外呢
[32:5.930,32:6.940,0]  宁波文友吧
[32:6.940,32:24.800,1]  对另外就是我上次跟你讲的就是如果大家到这个叶城去凭吊的话除了这个呃到这个同学三台去这个回味一下这个当时曹操的这个这个这个三台赋以外呢我觉得还有一个地方可以去看的就是新建的一个叶城博物馆
[32:25.140,32:27.570,1]  这里面呢就是囊括了很多夜场的
[32:28.530,32:36.230,1]  呃我想说的比方说这个有些历史很悠久的一些文物放在历程运城博物馆就有一个是叶城原来在
[32:37.210,32:48.380,1]  张水边上有个西门豹治邺达这个申报之夜这个故事我觉得大家应该都应该比较了解就是魏国时期的那个西门豹他置业后人给他建了一个西门豹祠
