[0:0.165,0:5.140,0]  欢迎收听陛下关今天士兵下关的第15期大家好我事业编
[3:40.060,3:49.430,1]  这几周在维基百科上一篇一篇看下来这才意识到中亚不是荒芜险恶的中华文明的最后边陲而是汇聚了观
[3:49.430,3:58.060,1]  横贯整个亚欧大陆轴线从东到西希腊波斯一直到印度中国所有这些文明的一个商旅种地
[3:58.670,4:5.500,1]  也是全呗折臂架关锁字点然后我自己了解西域和中亚历史的浓厚兴趣
[4:6.440,4:8.410,1]  B下关如果有会员计划
[4:8.530,4:10.450,1]  我一定会订阅支持
[4:11.040,4:25.050,1]  现在由于收获和感触颇多只好以随手写的几行会员乱语先聊表谢意和支持希望几位主播能陪着我们继续这段一步一步发现自己的故国也是发现自己
[4:25.410,4:26.690,1]  精彩旅程
[4:30.440,4:40.630,1]  那个学区嫁给我们读的这封听众来信啊呃说实话读到这个每次都到听众来信的时候我都是非常的
[4:40.970,4:43.990,1]  得到一种鼓励因为我觉得
[4:44.280,4:50.645,1]  对于我们来说你们的来兴是对我们最大的一种安慰那个而且也
[4:50.645,5:17.230,1]  承蒙你们夸奖啊没想到我们的节目对大家有这样的这个正能量呃希望这个我们能急着我们这样的这个节目给大家更多一个了解我们自己文化我们自己文化认同的一种机会吧如果大家有更好的线索或者更好的想法非常非常欢迎听这么跟我们进行互动因为这样的话使得我们呃对以后的节目更加有信心
[5:18.350,5:19.355,1]  此外呢
[5:19.355,5:21.030,1]  听众提到了这个
[5:21.130,5:33.970,1]  读者计划的问题这个我们呢也在酝酿之中啊如果读者们他听我们对这个厅有计划有什么好的建议的话也不会给我们写信呃就像你觉得还有什么要补充的吗
[5:34.060,5:40.840,1]  嗯没有了太多要补充的我只觉得也是谢谢大奔听友然后
[5:40.840,5:59.150,1]  对谢谢您的鼓励啊也希望更多的观众朋友听众朋友呢可以给我们来信这个分享自己的这个收听体验或者有好的建议都欢迎告诉我们现在就是说请大家利用我们这这个支付平台和这个微信公众号给我们这个发
[5:59.150,6:2.390,1]  各种各样的信息这个谢谢大家也学习大本
[6:2.520,6:19.280,1]  呃讲到这个微信平台跟呃支付平台的微信公众号呃再说一句就是微信在支付平台上也是搜我们的这个叫B下关对吧就可以发现我们的专栏我们每期都会结合每期有相同有那个
[6:19.580,6:25.990,1]  这个同样的文章啊辅助的阅读材料退出他去加你再说一下微信工作怎么收取
[6:26.280,6:28.830,1]  呃就是也是搜B下班就可以
[6:29.430,6:42.820,1]  哦就那个收盘价关中文还是英文呢如果搜英文的话肯定要搜RTX处是没有空格的没有base的但是我建议大家还是搜中中文比下关就没有问题
[6:44.240,6:49.490,1]  那我们对听有的这个读者来信跟反馈我们就先到这里
[6:50.780,6:56.300,0]  时间过得很快我们的节目不知不觉已经做了15期了如果我没记错的话
[6:56.880,6:59.240,0]  嗯咱们在国内
[6:59.840,7:5.110,0]  迄今为止涉及过的地点还没有突破过长江
[7:5.670,7:15.950,0]  对吧孤老嘿嘿叫春老哥哈哈呵呵嗯对咱们还没有没有
[7:15.950,7:18.250,1]  到这个长江以南来探讨一下
[7:18.980,7:24.180,1]  尤尤其是这个烟花三月下扬州的世界哈不应该到长江以南来看
[7:24.620,7:34.700,0]  那今天去的是这个瞿霞的家乡对吧我们要要谈什么谈宝山四八宝胜寺
[7:34.780,7:41.040,0]  就是保就是保政策有什么呀他保证四呃保证自驾入职
[7:41.510,7:54.510,0]  素质是现在还小有名气的一个水乡吧一个江南古镇然后宝胜寺呢是从这个可以说也许始建于呃南朝的梁
[7:54.690,7:59.960,0]  梁贷或者是唐代吧然后一直保存下来的有一批这个
[8:0.940,8:5.500,0]  北宋的雕塑要保持著名的保证会罗汉只有这么一个东西
[8:5.880,8:11.825,1]  这个呢就是补充一下这个路直路是这个这个字挺难
[8:11.825,8:25.030,1]  济南就是这个字是像那个饺子一样但是缺少了一个拼盘儿就等于一撇下面加一个用这是这个字念路入职入职是个古镇原来是属于这个苏州下面的无线
[8:25.360,8:50.590,1]  现在好像应该是吴江区吧吴中区吧湖中区吴中区那个是一个古镇因为讲到这个就是在民国时候曾经出了一个在文化界比较轰动的一个事件就是这个宝生四这个保护这应该也是这个咱们这个中国这个文宝的这个比较新区的一个时间啊就是保生四这个刚才去下先插一句啊我现在给大家
[8:50.590,8:56.920,0]  有点概念因为我觉得像那个曲霞你你家就在苏州嘛所以你对入职可能有一些就是
[8:58.040,9:23.390,0]  嗯就是想可能是比较熟悉就没有什么太多可说了但是像一般人最早知道入职可能是ookok我第一次去入职吧我还是小孩儿就是大概11岁的时候刚读初一吗然后我参加那个我们中学的文学社然后有我们学校老师带着去的为什么去入职呢当时那老师带我们去看这个就是路只有一个
[9:23.450,9:44.545,0]  当时有个小学那小学里现在还保保留这栋房子那房子呢说是当年叶圣陶在那个小学里教书式的那个房子所以据说呀据说叶圣陶的那个著名的那个我们小学呃中初中课文吧怎么多收了三五斗那个就是已入职这么一个古镇为原型的这么创作
[9:44.545,9:48.640,0]  没错这就是我想说的我最早知道录制应该就是从这儿来的
[9:48.930,9:51.390,0]  那我们差不多
[9:52.120,9:59.550,0]  嗯现在那个那个古镇反正也是一个比较热门的旅游景点啦就出我我记得我当年大学的时候去的时候
[9:59.550,10:5.790,0]  冲着什么这个万盛米ore建管这些地方但是我那时候
[10:5.950,10:21.250,0]  根本就不知道要报首付是呢就说我那次去其实虽然已经好多年前的事了吧但是其实我印象是特别深刻为什么呢那时候从苏州去入职啊是不是坐车是坐船的
[10:21.910,10:37.370,0]  呃那个我不知道这个现在苏州大概是旅游热点嘛但是交通四通八达的但是那个时候就说一直从大概从古代吧一直到近代甚至到80年代苏州周边的交通其实还是以水运为主
[10:37.420,11:8.320,0]  当时我记得这个有苏州市的轮船码头大概在现在南门那边儿吧还有那个呃无限的轮船码头应该我记得好像在阊门那边所以这个都要做班轮然后到每个就是说四箱讲咯但是我们去住是就是做那个所谓的小伙伦巴就是有这么一个仓然后就在大家这个就像现在的火车做事的这个坐在里面然后高铁的有两层就是你在80年代
[11:8.320,11:23.300,0]  你在80年代从苏州去录制还是坐船去的对呀对呀是我哎这又让我想起来我可能现在我说有点早了可能就是嗯因为我看这个关于保证四的一些材料的时候就看到的那个日本的那个美术史学者
[11:23.350,11:24.955,0]  大村西崖他当时
[11:24.955,11:26.650,0]  1926年的时候
[11:26.940,11:34.760,0]  从那个日本道路直来也是先坐火车从上海到到到到昆山然后从昆山有坐轮船
[11:36.060,11:40.220,0]  对对因为那时候公路不方便嘛那他都是靠船吗船特别方便
[11:40.720,12:13.490,0]  所以他特别有感觉然后大概要开两个多小时快三个小时然后才到这个录制呃然后嗯这个水乡风景很漂亮然后非常的自然也没什么工业什么的那个时候所以就是这么一路的这个道路值然后当时入职阁现在完全不是一个概念当时那个入职啊我小时候特别有印象吗就是一上岸就是眼前就是一片蓝色右边你能想到为什么是一片蓝色蓝色白蓝印花布吧
[12:13.810,12:29.460,0]  对当时的这些正常的居民啊妇女也好这个男的也好都是穿着这个就是蓝颜色的那个印花布的那个衣服妇女头上还包着头巾啊什么的然后就是特别的有
[12:29.460,13:7.800,1]  不过这个时间啊真是沧桑的不一样我是零七年去的我零七年去对我零七年其实我当然就只有宝胜寺我就去了但是那时候的入职可能跟现在还不一样那时候还没刚开始这个古镇旅游刚开始开发那时候入职是个工业的一个镇你去了以后那就很污染一股那个就他就说发展的这种什么皮革啊什么的就很刺鼻的味道那个水呢也很脏就是完全是一种就是工业化时代所造成的这种那种苏南地区的一种荣一种普遍的一种现象可能现在可能可能是发展旅游了就把工业给
[13:7.800,13:18.655,0]  哎呀所以呀这个就是怎么发现我们发展就是特别大江南一些地区这个发展的一些就是说一个曲折之路吧其实原来入职是最典型的
[13:18.655,13:42.385,0]  江南水乡就是特别特别的形态上这个保存的状态上至少在80年代初还是相当好后来入职就呃我我读初中高中45读大学以后我都有这么个印象就录制工业特别大他的乡镇企业特别特别发达所以我才发现在初期或者85年86年看到的录制的警察后来都已经不存了
[13:42.385,14:33.430,0]  然后现在我们再去录着这都是以后再重新的这个呃这个改革之后回复你吧现在对你本人的对保证四有印象吗或者印象因为我我我我的第一初次入职之旅我觉得还是相当印象深刻我们去看了那个小学看了叶圣陶住的那个宿舍那房子还是一个很大概应该是清淡的房子然后就在那小学隔壁就有这个很著名的一个唐代大诗人陆龟蒙的一个木哎哟也很清幽啊这个呃木还是老的这个形式前面有一个窦娥什吗豆芽迟可能是然后好像后来据说这个路盛唐去世以后他也把女主吧因为他可能也特别呃就是ad的没是在录制室对就在陆龟蒙的路的这个隔壁
[14:33.590,14:54.570,0]  好像是这样但是后来我就没去过嘛然后大厅说是这样然后当时我们老师也带我们去了这个保申诉其实说实话有点儿有意思就是其实这是我唯一一次去保持自我就是那次去的我还没去过后面就是他古城拍个照片儿客栈古城拍的照片给我看okok但是我印象很深刻大概是什么样
[14:55.240,15:19.360,0]  那那时候反正也骨馆早就在了一直就是那样子也没有太大的其实就不管而言就是现在我们保存罗汉的那个吴陈列馆他因为为什么叫博物馆还有一他是民国时候的那个程度如果说我们现在现在就不叫这个名字了这个主管应该说从八六年到就我去的那个时候到现在应该没有什么变化旅客还是基本是原样
[15:20.470,15:36.480,0]  估计从30年代的时候就是这个样子现在还这还保存的挺有意思的而且我们可以补充一下保证是是可是当时我们公布的第一批全国重点文物保护单位因为它实在是在民国的时候人家太有名了在文博界要在这个是个很经典的利
[15:37.570,15:49.150,0]  那那个其实你就开始讲讲正题吧就是说这个民国时候这个大是怎么回事来不卖的虽然我我给你简单讲一下但是说起来呢这个事儿也有点遗憾
[15:49.480,16:6.700,0]  怎么遗憾呢就是其实这是一个不是就是说很多人做的努力呼吁保护保证字的建筑和雕塑但是最后的结果其实是一个令人遗憾的一个结果现在我们当然只看到保证是的半壁的罗汉
[16:6.900,16:20.120,0]  当时说是唐代杨蕙之宿的这个唐素其实我们现在知道应该可能是北宋的一个一个一个必速其实大家了解比较少的是把胜诉的这个原来保存的北宋的建筑
[16:20.560,16:29.540,0]  这个是相当重要的可惜就是没有保存下来大概是这么个情况就是大概在1918年
[16:29.580,16:46.270,0]  我们都知道不提高是一个很著名的一个历史学家就是这个写故事变得那位这个这个大历史学家他的是苏州人他呢这个他有个朋友就是在叶圣陶教书的那个
[16:46.270,17:33.080,0]  他是叫活力无限第几小学教书然后我就就一直曹其实和呃就顾及当时验证查询他们都认识所以不急干的有一次生病了他就到宝盛自就是入职啊去去去去做个假然后他就因为那个宝盛4G和他们的小学就隔壁隔就隔隔一道围墙嘛他就趁便去参观了一下去这个保证书他不解绑本人的是历史学家他们虽然不懂艺术但是他对这个文献的这个功力还是很强的他的首先得保证寺大殿啊他一看那个店上有两两块银联银联写的是什么呢应该写的是这个叫我想一下啊叫樊工事件梁朝
[17:33.270,17:35.560,0]  崔埔里长陵第一
[17:36.340,17:40.790,0]  罗汉溯源惠子为江南华夏无双
[17:41.270,17:56.780,0]  呃就是说这个这个大概意思就是说这次是从南朝的梁寨店的处理就是这个保证是原来的这个古称叫普里我查一下这个新概念府那普有点糊涂对你说还是土狐狸
[17:56.990,18:2.610,0]  可是我们班的话也处理吧他应该是福利让我就读白字呵呵
[18:2.610,18:25.320,1]  不过这个这个是这样啊这个有时候地名啊有时候到底当地化为准还是以这个以这个这个普通话为止比方说上海有个辛庄很有名其实那个字写出来是莘莘学子的身子对吧但是上海就读新庄没有人独生装的所以这个东西就到底是以这个我就说以普通话为准还是以这个当地轮胎本地人念的是普里是吗
[18:25.840,18:52.600,0]  因为这个字儿现在已经不就是说这个地名现已经不用这个古称对对对对所以呀我呀我我我觉得也不介意不应该一边给我纠正一个白色我真的是福利所以我要就是说推弗里长陵第一然后罗汉溯源惠子惠子就是杨慧芝吗唐代一个著名的大雕塑霞为江南佛像无双后来顾颉刚就发现这个应该是脏腑写的一个银联
[18:53.410,19:12.190,0]  所以这个周末不写的对所以他觉得这个就价值很高了呃但这个营业执照也不在了是吗哎不在啊就随着这个店当时就是二八年差价以后就这个店这个应该给了大雄宝殿的就是挂在大雄宝殿在机场跟前住上
[19:13.320,19:18.850,0]  对所以估计刚刚当时看到这个当时这个店已经就是这个大件已经
[19:19.150,19:24.500,0]  比较残破所以呢他就这个当时还还行吧
[19:24.810,19:40.530,0]  所以他后来就回去写写文章因为他觉得他发现了唐代的塑像这个可是在江南很了不起的事情有唐代的属相这还聊呃后来到了1922年的这个又一个大学比较长烂呢他这个他这个北大的教授嘛
[19:40.730,19:53.460,0]  他他也是这个和苏州有关系他也去了这个录制质保生词他跟提纲说不好192年当时苏州这个雨水特别大这个宝胜寺啊那个大件的那个厚颜差了一个角
[19:54.760,20:8.300,0]  因为我我们搞古建筑都是在中国古建筑都是木头建筑在家来这种地方如果你这个屋檐塌了以后那木头很快就烂了所以这个目的就是这个结构是非常不稳固的所以不将就很着急他就
[20:8.490,20:20.530,0]  连着在小说月报上写了好几篇文章呼吁说说有唐代的塑像有他他在线这边他只想把湖那个雕塑了它对建筑还没有什么概念就呼吁大家保护
[20:20.780,20:29.480,0]  他写了很多遍文章我插一句其实从我们前几期的那个节目包括发现中国古建筑我们可以知道其实这个时候
[20:29.670,21:3.790,0]  可能中国的学生还没有开始对自己的建筑的遗产开始有特别清醒的认识对吧对是的所以当时顾及他还只意识到雕塑这个罗汉塑像的价值他还没有意识到这个建筑本身也是一个非常重要的一个这个艺术地产所以呢呃当时甚至还成立了一个叫绿之宝盛世棠粟谷福古佛保修委员会呃里头全是名人儿比如说我我举个例子都是现在这个赫赫有名的名字比如说蔡元培
[21:5.130,21:26.990,0]  郭沫若程序并呃马叙伦叶公出业主抢张继这都是北大的名叫就是北京的一些名校盛然后他们都参与了夜夜主唱不是业主枪被业业主nan叶叶煮汤吧长南方人这刚把后鼻音前鼻音海特不我我
[21:26.990,21:41.900,1]  这我这不是也不是沧海的尝试人字旁边一个仓对es那个我我再补充一句其实那时候意识到保护这个塑像已经是一个进步了因为其实这个传统中国士大夫对这种东西
[21:41.960,21:53.030,1]  都是都觉得这个东西不是属于这个这个文物典章一类的到了民国时候已经开始意识到保护这个泥塑啊什么这些东西已经比前人已经进步了一大截了
[21:53.460,22:20.610,0]  对呀所以我当时看这个文献的时候我就有有点赶就是感受很深啊我想这些名字现在随便拿一个出来都是震耳欲聋啊当然这些人其实都参与了早晨孙氏一见的名流对呀是啊都是全国这个最高等级的这个学者哎呀可惜这个从二年呼吁顾颉刚注意保护到1928年良心哈粉
[22:20.890,22:58.390,0]  就他根本没有啥应该是到我觉得二六年是有一个转机的其实就是日本市场价入学看一看这个短信你看为什么就说没有任何的效果然后没有人出钱没有这个政府也不重视后来怎么回事儿呢就是南南开大学有一个有有有个人叫陈斌和这个人他呢就是觉得这是也很重要所以但是在国内估计没有用了他就就就就去找杨和尚外来的和尚好念经他就给她的日本他在日本留学的他给他的同学也是一个美术史大家较大分析牙这么个人
[22:58.760,23:16.110,0]  这个我要插一句啊这个可能之前你看的这个资料我觉得有点有点问题这个人我还专门看了一下就这个陈兵河很是一个很奇葩的人今天他呢应该不是在日本留学的孩子其实出身没有那么好它那个它是南开学校做教务长
[23:16.650,23:22.020,0]  对我看到有些材料说他跟大分析呀还是在日本的同学呃其实
[23:22.300,23:28.350,0]  政府既有人考证过这个人因为这些特别奇葩他是其实是一个是一个汉奸
[23:28.720,23:32.830,0]  或者说日本间谍在中国培养的这么一个卧底
[23:33.060,23:42.840,0]  哦所以说对然后他那个他觉得应该很难照顾长啊因为什么呢因为他妈呀他妈是这个哈同的
[23:43.020,23:45.780,0]  哈同的老婆的一个是女
[23:46.200,23:58.480,0]  现在他从他们家当当用人的每个人水平还不儿童对对非常传奇哈哈从这可能关系把它给就是引荐一下然后他到到各处去做一些就是
[23:58.660,24:0.230,0]  呃位置还不错的工作
[24:0.300,24:5.830,0]  但是这个人好像没有什么开学但是他确实是大概也就是二六年的时候他是到
[24:8.270,24:11.680,0]  就是他拿了一堆人就给他写的这个介绍进到日本去
[24:11.680,24:18.600,0]  就是遍访各种名流吧好像想拿一些关系可能也就这个时候他正好有这个固定刚这个事情
[24:18.980,24:21.225,0]  那他就正好因此就去
[24:21.225,24:24.080,0]  拜访那个大村西崖好像是这么拍
[24:24.900,24:29.020,1]  但总之是总之市场接上了大三峡的头对他他应该没有
[24:29.020,24:33.180,0]  任何艺术的背景他也绝对不可能跟那个搭配起来做同学
[24:33.490,24:49.780,0]  OK那我觉得挺有意思因为很多文献就是以讹传讹差得很厉害的介绍折腾冰河叫南开大学秘书但是我就觉得这个秘书这个词是有点奇怪的那时候应该还没有南开大学他是就是南开学校吗
[24:49.950,25:8.390,0]  南开中学没错啊对okare长的话我觉得是个很贵重的这个价格是都是应该有很高的学术声望因为它加入了这个左派的各种活动吧他那个像专业吧就是什么刘和珍君那个刘和珍被枪杀的那个那个蚕桑一八谈
[25:8.450,25:9.830,1]  的时候他还
[25:9.830,25:15.210,0]  被段祺瑞政府通缉因为它好像当时在报警工作还是干嘛就是孩子这个事情
[25:16.150,25:21.000,0]  对它它有一段时间是跟这些左一地像鲁迅啊这些人共同胜利
[25:21.240,25:26.630,1]  不过这里边我我觉我觉得挺有意思这这个好多左派后来都成了汉奸了
[25:27.020,25:39.500,0]  哈哈哈你别说你说是不是下场比较悲惨这人最后是在日伪政府做做比较高的一个好像是媒体界的一个人物吧但是最后
[25:39.850,25:44.770,0]  呃日本战败以后他就跑到东京去了呃最后是好像是说什么
[25:45.630,26:45.630,0]  不得善终八组挺哈哈哎哟我要那我们回到这个陈兵河长大的戏啊然后那个对在大虾呃就很重视嘛然后他马上就像这个日本的这个外务省好像申请了一笔经费然后就拿着这笔钱到中国来就专门来看这个保证的这个罗汉然后就像页边刚才说的他到了上海然后在上海住了一个摄影师好像这样吧然后到了昆山然后从在做昆山坐船到这个这个这个入职据说呃我看应该我觉得这他的梳理技术他们找到了当地的正长然后因为他们是日本人吗日本的样子是怎么装速他们一开始要订这个宝数字的时候这个录制这些村民还不让他们进去喊引起了小小的骚了后来他们拿出来现场的介绍信然后就是政府批准那怎么怎么怎么样然后才进行考察这么一般当然也得感谢大专西峡的这次考察才使我们今天
[26:45.631,26:59.190,0]  对八十一九二六年保圣寺的这么的建筑和雕塑的基本情况我们就能了解如果没有大专加这次考察我们基本上可以说今天梧桐无从着手
[26:59.730,27:2.950,0]  对吧后来出了一本书嘛对吧
[27:3.090,27:46.530,0]  对对对这个书叫什么名字叫吴俊奇技倍速产品就吴俊嘛但是苏州古称吴郡然后吴俊的拿这个奇迹必速就是这个宿债这个墙壁上的这个这个雕塑餐饮就是残缺颍河嗯非常珍贵的书其实这次很遗憾就是我到现在都还没有见过这书的这个增生只是看你们你们图书馆你们学校图书馆也没有没有没有没有我们学校就这个大真瞎写的东洋美术史这个有在东阳美术史里有几张这个宝盛的照片但是这份吴俊奇迹这本书就没没见着而且听说这本书在日本出完了以后非常畅销很快就搜到了
[27:46.530,28:11.980,1]  所以这里面这里面这里面有一个有有一个这个还不如就非常值得提因为这是1927年对吧那时候梁思成先生还在宾大还没有毕业基本上就还没有拿那时候就是这个大村西崖在这个他的这个书里面就是他通过他的这个考证跟这个研究它就已经认为这个大殿是宋代的大店
[28:12.400,28:20.300,1]  这个塑像也是宋代的塑像这个是非常我觉得是是是是难能可贵的一件事从
[28:20.300,28:38.210,0]  这方面就就就可以我们可以推知啊这个日本的这个美术史家他们对这个可能推他们对日本建筑的了解吧他们看中国建筑的眼光还是很很精准不过他当时主要是主要是判断出这个这个带身宝殿不可能是唐代的对吧
[28:38.450,29:12.910,0]  就是他通过跟唐代建筑的一些比较也不也不是其其实跟日本的可能那些早期的建筑性比较对呀对呀因为它大师下的这个就是汤去日本学校他们对中文的这个文件的公司还是相对差一些所以他完全是根据这个艺术的这个形态来做一个类型的分析的所以他完全不是依赖这个文献性这个文献研究所以他能得出这样这个建筑是北宋的而且标注是塑像是北宋的他当时中国一片大多都是常素所以大致下能得出这个结论是非常
[29:12.910,30:0.210,1]  不仅是不仅是当时一片倒到现在为止这还有很多这个学者把这个把这个作作为这个唐素来向大家来说这个因为为什么呢当然我我们真的是现在应该应该很好理解因为一个他这个塑像他是个玄素什么叫玄素他悬殊他等于说依附于这个建筑来进行雕塑不像是一般的指标你的思想可以一般都这样子可以班他这个数量是跟着建筑走的那更扯想着如果建筑本身是什么年代的塑像肯定是跟什么年代不可能这个塑像是早日建筑的年代那书像基本上那个建筑现在基本上断定这肯定是宋代的这个建筑那么可想而知这个塑像肯定也是宋代的不可能是来这是显而易见的问题但是不知道为什么现在还有人在说这个靠谱卖的事情
[30:1.550,30:5.830,0]  哎呀像我们说的越早越有价值吗呵呵
[30:5.830,30:20.030,1]  当然了当初顾及刚那时候如果含着不是唐代的估计估计可能引起的这个这个这个效应可能不如说肯定不如这个说是长但如果说动态的肯定就没有人关注了对吧但很遗憾的唐代还是没有人关注
[30:20.330,30:38.990,0]  对但是好像也就是大村西崖出了这本书以后日本开始关注然后反过来又影响到国内对对是的而且男主悲哀的事儿啊哎呀特更悲哀的人啊就在大村西崖考察完不久就是在大概一年多以后1928年这个房子塌掉了
[30:40.380,31:2.850,0]  这建筑就它了人家就毁了几分出生是吧对呀这中国的建筑他起来我们那个我我印象很深啊前几年去看那个那个山西的圣天色那个建筑中国建筑因为大量的木木够吗他他认为跟肚子它整个建筑的屋顶塌了他的他的这种四仰八叉就他的特别恐怖的那种形象
[31:4.200,31:6.110,0]  呵呵他那个他的
[31:6.110,31:31.320,1]  后来那个还有一半的钱还没有他所以呃还剩了一半吧因为他等于是你可以简单介绍一下这个就是那个宝生四这个大雄宝殿一个什么样的格局啊他呢就是一个是一个就是一大雄宝殿是一个基本是一个正方形的一个大殿三开间面宽三开间进深那中间祖尊的是释迦摩尼两边的是安曼跟那个嘉业那么其他
[31:31.530,31:33.510,1]  有个凹字型一圈
[31:33.780,31:42.350,1]  等于那个东西两笔在家后边一部分呢这个就是一个全速一边呢大概是呃应该16楼还是18楼
[31:42.350,31:46.550,0]  他比如说原来是16楼二后来又加了两个这个店
[31:46.550,31:55.315,1]  因为一般16楼还是骨质啊十八罗汉都是后来才才才才加出来的就是这样的一个情况结果后来呢大建议他呢就是
[31:55.315,32:0.880,1]  基本都插完了但是呢好像保留了这个我看保留的CB的
[32:1.690,32:5.740,1]  一部分等于就是说还有九个罗汉就下一个强还在
[32:7.270,32:50.530,0]  你说现在那个股务管理的罗汉还是按照原来的位置吗不不是重新拼出来的那就是还是原状基本基本上是原创对基本上元但是这个也复杂其实也不完全是原装其实是有大量修复代理我觉得有点哎看起来反正是好像是拼的那种感觉有一点是的其实是其其实是这样这个我这一边观察还是非常到位的其实如果我们对比老照片在和现在的现状看的话哎差别太大了这其实我我们家人都去过对不对虽然我是小时候去但我后来又看了照片古镇也去过一边也去了你其实嗯感觉没想象的好其实一开始如果你现在看原貌的话对对吧
[32:50.640,32:53.590,0]  对但是我看老照片还是很震撼
[32:54.140,33:6.350,0]  嗯哦是吗对对老照片都没怎么看过嗯对那那我们再回头把这事儿说完啊二八年大店打他了以后然后二九年民国政府开始
[33:6.930,33:8.325,0]  政府出钱
[33:8.325,33:49.290,0]  来修复这个店这这还一个大的背景啊为什么不接刚这么多名人名流从二年开始这个顾虑保护一直到二八年什么事情都没做呢其实这也和当时中国这个政治情况有关系因为当时中国正好是军阀割据的时期嘛这个江南很很大长一段时间都有宣传方什么一些军阀北站的最根本没有应该说政治的这个政府的效率应该是敌人很多情况下那二七年南京政府成立了以后然后各方面都走向正轨了然后正好是房子他的然后二九年国家政府Bohai开始修复这个这个保证此方案建筑方案呢其实是一个还挺有名的范文叫做我先可以把范文照介绍一下
[33:49.290,34:1.360,1]  呃算完帐也是属于这个这怎么说呢是中国的这个第一代建筑师啊他其实在南京跟那个上海呢也做了很多的这个就是
[34:1.540,34:9.975,1]  就是这个近现代建筑所以我觉得呢就是说就因为范文照实际上它是一个西方培养出来的一个
[34:9.975,34:11.340,1]  建筑师
[34:11.340,34:13.020,0]  他留法啊
[34:13.020,34:33.660,1]  这个我要再再再没确认一下但是我觉得就说因为他是他肯定是西方培养的一个建议因为中国第一代建筑师都成型的都是西方的节日所以他的这个就是谷物就是古雕塑陈列所古物陈列所这个东西设计的呢以现代人的这个眼光来看其实是不太符合这个文宝的这个
