[0:0.780,0:2.245,0]  欢迎收听地下关。
[3:56.750,4:17.590,0]  我觉得似乎横跨了建筑史和艺术史两个领域不很值得进一步研究节目的最后大家聊到了在现场看建筑的体验很有感处在这里说美还是不美，似乎已经很难表达，因为我一直觉得表达美还是在过往的经历或者学习的基础之上，以及自身的差异太大。
[4:17.770,4:22.940,0]  我们去学习艺术史的过程也在改变自己看待一件艺术品的眼光。
[4:23.780,4:28.550,0]  啰嗦了太多再次表达的你们节目的喜爱的感谢，顺祝东岸。
[4:29.850,4:32.470,0]  这个学习的听友名字叫3S。
[4:34.380,4:38.220,0]  嗯，几位有没有什么想。
[4:38.510,4:39.820,0]  这个反馈一下呢。
[4:39.820,5:0.460,1]  我觉得那个首先我觉得我很感动，这个这位朋友能够花那么多时间啊，这个给我们写这么长的信，我觉得呃，尤其我觉得你讲的好多东西，我可能感觉到你的想法，因为我也是学建筑出生的，嗯，其实你的心里面很多都是没有赞啊。
[5:0.480,5:4.340,1]  并没有太多的这个问题来提给我们回答，我觉得。
[5:4.890,5:17.030,1]  更多的是你的一些康本子那个反正我觉得我们一个是非常感谢你的这些信贷，而且我非常欢迎你以后有什么问题来插来这个挑战我们。
[5:17.420,5:25.630,1]  对是我和这个火车老师的想法差不多这个什么的也讲欢迎这个骚扰S，这个拼有以后有机会也来。
[5:25.650,5:29.980,1]  这个参加我们节目，为什么呢，因为我们毕竟这个。
[5:30.050,5:54.450,1]  像我和火山老师还也变超人，因为在一起认识很长时间一起旅行，然后我们看的阅读的都都都都差不多，所以可能有时候我们的节目呢，可能缺乏一些这个有有冲突有争议的观点吧，所以也欢迎这个和伤害不一样的，这个对不建筑对对艺术史，有兴趣的朋友多多给我们提意见也以后多多参与我们的节目。
[5:55.450,6:0.330,1]  我，我想就是说古村老师和瞿霞这个。
[6:0.570,6:8.850,1]  七七有一个线下活动吧，我们应该让他们介绍一下现在活动和那个关这个听有的一些互动吧。
[6:9.060,6:21.670,1]  对，就是线下活动，还有一个这次就是我们挑了一个特别特殊的时间啊，这个这个班HR这个合适对对赶上美国的这个叫叫什么松报呀。
[6:21.670,6:22.910,1]  魔鬼峰爸。
[6:23.140,6:30.630,1]  周六那天下大雪特别感动，然后有这个挺有还这个参加我们活动，然后。
[6:30.990,6:55.490,1]  周日放晴了，然后这个大家就来了，多一些非常感动，而且碰到好多很年轻的朋友都是来美国这个时间虽然不长，但是已经非常在我看来已经很美国化的一些年轻人，但是他们对我们中国的传统文化传统艺术有那么高的热情，呃，让我很感动，所以也给了很多以后做这个必下款节目的很多动力。
[6:55.560,6:57.260,1]  这不是老师，你觉得呢。
[6:57.690,7:57.460,1]  那个因为这次在纽约真的碰上是纽约1869年以来，有气象记录，第二大的这个第二大的这个稳妥stan，所以这个也算是这个一个逼人，那么在这样的糟糕的天气下这个嗯，这个网友还能如约而来，我觉得这是的确是让我们非常感动的事情，而且大家在一起，除了这个看了这个博物馆还一起吃的饭，我觉得大家都相谈甚欢，那么希望借这样一个机缘跟大家能够成为这个不仅是这个CYB网友吧，还是这个现实生活中的这个朋友，尤其是大家听到我们那个下个月不是下个月每个下两周马上要去印度大家非常说以后希望呃还有这样的活动的话也可以这个提前预告可以大家组团前往我觉得这个也是给我们很好的一个鼓励，呃，我们以后有机会的话也会。
[7:57.710,8:8.160,1]  在线上招募吧，咱们大家一起去这个探索一些这个我们所讲过的一些，无论是中国还是美国还是别的地方的一些一些topic。
[8:9.240,8:18.480,0]  好这个呃，其实，另外还有一个问题，我想拿来跟几位讨论的，因为也跟你们也说了3S给我们主要的是一个。
[8:18.570,8:32.400,0]  找到他自己的观点交流和鼓励的每一封长信但是呢正好在呃，另外一一个挺有他就提了一个问题，他跟最近的一件事情，有点关系，我也稍微念一下，然后大家。
[8:35.240,8:41.860,0]  他说今天正好看到文物保护法修正草案，其中将一般不可移动文物。
[8:42.020,8:49.405,0]  修改成了文物保护单位啊，他说的这个提示说这个呃就是在工程建设中要避开的。
[8:49.405,9:2.250,0]  呃，言说是不可移动文物，现在改成了文物保护单位呃，另外一个是将审定权力下放到县级文物保护单位，请问B开关的各位有什么看法，另外，山西这样的文物大省。
[9:2.640,9:6.530,0]  呃，不是闻到单位的古建筑多吗。
[9:6.750,9:9.320,0]  会不会以后能看到的屋有点儿少啊。
[9:10.730,10:10.730,1]  那个这个听有的问题那个我也在那个这个线下回答了他的这个问题，当然讲到这个文物保管修改的这个问题在网上大家有很多争论，对吧，有一片那个大家传的帖子就是讲56万件五十六十五十六万艰深65万件，这一刻呃不可移动文物啊，因为对这个呢我我已经表达了我的观念，而且我专门到这个中国法制办的网站对这个文物保护啊，这个修改条例那个提出意见，因为他是有这样的一个平台，可以让每一位公民可以对这个法律提出自己的意见，当然，这个我们每个人提出意见以后的效果到底怎么样不知道，但是起码我是进了我一个公民的这个一晚去把我的观点在网上进行啊，这个表达我觉得这也很重要就是说我们除叻在网上自由的表达我们的这个意见以外，我们还需要我们这样的意见被这个有关人员能够听到因为我想可能有关人员不一定会天天去上网。
[10:10.731,10:37.630,1]  看我们的帖子，但是如果他们呃专门设计的这个法律咨询的这个平台，如果看不到任何意见的话，我这也是一个缺憾，所以我们也应该就是说拿起这样的一个呃，这个平台吧，来来表达我们的意见，所以当然可能时间已经过了，因为1月28号是截止日期嗯，但是希望大家能够继续关注或者还可以给这个法制办写写性来关注这样的事情，因为我觉得这个保护这样的这个。
[10:38.750,10:48.110,1]  修改权利下放这个是不应该的，因为呃文物肯定会越来越少，不会越来越多，那么在这样的情况下我们。
[10:48.110,10:55.570,1]  就应该更应该珍惜这些文我而不是说把权力下放把这个各种各样的这个文物，有些技术保护的范围。
[10:56.780,11:10.340,0]  对，其实我稍微解释一下就是他那个呃，挺有提到这个问题说的呃，修正草案指的是什么呢，指的就是说现在如果再有基建工程的时候，呃，遇到了这个你的你的这个工地上，如果有。
[11:10.460,11:16.360,0]  不可以用以前的返返按说的事，如果有不可移动文物的话，就需要去避开对吧。
[11:16.820,11:18.070,0]  现在是说。
[11:19.340,11:23.680,0]  一般的不可移动文物，如果不是文化文物保护单位的话就。
[11:23.680,11:29.570,1]  就不用给你因为有这样一个问题，对吧，你看这个文物保护单位那个大家有个统计。
[11:29.710,12:29.710,1]  一共第一批到第七批全部的文物保护单位，全国重点文物保护单位，大概只有4000多出那么个省市县三级的文保单位，这个数字是有限的，那么比起这个不可移动文物来说，那这个就就是我觉得比力是不成比例的，如果国家只保护一些登记在册的文物，那其他都放任不管的话，那我们这个号称这个什么多少千年文明的这个国家的看见的都是什么呢，都是混凝土吗，对呀，当然了，我觉得他们修改这个法律的有一个初中可能社会的可操作性，因为这个对吧，嗯，这个是现在在网络上也也也讨论的很厉害，但刚才这位网友提到的山西啊，我特别想这个补充说明一下这个山西确实不是文物保护单位的古建筑太多了，但是从历史的这个这个或许我们看到的这个现象来看的，如果完全是靠法律来保护的话，那山西这不现在保证不下来怎么做，很多时候，可能还是要靠这个。
[12:29.711,12:36.530,1]  算数习惯呀，大家的老百姓的意识啊，当然也得靠这个政府方面的一些一些支持啦，所以。
[12:39.020,12:43.680,0]  嗯，搜索习惯遇到了资本地产。
[12:43.770,12:45.230,0]  是很难办的一件事。
[12:45.230,12:59.120,1]  嗯，这个要看这个名字，我在30楼，我们在山西也看到了很多这方面的例子，比如说有一个这个古村落，比如说因为下面有煤矿，然后这个利益来了，然后就失败整体拆迁，然后各方面的这个。
[12:59.400,13:2.280,1]  争夺吧，这个哎很多这样的例子。
[13:3.060,13:8.620,1]  以后这个是黄了，但是因为因为，因为煤价下跌了这个开煤矿无利可图了，后来这个事情。
[13:9.800,13:11.010,0]  知道山西。
[13:11.140,13:28.820,0]  我知道现在那个咱们也不快过年了，呃，这个进城务工的农民兄弟，这时候一般都离开大城市，比如是晋东南的兄弟们就卖火车票从北京回晋东南了。
[13:29.680,13:31.380,0]  所以你们就。
[13:31.830,13:35.540,0]  占用人家山西的农民工兄弟的火车票。
[13:36.240,13:37.840,0]  不好好在家呆着是吗。
[13:37.840,13:40.180,0]  你们，你们觉得这么合适吗，怎么做。
[13:40.540,14:1.840,1]  我没有这样的迷宫的火车票啊，因为是这样的，因为我们是山西都是跟这个民工潮是法人的事，这个因为山西是这个其实跟河南是相反的比较山西是输入对，所以这个到到春节的时候都是往外走的人员，每人完了，我们正好是填补的空缺往里走。
[14:4.450,14:7.750,0]  北京没有山西的农民工兄弟。
[14:7.750,14:14.500,1]  没有没有被山西是人口你像山西时尚一个省，山西只有3000多万人。
[14:15.750,14:29.150,1]  就他的零审核北啊，是那河南不用来了河南过亿国义了，对呀，对呀，所以说不一样，所以说好多其实山西好多河南人在那做生意做什么各种各样的这个山西人很少出来打工的。
[14:29.590,14:33.440,1]  专业那说做生意的可能有一点啊，就是在打工的很少。
[14:34.800,14:41.200,1]  我今年我们不去山西咯，今年我们准备走出国门露街，今年我们培训都。
[14:41.550,15:39.630,1]  你们俩人不是平常都不出国吗，原来约你们去什么日本也不缺这个是这样的，原来因为觉得这个要紧的是有限的，时间先看国内的东西，因为咱们这个国家，这几几这不这几年的十几年的变化太迅速了，像我们从零四年到山西到现在十几年这个变化是翻天覆地的，但是现在呢，又觉得这个不仅是咱们中国的变化快啊，这个世界有些地方的变化也挺快，这个快单不一定是都往好的方向变化啊，嗯矢量去不成了，对呀，伊拉克不敢去了，对吧，哎，你都不麻烦，对呀，你看你们俩这时候都去过埃及吧，那时候没问题，现在你说去埃及都不敢去也还行了，我看那个我加了a朋友的那个朋友圈还挺好是吧，反正就是心里心，你刚才说那个你们零四年去山西那好多地儿长得跟古剑通了还一样的是吧。
[15:39.770,15:46.350,1]  对呀，所以埃及讲到这古建突然对啊，咱们这个推荐一本书，山西古建通览。
[15:46.540,15:48.290,1]  这个是1986年。
[15:48.290,15:51.020,1]  出版的，所以那时候那个好多。
[15:51.150,15:55.160,1]  那个照片都实际上是80年代初排的其实挺珍贵。
[15:55.160,15:57.570,0]  1986年的时候，你现在推荐还有用吗。
[15:58.050,16:27.060,1]  所以选择很高了，他也再版，虽然我也挺贵的，是那个大概我几年前买的200多块钱吧，现在不知道钱差距话跟这期主题没什么关系，就是古电通南里的建筑有没有完全毁掉的，你们这些考察力就是没了没了都没有被偷盗的挺多，比如像那个明惠大师塔，那个两块那个浮雕对不对称了，我都见过，然后零八年看完了第二年都没有。
[16:27.060,16:30.170,0]  那你们稍微说说这个明辉大市场是什么在哪儿啊。
[16:31.530,16:58.150,1]  平顺县虹霓村明辉大师塔什一个晚唐时期的一个食堂，实际上就在中国这个这个比较少了，已经就是晚唐时期还有离婚到现在的这个这个，咱们上次上礼拜刚讲过这个晚唐时期的建筑，这个这食堂的这个时间跟那个佛光寺相差不多，而且再一个对着咱们之前说的那修订死他在一个川里。
[16:58.270,17:2.990,1]  哦，他是呃不是他是在一个山是太行山的东西两侧。
[17:2.990,17:10.240,1]  对呀，就是说在一个古这个山谷里网下载就是修订粉能走通，那是在红谷。
[17:10.240,17:11.410,0]  五三的那个。
[17:12.100,17:14.420,0]  红谷山上去翻过山应该是。
[17:14.780,17:30.290,1]  这个是这这个叫叫叫这个叫红泥村名字很好听，洪就是彩虹的虹妮就是呢，霞的云霓呢，霞的呢，红旗村婷婷美的一个小孙ally，现在特现在特别容易徐弘现在。
[17:30.290,17:31.420,0]  霓虹的呢，是吧。
[17:31.710,17:37.010,1]  对对红零八年去的时候正在修高速吗，现在高速一个口子下来就是。
[17:37.260,17:39.080,1]  可是开了一天车到那儿。
[17:39.320,18:28.250,1]  对现在你从你说安阳上上高速两小时就到，但是从高速走呢店也但是少了我们那时候去的那那个国道的那个对呀都不到那个乐趣，原来都是走那个画皮公路吧，就在那山崖上把它扫出去小鹿来，然后特别危险的路走梦也有问题，我们当时那个零八年，我跟摄影师走到那个那个明惠大师差塔底下的时候正好一道金光这儿娜塔，我们就开始往那卡那儿冲就是下了车还有一段路嘛，然后走到塔底下就看那个太阳那个金光离开塔街哈，呵呵，太晚了，到了现在也特特沙风景的是什么的，就当是为了保护他盖了一个铁棚子在上边。
[18:29.270,19:7.540,1]  那不吃啊，好几年他去那个特难看就是盖了一个他为了保护就弄了一个大铁棚子照在上头，所以看起来就对反正就是就就就都跟把胸包都关在那个大大铁笼子里是聊聊正题吗，聊一印度熊猫吧，这个被我牵扯出去的话题啊，对呀，因为这个因为刚才讲到了这个有些地方也是要提示去看的，因为变化也挺大，尤其我觉得印度反而现在我觉得还可以吧，反正去看看应该没什么问题，其实我们还特别想去巴基斯坦也不敢去嘞。
[19:7.960,19:18.880,1]  太是，嗯，你们对你们去农哪儿啊，因为早期的不都在北部都在卖散，达夫汉吗，哎他人我得纠正一下他咋缺少不是在。
[19:18.970,19:21.960,1]  巴基斯坦早期的可还真是在印度。
[19:22.590,19:31.535,1]  哦，我不是我，我，我说那有1G的就是有照相啊什么有还在印度还是在那个网得把它赚钱的。
[19:31.535,19:51.850,1]  领了两位专家是这个瞿霞跟这个页边专专家专家，但是因为因为我做计划吗，所以我做了一些研究就不研究就做了一些这个，这个这个查一下资料吗，因为现在我们我们去印度当然因为我们来这儿佛像艺术嘛，所以当然要追本溯源的去看看这个印度的国家国家艺术什么样。
[19:52.120,20:13.990,1]  那是不是这个，这个咱们就追本溯源一下先从佛教的起源，谈起完了再切入到佛家艺术怎么样，咱们跟这个听松一块儿聊聊，大家都知道，当然佛教这个这个创始人是这个不到我们是释迦摩尼，它是公元前60G的这么一个历史文物。
[20:14.680,20:24.060,0]  嗯，这个今年今年是有还是有争议的就是做生意已经公元六世纪观前60级到工业园40G，这个考生都有。
[20:24.690,20:25.900,0]  上限跟夏天。
[20:26.290,20:31.910,1]  嗯，有一种说法是，公元无公元前500多少年来着550几年。
[20:31.910,20:37.210,0]  对也有有还有最晚的，我记得是公园前385年。
[20:38.070,20:41.340,1]  哇，那就和哪有王时代很近啊。
[20:44.000,21:0.140,1]  那反正就是说如果谈到国家艺术的话哈，你翻开任何一本这个印度的技术使他一般都是从这个孔雀王朝时代开始谈起，因为可能和和生活的那个时代可能就说因为现在看来是没有什么当时的一技能留下来。
[21:0.140,21:6.175,0]  嗯，但是其实我们现在说的夫叫艺术，教美术大众的艺术品，其实。
[21:6.175,21:7.950,0]  也不是公房超时的。
[21:8.750,21:11.350,1]  嗯，那还是需要再晚一多。
[21:11.350,21:12.210,0]  啊，不接。
[21:12.210,21:49.450,1]  拜拜对对太晚了，是这样啊，就是孔雀王朝时代的我现在想他有点像我们中国的这个秦汉就是在这个整个艺术史的这个发展，这个这个，这个，这个卖来看他特别像我们秦汉是一个承上启下，承前启后的这么一个伟大时代呃，就是谈印度艺术，如果不仅仅他国家艺术你金额一说之前原来的印度河流域的沼气文明对那是很差，但是淹没了后来这个养加入青以后，其实这个可能和当时印度的这个就是他当时的这个呃，艺术品或他当时的一些。
[21:49.490,21:56.940,1]  这个他都是以这个木雕啊，或者什么为主，所以没有什么留下来，但是它孔雀王朝时代，他一个很重，就是他他。
[21:56.940,22:1.240,1]  有的这个石雕工艺架子留下的很多的以及我们现在能看。
[22:1.240,22:6.770,0]  对，而且都保存了相当好，因为它都是用最坚硬的花岗岩来做。
[22:8.400,22:13.250,1]  哎，那边是不是好像他受到了很大的，这个来自这个波斯的这个影响。
[22:13.320,22:19.830,0]  哎我我觉得我觉得挺年轻一点的对，嗯，他也玩石柱明显就是波斯的那种。
[22:19.850,22:28.350,1]  石柱路演苑那个叔叔对吧，你跟在那个什么在那波斯波利斯看的那个柱子特别像结构上面的牛。
[22:28.410,22:32.500,1]  哦，那个那个柱子现在在德黑兰那个那个国家博物馆呢。
[22:32.610,22:38.220,0]  伊朗国家博物馆，芝加哥大学那个东方艺术研究所也有吧。
[22:38.490,22:43.950,1]  嗯，对，就是比较完，伊朗队比较完整的对在那个德黑兰。
[22:44.020,22:57.730,1]  对，因为大家讲到这个伊朗这个影响就是说从咱们就从印度次大陆来讲啊，印度四大路它这个也是一个其实跟中国很像也是一个比较封闭的一个环境，他唯一的一个。
[22:57.820,23:11.170,1]  吐口和就是口子就是西北方向就来自这个阿富汗高原伊朗高原那边的那个所以他每每遇到这个什么，各种外来的入侵也好，什么也好，都是从那个口子里面进。
[23:11.170,23:18.630,0]  嗯，所谓的兴都库什山嘛，他有一个摘被派就是叫什么张世博开博山口吧，嗯。
[23:18.630,23:29.010,1]  他没考虑过三考一般为什么后来的13:20是你们出具人没人儿不都那么过来，内蒙古也是这么过去的是吧。
[23:29.010,23:31.260,0]  中国人就是我们没儿吧我我。
[23:31.260,23:32.660,1]  嗯嗯，对对。
[23:33.830,23:41.750,1]  所以谈到了谈到了这个孔雀王朝的艺术吧，我们现在知道的印度最早的建筑实例啊也很有意思，也是十。
[23:42.620,23:50.690,1]  小写，现在大家一般认为啊，他也是受到了波斯的影响，这个超人该知道这个你不是看那个波斯那王林。
[23:51.980,24:0.300,1]  当时就觉得特别像那个居鲁士的铃声，比如兰居五是不是居鲁士是那个地上捡的那个。
[24:0.440,24:10.210,1]  就是那几个薛西斯大流士兴那个大甚至他们的那个是在墙上开了一个洞窟那种然后把那个。
[24:10.500,24:13.960,1]  说了就按锁了雅思多娇放在那冻库里。
[24:14.350,24:17.600,1]  咱们是也不是说特别像响堂山上面那栋。
[24:17.600,24:22.910,0]  唉，但是这个我在网上扯扯的波斯的话还可以再往前数一填追溯是吧。
[24:24.450,24:26.260,0]  亚述巴比伦。
[24:26.850,24:32.760,0]  他的这个影响肯定也应该是体现在波斯波斯的这个波斯帝国的这个时期的艺术。
[24:33.560,25:3.230,1]  对啊，对啊，对啊，那那最早的，因为因为可以可以查到的比较那个沃尔对吧，那都是在那个在那个芭比男孩呃，嘴是老巴比伦的老板，因为它有个新版本的对他这个咱们要什么车了，我记得嗯网上上次有人画了一个那个那种那种图标，每每100年闪现一下，好像就说文明的那个闪光哈，一开始就从两盒内巴比伦那闪出来，然后再什么往往往南完了，再到这个利帝国的那种。
[25:3.230,25:13.020,0]  我觉得这有一个特别重要的一个认识就是东西方的艺术在历史上它其实是有一个圆圆的互相的联系和相互影响的过程。
[25:13.490,25:24.940,1]  嗯，这个脉络，其好像好像我我请教过这个学历史的人，就是说只要是这个相似的东西的起源行，一般来说，好像都是从一个地方起源有这种说法。
[25:24.940,25:29.290,0]  就像你说的，这个波斯的石柱，然后到安阳时期的爱王史著。
[25:29.340,25:31.950,0]  在你其实到中国也看得到对吧。
[25:32.090,25:51.510,1]  对啊，这个这个南北朝的那个墓表那个对那个就是一种一种一种一种一种落漠，加油了，东汉末年就开始出现，嗯，还有在那个汉代的那个我们那个磨牙的那个那个四川那些这个磨牙的陵墓里头崖墓也不全项的很多这样的猪。
[25:51.510,26:1.620,0]  所以其实就是说我们对中国的佛教艺术，感兴趣的话去印度去访一访是肯定是不可避免的是一定要有，但。
[26:1.930,26:5.030,0]  那也是你们这次去的一个重要的动机吗，对吧。
[26:5.030,26:7.150,1]  因为目前去尼泊尔啊。
[26:7.830,26:8.970,1]  嗯，波尔。
[26:8.970,26:10.510,0]  没有什么可看的。
[26:10.510,26:44.200,1]  就是你一直传说对其实就早期幅图的一句应该是在北印度这个靠近尼泊尔那个编辑，但那个地区好像全部损失忙嘛，对蓝毗尼什么鹿野苑什么，这些地方，但那些地方因为后来被这个被这个伊斯兰化的时候被这个破坏的很严重吗，所以这个所存的这个完整的东西不多，而且我要补充的是他破坏了其实也是后期的建设，其实他早期的还没有到活动的活动，那个时代印度人也不做石头也不错，砖基本上是草目的。
[26:44.200,26:49.540,0]  不但这这个最近有一个新的考古发现他们在蓝屏呢，去做考古发掘。
[26:49.580,26:51.090,0]  然后发掘出了。
[26:51.140,27:0.700,0]  应该来说，现在已知最早的这个佛教的镯子的一种那是佛陀是不是说这个是佛陀时代。
[27:1.330,27:9.290,0]  哦，我这个发觉应该还在进行中所以其实可能知道的我们现在能获得的信息并不是我进行的发掘嘛，其实。
[27:9.290,27:35.560,1]  哦，这个，这个在这个考古学上，它有一个最那个圣经考古在西方是非常热门的这个佛教考古不知道到不知道是不是也是成为一门独立的科目，不是特清楚，但是我有一点我这次做这个旅行攻略的，我有感触啊，就是印度的带有一方面我们中国挺像我们中国不是有糖大的这种文物工作者运动这我们工作人也不少，他们好像有一个私voyage叫。
[27:35.560,27:51.090,0]  标题codered，这个就是他们的服务车，他就是工具，然后他而且他是是英国人建立的就是在其他公司时代就有了这个好像这个其实跟佛教考古其实关系特别大，就是这个事。
[27:51.200,27:52.480,0]  呃，他的。
[27:52.480,27:57.490,0]  创始人吧，就是这个earthquake的创始人是叫。
[27:57.530,27:59.010,0]  哎，张对看了一看。
[27:59.290,28:4.300,0]  看康宁汉他是第一任的，比如说就是觉得那种那种。
[28:4.670,28:10.770,0]  嗯，那个应该是在1186几年就就建立了这么一个机构，然后他呢。
[28:10.900,28:11.770,0]  其实是。
[28:12.190,28:14.850,0]  就是康宁汉是第一次。
[28:14.890,28:19.120,0]  就是正式的进行对佛教一直进行系统的考古发掘，而且他。
[28:19.220,28:21.070,0]  嗯，这个特别值得一提的是。
[28:22.320,28:24.495,0]  依据的依据的那个。
[28:24.495,28:27.370,0]  玄奘的大唐西域羡煞对的记录。
[28:27.400,28:29.280,0]  然后根据他的记录去找。
[28:29.800,28:31.500,0]  嗯，去对那个原值。
[28:31.500,28:42.410,1]  哎，他的第一个大发现大他在那个哈尔滨那边就是在那个印度河流域插插座各发觉，但是它还有个最主要的他就他是不是就是把那个奥兰加巴德后期的那个八号的那个大差。
[28:42.410,28:44.110,0]  大湖特电一对80糊涂。
[28:44.110,29:6.440,1]  对啊，对啊，对给这个长出来对特别了解，因为这里面咱们补充一个背景，只就是说其实佛教在印度产生的，但是印度的佛教实际上到了大概公元五六世纪的时候就已经就是说罚钱的时候还可以对吧，发现以后到那个玄奘去的时候，其实佛教在印度已经使完。
[29:6.440,29:7.660,0]  说发现的时候。
[29:7.660,29:11.700,1]  应该还是得多时代，许多实在是印度教了，都是在。
[29:11.700,29:19.110,0]  就是这个印度的黄金时代也而且对在当时佛教也是还是比较鑫盛，但是到了玄奘去的时候已经到了。
[29:19.310,29:21.030,0]  就是印度教兴起的时候。
[29:21.310,29:22.110,0]  印度教。
[29:22.110,29:46.160,1]  我再也大家补充一下啊，就是其实佛价原来在印度的地位呢，并不如就是说有一般的中国人想象的那么那么强势，佛教，其实在印度最强势的时候就是孔雀王朝所，因为有阿育王这个大力推进以后的几个印度的这个广场也好地方，这个政权也好，国家也还可以，但是他已经不是那种唯一的象征，国家性的这种宗教这样。
[29:46.160,29:49.170,0]  不是吧，这个安阳市男士但是。
[29:49.170,29:51.280,0]  那个贵庄也是。
[29:51.430,29:53.300,0]  一直基本上是国教了。
[29:53.630,30:6.580,1]  我想认为他可能贵商不认为是完全是印度的王朝嘛，因为上海外来的对吧，对对对对对对，而且又被装是很包容的不是你这么说，那你要这么说阿育王啊，有。
[30:6.580,30:8.455,0]  嗯，我这个孔雀帝国也是。
[30:8.455,30:12.710,0]  也是雅利安人是雅利安人就严格的说也是外来呢。
[30:12.710,30:31.250,1]  就是哎，但是他们这个雅的爱已经来了，快快七八百年了，所以他也不算呵呵，都有是白种人吗，有一个特点，喀什特别包容，因为它本身没有什么中教上的这个这个。
[30:31.330,31:31.330,1]  现在是他能够包容所有的是印度的呀，还有这个希腊化世界的整个宗教艺术建筑，如果要讲到讲到柜装的话那贵霜还是贵霜还是我们中国人的，哎，里边的你，你不能说中国人你这个你这个按本图算是吧，这个这个我不铜仁大大肉汁大招知识大楼之城祁连山观三过去的，所以分不是咱们中国人嘛，哎，那这次单元这车队太远，嗯这个但但是就是说这个有一点就是说就该咱们讲到的可能听着有些有些就是了解历史不多的话可以糊涂，其实呢，就是说在印度裔在印度次大陆最早的宗教实际上是这个就是印度教的前身对吧，咱们的货蓬莱文教还还有就是那个其那叫完了，其实印度其实这两个宗教比都比那个佛教诞生地长，所以在佛教的这个经典跟交易里面指引，其实引用了很多印度教跟这个其他教的一些一些行。
[31:31.331,31:33.340,1]  是比较一些神呐什么的。
