[0:0.100,0:5.170,0]  大家好今天是低价关的第11期我是竹子大家好我是古村
[7:38.911,8:21.330,1]  这么就谈到这个美国人华尔纳所以他他他就比我我通读了他的英文的这个原做我觉得写的还是比较客观的但是它也有一些知识它的局限比如说他去了这个呃吐鲁番的一个遗址看到一个佛寺遗址上有很多这个真人的累累的白骨现在还这个埋在这个这个地下他当时的呃这个书里就写他说这这可能是啥意思干的中国人干其实这种是中国人干的这个都是当时这个伊斯兰入侵礼盒这些这些中国人干嘛对吧这这但是它这个局限但是总体来说这本书写的相当不错政治正确哈呵呵呵a
[8:21.330,8:25.180,0]  对呀中国人那时还不是中国籍吧把这点欠了
[8:26.440,8:34.410,0]  哎这个中国的概念刚才不是刚才不已经讲过了这个中国的概念是18世纪以后19世纪才开始形成这么一个疆域的概念
[8:35.210,8:39.950,1]  但是这这车源我们谈艺术史
[8:39.950,8:43.950,0]  我们回来我们我们下面要谈的实际上是其中的一路考
[8:49.760,9:49.760,0]  因为因为因为在这条路线上虽然漫长的对其实为什么就说要讲这个德国的这个东西呢我觉得有几点啊就说跟斯坦因来来比也好跟这个这个波及何来比较好它不太一样的几个地方一个呢德国的那个时期啊它作为这个就是欧洲的一个新兴的一个抛儿就新兴的一个一个强权吧他的急需就是说有一个这个对外这个这个政府或者对外扩张的一个一个需求那么这导致的就是说德国这个考点对实际上它是这个受到了就相比相不适合思想来说它是受到了更多的这个官方的一个支持这样一个考前再派遣对另外一个呢他这个探险队这个密度跟强度也是相当大的从这个咱们这个中亚地区就中国的这个新疆地区所攫取的这个东西呢有些也是相当可观的尤其是在这个涉及到艺术方面我觉得这是一个我觉得可以在课
[9:49.761,9:51.190,0]  这个大家谈论的一个
[9:52.160,9:54.580,0]  对他们他们应该有四次
[9:55.670,10:55.670,1]  对那那对对对那我可以先把把这个德国探险的一个大概情况给给大家介绍一下当然这背景的就是东方学的兴起大概在十呃19世纪末期东方学院还不包括我们东亚这个概念主要是集中在这个西亚呀中亚的哪个地区的所谓这个东西还有还有南亚这个东方学然后因为有资产应的这个背景吧所以用斯坦因在这个来了中国两次收获很多所以西方就是这些国家都开始竞赛所以当时德国呢就派了当时皇家普鲁士学会就拍了当时他们一个研究印度艺术的一个专家教格林威的这个人在1902年他就这个第一次作为组成第一次探险队所以他呢他当时带了两位两个助手一个叫胡思一个叫这个吧徒儿这这俩就是他这个助手他自己本人的是德国当时一个叫人类学博物馆的这个这个印度部的这么一个一个一个一个角a的所以1902年他就到了
[10:55.671,11:28.350,1]  中国的新疆然后他当时呢因为他们也是有一些线索去的所以他当时第一个就到了吐鲁番发脾气什么地区呢发觉了吐鲁番的高昌故城发掘了木头沟发掘了圣经口这么主要是这么三个地区所以说过很多然后回到德国以后他们把这些一些主要的一些考古资料这些成果在德国做了一个公开的展示都引起了很大的轰动这个所以当时德国就觉得哎这个非常值得继续探索所以他们还要继续派这个
[11:28.350,11:37.250,1]  考古队继续打打看起来寄到中国来但是因为大家知道当时的这个生活条件呀看他真叫探险啊就是他们都从
[11:37.420,11:56.630,1]  露露从这七座西伯利亚铁路到了这个现在的这个呃物品的就是俄罗斯发那那个就是呃哈萨克斯坦乌兹别克斯坦然后经过卡萨然后再到这选吐鲁番市走这么一条路的路鲁图那个旅途艰辛而且这个八折的条件比较差所以呢很有意思
[11:57.040,12:0.270,1]  这个格林威尔那就病了
[12:0.520,12:4.230,1]  另外一个叫胡思呢另外一个他的助手呢死活
[12:4.540,12:10.410,1]  所以只有一个八十四一个技工他这个健康状况还不错后来他们就在190
[12:10.730,12:17.030,1]  因为DC902咱们回到合肥903年了他们在1905年那找了一个当时在
[12:17.520,12:45.350,1]  德国就说人类学博物馆作文切做志工的这么一个人叫了苛刻就请他作为看起来队长就取代了正在生病的这个外表他去到了这个这个就带领这个第二次这个产品当然当时可能回到家贷的任务就是还是继续发掘这个这个这个这个吐鲁番所以他们就去了服务饭再跟课的带领下所以当时他们重点发掘哪个重点发掘了不
[12:48.250,12:57.020,1]  不是很差所以这个柏孜克里克很大富B玩意和和这个人非常对这个艺术啊对这个非常有兴趣他就把这些废话全部拿走了
[12:57.720,13:25.810,1]  这就是所谓的第二次后来第二次呢当时格兰威尔的这个健康状况呀有好转所以他也迫切想了到到到到到新疆继续领导发觉所以他1905年呢就说当时他们给的就是柏林给这个探险队的任务就是让你们再等就说和就说让斯科特和那个巴图尔要和这个格罗的配合所以当时就有一个非常有意思的一个情况就是
[13:25.900,13:28.680,1]  当时那次课带着这个探险队在
[13:29.560,13:50.630,1]  再等可能有点所以他当时就听到了有这个这个伤人啊在那儿谣传一件事情什么事情呢说是在敦煌啊发现那个长青洞比如说有大量的这个这个这个顽固因为确实当时我们当时已经把这个长期弄的消息已经在思路上传开了所以勒柯克本人特别想去中华
[13:51.830,14:39.810,1]  玻璃给它只是是要让他往西移动到喀什去利特去汇合格林威尔所以她就非常的这个交着费他们的犹豫他为什么由于第一个如果他去敦煌有了发现这个没问题但如果他到东航去发现这只是个谣言他两手空空的儿歌龙威到他又没有遇上这个他就责任就大了所以他非常的纠结所以很有意思就是说这都是呃这都是有明确记载的他就当时抛了一个硬币如果是这面是敦煌界面是这个这个喀什结果硬币抛出来是喀什所以他就带着队伍就往西去了所以这个我们说如果当时发出来是另一面他就那他就是在资产之前到了东广场惊动所以这个可能整个这个历史都要改写了所以这也是冥冥之中的一件一件一件事情所以特别有意思
[14:40.150,15:40.150,0]  所以这个呢但这个事情就是两方面的因为那个因为他去了这个喀什后来就跟着那个格兰威尔一块儿后来就往东到了那个酷车就是古代的邱慈所以这个敦煌躲过了一劫但是这个秋词的那个壁画池哭就照了一大截社是一个这个很这个这个不幸的事情吧应该是因为那个他这个格林威尔跟这个各科两个还不太一样格伦德尔他本身啊他倒是讲究这个进行科学的调查以后啊他他倒不是说要把东西都搬回家去的这个他觉得他这个壁画什么临摹一下呀怎么弄完了就拍个照啊什么就可以了但是勒柯克这个人他是不一样的他觉得能好的东西全都能发过去的就应该全额吧过去不应该这个所以这样来说的话从这个咱们中国人的角度来讲这个勒柯克是是一个是一个凶残的一个
[15:40.151,15:43.960,0]  怎么嘿嘿所以就是
[15:44.080,16:19.500,1]  对根据信号的后面的就是但是他们当时的一些记录啊就是当时确实是他们在第三次发掘就是考古主要就是在修辞地区主要是克孜尔石窟然后当时两个人就是克格勃的还产生了矛盾当时绿色什么都要咯什么都要贴在阁楼早就不赞同这种做法但是因为阁楼味道是队长嘛所以也留了就是没有干过影后来他们这批这次探险鞋子他们回到柏林以后以后一直到了一九就第一次世界大战爆发前的1913年组成了第四次太简单这次那个时候的格伦外教已经退休了然后就是理科好
[16:19.500,16:32.560,1]  当队长然后他所以他第四次来到新疆他就直扑了克斯尔他要把他十年前没有做完的事情全部做完会他在刻字而是大的活动了一番把纸他觉得好了必花钱
[16:32.890,16:38.110,1]  三千八糟了所以这个也是一个这个历史上的一个一个一个很不幸的事情
[16:38.910,16:42.130,0]  我我们这里是不是应该稍微把这个秋词地区
[16:42.280,16:56.230,0]  嗯因为因为这个从自行到发音大家都有点可能有的人都不熟悉就大概给大家一个地理概念对这个修我刚刚讲的秋词写出来的是写出来是龟兹
[16:56.640,17:9.490,0]  就是乌龟的龟兹兹就是呃斯文在兹的兹就这那个资啊滋润的滋甩到三点水但是鼓应呢读秋词那么这是一个就是说
[17:9.650,17:34.750,0]  最早这个应该是追溯到了这个就是班顾虑说写的什么西域36国啊那里面就有这个秋次国这一个那么今天的这个地域范围呢就是在这个今天的塔里木盆地的北缘天山的南路这个一个绿洲就以以现在的酷车为中心的这么一片这个沙漠绿洲的这个范围这个古代秋词的一个
[17:36.310,17:46.620,0]  和一个国家的一个范围了但是它附近还有什么古代的焉耆呀什么这些国家那么那么主要秋词秋词其实再找一个就酷撤
[17:46.770,18:12.460,0]  库车实际上说在据说在维吾尔语的意思也是一个就是十字路口交通要道的意思他原来是就是说等于是一个从谈论盆地往这个天山翻过天山到这个天山北边的一个一个路口也是这个丝绸之路东西方向的一个主要的一个所以他等于他是一个像十字路口的一个地理位置很重要的一个对很重要的一个地方完了这个这个
[18:12.690,19:12.690,0]  修辞这个地方呢就是按照咱们中国的这个史书的记载啊他一直是一个等于是姓白的一个就是咱们中国话姓白的一个家族为这个秋刺网完了一直好像延续了好几百年都是这样的一个情况那么那还有一个呢就是他呢也是比较早的接受了这个佛教那佛教在这里呢这个传播完了比其实就是说比咱们这个呃汉汉族地区还要早那么呃完了通过这儿呢邱慈幼对这个咱们的那地产因为如果各位还记得咱们前几年啊前几期说的这个北齐的这个艺术的时候曾经讲到过秋词对于北齐的这个影响求职的音乐啊求职的绘画雕塑艺术还有一个呢邱慈的佛教也是因为秋次出过一个很伟大的一个风雨叫鸠摩罗什就摩罗时的这个年代呢是在大概咱们中国的这个北魏时期甚至还要早一点实际上是
[19:12.691,19:41.630,0]  这个16国晚期这个这个人呢他是出生于就他的这个拒考啊他的这个父亲的是来自北印度的一个婆罗门母亲呢好像是当地的一个就是呃就是秋季当地的一个把他呢等于出生在一个比较这个富裕的一个家庭那么后来他从小呢就跟着母亲一块儿在佛寺里面这个听清后来就出家出家变成高升完了后来因为那个邱慈在那个时候呢
[19:41.640,19:59.120,0]  被那个就是内地苻坚派一个大将曾经攻占过所以他那个贝鲁特到了这个内地在这个在那个甘肃的凉州什么学习汉文回来他就成了一个翻译大奖中国好多这个佛经包括最有名的这个就是那个心经
[19:59.470,20:10.580,0]  就是就是新的版本最抛票的就最最流行的一个版本就是就摸螺丝反应后来他在那个长安圆寂了圆寂了以后他的这个目
[20:10.780,20:18.310,0]  呃很神奇的现在还就等于是保留到现在在这个如果没记错的话应该在草堂四层四层四册
[20:18.470,20:33.420,0]  哎我去过周末螺丝卡这个啊潮人你去过是吧那那那那什么因为我没去过你可以给他加的那个是怎么样的一个一个一个一个一个一个一个情况就草堂寺然后在他大店的西边一点有这个就摩罗时
[20:33.740,20:38.730,0]  有两个卡号一个ore然后一个再一个
[20:39.380,20:46.500,0]  在一个那个玻璃啊那是经常是经常在一个那个有机玻璃的箱子里然后那个
[20:46.770,20:49.360,0]  那个袁记的那卡在一个亭子里
[20:53.490,21:7.170,0]  对修辞嘛反正大概就是是非常就是说有有这个历史厉害对他他对中国的这个佛教艺术的发展起到一个非常强的引导作用因为这个是我们现在所知的最西边的事故群
[21:7.190,21:14.490,0]  就因为他曾经是一个佛教盛行佛教的一个地方所以现在留下了大量的石窟寺
[21:16.120,22:10.670,1]  对对对我稍微再补充一下就是秋词吗秋词因为现在我们知道就是他是丝绸之路塔里木盆地北线这么一个重症但是我再加一下就是塔里木盆地南县的还有一个和田这也是一个非常重要的一个一个一个佛教的一个一个重要的一个基地吧绝对中心然后玄奘西行的时候他去印度当时是走的北线所以他经过秋词他从印度回来的是男性总是和钱当然啦秋词当时主要早期主要流行的是小乘佛教这个和田主要流行的是大乘佛教所以这两个他就从第一南一北的两大这个这个佛教中心所以都同时影响了这个我们中国的这个内地的佛教艺术这个这个都有很多这个证据可以可可以显示的我大概就补充这么这么一些吧还就是说
[22:10.670,23:2.120,0]  这边还讲了一个就是刚才那个卒子讲到这个石窟的问题啊因为那个因为我们上几期曾经讲到过这个印度的这个石窟对吧这个佛教石窟的这个1G那么这石窟这种形式当然咱们中国也很多比方有这个云岗石窟啊龙门石窟这种这肯定肯定是从印度传过来的这种这种形式但是在中间呢其实这个石窟啊因为中国这个佛教艺术流传大概从从印度完了到了那个现在的阿富汗完了中亚完了再这样就绕过这个这个这个喜马拉雅山这边从那个北边完怎么传到中国来的这样一个路程在这个路途上是在其他地方的石窟呢呃并不是非常多因为那个现在比较著名的有些什么时候比方说一个是阿富汗的巴米扬石窟这个是很有名的而且玄奘也去过那么除了这个石窟以外就再往东
[23:2.250,23:35.490,0]  比较著名的就是咱们这个秋词的这个这个刻字儿这附近的这些事故因为在中亚地区因为他的这个地质条件啊什么包括刚才那个车嘉奖的这个和田地区它就没有山所以他就没有办法构筑石窟所以他那边发掘的佛教遗迹他就是佛寺就跟那个表箭头地区好多也都是没有石窟就是那个佛寺一致对吧有些那个甚至一句但是呢秋思地区它有它的这个地理课程他可以开导石窟而这个石窟的这个好多这个形式后来又
[23:36.680,23:55.260,0]  影响到了咱们内地的词库甚至有的学者认为他这是库有些东西后来反过来又反哺到了这个中亚地区包括阿富汗的这个发明水库的一些影响这个咱们咱们还后面会在这对对关于秋随意是我们我们会还后面再会具体的
[23:55.410,24:5.270,0]  更多的讨论这个大概现在给大家的一个概念一个是地理上的概念一个是历史背景的一个概念知道这个地方有生产的很多这种艺术品
[24:5.430,24:11.660,0]  那但是这些艺术品在这个20提出就惨遭节律那么我们现在
[24:12.310,24:23.630,0]  走出去就他们他们这个德国太远对把这个通过几批的尤其最后一批的这个就后期说当时我们说带走了多少乡就简直不可想象
[24:23.630,24:26.930,1]  总共四期有统计大概是530几箱
[24:26.930,24:39.640,0]  在最后一批应该是最大的而且他们都是很易碎品我们我们去过刻字儿也去过这个车地区的那几个石窟都看了其实这是一个不可思议的一个一个运输工程
[24:40.010,24:56.260,0]  就是说你要把他从墙壁那么脆弱所以这里面所以这里面这个学习里面故事挺多因为那个好像那个克孜尔是那个研究院的人统计好像光是这个壁画好像就对接取了大概有500多平方米
[24:56.330,25:1.890,0]  德国人的这个记载呢他们是就说运回去了大概300多平方米
[25:2.510,25:34.920,0]  可想而之在这500跟300之间的这个差别就是就是就是损失掉了或者或者或者没没接好吧手机坏了或者摔掉了或者怎么样的这些就从这个就可想而知就是说这个刻字儿那时候的这个损失或者他们带去的这个东西有多少因为他们除了壁画以外还有还有很多的这个考他们都是考古发掘发掘了很多的这个各种各样的这个呃一鹑比方说有些呃这个佛像啊有些木构件啊各种各样的这个这个东西它都还有文书
[25:35.540,25:40.760,0]  哎还有各种各样驱蚊树各种所以这批东西到了德国以后是引起了轰动
[25:41.990,26:31.560,1]  是的所以很有意思因为他们虽然就是说四次德国探险他们并不仅仅是发掘的这个吐鲁番地区他们还发掘了库车地区和一些周边还有那喀什也有一些发觉但是因为第一次是在吐鲁番吗所以他们把所有的这批东西就德国的就给他的一个一一个名称就叫它分开来品就是叫吐鲁番收藏大家就是我我想说就是吐鲁番艘德国GP吐鲁番收藏不仅发图发东西还包括大大量的这个消磁地区还有这个喀什地区的东西但是总而言之他们就把他叫走吐鲁番收藏而且这些东西当时文书部分都放到了普鲁士的这个皇家的这个这个图书馆然后艺术品的部分就就放在了当当时的叫呃人类学博物馆这个
[26:33.000,26:35.360,0]  他为什么放在那个印度艺术公
[26:37.550,26:42.720,1]  呃对这也是因为有这个怎么说呢因为
[26:42.720,26:49.040,0]  这这因为这个博物馆也就好象域名了好好几次因为贵霜王朝吗
[26:49.120,27:12.460,1]  不是这个是这是这样的就是说呃因为四次这个德国探险吧这个虽然就说有普鲁士皇家普鲁士协会组织但是具体操作都是当时的印度就是当时人类学博物馆是个印度艺术部这个进行这个操作的所以这个格兰威尔也好了各要他们都是属于印度
[27:12.460,27:23.220,1]  就是印度艺术这个人类学不玩印度艺术部的这个职员工作人员所以当时这些东西也就理所当然的放着所谓的这个印度艺术博物馆对而且他
[27:23.220,27:51.590,0]  这里面还有这样一个其实其实这边还有一个这样一个就是背景知识里面就是说大家在这个19世纪开始啊这个欧洲的这个大帝国也好各大城市也好都开始新建各种干的博物馆来这个装点这个国家也或者是城市的门面这里面呢德国呢那时候呢就成立了一个叫人类学博物馆这个人类学博物馆那实际上是为了就是说呃就是这个来展览非西方系统
[27:53.130,28:0.280,0]  就是说家教人类那这里面这个博物馆呢当时就分成了两个部门一个呢就叫东亚部一个叫印度不
[28:0.280,28:9.460,1]  哎不就是这博物馆不仅有两个只这两个部门只是里头的两个部门不不安全是不是只有这两个部门有只是这两个部分这两个是最主要的部分
[28:9.780,28:13.650,0]  后来就是讲了这个位置它有一个部门的就是这个东亚
[28:14.060,28:26.080,0]  不呢后来独立出去变成另外一个博物馆所以后来剩下的呢就这个就还有改名叫印度什么人类学博物馆和这些东西呢放在那就等于吐鲁番这些东西都放在这个印度这个博物馆就这样一个过程
[28:26.080,29:2.660,1]  嗯所以我我觉得可能听众朋友听了还是有一团雾水啊这这确实是有点复杂这个为什么呢这个因为是博物馆分分合合的这个名字也不一样而且我们看一些现在很多文献介绍也是各种翻译五花八门的我们就必下方就正好趁这个机会给大家嗯梳理一下看是否能处理的通啊这个我们现在如果去柏林啊我们要去看这些吐鲁番收藏去找一些克孜尔呀这个这个高商古城啊这个东西克里克这些文我们去哪儿啊我们去现在得柏林西郊的一个达利姆这么一个炕小小镇那儿有一个叫
[29:2.810,29:4.700,1]  呃柏林亚洲艺术博物馆
[29:5.240,29:10.030,1]  是这么一个名字但是线下这个艺术博物馆呢是2006年成立的
[29:11.020,29:16.250,1]  在追本溯源是怎么回事儿呢就像刚才储存说到的就是最早的是
[29:16.500,29:22.340,1]  在1876年这个普鲁士成立了一个叫这个
[29:22.550,29:36.555,1]  呃柏林呃就是德国人类学这个柏林人类学这个博物馆里头有两个部门一个是东亚补一个是印度波后来呢这个他东亚不后来其实发展的也很快在1906年东亚不
[29:36.555,29:42.330,1]  单独从这个博物馆分出来了就成立了一个叫呃东亚艺术博物馆
[29:42.750,30:15.730,1]  包括中国日本朝鲜这么一个还有越南测评范围的而且它的这个当时的馆长是一个非常著名的一个亚洲这个研究东亚艺术的一个学者叫哭吗这个人这人在如果大家了解一说实话这人非常有名气这个人水平也很高然后他还来过中国收说过好多东西所以他当时这个把这个德国的这个东亚艺术博物馆建成了当可能是欧洲最好的东亚收藏东亚艺术的这么一个博物馆之一但可惜的是这个哭吗这个人以后是纳粹的支持者所以他后来
[30:15.960,30:44.370,1]  得到了希特勒的赏诗特别特别的这个厉害后来他就做了德德国国家博物馆总馆长又德国国家博物馆但是下面有很多博物馆嘛反正国内都是他这个德国国家博物馆系统所以这个姑妈就成了这个总馆长特别特别的这个这个有有有势力的这么一个人后来发了二战以后呢这个东亚艺术博物馆当时的所有的服务呢就提前放假了但是柏林动物园的一个地库里头
[30:45.150,31:13.370,1]  绝大部分都在地库里后来红军占领柏林以后这些东西都被从军拿到苏联去了所以现在就我们当时知道的百百分之九十以上的原来德国东亚艺术博物馆的文物现在其实都在夸迪卡石河莫斯科的一个服务管理而且不对外展示而且也大家都不知道现在的情况是怎么样所以现在是一笔糊涂账就是原来那些东西这个德国人也看不了更不要说其他的普通观众所以就这么一个情况
[31:13.370,31:31.820,0]  所以这这里面就是说文物上有有有有几个公案啊这些很有意思的一个呢故事呢就是大家知道这个大家都知道这个就是这个一见这个辽三彩的这个罗汉大家都都印象对吧这个其实当当时在这个柏林这个东亚艺术博物馆也有
[31:32.870,31:45.320,0]  对这次罗汉现在在下楼下到到底是被炸掉了呢还是被苏联红军略到了俄罗斯去了呢这就是一个公安不是比如你们没现在不是上现在博物馆里不是有一个吗
[31:46.270,32:5.400,0]  那是明代的那是明代的哎苗带的那个那个那个那个就是就是呃美国各大博物馆基本上只要只要上档次的博物馆都有一个什么gratis多伦多啊什么包括什么冰大波士顿什么都有这个其实柏林原来也有一个那么这是一个还有
[32:5.400,32:15.160,1]  这个还算很有意义返程四大莫斯科并没有被占原来都说给炸掉了但是现在看起来这个很可能在咱莫斯科对所以还耐力赛对所以
[32:15.160,32:40.230,0]  所以这也是这很有意思一个还有一个就是在那个他们那时候这个洛克在这个吐鲁番发掘出了一个西凉时代的一个是金属时照相呗那照样被相当厉害那为什么这么说呢因为当初这个知道一个那个历史上咱们中国近代史一个很有名的世界五大成富欧洲考察宪政那个端方
[32:41.800,32:43.320,1]  是1906年
[32:43.730,32:56.670,0]  看到这个照相费用但因第三方它本身是一个是一个金石学家他这个对这个东西很精通他一看这个他就觉得如获至宝当场就要求这个博物馆允许他们去怕这个这个这个这个这个呗
[32:58.280,33:13.440,0]  他的第一快以后他第二块的时候出了点事故后来那个当时就那个博物馆就不让他们差了就和官方就拿了这就把这个只有完整的这第一个卡片拿回国了后来一直流传后来到了上
[33:13.840,33:20.030,0]  几年前吧可能还有人把这个碑拓片或者捐给了这个国家博物
[33:20.030,33:55.310,1]  对我给补充一下我给补充一下第二次第二张出了什么事故呢这个这个挺有意思的因为中国的这个匠人被套中的这个习惯不好因为它需要体现每张卡片都是不一样的他插完第一张以后他他第二张他他把他嘣把把把这个背杀掉一个词儿叫第二张和第一张不一样了所以这个德国人答应你是破坏文物了马上就让他在他就能看出来中国这个居民国金石学都不靠谱都是一仆敲字敲的呃对呀因为他
[33:55.310,34:6.450,0]  他要强调自己这个我是我是唯一的一个因为我以后就就就不一样这当然是个很不好的一个一个一个什么很不好的就犯罪人家枪毙当成
[34:6.450,34:22.830,1]  啊哈哈所以当时看了看了当时看了一张完整拍一张就差四分利都不让插了所以他三方把这一个1/4张全拿回来了后来现在都在国家历史那个职业就是现在国家博物馆很很有意思嗯
[34:22.830,34:28.140,0]  但是他但是问题现在这个呃原来是那个那个呗没了我也搞不清楚下落了这
[34:28.140,34:59.155,1]  对这个背影下落不明对对对啊那我们刚刚讲的是原来的旧的这个就是东亚艺术馆我们现在回来讲这个印度的这部分的功能不是原来是两个部门就是早期的人类学博物馆这个得呃印度不和东亚不会都要1906分出去了后来到了1976年就是说在四次探险全部结束了以后印度不也独立了点从人类学博物馆独立成立了新的价格印度艺术博物馆所以我们这些吐鲁番收藏的绝大部分都在这个印度艺术博物馆里头这也是为什么这些东西我们
[34:59.155,35:2.790,1]  在印度艺术博物馆知道后来知道什么时候呢
[35:3.470,35:28.430,1]  就到2006年印度意思就是两个都统一以后了这个印度艺术博物馆和后来新成立的一个新的东亚艺术博物馆又合并在达姆又成立了一个较新的叫亚洲艺术博物馆所以现在这些东西我们就要亚洲一手帮我去看所以这里头故事还很多这个我想在对对对我想再补充一下就是当时
[35:28.460,35:48.130,1]  第四次考察这个结束以后不是第17大战爆发了嘛德国战败了所以德国的经济很差当时呢这个勒柯克格伦威德又很迫切的主要是那个课了很迫切的要把他们的考古成果这个出版又没有经费所以当时那个课就当时卖掉了一批
