[0:0.170,0:4.130,0]  今天是第下关的第21期大家好我是徐霞
[9:20.920,10:20.920,1]  对这这个这个阁他们另外呢就是也这个插播一下这个这个美国记者或者西方国家的一个这个就是一个很好的一个传统啊就是私人办博物馆在这个私人办博物馆这一跟咱们现在中国所谓的私人博物馆有我就有有很大的本质上的区别对吧咱们中国现在也有所谓的什么龙美术馆呀什么观复博物馆啊等等琳琅满目的私人博物馆但是现在总机而言现在这个因为制度上的原因可能也是因为国内这些私人博物馆真的是私人的博物馆他还只某人的一个私有财产而已比方说有人花了几亿买个鸡缸杯它放在这个博物馆里面但是他每天他如果想把鸡缸杯在卖了才是可以卖掉的但是这个这个在美国一旦你这个捐的东西进了哪怕是私人博物馆就是你自己建立的博物馆也好或者以名字命名的博物馆也好但这个一旦进入博物馆被国务版变成产品的话你再
[10:20.921,10:30.430,1]  只赔他是不可能所以他他们美国也很有一套很完善的这个系统来保证这些私人的机构能够正常的运行能够运行
[10:30.430,10:43.610,0]  那我觉得是不是可以更好的不能说是私人应该叫私立是非政府的非政府的这他有一个里是会有一定的这个章程来这个操作这些这些博物馆它不属于任何私人
[10:43.960,10:59.330,1]  所以这个翻译翻译对翻译来说因为英文他可以多久publish对吧或者但中文角丝莉跟私人是有不因为在美国其实很多知名的博物馆嗯包括咱们制造的这个那儿那个大都会
[10:59.380,11:3.980,1]  博物馆这样纽约大都会不管它也是一个私立的机构
[11:4.100,11:29.970,1]  他并不是纽约市政府下属的一个什么什么机构像中国式的啊这个河南省博物馆归河南省管对吧他这个女人有一大都会博物馆跟纽约市政府是没有任何的历史关系但他是接受纽约市政府的财政上的补贴或者一些一些各种各样的这个优惠措施最开始的就大都会博物馆他的这个在门票上它不是强制性的要求大家去购买他就是因为有这样的一个
[11:30.830,11:45.770,1]  接触公共机关的一些一些好处因为其实在美国国家真正谈得上是公立的博物馆也就是华盛顿的这些呃复收您的系统的这些博物馆包括国家话国家美术馆呀这个
[11:46.130,11:56.590,1]  这个历史博物馆还包括这个咱们有名空航天有名的这个富力儿跟那个赛克对吧这两个也是属于那个所有系统的他们虽然是私人
[11:56.640,11:57.860,1]  也是私人娟
[11:58.100,12:23.730,1]  真的这个钱以他们的命名但是它的这个管理跟这个运行完全纳入到了他的一个国家的这个系统就是这个叫什么三年这个这个S的这个系统里面去运作所以这个是呃不太一样的其他好像据我所知好像大部分很多博物馆有有也有势力的比如像那个底特律那博物馆好像就是底特律市政府嗯那个设计师
[12:23.730,12:27.620,0]  个那弗吉尼亚那个那个艺术博物馆应该是太累了
[12:27.620,13:8.200,1]  对有的就是它虽然叫不虽然是什么他但是有的是这个学校会拥有的比如像你们学校的那个博物馆是你们学校的对吧还有这些还有就是他先挂的是这个什么什么博物馆但它实际上它是一个呃完全私立的他那纳尔逊@金斯这个博物馆他也是私立的而且他因为真正人的这个意愿了所以这个博物馆是免费这边独开放这也是那个挺有意思的一个现象所以我希望就是说在中国以后也会出现越来越多这样的这种这种私立的机构能够很好的运作下去保证这个博物馆能够而不是说是私人拥有的只是私人财产的一部分
[13:8.750,13:20.660,0]  我说你是你是怎么知道因为我知道我们是2002年第一次去拿去博物馆但这个先知道这个博物馆的名字是是你告诉我的你当时是怎么怎么知道这个博物馆
[13:20.750,13:27.860,1]  其实这个博物馆最有名的收藏应该是中国绘画那么这个
[13:28.010,13:47.750,1]  当初呃具体什么缘由我已经记不清了但是那时候就说好像是就是很早我就知道就是这个博物馆里收藏了很多的这个中国的这个高古华嗯我说的高古华就比方说这个宋元以前啊这些绘画因为呃大家知道在美国呢有
[13:48.050,14:45.650,1]  三个堡哦为什么我知道因为我想起来就有一年那个那天那个台湾台湾那个就是故宫博物院到美国来进行了一次巡回展行大概是196年八九几年挺轰动的蛮难了好多这个中国的这些这个镇国之宝吧包括一些绘画作品啊什么的那么就当时就有很多介绍介绍就讲到了在美国的这个博物馆的一些这个中国画的收藏啊当时我记得就说在美国反正呃像那个波士顿美术馆对吧还有我们第一期开播就讲到了这个大都会纽约大都会博物馆都有很好的这个中国画的收藏呃但是质量比较高的年代比较久远的比较老的这些宋元以前的这个会话就是纳尔逊收藏也是相当的这个精彩的所以这是名列美国这个博物馆榜首的这个关于中国古代的这个会话包括后来到了2012年那个尚博举办了一次这个
[14:45.990,14:57.750,1]  美国博物馆藏中国绘画大假你邀请了五家美国的这个博物馆其中这个就有落下的心思博物馆的这个镇馆之宝去拿到中国区这个
[14:58.920,15:33.080,0]  对呀所以我我印象里记得在十几年前听古城那么一说我就当时特别绳网啊所以后来就在这个我记得是哪个长假的时候就花了几天的时间然后开车然后去这个闹心博物馆看了一下这些伟大的收藏而且还挺巧的这个现在当然情况已经改变了当时我记得那训博物馆的中国不沾专门有一个会话听嘛然后虽然很黑但是至少它里面藏着很多精品都当时放在外面公开展出现在好像已经不是这个群
[15:33.080,16:8.800,1]  嗯但是也许可能当时他们也没意识到这个这个会话的这个展览的这个对这个会话的这个寿命的影响但反正就也可能是因为当时这个他们的这个这个展览条件或者怎么样不管什么什么原因呢当时的确是进去以后很惊讶就是一屋子都是都是非常有名的会话但是呢就是看不太清楚因为都登比较黑但是呢能看见这些他们基本把他们的这个加点儿都放在那儿展览了了但现在呢就是把这些东西都放起来以后就是轮流的拿出一两件来这样这样来
[16:8.800,16:26.140,0]  对很少有机会会展出了我记得印象很深刻的当时看到了里程的那个秦岚肖四对吧下下规的那个山水12景那个还有最传奇的内部渠道呢吧这个好像唯一传世的衣服可能是渠道您争气的那个呃
[16:26.140,16:30.630,1]  衣服还有那个谁的那个后期被后车皮肤
[16:30.690,16:33.530,0]  对桥中堂后期续费
[16:33.530,16:45.540,1]  是这个如果这个喜欢中国古典绘画的这个挺优惠多少是龙翔的一些这个作品啊因为都都是话始终的传奇啊所以这是这个纳尔逊的这个非常
[16:47.010,16:51.340,1]  因为刚才那个徐家讲到就是说一个博物馆实际上在
[16:51.340,17:14.760,1]  把这个博物馆办好啊我觉得两个条件是缺一不可的一个呢就是刚才所说的就是金钱的问题对吧就钱财的问题对于那些来说当时是完全不成问题的因为它这个积累这么多的财富而且又赶上去好的实际这个财富的这个翻倍的增长对吧呃在购买的时候又改成一个好的时机这个艺术品的价值正好整合
[17:14.960,17:25.170,1]  这个跌落在低谷的时候呃另外呢其实对于对于这个博物馆来说要有好的中国收藏还要有一个条件就是要有能够慧眼识宝
[17:27.320,17:32.970,1]  呃在美国来说就是这个博物馆里的这些QQ的呃
[17:33.230,18:1.060,0]  其实呢这里面就还有一个背景吧就是大概就是美国的博物馆界对中国艺术开始感兴趣大概基本上是从1920年开始21920年代开始的当时美国的一些大的博物馆比如说纽约la费城艺术博物馆啦然后冰袋的这考古博物馆啊还有芝加哥呀甚至甚至于克利夫兰这种比较后起之秀都开始着力收藏中国艺术
[18:1.550,18:14.940,0]  所以这个1930年代纳尔逊博物馆开始筹备的时候呢管方就认为他们也应该这个注意收藏中国的艺术可能以后会成为这个博物馆的一个特色
[18:15.290,18:23.170,0]  所以当时他们就开始在美国的对东方学界吧开始物色人就怎么找一个人来帮博物馆干这个事情
[18:23.610,18:31.600,0]  所以咱们就找到了一个我们在节目之前以前节目也多次提到的一位著名人士就是呃兰德华纳
[18:32.220,18:34.830,1]  对他当时应该是在哈佛当老师吗
[18:35.070,18:38.840,0]  对他已经在哈弗他当时在已经在哈佛这个当铺儿烦死了
[18:39.160,18:43.740,0]  呃这个人是很传奇的那么一个人他呢呃
[18:44.710,18:48.420,0]  他是第一个在美国大学里开奖东方东方艺术的
[18:49.060,19:6.510,0]  但但是其实他的SP是它的主要的这个擅长其实他是日本美术但是它相对的对中国美术也是有一些了解而且他自己也到这个中国去东皇呀那黑水城啊他都去过就是这么一位人物所以他呢兰德花很大呢
[19:7.070,19:11.730,0]  一面在哈佛当老师一面呢他又接受了许多博物馆
[19:11.920,19:19.540,0]  邀请就是请他当收藏顾问所以当时他就是克里夫兰博物馆的这个东方部的一个收藏
[19:20.210,19:37.660,0]  所以纳尔逊博物馆当时呢也就以同样的方式就和克里夫兰博物馆一样请邀请那个人的话那等于来这个做个pan然后就是给你钱请你出去而且他特别邀请华人啊去中国给博物馆收藏
[19:38.820,19:45.940,0]  就是这么一个七级大概是在1930年出所以华尔那就拿了那性博物馆的钱专程到了中国
[19:45.940,20:42.520,1]  其实这个呢我觉得也挺有意思的让我想一下就是说其实西方这个美术馆街或者收藏街对中国发生兴趣开始收藏中国文物当然应该是在这个19世纪末20世纪初开始但是其实现在回想起来去讲一下这些有名的一些大大额啊就是比如像什么伯希和呀什么那个反应啊什么其实其实他们都是其实从这个非汉族的这这个地方开始完了感兴趣吗这就把敦煌什么的真正就是开始涉猎到这些比较中国这些传统的比较青铜器呀绘画呀这种东西好像是不是这个其实我我不知道我想对不对其实兰登华尔纳虽然是小字比斯坦因他们来讲年纪比较轻一点但是好像CC搞这种东西的好像是不是这个味美国搞这种东西难得话那应该是第一人
[20:44.340,20:46.020,0]  怎么说呢这个
[20:46.650,21:7.960,0]  G西方人啊自从这个就对东方艺术呢的兴趣由来已久但他们早期啊特别在19世纪末他们喜欢这个东方艺术他们比较喜欢那种比较装饰性强的这些东西当然这方面受到了日本一说的很很大的影响比如说啊能否在这个巴黎新区的那个新艺术运动很多就是结合了这个这个
[21:8.500,21:10.930,0]  装饰性很强的这些东方艺术的
[21:12.170,21:18.510,0]  甚至印象派里头也是很有很多这个日本东方艺术的影响对不对以后
[21:18.540,21:38.180,0]  他们这个美国的东方学界他们能够深入的领会到我们中国古典艺术这些精髓他们能够比如说他们能够开始欣赏中国的高古预期啦中国的古代的青铜礼器啦甚至最后深入到中国的绘画嗯这是有一个过程的其中当然德华那是一个非常花儿那是个非常重要的
[21:38.180,21:57.710,1]  对因为这个因为比起这些什么装饰性的艺术来说这个呃李忠青铜器玉器甚至这个绘画我觉得绘画应该是中国代表中国文化的一个精髓的一个东西因为你没有一点点公立的话是很难因为这个咱们以前在讲过福老师讲过这个
[21:58.240,22:29.590,1]  他们美国博物馆吃过这方面的亏吃得很多的这个因为不了解对吧这个以为唐宋的绘画唐代的绘画弄好其其实买了很多的这个艳萍这个因为不懂嘛所以都有一个交学费的一个过程但是我觉得我觉得就是华尔那这个他这个的确是开创了一个就说带领了美国博物馆开始慢慢的对这些东西由不懂到懂有有一点点懂到很懂的一个过程这里面当然我觉得我们还没有出一个这个这个这个
[22:29.670,22:34.140,1]  其实我们要讲这个关键人物并不是兰登华尔纳而是他的一个学生对不对
[22:34.400,22:45.630,0]  对对对是的其实呢这里头还有一个很有意思的现象就是说在1920年代了这个美国大量的这些博物馆他收藏中国艺术品他都是通过古董商伟中介的
[22:45.880,23:8.400,0]  就是他都在美国在巴黎在欧洲在柏林巴黎伦敦纽约的艺术市场一些中介去找这些博物馆然后向他们销售这些艺术品但是蓝的话那他自己去中国踏实地到北平琉璃厂去收这个是一个挺重要的一个现象呃另外呢就是刚才古城讲了我们今天其实讲的主要人物不是兰德花儿
[23:8.930,23:16.840,0]  我们这边主要是讲的人物呢是兰登华尔纳的一个学生他叫劳伦斯可能我们现在一般把它翻译成叫食客们
[23:18.090,23:22.650,0]  这位人物呢也是个挺传奇的人物他呢
[23:24.020,23:34.200,0]  他我觉得有有的时候有些这个不知道可能上辈子是不是有一些什么呃什么什么影响这食客们这人从小他是科罗拉多丹佛人
[23:34.600,23:40.080,0]  他从小就对艺术感兴趣而且他尤其不知道什么机缘对东方艺术特别感谢
[23:41.650,23:54.140,0]  他在17岁的时候就给当时美国国立的这个那个弗利尔博物馆的馆长写写写信问他哎我怎么以后才能去成为一个博物馆的一个管理者一个一个一个qe的
[23:55.230,24:6.530,0]  那个广场就说哎如果你要对东方艺术感兴趣那你当然得去哈佛去夏兰的话那学习所以食客们真的就去哈佛读书然后拿那个安卓的学位
[24:8.280,24:17.260,0]  毕业了以后大概在一两年后他又申请到了当时刚组建不久的就是很著名的哈佛燕京学社的一笔奖学金让他到
[24:19.050,24:24.490,0]  燕京学社来继续进修所以是根本就拿了这笔奖学金就来到了这个
[24:25.200,25:3.580,0]  所以很巧啊华尔纳在1930年出又拿了纳尔逊博物馆的钱到中国来所以滑它是需要一个助手帮他一起收收收东西所以他当时当时就找了他这位刚刚毕业不久的学生就是失身两个人就开始混流立场了大概有几个月的时间他发生了很多传奇的故事比如说他们通过一个关系在这个通过一个英国人叫蓝松女士的关系他当时这个蓝松女士呢是当时在天津静园为这个溥仪的太太就是婉容啊教授英语的所以他们通过这个关系还到统一家里去买买话所以才发生了很多故事
[25:3.580,25:34.040,1]  这个咱这个对这个是故事都是两方面听啊这个花儿那他们有他们的故事但是我觉得从溥仪他们记录的来说就觉得嗯上当受骗了这个比如他们要卖花儿开家养30万结果人家只还到了怎么3万块钱啊互相又不愉快完了后来又又又被人顺走了话这个又去到北京去讨啊什么的把这个外国人骂了一顿觉得他们是骗子似的人对但我觉得这是这周
[25:34.040,26:2.340,0]  这一方面的这个这是溥仪的一个老师记录的一个而且复习的日记上也有这个相关的记载但是从美国人那方面呢也不是说这个说这个中介人很有意思说是向南鹏华那种行贿呀想着问他要回扣然后华纳不肯啊怎么怎么样然后就是两边就是驴唇不对马嘴的对不上所以我们今天来看这些故事都得要比较客观的分析当然这个事实很难还原但是有一些细枝末节可能还能够这个那个配套的出来
[26:2.340,26:6.180,1]  对是是的确是这样因为呃涉及到这个
[26:6.480,26:31.730,1]  文物的流失啊这个双方都有很多的这个但美国这一方你可以看到他们肯定是把自己的标准的就我们完全是呃这个合法的合理达这个和和平的这个收购的都是完全室内但这里面肯定历史肯定都是有它的真相并不像某一方说的这么官方因为就我们要涉及到他这个男人这个时刻门卫这个
[26:32.070,26:43.950,1]  那训收藏这些文物很多文物其实都很有一些授课的故事而且这些故事大家来听的话就是要有自己的分辨能力我觉得这个是很重要的所以
[26:43.950,26:54.890,0]  嗯所以我们今天做学问如果研究这个IP也就是看他这些文物怎么进入馆藏的你不能哦我知道这个档案材料看一方面的说辞哎怎么怎么怎么就我就真的相信了他
[26:54.890,27:17.400,1]  对我觉得不我觉得很有意思就是那甚至有一个很有名的一个这个中国的一个艺术品也是北京来的就是说花那个男那个时刻分买来的一个这个从原来智化寺的一个早点应该是万风格上的一个早点对吧他他那边的故事就是说哎这个他去的这个股票这个和尚这个也不珍惜要把这个怎么
[27:17.410,27:37.720,1]  早点拍来给人做什么棺材做什么东西的完了他是为了抢救这个这个没呃这个文物完了依然把它买回来变成了博物馆的产品但这个里面就有有问题如果大家想着这个早点的木头怎么能去做棺材呢做棺材需要什么木头对吧早点是什么样的东西但是这种东西就是说
[27:38.000,27:47.610,1]  这一看你肯定就是个说辞就所以我就说这里面很多故事但故事真正的原因是什么样的也许可能就比方说智化寺藻井怎么流失到这个
[27:48.050,27:50.350,1]  嗯就是在美国的可能就是
[27:51.550,27:53.990,1]  反正就是搞不清楚的一件事情
[27:53.990,28:18.560,0]  怎么怎么怎么怎么其实我们还要这么看就是当时啊华大因为不能他事情很多他不能在中国待很长时间所以他就把事情交交托给了食客们来罢就是客人在北京长住吗所以华大回国以后适合博物馆这么商量的就说我呢在北京有这么个助手叫这个门然后呢这个呢如果看好了什么东西会把资料发给我然后呢花那审批然后
[28:18.790,28:41.800,0]  同意了然后是他们在为博物馆买下来就一开始呢是这么运作的但是大家知道当时的这个交通又不像现在我们pharmacy什么的很方便因此类的当时很麻烦就是这么一来一回很多机会就没有了而且食客们这个人有特别精明强干眼力又好所以后来无论是华尔那也好无论是博物馆也好都很放心的就授权时可能可以在易县
[28:42.950,28:50.900,0]  这个这个这个意愿可以买买东西所以食客们就有很大的例外有很大的自主权可以买可以买他想要买
[28:50.900,28:56.930,1]  嗯这个时刻班的确是替这个博物馆收藏了很多的这个中国的这个艺术设计
[28:56.930,29:0.740,0]  呃而且大家想一想食客们这个人当时20出头
[29:1.170,29:22.010,0]  呃急于表现然后年轻人嘛但是可能这个保障方案底线又比较低啊所以很也很多情况下可能是不择手段我们今天这个在客观分析啊当然他他页面怎么不择手段的得了很多重要的东西一方面呢有这个他在给博物馆写的报告可都是冠冕堂皇
[29:22.010,29:25.000,1]  对这里面当然这里面我觉得这个
[29:25.080,29:29.900,1]  最让中国人觉得应该是有问题的应该就是这个龙门石窟的几个
[29:30.470,30:13.670,1]  皇帝理发都跟黄河里发图尤其那现实收藏了这个皇后礼佛图但这里面的故事我们也去实地考察过也跟他们的这个现在的口味的交谈过这个因为这个皇后礼佛图呢看起来现在呢是觉得嗯这个肯定很好就是完全不像是被砸下来完了再拼起来的这个样子因为的确很多人是质疑这个东西到底是真的还是假的或者怎么样是当初是当初不说阅兵式是把这个河源的原来的东西留下来了把复制的东西卖给外国人还是怎么样阿这些都是但是看起来又不像是复制的所以这也是一个一一桩公案吧我觉得
[30:14.070,31:2.175,0]  对我我自己个人观念我觉得这个无论是大都会的皇帝里头都还好还有纳尔逊黄克里夫都还好应该都是针剂但是因为当时这个那些盗匪到宾阳东区这个早吧很多东西就是碎了拼不上了所以他们把这些碎片卖给了美国人然后美国人就根据这些就是原来的老照片吧把它怎么沾河呀富源然后拼不上就用一些什么数值啊一些这些东西给她做了个富源你这个放在那儿但是这个就是美国人双方讲的一些故事呢就是今天听听就好即使他们自己说他说哎呦他怎么三访宾阳洞怎么第一次去看怎么样第二次他又少了第三次看就没了然后他就什么流星到全国各地的古董市场怎么去把这些碎片怎么一块买回来其实这个故事就像
[31:2.175,31:12.210,0]  天方夜谭似的你根本就是不可靠的一个故事但是食客们就是言之灼灼的携带他的给博物馆的报告里所以你今天如果去博物馆查档案你看到的就是这样的一个班
[31:12.210,31:23.300,1]  这个呢当然这个历史的这个公安有时候就已经是很难在纠结清楚的事情那么但事实呢的确是食客们的为这个大学博物馆的中国部的赶长的
[31:25.050,31:27.800,1]  买下来很多的这个稀世珍品
[31:27.800,31:29.610,0]  哎我们其实还可以再讲一个例子
[31:30.960,31:41.110,0]  就讲到大学那收藏的很重很重要的那个渠道您的内服鳄鱼附图这个也是几课时课文的版本是这么说的当时是1933年
[31:41.410,31:48.090,0]  他说这个半夜里啊这个就是大概过了12点了突然有人敲他的门然后就有人
[31:48.360,32:0.870,0]  上门给他卖这个话嗯然后说是主人压力明白这个话怎么怎么样就说的特特神叨叨的所以我们现在具体也搞不清楚这一幅图是从哪家谁
[32:0.870,32:12.680,1]  对呀但是咱按照中国人的常识来说这个这个月黑风高夜放火杀人天这个谁大晚上呢这大半夜的做这种事情肯定都是有些见不得阳光的事情对吧所以就
[32:12.680,32:17.380,0]  而且我而且我还很怀疑这个这个故事的这个真实性我觉得肯定后面有很多不可
[32:17.380,32:58.580,1]  呃或者是偷来的呀或者怎么样来的这个所以其实每一件这个我认为的确是啊这个国内原来有一个叫国宝档案这个节目但是那个节目也不一定完全真实的但是的确有一点每一件国宝流失海外他的转转肯定都是富有很传奇的故事性这是一点这一点是非常的这个毋庸置疑的而且有时候呢这种辗转的这种故事性隐盖了他真实的好多历史使得我们现在来做研究的时候做学术研究的时候变的就是一些很简单的事情变成巨非常破酥迷离而且变的就是说呃有可能永远搞不清楚历史真相这样的话就使得他的这个文物性跟他历史性的价值就大打折扣了
[32:59.930,33:34.980,0]  所以所以我们现在来看吧就是从三零年开始二那是可能为纳新博物馆收藏东西到1933年12月这个博物馆正式开馆当中只短短的三年时间这个纳尔逊就得到了大批的非常重要的中国的文物包括刚才我们讲到的会话也好佛教的雕刻也好还有很多高古的玉器青铜器唐三彩琳琅满目所以当时这个13门这人也很很很很聪明啊他当时就在
[33:35.230,33:46.970,0]  喂博物馆正式开馆的时候他会中国馆设计的一个一个非常好的一个就设计今天看来也是一个经典就是设计的一个叫xin一天跑这么一个干冷这么一个展厅吧
[33:46.970,34:11.900,1]  对这个涨停等于就是说按照新来说就是一个美国博物馆其实里面也是这个就是情景复原是的这展览的一个新区对吧对因为他这个因为美国博物馆一般早期博物馆它还是一种就是柜子似的展览就是把这些东西放在柜子里啊放在挂在墙上就是一样的一个房间他等于是把他从中国获得了三样
