[0:0.210,0:3.800,0]  今天是第下关的第13期大家好我是独子
[7:29.880,8:16.210,1]  太行山这个山呢我们在过去的这个十多年的这个仿古过程当中啊是其实是无数次的穿越啊这个如果咱们要从北京到山西去那肯定是要呃翻越太行山对吧这个翻来翻去的这个太行山虽然太行山没有被列入咱们这个中国的比方什么五月啊什么寺佛牙名山但其实太行山是非常这个重要的无论是它的这个自然风光还是他的人们抵御这个都是非常深厚的所以我们这个在这个大好春光的时节就介绍给同给这个聘用能介绍一下太行山这个我们如果沿着太行吧行的话这一路上可以所见所闻到底有些什么可可这个
[8:16.210,9:10.180,0]  对我我我印象也就是说从我们十几年前开始仿古开始吧这个太行情就像刚才所说的一直是伴随着我们的这个行程一会儿往东看是太行下来一会往西看看一会儿往南看往北看开发商因为太阳很大很长吗而且这个方向就是比较曲折嗯另外呢这个虽然我们多次啊走走过太行山的行的但是我们还有在大概是2010年嘛对2010年对对2010年的春节我们我们读的这个村还有几还有超人还有那个北大的李林老师然后我们一块儿这个呃系统的从南到北把这个对就是这个方向的把整个太行山就利用春节的时间把太阳发型整个都走了一些那次正好我记得印象很深我们从那个河南这个
[9:10.320,9:23.700,0]  刚看完龙门石窟吗然后再往北走的时候就记得突然下下大雪了吧大概下了一个星期的大学然后我们就在这个雪中穿越太行山这个印象十分深刻
[9:23.700,10:15.160,1]  对这个就想到了这个李白的这个那时候有一所那个行路难遇遇度黄河冰塞川将登太行雪满山那那个时候真有这样的这种感觉啊这个古人的这个诗诗歌啊这是一点都不用这个夸张的意思而且在其实那当然那个时候是在这个大雪封山的时候跟现在春暖花开呢可能景色略有不同但是他的这个这个自然山势啊是是是一样的那么其实每每个季节去都有每个季节的这个不同的这个风光呃所以呢其实太行山是每个季节都可以去游游览完了这个呃希望这个春暖花开的时候咱们大家有一种有一种体验那么到了这个大雪自费的时候可能有一种题
[10:15.450,10:19.400,0]  对呀哎那我们就从这个值班亭开始吧嗯对
[10:19.470,10:43.610,1]  直观行只实际上这个字呢是古代就是答疑我们一路上因为当当时这个有李老师作伴啊这个可以给我们好多这个这个历史的知识之观之好像就是在战国还是春秋时期的一个古国叫之国之国的遗址呢就在现在的一个济源市的这个附近
[10:43.610,11:13.120,0]  哎所以呢我补充一下其实很有意思啊我们中国这个我们文明古国吗这么多年的历史呃中国的文明的一个最大的特点就是一个持续性连续不断的文明我们很多东西都可以追溯到春秋战国时期甚至更早刚才古城讲的这个直观行这个直直惯性现在就直观就古代这个春秋时代的古国城职国他们在哪呢他就现在还叫只就这济源市的一个枝城镇
[11:13.390,11:18.990,0]  那那个纸所以这个地名应该说已经研究了2000多年了现在还在用
[11:19.290,12:0.550,1]  当那个我那个李老师一块去看一下直播的遗址它这个在田垄上还有一些这个这个城墙禅缘的这个康土的遗址还在课有迹可循啊这个是如果我们从河南这边往那边走的话呢就是说大几元也是一个历史悠久的一个一个地方啊这个纪元顾名思义这个系就是三点水一个其就是济南的及给水给水之园随叫济源吉水虽然现在已经不存在了但是给水以前古代是中国四大水之一这个四条大河一条是给水一条是黄河一条是长江还有一条呢是这个
[12:0.550,12:1.500,0]  白河
[12:1.500,12:4.450,1]  淮河对这个就是四条
[12:4.450,12:17.060,0]  这就是顾名思义的四读吗读的意思就是说东流入海车位是读所以这个钢材股虽说这四条和平就是自读举几元就是给水之源
[12:17.240,12:38.300,1]  行那个因为这个我们以后可能还要专门有话题来讲讲中国的名山大川啊这个四读四读五呃四独舞镇五月什么就简单这样讲一下就给予济源就给水的支援那么济源城里面的还保留了一觉寄读庙这个济渎庙的就是那个古代这个祭祀这个
[12:38.310,12:39.960,1]  济水的一个
[12:40.040,12:56.490,1]  神庙而且这现在是唯一现在现存的就是读的还剩这么一个庙就是这个济源的这个季度庙季度庙规模的历史相当大现在还存有这个呃宋代的这个建筑
[12:56.740,13:7.750,1]  这个所以喜欢古建筑的也是反正值得去看喜欢古代名胜因为里面有很多碑刻就是济源的记土庙就是其实是一个相当这个重要的中国的这个
[13:7.750,13:32.240,0]  对因为你吸毒庙因为次读吗技术四度就是国家等级的技术这几个股票都是这个由国家来这个中央政府到那个妓院去寄宿的所以规模大师可想而知现在虽然这个呃很多建筑已经不错了但是我们还有一做也是河南应该是唯一的一座宋代建筑吧就是原来那个机
[13:32.260,13:34.350,1]  就也不能说唯一的还有那个啥
[13:34.350,13:44.650,0]  啊对对对是就是比较就说河南你就没有赠送感谢主主庙是请功他的木构还是这个还有保留送达的特点
[13:44.650,13:56.210,1]  而且他也比较他应该是应该是济南最大的一座因为它是四个人按五开间的对吧几除了那个季度济源从季度庙以外呢还有一个叫这个
[13:56.960,14:1.260,1]  呃我一下卡住了那个呃什么工就是
[14:1.960,14:7.370,1]  是刘呃就是刘敦桢他们曾经考察的时候发现的一个呃
[14:8.520,14:21.020,1]  我待会待会待会想起来我再再再说就说古代的这个古建筑在济源这一块还还存有了这个好几处比较值得这个观赏的古建筑
[14:22.850,14:26.830,1]  从这个济源开始就是我们往那个
[14:27.370,14:31.590,1]  往北就说进入太行山它有一个地方叫这个
[14:31.960,15:0.620,1]  风门风门关封就是封就是开封的封风门关那个地方以前是个关爱那么我们那儿也去这个就是巡查过现在呢就是一个小村子如果喜欢这个怀古的人啊我觉得到那个地方去走走的也是很有很有一点这个怀古之情吧有一个现在就是说现在还有一个很古朴的一个小村子这个就是也是在算是这个
[15:2.620,15:4.090,1]  然后那个就行道上
[15:4.090,15:47.870,0]  对就是风口因为在历史上记得还比较多的嘛因为大概来说就是从河南这个往山西的这条古道的这个起点吧我印象里我们去那个丰门口村然后那个村子对这个现在大雾对因为有雪有误然后那村子呢正好是春节前期那些外面打工的人也都回村子但是那村子现在也是已经方就是破坏的非常厉害了我们就没有看到几户人家有炊烟的然后走进衣裤人家也看到他们家正在是在哪年高还是在干嘛呀在在做一个好像很对很特别的一个模模版对然后并且还挺深刻的
[15:47.870,15:51.530,1]  刚才那个刚才我讲的那个是那个济源有叫奉仙观
[15:51.810,16:24.850,1]  阜新观这个是一个经代的建筑这当然也在这个河南省也是属于这个不可多得的一个古建筑它是一个五开间的一个玄山的一个建筑体量和规模也很大当初这个刘敦桢代表这个中国营造学社去看房河南的古建筑社曾经对他进行过考察嗯也是一处非常重要的一处古建筑那么讲到这个古建筑就说呃跟名胜啊就是济源附近就是说咱们在这个智冠型的这个路上啊还有一处就是这个
[16:25.380,17:19.190,1]  就一个是一个佛教的一个不是佛教就是一个道教的一个名胜就叫这个王屋山的一个支脉上面有个叫阳台宫的一个道教的一个宫观这个公馆当初这个刘敦桢他们代表中国营造学社也是进行了这个看法那么当初大规模大爷不止一处公馆那么经过了这个这个年代久远或者这这个各种各样的这个战乱也好破坏也好现在呢有一处叫阳台宫的接触这个公馆的还留存着尤其它里面的一个建筑基本上是大概是在明代的这个建筑呃相当有气质也是属于民宅比较这个有代表性的这个倒角建筑吧这个有机会的话呢这个朋友们可以去那里看一看就在在阳台宫阳就是太阳的阳就是阳就是前俩字就是阳台那俩字
[17:19.190,18:18.475,0]  嗯安排对我那是对我觉得古村给大家介绍一下现在直观行估计我还能看到的一些重要的古计啊那我想很happy给大家但是不能在能补充一下就是说直观行在我们中国历史上的一个重要性就是说现在当然他很不重要了只只是山西河南交界的这么一个古道而且连现在的公路都没有完全是古道而且基本上这古道已经已经已经走通了已经废了那么为什么历史上的才会那么重要呢而且几乎就是太阳发行可以说是南边的的行少他我想这个就和当时我们这个战国晚期啊这个当时的这个七雄争霸是其实有一定的关系所以我们如果打开地图啊看一下这个山西河南两省的这个地形啊其实我们就能考想到这个直观行为很重要因为所谓的这个直观行这个知道就不堵车在古树上他才知道
[18:18.475,19:18.475,0]  其实就是那个直观性的指导就是到到他是从这个这个河南这几元呀一直通到山西的现在大概曲沃翼城那个地方那个地方呢在古代叫河东地区就是河就是黄河那个拐角的那个山西那个县近他叫河东儿这个这个玺园那边呢在战国时代叫做南雅就是那个现在发展那个南阳了但是这个就算是一样简单的地方是不一样这两个地方呢都是非常有战略意义的地方其实当时在战国呢在战国的早期他都是韩国的这个这个领土所以全国要统一中原他要基于这个中原这么一块这个这个地区呢它有一个方法全国当然要从这个著名的函谷关走但是我们如果去那儿看房子地形我们就知道函谷关的30是非常想要的非常难走的河洛从跨过黄河从这个河东就在济南地区然后通过直观一下子就能插入了这个中原的这个
[19:18.476,19:32.240,0]  比所以为什么直观那么重要也是这样所以这个大概在公园我记得在大概公园前40G的时候当时当时这个南阳就是各个国家都要争夺的一块
[19:32.800,19:50.430,0]  这个这个这个地方所以苏芩肯定有一句话就是六个半这样的抒情她说停下直到这南阳动就如果苹果儿童直到你出来以后就整个南阳地区都会这个震动所以呢秦国人如果要统一六国啊所以他呢
[19:51.210,19:52.660,0]  如果白虎关
[19:52.690,20:6.800,0]  他就可能抓到这个楚国韩国魏国的联合长所以他就绕过函谷关从这个河东地区然后冬夏直到进行蓝牙这样就可以把韩国和魏国都断开了然后还可以
[20:7.090,20:20.850,0]  只差照顾和齐国所以制造的这个战略意义就在这儿而是那秦统一六国也确实是这样大概就是白起吗就率军这个确实是从直到突破的然后就夺取了之城
[20:21.860,20:47.540,0]  再把韩国一下子就韩国的首都这个这个呃新政然后这个这个站然后韩国就投降了然后上韩国上涨也这个守不住了后来韩国就马上打这个给了赵国吗就引发了著名的长平大战等照顾下一代整个六国这个战国系统的形式就已经过来统一就基本上就不可避免了所以为什么只关系那么重要呢大概觉得
[20:48.920,20:58.030,1]  那么如何讲到这个直观行啊他这个刚才去来讲那对于这个战国的这个那时候的形式来说它是一个非常重要的一个
[20:58.180,21:5.520,1]  战战略要要到的话那么我们下面要说的这个太行行实际上就是在
[21:6.040,21:10.030,1]  在隋唐甚至这个南北朝时期是一个
[21:10.030,21:11.830,0]  对这个男博士也很重要
[21:11.830,21:30.780,1]  呃一个重要的一条道路因为它实际上是基本上是正南北的一条路那么北边的就一联系的这个山西对吧从山西还可以再再往北那南边呢就直接插到了这个我们的这个只呃线线上是八朝古都还是炒股的这个洛阳
[21:31.030,22:21.690,1]  是这样重要的一条这个行到那么这条行到呢这个上面这个名胜古迹语言很多他那有一个重要的一个关爱呢就因为行到上都有关爱的就是把手的地方还有个叫天井关就天井关现在在这个山西省境内那个哎其实现在是个是个镇是个是个古镇那个可以看出这个明星古镇它是一条商业街上有很多的店铺的遗址以前这个在在明星实习那个没有修这个公路以前他这个地方是一个古道是是商贸的一个中心现在还可以看到很多的这个以及这个古镇现在基本上还保留的挺完整另外这个古镇还一个特别有意思的一个古代的一个人造景点就是有个叫孔子回车处
[22:22.350,22:24.360,0]  Rogram
[22:24.360,22:43.960,1]  嗯嗯对说这个孔子那时候从这个河南要到时空只是没来过山西的这孔子说从河南到山西去就爬山爬到这个地方说过不去了所以就住这儿就返回来一个就有一个叫孔子回车处实际上这个考证一下孔子那个地方也没到过这个事
[22:43.960,22:56.640,0]  后来那个课程付费是一点但是呢就是说太行情啊就是天景观的太阳行在古时候特别在我们文献上绳最出名啊就是他这个这条路特别难走
[22:56.640,23:21.440,0]  这是最出名因为它都是山路嘛然后崎岖不平然后又非常陡峭所以一直就是说太行情的这个特点就是行路难呃古村刚才讲的那孔子回车住在这个孔子看哎呀路实在走不了了他这个是男孩儿退了另外还有一个我们很著名的一个一个成语吧就是南辕北辙这个成语其实也说也是说这个泰康庆这个地方对
[23:21.440,23:41.990,1]  这个这个讲到这个成语这个因为成语都是发发原因咱们中中中元就华夏文明的这个早期的这个智慧啊这个另外还有一个很有名的成语我们刚才错过讲了就是最关心的有王屋山王屋山的成语就有一个成语和永明就愚公移山愚公移山这个成语就发发自于王屋山这个地方
[23:42.790,23:45.390,1]  那个那我们再回到这个
[23:45.600,24:5.290,1]  这个天井关这个这个这个太好行他行这个一个刚才那个学校讲的这个路那时候很难走这个地方还有一个呢他这个太行行呢是的确是非常重要的一条这个通通道历史上的这个他还有叫这个难走太阳板啊养
[24:5.290,24:7.820,0]  然后当羊城版常常办
[24:7.820,24:19.720,1]  对羊肠坂可想而知沈阳咱们这有个有个有个祖禹叫羊肠小道对吧其实这个这个所以就羊肠坂那那个那个地方真的有一块石头客栈叫羊肠坂就说明那地方
[24:19.720,24:49.800,0]  那当然不光是这个竹子你还记得我们去上野莎有误吧然后我们去找那个羊肠蛮古道确实就是看着那个其实还有一些痕迹啊很坚硬的那个30就开的那个很简单的路然后有很深的马蹄我才进啊就是那种DSD这股也是不容易对但是好像就是赶羊的上去吧海洋走那条路还可以所以这只有洋人走了人其实其实那个地方
[24:49.800,25:0.700,1]  那个前两天那个冯小刚拍那个电影叫那个1942那里面也是采取了好多去取得那个镜头比如那阳光板那边手机还有一个宛城
[25:0.810,25:18.450,1]  晚上就一个小城堡在这个风景是很不错的那个冯小刚在那儿取得好多那个好多的这个镜头所以挺逗的就是冯小刚那时候拍那个1942讲的是一个河南的世界实际上大部分好多那个好多外景镜头起的都是山西的
[25:18.450,25:31.680,0]  实在是没办法因为河南已经看不见这个电电话太差山西有些地方你去找一找才能找到一些一些可能民国时代的一些一些面貌的样子对不对所以这是没办法的事儿
[25:32.400,25:44.605,1]  反正那个挺有意思这个他这个还要讲到就是说我我觉得除了讲到这个古代的这个羊肠坂啊其实现在这个天堑变通图也是
[25:44.605,26:44.605,1]  可以挺有意思的从这个晋城到洛阳有一条高速公路前两天刚修通对吧这个这个修这个路很不容易因为就跟刚才讲的这个路这个那边都是巨山这个深沟那么这个路如果大家有机会开车过去有一个地方是可以停的可以看一看他那有个叫仙神河大桥那个大桥相当壮观他是这个大概那个那个古大概深有100多米完了有一个就等于一根读读住从这个谷底身上来把这个整个这个横跨在那个两山之间的这个桥给他架起来这个呃是等于是原来好像我记得是算是这个中国嗯现在已经被打破了原来是中国好像最高的一座一座桥还是怎么样的对高中就现在当然被那个孩子坐在西南地区做强力打破但是那个地方就是他专门修还修了一个一个观景台
[26:44.606,26:50.750,1]  那这个观景台呢只有从河南往这个几园区的这个啊河南那个往山西去的路上
[26:51.320,27:8.050,1]  可以有一个地方可以听下来可以拍照从山西往河南去那是没有地方可以因为那地方实在太窄了那个如果有机会可以在那停一停拍张照还是能够感感觉到一下这个这个以前的天堑变通途的这个感觉相当于
[27:8.430,27:29.540,0]  嗯就感觉特别特别深刻就是说你看着底下的古道就是能看到比赛普高是从这个七折蜿蜒以前可能要通过好多天是数月才能通过这条这条路但是现在就是一不留神就过去了咱们真诚的好朋友那张老师他那个
[27:29.660,27:36.050,0]  差90年代读大学的时候从晋城去一次洛阳那那个
[27:36.450,27:45.650,0]  走那个很不好的爬山公路得走一天时间如果再遇上那个堵车有的时候走两天现在从晋城到洛阳也就是一个半小时
[27:45.950,27:47.300,1]  对差不多就到了
[27:47.730,28:17.195,0]  对上回复还是讲到这个进程他发展发展旅游就招的是河南的游客而且其实挺有意思对就和男友可去最方便我们再加点附带啊比如说在太阳挺难走吧我觉得还可以的就曹操其实曹操打去打那个往往北方去打那个圆圆少的是里啊他就他最后把攻略那个袁绍的儿子袁上就是走太行情走的所以他当然写下来的时候这个他
[28:17.195,28:30.360,0]  查尔斯私人吗加一个苦寒行就是专门写太行山很难走的嗯后来到了这个汉代我记得有一个呃著名的一个这个学者叫刘星吗
[28:30.410,29:0.340,0]  他也写过一个叫这个谁托付也是说时态防止险峻吸入五天景致高官也是这个赞叹这个太行山的高啊天景观的血啊什么的后来还有一个我觉得可以补充的是什么呢就是这个原来就是第一条现代化的公路啊说是抗战时候说是日本人1930年代墨迹本人从河南往山西打然后就是修了一条公路就是这这条公路
[29:0.340,29:2.010,1]  就是现在的207国道
[29:2.010,29:25.430,0]  但是啊对对哦对就我们就在村口的那地方看起来听过好像还是垃圾的地方下面就是他们开的那条公路哎我不知道我是不是记错了是不是就是当时因为也正好大饥荒吗然后日本人修这个公路还招明珠好像还还很多基民还得参与修路还但是我印象不是特别深吗是不是有这么回事儿
[29:25.950,29:40.920,1]  这个我也我也不是印象太深刻就是那个地区呢就说这条路基本就是从济源到晋城的一条这个呃最快捷的一条路啊这个原来是有盘山路现在高速等于打通了那么
[29:41.200,29:44.550,1]  这个路其实在历史上除了刚才奇侠讲的
[29:44.780,30:1.400,1]  在汉代在三国时期到了这个南北朝时期这个尤其在北魏的时候这个孝文帝平城迁落从这个大同把首都迁到洛阳那但是他们那时候还经常要在洛阳跟大同之间往返
[30:2.210,30:3.760,1]  基本上走的也是这条路
[30:4.740,30:14.860,1]  是不是对是的嗯所以这个呢对于当时的政治来说也是就经济政治很重要因为这几条很重要的一条等于呃古道
[30:14.860,30:26.130,0]  对其实当时是这样当时是主要是两条路一条呢就是他一条就是你看怎么是先选后羿或者先抑后写啊一条呢是从这个
[30:26.210,30:34.490,0]  从大同吗还是就沿着现在这个翻过雁门关然后从到尽量就太远然后同泰行情然后到洛阳
[30:34.850,30:47.170,0]  这这个是一条路另外一条呢就是先珊珊从北三行出来出太行山然后到了华北平原以后再沿着太行山的这个所谓的这个焉耆大道在
[30:47.300,30:50.340,0]  再再往这个洛阳就基本上就这两条
[30:51.070,31:3.060,1]  其他就讲到这个路以外呢就是刚刚讲讲讲其实还有一条铁路嗯铁路是要早于高速公路修好铁路呢是大概是是从这个山西的这个
[31:3.540,31:4.730,1]  呃阳城
[31:4.730,31:46.020,1]  其他就阳城玩在那边一直从侯马从侯马那边到阳城从阳城完了到济源从阳城到济源这一段我们那个去加强进我们是零四年做过这段铁路这这段铁路那个路上风景相当漂亮这个现在即可不知道有没有客运开啊有如果有客运的话也都是绿皮车那个虽然这个路开的这个铁路开的慢条件不是很好但是我觉得有机会坐坐这段铁路的话也是非常非常非常好的一个体验因为路上的这个铁路所看到的景色跟公务看到的还不一样有时候实际上高速公路虽然是发达了这一串儿过但啥也看不见嘿嘿啥呀
[31:46.020,31:48.030,0]  你错过了很多风景了
[31:48.030,31:52.790,1]  知道了所以有时候为了欣赏风景还不妨把自己的脚步可以在
[31:54.830,32:7.750,0]  所以无论如何他行情是一个特别重要的地方可以看出无论是古时候的广告还是现在的公路还是最近的高速公路还是铁路实验都要红
[32:7.750,32:8.920,0]  这个地方
[32:8.960,32:14.690,0]  通过就无论是过去还是现在实际这个地方都是一个非常重要的
[32:14.730,32:16.130,0]  这个交通有的
[32:16.130,33:0.780,1]  因为因为山西在中国历史上是非常重要的一个地区这个山下一个刚才讲到和跟山山西不有一个俗称叫这个表里河山河山就是一个河就是黄河一个山就是太行山这个所以山西是这个就是说大家的这个其实所有的通道刚才讲到的都是跟山西发生关系好多那么就是太行行刚才我们讲了这个很多就是他的这个历史上一个重要的意义有还有一点要提出就是说那个在隋唐时期啊这个那时候就是北方的这个五台山已经变成了很重要的一个我觉觉的这个圣地那么那时候政政政治经济中心是在这个
[33:1.020,33:15.320,1]  台湾跟洛阳尤其是那个武则天时期或怎么基本50天都呆在洛阳那个从洛阳到这个五台山去朝圣一路上要走的也是这条太行行
[33:15.830,33:31.630,1]  我记得那个有一个谁的那个日本写的有一个日本僧人吧叫叫五台山那个叫什么那那本书那里面讲的那个就是他从洛阳到五台山去去这个朝拜一路上这个益到庭哪听他听他听了这个
[33:32.750,33:58.510,1]  就他那个邮寄就是那个他那些停的地方就跟现在我们去的进程这个天景观啊什么进程然后再到北边儿在长治就这个长治原就是呃就是潞安路程那个唐玄宗曾经在那呆过吧这一路上的这个好多景点有些涉及到的寺院什么现在还有据可查有油脂可循这也是这个就是一条这个曹山的一条股
[33:59.010,34:25.020,1]  太航行时间就这样可讲了很多就是说呃如果这个大家的这个这个有这个机会的话不妨就选择一段可以做就是可以做些徒步的旅行因为呃尤其太阳行靠近这个进程这边路两边的也有很多的古建筑可以这个可以这个可以看吗包包刚才咱们讲天井观天景观上就有很多这个
[34:25.620,34:35.680,1]  古代的这个明星的这个名居呀还有一些商铺啊庙宇啊什么的这个这一条行道上有很多的这个可以可以这个看那些古建筑
[34:37.210,34:43.580,1]  除了这个太行情那么我们再往东一的话我们就是到了另外一条行叫白行
[34:43.580,34:59.920,0]  其实对其实白行好像就是太行山我觉得就是呃拐角的地方就是因为前边那个王喔这个芝麻他都是有点东西向的对吧然后然后一拐就往北走了就在那拐他有个S弯儿对an
[34:59.920,35:1.410,1]  这条行倒是
[35:1.460,35:5.340,1]  是太行吧姓什么醉美的一条心到对
[35:5.340,35:16.440,0]  风景对我也想生我觉得用美他有点太太主观我觉得可以说是最秀丽的一段因为太阳山每个地儿太多了但是白屏真的是特别秀丽的我觉得
[35:17.150,36:17.150,1]  对他这个就是呃因为我们的感受是这样的因为那次我们走白天讲到这个行到啊实际上这个我们要在注释一点就是说古代不像现在啊现在表修条高速公路什么竞技高速投入的阑尾在哪怎么是很清楚的因为古代上一个路基本都是自然形成所以他这个小路啊不一定是只是一条它叫白行他白天可能可能头跟尾可能都有点分叉都可以叫白行不是说不这条路叫白那张就不能将白起这个我做一个注释那么我们上次去的时候是从这个河南开车往这个山西走那么河南这个在这个我们从新乡那边过来哦不是新乡还在还要再过来一点那么那个地区荷兰就都是这个卫辉卫辉啊什么这个地方灰线都是平原完了往往开开到马上就到了山边就是一座大山就树立起来完了沿着盘山公路都这么
[36:17.151,36:25.420,1]  上去上了盘山公路上面再往下一看的话整个这个一览无余的这个整个河南的这个平原的景象而且我们那那天就是
[36:25.420,36:29.110,0]  有点下雪大学然后对然后
[36:29.110,36:31.220,1]  那个井下相当壮观
[36:31.220,36:45.160,0]  是然后他他觉得还有些惴惴不安啊一个觉得这个前面山路怎么走然后我们虽然戴着防滑链然后这个开的越野车但是还是有一点好像有冒险精神啊
[36:45.160,36:50.880,1]  对那个地方呢就是靠近的现在那个老做那个广告的一个旅游区就云台山景区
[36:51.270,37:31.020,1]  其实靠是靠近那儿不太远这个是这个白线那么过去因为它是在河南跟山西交界的地方他这个山那么有水还有些水库永和那么所以一边有山一边有水就这样的山水的景色给人的这个体验就不一样了就感觉所以就说刚才那个用了一个就是呃居家用的一个自学很秀美就是这样的一种因为有有有水了他就灵动了嘛所以他就封顶就相对来说看起来就特别的这个嗯状况尤其我们那那天又是这个下着雪还有一些学姐虽然醒目很难但是这个风景的确是让人终身难忘
